id,console-name,product-name,loose-price
3438567,Pokemon Japanese Wind from the Sea,Aipom #67,$4.50
8454550,Pokemon Japanese Wind from the Sea,Aipom [1st Edition] #67,$3.84
3438547,Pokemon Japanese Wind from the Sea,Ampharos #48,$21.19
3438548,Pokemon Japanese Wind from the Sea,Ampharos #49,$106.80
8454551,Pokemon Japanese Wind from the Sea,Ampharos [1st Edition] #48,$19.99
8454552,Pokemon Japanese Wind from the Sea,Ampharos [1st Edition] #49,$51.00
3438584,Pokemon Japanese Wind from the Sea,Apricorn Forest #84,$3.50
8454553,Pokemon Japanese Wind from the Sea,Apricorn Forest [1st Edition] #84,$0.99
3438518,Pokemon Japanese Wind from the Sea,Bellossom #19,$13.77
3438519,Pokemon Japanese Wind from the Sea,Bellossom #20,$40.98
8454554,Pokemon Japanese Wind from the Sea,Bellossom [1st Edition] #19,$14.81
8454555,Pokemon Japanese Wind from the Sea,Bellossom [1st Edition] #20,$69.11
3438506,Pokemon Japanese Wind from the Sea,Bellsprout #7,$6.50
3438507,Pokemon Japanese Wind from the Sea,Bellsprout #8,$7.99
8454556,Pokemon Japanese Wind from the Sea,Bellsprout [1st Edition] #7,$11.04
8454557,Pokemon Japanese Wind from the Sea,Bellsprout [1st Edition] #8,$6.90
3438586,Pokemon Japanese Wind from the Sea,Boost Energy #86,$4.11
8454558,Pokemon Japanese Wind from the Sea,Boost Energy [1st Edition] #86,$4.00
13118673,Pokemon Japanese Wind from the Sea,Booster Box,
13118669,Pokemon Japanese Wind from the Sea,Booster Pack,$1982.03
13118674,Pokemon Japanese Wind from the Sea,Booster Pack [McDonald's],
3438535,Pokemon Japanese Wind from the Sea,Chinchou #36,$10.57
3438542,Pokemon Japanese Wind from the Sea,Chinchou #43,$5.49
8068420,Pokemon Japanese Wind from the Sea,Chinchou [1st Edition] #36,$8.48
8454559,Pokemon Japanese Wind from the Sea,Chinchou [1st Edition] #43,$6.75
3438585,Pokemon Japanese Wind from the Sea,Crystal Energy #85,$4.00
8454560,Pokemon Japanese Wind from the Sea,Crystal Energy [1st Edition] #85,$3.05
3438561,Pokemon Japanese Wind from the Sea,Dodrio #62,$4.94
8454561,Pokemon Japanese Wind from the Sea,Dodrio [1st Edition] #62,$3.80
3438560,Pokemon Japanese Wind from the Sea,Doduo #61,$5.50
8454562,Pokemon Japanese Wind from the Sea,Doduo [1st Edition] #61,$5.50
3438576,Pokemon Japanese Wind from the Sea,Energy Switch #76,$41.82
8454563,Pokemon Japanese Wind from the Sea,Energy Switch [1st Edition] #76,$30.96
3438525,Pokemon Japanese Wind from the Sea,Entei #26,$23.49
3438526,Pokemon Japanese Wind from the Sea,Entei #27,$87.75
8454564,Pokemon Japanese Wind from the Sea,Entei [1st Edition] #26,$28.85
8454565,Pokemon Japanese Wind from the Sea,Entei [1st Edition] #27,$125.00
3438511,Pokemon Japanese Wind from the Sea,Exeggcute #12,$6.17
3438549,Pokemon Japanese Wind from the Sea,Exeggcute #50,$3.60
8454566,Pokemon Japanese Wind from the Sea,Exeggcute [1st Edition] #12,$4.19
8454567,Pokemon Japanese Wind from the Sea,Exeggcute [1st Edition] #50,$8.99
3438512,Pokemon Japanese Wind from the Sea,Exeggutor #13,$14.00
3438513,Pokemon Japanese Wind from the Sea,Exeggutor #14,$51.64
3438550,Pokemon Japanese Wind from the Sea,Exeggutor #51,$6.00
8454568,Pokemon Japanese Wind from the Sea,Exeggutor [1st Edition] #13,$7.44
8454569,Pokemon Japanese Wind from the Sea,Exeggutor [1st Edition] #14,$69.99
8454570,Pokemon Japanese Wind from the Sea,Exeggutor [1st Edition] #51,$6.37
3438546,Pokemon Japanese Wind from the Sea,Flaaffy #47,$4.50
8454571,Pokemon Japanese Wind from the Sea,Flaaffy [1st Edition] #47,$5.99
3438579,Pokemon Japanese Wind from the Sea,Forest Guardian #79,$4.44
8454572,Pokemon Japanese Wind from the Sea,Forest Guardian [1st Edition] #79,$1.75
3438566,Pokemon Japanese Wind from the Sea,Furret #66,$16.55
8454573,Pokemon Japanese Wind from the Sea,Furret [1st Edition] #66,$17.48
3438501,Pokemon Japanese Wind from the Sea,Gloom #2,$8.55
8454574,Pokemon Japanese Wind from the Sea,Gloom [1st Edition] #2,$4.71
3438581,Pokemon Japanese Wind from the Sea,Healing Berry #81,$1.71
8454575,Pokemon Japanese Wind from the Sea,Healing Berry [1st Edition] #81,$4.25
3438532,Pokemon Japanese Wind from the Sea,Horsea #33,$9.55
3438533,Pokemon Japanese Wind from the Sea,Horsea #34,$9.04
8447416,Pokemon Japanese Wind from the Sea,Horsea [1st Edition] #33,$11.25
8454576,Pokemon Japanese Wind from the Sea,Horsea [1st Edition] #34,$8.86
3438578,Pokemon Japanese Wind from the Sea,Juggler #78,$3.00
8454577,Pokemon Japanese Wind from the Sea,Juggler [1st Edition] #78,$4.00
3438563,Pokemon Japanese Wind from the Sea,Kangaskhan #64,$9.99
8454578,Pokemon Japanese Wind from the Sea,Kangaskhan [1st Edition] #64,$9.00
3438540,Pokemon Japanese Wind from the Sea,Kingdra #41,$20.00
3438541,Pokemon Japanese Wind from the Sea,Kingdra #42,$69.99
3438589,Pokemon Japanese Wind from the Sea,Kingdra #89,$280.00
8454579,Pokemon Japanese Wind from the Sea,Kingdra [1st Edition] #41,$14.99
8454580,Pokemon Japanese Wind from the Sea,Kingdra [1st Edition] #42,$53.91
8454581,Pokemon Japanese Wind from the Sea,Kingdra [1st Edition] #89,$1350.00
3438536,Pokemon Japanese Wind from the Sea,Lanturn #37,$5.72
3438543,Pokemon Japanese Wind from the Sea,Lanturn #44,$21.62
3438544,Pokemon Japanese Wind from the Sea,Lanturn #45,$55.78
8454582,Pokemon Japanese Wind from the Sea,Lanturn [1st Edition] #37,$4.42
8454583,Pokemon Japanese Wind from the Sea,Lanturn [1st Edition] #44,$11.50
8454584,Pokemon Japanese Wind from the Sea,Lanturn [1st Edition] #45,$49.99
3438558,Pokemon Japanese Wind from the Sea,Larvitar #59,$10.50
8454585,Pokemon Japanese Wind from the Sea,Larvitar [1st Edition] #59,$6.74
3438562,Pokemon Japanese Wind from the Sea,Lickitung #63,$12.73
8454586,Pokemon Japanese Wind from the Sea,Lickitung [1st Edition] #63,$12.50
3438590,Pokemon Japanese Wind from the Sea,Lugia #90,$761.00
8454587,Pokemon Japanese Wind from the Sea,Lugia [1st Edition] #90,$4184.65
3438553,Pokemon Japanese Wind from the Sea,Mankey #54,$15.00
8454588,Pokemon Japanese Wind from the Sea,Mankey [1st Edition] #54,$12.50
3438545,Pokemon Japanese Wind from the Sea,Mareep #46,$10.08
8454589,Pokemon Japanese Wind from the Sea,Mareep [1st Edition] #46,$9.00
3438580,Pokemon Japanese Wind from the Sea,Memory Berry #80,$2.99
8454590,Pokemon Japanese Wind from the Sea,Memory Berry [1st Edition] #80,$0.99
3438568,Pokemon Japanese Wind from the Sea,Miltank #68,$5.63
8454591,Pokemon Japanese Wind from the Sea,Miltank [1st Edition] #68,$5.86
3438588,Pokemon Japanese Wind from the Sea,Nidoking #88,$540.00
8454592,Pokemon Japanese Wind from the Sea,Nidoking [1st Edition] #88,$1389.15
3438521,Pokemon Japanese Wind from the Sea,Ninetales #22,$17.99
3438522,Pokemon Japanese Wind from the Sea,Ninetales #23,$71.06
8454593,Pokemon Japanese Wind from the Sea,Ninetales [1st Edition] #22,$6.39
8454594,Pokemon Japanese Wind from the Sea,Ninetales [1st Edition] #23,$80.81
3438538,Pokemon Japanese Wind from the Sea,Octillery #39,$4.22
3438539,Pokemon Japanese Wind from the Sea,Octillery #40,$25.00
8454595,Pokemon Japanese Wind from the Sea,Octillery [1st Edition] #39,$5.29
8454596,Pokemon Japanese Wind from the Sea,Octillery [1st Edition] #40,$29.24
3438500,Pokemon Japanese Wind from the Sea,Oddish #1,$12.47
8454597,Pokemon Japanese Wind from the Sea,Oddish [1st Edition] #1,$4.94
3438555,Pokemon Japanese Wind from the Sea,Onix #56,$6.06
8454598,Pokemon Japanese Wind from the Sea,Onix [1st Edition] #56,$10.39
3438504,Pokemon Japanese Wind from the Sea,Paras #5,$6.44
8454599,Pokemon Japanese Wind from the Sea,Paras [1st Edition] #5,$7.80
3438505,Pokemon Japanese Wind from the Sea,Parasect #6,$5.79
8454600,Pokemon Japanese Wind from the Sea,Parasect [1st Edition] #6,$3.31
3438517,Pokemon Japanese Wind from the Sea,Pinsir #18,$7.57
8454601,Pokemon Japanese Wind from the Sea,Pinsir [1st Edition] #18,$2.74
3438523,Pokemon Japanese Wind from the Sea,Ponyta #24,$6.75
8454602,Pokemon Japanese Wind from the Sea,Ponyta [1st Edition] #24,$10.46
3438554,Pokemon Japanese Wind from the Sea,Primeape #55,$19.27
8454603,Pokemon Japanese Wind from the Sea,Primeape [1st Edition] #55,$14.99
3438559,Pokemon Japanese Wind from the Sea,Pupitar #60,$2.97
8454604,Pokemon Japanese Wind from the Sea,Pupitar [1st Edition] #60,$4.49
3438524,Pokemon Japanese Wind from the Sea,Rapidash #25,$13.67
8454605,Pokemon Japanese Wind from the Sea,Rapidash [1st Edition] #25,$14.99
3438537,Pokemon Japanese Wind from the Sea,Remoraid #38,$4.00
8454606,Pokemon Japanese Wind from the Sea,Remoraid [1st Edition] #38,$3.09
3438574,Pokemon Japanese Wind from the Sea,Scizor #74,$56.52
3438575,Pokemon Japanese Wind from the Sea,Scizor #75,$128.16
8454607,Pokemon Japanese Wind from the Sea,Scizor [1st Edition] #74,$13.86
8454608,Pokemon Japanese Wind from the Sea,Scizor [1st Edition] #75,$121.89
3438515,Pokemon Japanese Wind from the Sea,Scyther #16,$24.22
3438516,Pokemon Japanese Wind from the Sea,Scyther #17,$38.39
8454609,Pokemon Japanese Wind from the Sea,Scyther [1st Edition] #16,$25.00
8454610,Pokemon Japanese Wind from the Sea,Scyther [1st Edition] #17,$15.75
3438534,Pokemon Japanese Wind from the Sea,Seadra #35,$6.58
8454611,Pokemon Japanese Wind from the Sea,Seadra [1st Edition] #35,$4.58
3438565,Pokemon Japanese Wind from the Sea,Sentret #65,$6.34
8454612,Pokemon Japanese Wind from the Sea,Sentret [1st Edition] #65,$4.13
3438531,Pokemon Japanese Wind from the Sea,Slowbro #32,$41.37
8454613,Pokemon Japanese Wind from the Sea,Slowbro [1st Edition] #32,$38.92
3438551,Pokemon Japanese Wind from the Sea,Slowking #52,$29.99
3438552,Pokemon Japanese Wind from the Sea,Slowking #53,$256.90
8454614,Pokemon Japanese Wind from the Sea,Slowking [1st Edition] #52,$28.21
8454615,Pokemon Japanese Wind from the Sea,Slowking [1st Edition] #53,$147.14
3438530,Pokemon Japanese Wind from the Sea,Slowpoke #31,$40.04
8454616,Pokemon Japanese Wind from the Sea,Slowpoke [1st Edition] #31,$32.01
3438569,Pokemon Japanese Wind from the Sea,Sneasel #69,$6.50
8454617,Pokemon Japanese Wind from the Sea,Sneasel [1st Edition] #69,$5.51
3438572,Pokemon Japanese Wind from the Sea,Steelix #72,$18.28
3438573,Pokemon Japanese Wind from the Sea,Steelix #73,$119.12
8454618,Pokemon Japanese Wind from the Sea,Steelix [1st Edition] #72,$21.31
8454619,Pokemon Japanese Wind from the Sea,Steelix [1st Edition] #73,$78.03
3438556,Pokemon Japanese Wind from the Sea,Sudowoodo #57,$10.50
3438557,Pokemon Japanese Wind from the Sea,Sudowoodo #58,$76.50
8454620,Pokemon Japanese Wind from the Sea,Sudowoodo [1st Edition] #57,$8.34
8454621,Pokemon Japanese Wind from the Sea,Sudowoodo [1st Edition] #58,$49.99
3438514,Pokemon Japanese Wind from the Sea,Tangela #15,$8.42
8454622,Pokemon Japanese Wind from the Sea,Tangela [1st Edition] #15,$12.68
3438527,Pokemon Japanese Wind from the Sea,Tentacool #28,$6.22
8454623,Pokemon Japanese Wind from the Sea,Tentacool [1st Edition] #28,$2.99
3438528,Pokemon Japanese Wind from the Sea,Tentacruel #29,$10.06
3438529,Pokemon Japanese Wind from the Sea,Tentacruel #30,$69.99
