id,console-name,product-name,loose-price
3560941,Pokemon 1999 Topps Movie Evolution,Blastoise #E9,$1.97
3560942,Pokemon 1999 Topps Movie Evolution,Blastoise [Foil] #E9,$7.48
3560943,Pokemon 1999 Topps Movie Evolution,Blastoise [Rainbow Foil] #E9,$10.00
3560918,Pokemon 1999 Topps Movie Evolution,Bulbasaur #E1,$2.99
3560919,Pokemon 1999 Topps Movie Evolution,Bulbasaur [Foil] #E1,$3.66
3560920,Pokemon 1999 Topps Movie Evolution,Bulbasaur [Rainbow Foil] #E1,$21.50
4118324,Pokemon 1999 Topps Movie Evolution,Charizard #E6,$5.40
3560933,Pokemon 1999 Topps Movie Evolution,Charizard [Foil] #E6,$10.00
3560934,Pokemon 1999 Topps Movie Evolution,Charizard [Rainbow Foil] #E6,$89.12
3560927,Pokemon 1999 Topps Movie Evolution,Charmander #E4,$4.00
3560928,Pokemon 1999 Topps Movie Evolution,Charmander [Foil] #E4,$7.00
3560929,Pokemon 1999 Topps Movie Evolution,Charmander [Rainbow Foil] #E4,$23.50
3560930,Pokemon 1999 Topps Movie Evolution,Charmeleon #E5,$2.00
7470946,Pokemon 1999 Topps Movie Evolution,Charmeleon [Die Cut] #E5,$13.28
3560931,Pokemon 1999 Topps Movie Evolution,Charmeleon [Foil] #E5,$10.00
3560932,Pokemon 1999 Topps Movie Evolution,Charmeleon [Rainbow Foil] #E5,$30.37
3560947,Pokemon 1999 Topps Movie Evolution,Dragonair #E11,$1.94
3560948,Pokemon 1999 Topps Movie Evolution,Dragonair [Foil] #E11,$0.50
3560949,Pokemon 1999 Topps Movie Evolution,Dragonair [Rainbow Foil] #E11,$12.50
3560950,Pokemon 1999 Topps Movie Evolution,Dragonite #E12,$4.95
3560951,Pokemon 1999 Topps Movie Evolution,Dragonite [Foil] #E12,$18.00
3560952,Pokemon 1999 Topps Movie Evolution,Dragonite [Rainbow Foil] #E12,$39.50
3560944,Pokemon 1999 Topps Movie Evolution,Dratini #E10,$1.65
3560945,Pokemon 1999 Topps Movie Evolution,Dratini [Foil] #E10,$1.99
3560946,Pokemon 1999 Topps Movie Evolution,Dratini [Rainbow Foil] #E10,$6.50
3560921,Pokemon 1999 Topps Movie Evolution,Ivysaur #E2,$2.81
3560922,Pokemon 1999 Topps Movie Evolution,Ivysaur [Foil] #E2,$2.30
3560923,Pokemon 1999 Topps Movie Evolution,Ivysaur [Rainbow Foil] #E2,$23.87
3560935,Pokemon 1999 Topps Movie Evolution,Squirtle #E7,$3.99
3560936,Pokemon 1999 Topps Movie Evolution,Squirtle [Foil] #E7,$5.25
3560937,Pokemon 1999 Topps Movie Evolution,Squirtle [Rainbow Foil] #E7,$23.50
3560924,Pokemon 1999 Topps Movie Evolution,Venusaur #E3,$2.50
3560925,Pokemon 1999 Topps Movie Evolution,Venusaur [Foil] #E3,$7.99
3560926,Pokemon 1999 Topps Movie Evolution,Venusaur [Rainbow Foil] #E3,$40.00
3560938,Pokemon 1999 Topps Movie Evolution,Wartortle #E8,$3.99
3560939,Pokemon 1999 Topps Movie Evolution,Wartortle [Foil] #E8,$3.00
3560940,Pokemon 1999 Topps Movie Evolution,Wartortle [Rainbow Foil] #E8,$14.54
