id,console-name,product-name,loose-price
3560771,Pokemon 1999 Topps Movie,A Call to Arms #16,$0.99
3560772,Pokemon 1999 Topps Movie,A Call to Arms [Foil] #16,$3.43
3560773,Pokemon 1999 Topps Movie,A Call to Arms [Rainbow Foil] #16,$14.50
3560910,Pokemon 1999 Topps Movie,A Great Day #58,$1.54
3560911,Pokemon 1999 Topps Movie,A Great Day [Corrected] #58,
3560912,Pokemon 1999 Topps Movie,A Great Day [Foil] #58,$4.49
3560913,Pokemon 1999 Topps Movie,A Great Day [Rainbow Foil] #58,$2.25
3560748,Pokemon 1999 Topps Movie,Ash and Company #9,$1.38
3560749,Pokemon 1999 Topps Movie,Ash and Company [Foil] #9,$3.51
3560750,Pokemon 1999 Topps Movie,Ash and Company [Rainbow Foil] #9,
3560831,Pokemon 1999 Topps Movie,Ash's Sacrifice #36,$2.00
3560832,Pokemon 1999 Topps Movie,Ash's Sacrifice [Foil] #36,$2.76
3560833,Pokemon 1999 Topps Movie,Ash's Sacrifice [Rainbow Foil] #36,
3560727,Pokemon 1999 Topps Movie,Awakenings #2,$1.25
3560728,Pokemon 1999 Topps Movie,Awakenings [Foil] #2,$8.01
3560729,Pokemon 1999 Topps Movie,Awakenings [Rainbow Foil] #2,$9.99
3560751,Pokemon 1999 Topps Movie,Battle Before Lunch #10,$1.25
3560752,Pokemon 1999 Topps Movie,Battle Before Lunch [Foil] #10,$4.27
3560753,Pokemon 1999 Topps Movie,Battle Before Lunch [Rainbow Foil] #10,$10.50
3560819,Pokemon 1999 Topps Movie,Battle Renewed #32,$1.76
3560820,Pokemon 1999 Topps Movie,Battle Renewed [Foil] #32,$9.82
3560821,Pokemon 1999 Topps Movie,Battle Renewed [Rainbow Foil] #32,$0.99
3560798,Pokemon 1999 Topps Movie,Battle of the Champions #25,$2.25
3560799,Pokemon 1999 Topps Movie,Battle of the Champions [Foil] #25,$20.03
3560800,Pokemon 1999 Topps Movie,Battle of the Champions [Rainbow Foil] #25,$5.00
3560784,Pokemon 1999 Topps Movie,Best of the Best #20,$1.02
3560785,Pokemon 1999 Topps Movie,Best of the Best [Rainbow Foil] #20,
3560783,Pokemon 1999 Topps Movie,Best of the Best [The Best of the Best [Foil] #20,$5.99
3560901,Pokemon 1999 Topps Movie,Better Than Ever #56,$1.27
3560902,Pokemon 1999 Topps Movie,Better Than Ever [Corrected] #56,
3560903,Pokemon 1999 Topps Movie,Better Than Ever [Foil] #56,$3.62
3560904,Pokemon 1999 Topps Movie,Better Than Ever [Rainbow Foil] #56,$6.11
6869856,Pokemon 1999 Topps Movie,Booster Box,$1581.29
7747585,Pokemon 1999 Topps Movie,Booster Box [Black Logo],$701.68
3560914,Pokemon 1999 Topps Movie,C'Mon We Need Help [Rainbow Foil] #59,
3560891,Pokemon 1999 Topps Movie,"C'Mon, We Need Help #53",$1.37
3560892,Pokemon 1999 Topps Movie,"C'Mon, We Need Help [Corrected] #53",
3560890,Pokemon 1999 Topps Movie,"C'Mon, We Need Help [Foil] #53",$7.50
3560893,Pokemon 1999 Topps Movie,"C'Mon, We Need Help [Rainbow Foil] #53",$13.60
3560807,Pokemon 1999 Topps Movie,Chase for Pikachu #28,$1.71
3560808,Pokemon 1999 Topps Movie,Chase for Pikachu [Foil] #28,$8.99
3560809,Pokemon 1999 Topps Movie,Chase for Pikachu [Rainbow Foil] #28,$1.99
3560953,Pokemon 1999 Topps Movie,Checklist,$3.31
3560954,Pokemon 1999 Topps Movie,Checklist [Foil],$12.58
3560955,Pokemon 1999 Topps Movie,Checklist [Rainbow Foil],$49.00
3560810,Pokemon 1999 Topps Movie,Clones #29,$0.99
3560811,Pokemon 1999 Topps Movie,Clones [Foil] #29,$1.30
3560812,Pokemon 1999 Topps Movie,Clones [Rainbow Foil] #29,
3560730,Pokemon 1999 Topps Movie,Consciousness and Congratulations #3,$2.99
