id,console-name,product-name,loose-price
3561434,Pokemon 2000 Topps Chrome,Abra #63,$10.50
3561435,Pokemon 2000 Topps Chrome,Abra [Sparkle] #63,$126.38
3561436,Pokemon 2000 Topps Chrome,Abra [Spectra] #63,$51.48
3561437,Pokemon 2000 Topps Chrome,Abra [Tekno] #63,$99.18
3725921,Pokemon 2000 Topps Chrome,Aerodactyl #142,$47.98
3725922,Pokemon 2000 Topps Chrome,Aerodactyl [Sparkle] #142,
3725923,Pokemon 2000 Topps Chrome,Aerodactyl [Spectra] #142,$72.64
3725924,Pokemon 2000 Topps Chrome,Aerodactyl [Tekno] #142,$486.33
3561442,Pokemon 2000 Topps Chrome,Alakazam #65,$17.17
3561443,Pokemon 2000 Topps Chrome,Alakazam [Sparkle] #65,$287.27
3561444,Pokemon 2000 Topps Chrome,Alakazam [Spectra] #65,$42.00
3561445,Pokemon 2000 Topps Chrome,Alakazam [Tekno] #65,$306.00
3561279,Pokemon 2000 Topps Chrome,Arbok #24,$7.95
3561280,Pokemon 2000 Topps Chrome,Arbok [Sparkle] #24,$101.88
3561281,Pokemon 2000 Topps Chrome,Arbok [Spectra] #24,$19.84
3561282,Pokemon 2000 Topps Chrome,Arbok [Tekno] #24,$131.66
3561418,Pokemon 2000 Topps Chrome,Arcanine #59,$37.11
3561419,Pokemon 2000 Topps Chrome,Arcanine [Sparkle] #59,$412.50
3561420,Pokemon 2000 Topps Chrome,Arcanine [Spectra] #59,$52.22
3561421,Pokemon 2000 Topps Chrome,Arcanine [Tekno] #59,$351.13
3725931,Pokemon 2000 Topps Chrome,Articuno #144,$85.51
3725932,Pokemon 2000 Topps Chrome,Articuno [Sparkle] #144,$1525.00
3725933,Pokemon 2000 Topps Chrome,Articuno [Spectra] #144,$68.75
3725935,Pokemon 2000 Topps Chrome,Articuno [Tekno] #144,$5500.00
3561243,Pokemon 2000 Topps Chrome,Beedrill #15,$10.00
3561249,Pokemon 2000 Topps Chrome,Beedrill [Sparkle] #15,$109.90
3561244,Pokemon 2000 Topps Chrome,Beedrill [Spectra] #15,$29.28
