id,console-name,product-name,loose-price
3975681,Pokemon 2000 Topps TV,Abra and the Psychic Showdown #EP21,$2.25
3975682,Pokemon 2000 Topps TV,Abra and the Psychic Showdown [Foil] #EP21,$3.25
3975683,Pokemon 2000 Topps TV,Abra and the Psychic Showdown [Rainbow Foil] #EP21,$10.91
3975906,Pokemon 2000 Topps TV,Aerodactyl #142,$6.11
3975907,Pokemon 2000 Topps TV,Aerodactyl [Foil] #142,$26.03
3975908,Pokemon 2000 Topps TV,Aerodactyl [Rainbow Foil] #142,$37.50
3975912,Pokemon 2000 Topps TV,Articuno #144,$12.80
3975913,Pokemon 2000 Topps TV,Articuno [Foil] #144,$31.10
3975915,Pokemon 2000 Topps TV,Articuno [Rainbow Foil] #144,$38.41
3975626,Pokemon 2000 Topps TV,Ash Catches A Pokemon #EP3,$2.13
3975627,Pokemon 2000 Topps TV,Ash Catches A Pokemon [Foil] #EP3,$5.13
3975628,Pokemon 2000 Topps TV,Ash Catches A Pokemon [Rainbow Foil] #EP3,$10.52
5135155,Pokemon 2000 Topps TV,Ash [Tin Topper] #2,$18.00
3975665,Pokemon 2000 Topps TV,Battle Aboard the St. Anne #EP15,$1.53
3975662,Pokemon 2000 Topps TV,Battle Aboard the St. Anne [Foil] #EP15,$3.36
3975663,Pokemon 2000 Topps TV,Battle Aboard the St. Anne [Rainbow Foil] #EP15,$8.18
8059457,Pokemon 2000 Topps TV,Booster Box [Series 2],$1400.00
8565627,Pokemon 2000 Topps TV,Booster Box [Series 3],$5400.00
7667580,Pokemon 2000 Topps TV,Booster Pack [Series 3],$148.13
3975647,Pokemon 2000 Topps TV,Bulbasaur and the Hidden Village #EP10,$2.91
3975648,Pokemon 2000 Topps TV,Bulbasaur and the Hidden Village [Foil] #EP10,$4.99
3975649,Pokemon 2000 Topps TV,Bulbasaur and the Hidden Village [Rainbow Foil] #EP10,$21.40
3975678,Pokemon 2000 Topps TV,"Bye, Bye Butterfree #EP20",$3.18
3975679,Pokemon 2000 Topps TV,"Bye, Bye Butterfree [Foil] #EP20",$7.99
3975680,Pokemon 2000 Topps TV,"Bye, Bye Butterfree [Rainbow Foil] #EP20",$17.44
3975629,Pokemon 2000 Topps TV,Challenge of the Samurai #EP4,$1.51
3975630,Pokemon 2000 Topps TV,Challenge of the Samurai [Foil] #EP4,$2.25
3975631,Pokemon 2000 Topps TV,Challenge of the Samurai [Rainbow Foil] #EP4,
3975815,Pokemon 2000 Topps TV,Chansey #113,$2.99
3975816,Pokemon 2000 Topps TV,Chansey [Foil] #113,$3.41
3975817,Pokemon 2000 Topps TV,Chansey [Rainbow Foil] #113,$10.93
7286180,Pokemon 2000 Topps TV,Charizard #6,$9.55
5705812,Pokemon 2000 Topps TV,Charizard [Tin Topper] #5,$22.77
3975650,Pokemon 2000 Topps TV,Charmander-the Stray Pokemon #EP11,$2.99
3975651,Pokemon 2000 Topps TV,Charmander-the Stray Pokemon [Foil] #EP11,$5.56
3975652,Pokemon 2000 Topps TV,Charmander-the Stray Pokemon [Rainbow Foil] #EP11,$5.82
3975831,Pokemon 2000 Topps TV,Checklist,$3.51
3975832,Pokemon 2000 Topps TV,Checklist [Foil],$8.34
3975833,Pokemon 2000 Topps TV,Checklist [Rainbow Foil],$19.95
3975937,Pokemon 2000 Topps TV,Checklist [Series 3 Foil],$20.04
3975938,Pokemon 2000 Topps TV,Checklist [Series 3 Rainbow Foil],$10.35
3975936,Pokemon 2000 Topps TV,Checklist [Series 3],$5.40
3975635,Pokemon 2000 Topps TV,Clefairy and the Moon Stone #EP6,$1.46
3975636,Pokemon 2000 Topps TV,Clefairy and the Moon Stone [Foil] #EP6,$4.23
3975637,Pokemon 2000 Topps TV,Clefairy and the Moon Stone [Rainbow Foil] #EP6,$0.99
3975749,Pokemon 2000 Topps TV,Cloyster #91,$3.99
3975750,Pokemon 2000 Topps TV,Cloyster [Foil] #91,$3.12
3975751,Pokemon 2000 Topps TV,Cloyster [Rainbow Foil] #91,$20.19
3975788,Pokemon 2000 Topps TV,Cubone #104,$5.23
3975789,Pokemon 2000 Topps TV,Cubone [Foil] #104,$9.28
3975790,Pokemon 2000 Topps TV,Cubone [Rainbow Foil] #104,$17.12
3975737,Pokemon 2000 Topps TV,Dewgong #87,$1.95
3975738,Pokemon 2000 Topps TV,Dewgong [Foil] #87,$3.98
3975739,Pokemon 2000 Topps TV,Dewgong [Rainbow Foil] #87,$11.99
3975876,Pokemon 2000 Topps TV,Ditto #132,$10.33
3975877,Pokemon 2000 Topps TV,Ditto [Foil] #132,$20.06
3975878,Pokemon 2000 Topps TV,Ditto [Rainbow Foil] #132,$20.00
3975730,Pokemon 2000 Topps TV,Dodrio #85,$2.62
3975732,Pokemon 2000 Topps TV,Dodrio [Foil] #85,$4.84
3975733,Pokemon 2000 Topps TV,Dodrio [Rainbow Foil] #85,$15.77
3975727,Pokemon 2000 Topps TV,Doduo #84,$3.21
3975728,Pokemon 2000 Topps TV,Doduo [Foil] #84,$3.50
3975729,Pokemon 2000 Topps TV,Doduo [Rainbow Foil] #84,$20.19
3975924,Pokemon 2000 Topps TV,Dragonair #148,$5.13
3975925,Pokemon 2000 Topps TV,Dragonair [Foil] #148,$14.72
3975926,Pokemon 2000 Topps TV,Dragonair [Rainbow Foil] #148,$12.89
3975927,Pokemon 2000 Topps TV,Dragonite #149,$15.47
3975928,Pokemon 2000 Topps TV,Dragonite [Foil] #149,$21.99
3975929,Pokemon 2000 Topps TV,Dragonite [Rainbow Foil] #149,$42.51
3975921,Pokemon 2000 Topps TV,Dratini #147,$3.08
3975922,Pokemon 2000 Topps TV,Dratini [Foil] #147,$15.00
3975923,Pokemon 2000 Topps TV,Dratini [Rainbow Foil] #147,
3975764,Pokemon 2000 Topps TV,Drowzee #96,$2.21
3975765,Pokemon 2000 Topps TV,Drowzee [Foil] #96,$2.50
3975766,Pokemon 2000 Topps TV,Drowzee [Rainbow Foil] #96,$5.25
3975879,Pokemon 2000 Topps TV,Eevee #133,$16.00
3975880,Pokemon 2000 Topps TV,Eevee [Foil] #133,$36.29
3975881,Pokemon 2000 Topps TV,Eevee [Rainbow Foil] #133,$58.65
3975855,Pokemon 2000 Topps TV,Electabuzz #125,$4.99
3975856,Pokemon 2000 Topps TV,Electabuzz [Foil] #125,$22.00
3975857,Pokemon 2000 Topps TV,Electabuzz [Rainbow Foil] #125,$70.00
3975659,Pokemon 2000 Topps TV,Electric Shock Showdown #EP14,$0.67
3975660,Pokemon 2000 Topps TV,Electric Shock Showdown [Foil] #EP14,$6.56
3975661,Pokemon 2000 Topps TV,Electric Shock Showdown [Rainbow Foil] #EP14,
3975779,Pokemon 2000 Topps TV,Electrode #101,$2.25
3975780,Pokemon 2000 Topps TV,Electrode [Foil] #101,$4.59
3975781,Pokemon 2000 Topps TV,Electrode [Rainbow Foil] #101,$15.20
3975782,Pokemon 2000 Topps TV,Exeggcute #102,$2.01
3975783,Pokemon 2000 Topps TV,Exeggcute [Foil] #102,$2.54
3975784,Pokemon 2000 Topps TV,Exeggcute [Rainbow Foil] #102,$16.64
3975785,Pokemon 2000 Topps TV,Exeggutor #103,$2.34
3975786,Pokemon 2000 Topps TV,Exeggutor [Foil] #103,$4.99
3975787,Pokemon 2000 Topps TV,Exeggutor [Rainbow Foil] #103,$3.75
3975724,Pokemon 2000 Topps TV,Farfetch'd #83,$3.00
3975725,Pokemon 2000 Topps TV,Farfetch'd [Foil] #83,$0.91
3975726,Pokemon 2000 Topps TV,Farfetch'd [Rainbow Foil] #83,$18.24
3975888,Pokemon 2000 Topps TV,Flareon #136,$10.41
3975889,Pokemon 2000 Topps TV,Flareon [Foil] #136,$34.37
3975890,Pokemon 2000 Topps TV,Flareon [Rainbow Foil] #136,$50.00
5705811,Pokemon 2000 Topps TV,Flying Pikachu [Tin Topper] #4,$17.62
3975752,Pokemon 2000 Topps TV,Gastly #92,$3.00
3975753,Pokemon 2000 Topps TV,Gastly [Foil] #92,$8.75
3975754,Pokemon 2000 Topps TV,Gastly [Rainbow Foil] #92,$12.55
3975758,Pokemon 2000 Topps TV,Gengar #94,$18.99
3975759,Pokemon 2000 Topps TV,Gengar [Foil] #94,$30.62
3975760,Pokemon 2000 Topps TV,Gengar [Rainbow Foil] #94,$26.00
3975834,Pokemon 2000 Topps TV,Goldeen #118,$7.05
3975835,Pokemon 2000 Topps TV,Goldeen [Foil] #118,$13.31
3975837,Pokemon 2000 Topps TV,Goldeen [Rainbow Foil] #118,$100.00
3975740,Pokemon 2000 Topps TV,Grimer #88,$2.29
3975741,Pokemon 2000 Topps TV,Grimer [Foil] #88,$3.50
3975742,Pokemon 2000 Topps TV,Grimer [Rainbow Foil] #88,$15.10
3975870,Pokemon 2000 Topps TV,Gyarados #130,$12.18
3975871,Pokemon 2000 Topps TV,Gyarados [Foil] #130,$25.50
3975872,Pokemon 2000 Topps TV,Gyarados [Rainbow Foil] #130,$102.50
3975755,Pokemon 2000 Topps TV,Haunter #93,$4.44
3975756,Pokemon 2000 Topps TV,Haunter [Foil] #93,$13.69
3975757,Pokemon 2000 Topps TV,Haunter [Rainbow Foil] #93,$21.57
3975687,Pokemon 2000 Topps TV,Haunter vs. Kadabra #EP23,$2.74
3975688,Pokemon 2000 Topps TV,Haunter vs. Kadabra [Foil] #EP23,$6.04
3975689,Pokemon 2000 Topps TV,Haunter vs. Kadabra [Rainbow Foil] #EP23,$9.44
3975653,Pokemon 2000 Topps TV,Here Comes the Squirtle Squad #EP12,$4.38
3975654,Pokemon 2000 Topps TV,Here Comes the Squirtle Squad [Foil] #EP12,$10.00
3975655,Pokemon 2000 Topps TV,Here Comes the Squirtle Squad [Rainbow Foil] #EP12,$19.66
3975797,Pokemon 2000 Topps TV,Hitmonchan #107,$4.42
3975798,Pokemon 2000 Topps TV,Hitmonchan [Foil] #107,$5.33
3975799,Pokemon 2000 Topps TV,Hitmonchan [Rainbow Foil] #107,$13.95
3975794,Pokemon 2000 Topps TV,Hitmonlee #106,$2.99
3975795,Pokemon 2000 Topps TV,Hitmonlee [Foil] #106,$4.97
3975796,Pokemon 2000 Topps TV,Hitmonlee [Rainbow Foil] #106,$21.25
3975825,Pokemon 2000 Topps TV,Horsea #116,$3.00
3975826,Pokemon 2000 Topps TV,Horsea [Foil] #116,$2.20
3975827,Pokemon 2000 Topps TV,Horsea [Rainbow Foil] #116,$10.61
3975767,Pokemon 2000 Topps TV,Hypno #97,$2.00
3975768,Pokemon 2000 Topps TV,Hypno [Foil] #97,$7.50
3975769,Pokemon 2000 Topps TV,Hypno [Rainbow Foil] #97,$13.30
3975621,Pokemon 2000 Topps TV,I Choose You! #EP1,$2.49
3975620,Pokemon 2000 Topps TV,I Choose You! [Foil] #EP1,$5.89
3975622,Pokemon 2000 Topps TV,I Choose You! [Rainbow Foil] #EP1,$14.61
3975668,Pokemon 2000 Topps TV,Island of the Giant Pokemon #EP17,$2.50
3975670,Pokemon 2000 Topps TV,Island of the Giant Pokemon [Foil] #EP17,$6.59
3975671,Pokemon 2000 Topps TV,Island of the Giant Pokemon [Rainbow Foil] #EP17,$7.74
7286186,Pokemon 2000 Topps TV,Jigglypuff #39,$4.99
3975885,Pokemon 2000 Topps TV,Jolteon #135,$10.06
3975886,Pokemon 2000 Topps TV,Jolteon [Foil] #135,$20.27
3975887,Pokemon 2000 Topps TV,Jolteon [Rainbow Foil] #135,$42.48
3975852,Pokemon 2000 Topps TV,Jynx #124,$5.00
3975853,Pokemon 2000 Topps TV,Jynx [Foil] #124,$13.99
3975854,Pokemon 2000 Topps TV,Jynx [Rainbow Foil] #124,
3975900,Pokemon 2000 Topps TV,Kabuto #140,$7.17
3975901,Pokemon 2000 Topps TV,Kabuto [Foil] #140,$11.00
3975902,Pokemon 2000 Topps TV,Kabuto [Rainbow Foil] #140,$19.91
3975903,Pokemon 2000 Topps TV,Kabutops #141,$5.94
3975904,Pokemon 2000 Topps TV,Kabutops [Foil] #141,$16.09
3975905,Pokemon 2000 Topps TV,Kabutops [Rainbow Foil] #141,$58.50
3975822,Pokemon 2000 Topps TV,Kangaskhan #115,$2.99
3975823,Pokemon 2000 Topps TV,Kangaskhan [Foil] #115,$4.58
3975824,Pokemon 2000 Topps TV,Kangaskhan [Rainbow Foil] #115,$6.53
3975773,Pokemon 2000 Topps TV,Kingler #99,$2.44
3975774,Pokemon 2000 Topps TV,Kingler [Foil] #99,$4.51
3975775,Pokemon 2000 Topps TV,Kingler [Rainbow Foil] #99,$9.97
3975803,Pokemon 2000 Topps TV,Koffing #109,$3.00
3975804,Pokemon 2000 Topps TV,Koffing [Foil] #109,$5.00
3975805,Pokemon 2000 Topps TV,Koffing [Rainbow Foil] #109,$15.46
3975770,Pokemon 2000 Topps TV,Krabby #98,$2.12
3975771,Pokemon 2000 Topps TV,Krabby [Foil] #98,$4.71
3975772,Pokemon 2000 Topps TV,Krabby [Rainbow Foil] #98,$5.99
3975873,Pokemon 2000 Topps TV,Lapras #131,$6.21
