id,console-name,product-name,loose-price
4928262,Pokemon 2020 Battle Academy,Alolan Raichu #25,$1.67
4928296,Pokemon 2020 Battle Academy,Alolan Raichu #56,$2.20
7308695,Pokemon 2020 Battle Academy,Battle Academy Box,$45.16
6363043,Pokemon 2020 Battle Academy,Blitzle #1,
6363045,Pokemon 2020 Battle Academy,Blitzle #19,
6363061,Pokemon 2020 Battle Academy,Blitzle #45,
5438818,Pokemon 2020 Battle Academy,Bug Catcher #189,$0.07
6363050,Pokemon 2020 Battle Academy,Bug Catcher #26,
6362948,Pokemon 2020 Battle Academy,Bug Catcher #34,
6363060,Pokemon 2020 Battle Academy,Bug Catcher #44,
6363062,Pokemon 2020 Battle Academy,Bug Catcher #46,
6362963,Pokemon 2020 Battle Academy,Bug Catcher #47,$0.07
6363066,Pokemon 2020 Battle Academy,Bug Catcher #51,
10052353,Pokemon 2020 Battle Academy,Bug Catcher [Pikachu] #189,
4928288,Pokemon 2020 Battle Academy,Chansey #47,$1.22
4928234,Pokemon 2020 Battle Academy,Chansey #5,$0.50
962237,Pokemon 2020 Battle Academy,Charizard #3,$7.08
6362957,Pokemon 2020 Battle Academy,Charizard #39,$20.50
4928300,Pokemon 2020 Battle Academy,Charizard GX #60,$11.17
4928227,Pokemon 2020 Battle Academy,Charmander #1,$0.50
4928252,Pokemon 2020 Battle Academy,Charmander #16,$0.50
4928281,Pokemon 2020 Battle Academy,Charmander #42,$1.05
4928295,Pokemon 2020 Battle Academy,Charmander #56,$0.45
4928250,Pokemon 2020 Battle Academy,Charmeleon #15,$0.30
4928269,Pokemon 2020 Battle Academy,Charmeleon #30,$0.50
4928291,Pokemon 2020 Battle Academy,Charmeleon #51,$0.50
4928303,Pokemon 2020 Battle Academy,Cresselia #87,$0.20
5421460,Pokemon 2020 Battle Academy,Cynthia #119,$0.29
6362942,Pokemon 2020 Battle Academy,Cynthia #21,$1.65
6363049,Pokemon 2020 Battle Academy,Cynthia #24,
6362966,Pokemon 2020 Battle Academy,Cynthia #50,$1.66
4928298,Pokemon 2020 Battle Academy,Cynthia [Charizard] #59,$0.65
4928299,Pokemon 2020 Battle Academy,Cynthia [Pikachu] #59,
4928264,Pokemon 2020 Battle Academy,Eevee #26,$0.67
4928279,Pokemon 2020 Battle Academy,Eevee #36,$0.61
4928289,Pokemon 2020 Battle Academy,Eevee #49,$0.53
6363059,Pokemon 2020 Battle Academy,Electabuzz #41,
6363069,Pokemon 2020 Battle Academy,Electabuzz #58,
4928236,Pokemon 2020 Battle Academy,Electabuzz #6,
4928273,Pokemon 2020 Battle Academy,Electivire #32,$1.49
4928292,Pokemon 2020 Battle Academy,Electivire #53,$1.59
6363053,Pokemon 2020 Battle Academy,Electropower #34,$1.25
4928304,Pokemon 2020 Battle Academy,Espeon #89,$1.20
4928243,Pokemon 2020 Battle Academy,Fire Energy #10,$1.31
4928245,Pokemon 2020 Battle Academy,Fire Energy #11,$1.31
4928247,Pokemon 2020 Battle Academy,Fire Energy #12,$1.31
4928254,Pokemon 2020 Battle Academy,Fire Energy #17,$1.31
4928257,Pokemon 2020 Battle Academy,Fire Energy #19,$1.31
4928228,Pokemon 2020 Battle Academy,Fire Energy #2,$1.31
4928258,Pokemon 2020 Battle Academy,Fire Energy #20,$1.31
4928259,Pokemon 2020 Battle Academy,Fire Energy #22,$1.31
4928261,Pokemon 2020 Battle Academy,Fire Energy #24,$1.31
4928268,Pokemon 2020 Battle Academy,Fire Energy #29,$1.31
4928230,Pokemon 2020 Battle Academy,Fire Energy #3,$1.31
4928274,Pokemon 2020 Battle Academy,Fire Energy #32,$1.32
4928277,Pokemon 2020 Battle Academy,Fire Energy #35,$1.31
4928280,Pokemon 2020 Battle Academy,Fire Energy #38,$1.31
