id,console-name,product-name,loose-price
14328091,Pokemon 30th Celebration,2-Pack Blister,$47.70
14451038,Pokemon 30th Celebration,Alolan Exeggutor #129,$24.99
14450977,Pokemon 30th Celebration,Alolan Exeggutor #2,$1.23
14330014,Pokemon 30th Celebration,Alolan Meowth #139,$57.50
14330002,Pokemon 30th Celebration,Alolan Meowth #89,$1.10
14470834,Pokemon 30th Celebration,Arceus VSTAR #123,$9.82
14451043,Pokemon 30th Celebration,Articuno #132,$25.49
14450994,Pokemon 30th Celebration,Articuno #18,$1.32
14451053,Pokemon 30th Celebration,Azumarill #68,$0.19
14328111,Pokemon 30th Celebration,Battle Deck: Espeon ex,$37.39
14328115,Pokemon 30th Celebration,Battle Deck: Umbreon ex,$49.61
14328098,Pokemon 30th Celebration,Binder Collection,$92.03
14328099,Pokemon 30th Celebration,Booster Bundle,$90.87
14328077,Pokemon 30th Celebration,Booster Pack,$16.88
14470819,Pokemon 30th Celebration,Buzzwole GX #57,$3.00
14451054,Pokemon 30th Celebration,Chandelure #137,$12.75
14451060,Pokemon 30th Celebration,Chandelure #75,$1.95
14470806,Pokemon 30th Celebration,Charizard #4,$125.00
14450983,Pokemon 30th Celebration,Cherrim #7,$1.37
14450982,Pokemon 30th Celebration,Cherubi #6,$1.35
14328117,Pokemon 30th Celebration,Classic Collection Pack,$335.95
14451062,Pokemon 30th Celebration,Comfey #77,$0.13
14451068,Pokemon 30th Celebration,Cosmoem #79,$0.18
14451066,Pokemon 30th Celebration,Cosmog #78,$0.15
14451059,Pokemon 30th Celebration,Cresselia #74,$0.12
14470817,Pokemon 30th Celebration,Crobat G #47,$5.66
14470813,Pokemon 30th Celebration,Dark Tyranitar #19,$15.50
14470827,Pokemon 30th Celebration,Darkrai & Cresselia Legend #100,$17.95
14470826,Pokemon 30th Celebration,Darkrai & Cresselia Legend #99,$24.00
14451084,Pokemon 30th Celebration,Deino #97,$0.14
14470809,Pokemon 30th Celebration,Delcatty #5,$5.00
14451004,Pokemon 30th Celebration,Dialga #103,$0.20
14451020,Pokemon 30th Celebration,Ditto #115,$1.95
14328113,Pokemon 30th Celebration,Ditto Premium Collection,$197.02
14330012,Pokemon 30th Celebration,Drifloon #136,$15.64
14451058,Pokemon 30th Celebration,Drifloon #73,$0.18
14330009,Pokemon 30th Celebration,Eevee #116,$3.84
14328085,Pokemon 30th Celebration,Eevee #117,$1.22
14328082,Pokemon 30th Celebration,Eevee #118,$1.95
14470839,Pokemon 30th Celebration,Eevee [Knockout Collection] #116,$10.99
14328084,Pokemon 30th Celebration,Elite Trainer Box,$173.26
14328086,Pokemon 30th Celebration,Elite Trainer Box [Pokemon Center],$276.00
14470822,Pokemon 30th Celebration,Erika's Jigglypuff #69,$6.99
14328078,Pokemon 30th Celebration,Espeon #69,$3.25
14328083,Pokemon 30th Celebration,Espeon ex #70,$44.97
14450976,Pokemon 30th Celebration,Exeggcute #1,$1.10
14451005,Pokemon 30th Celebration,Ferrothorn #104,$0.18
14328119,Pokemon 30th Celebration,Figure Collection: Mew,$125.02
14328120,Pokemon 30th Celebration,Figure Collection: Mewtwo,$96.71
14451064,Pokemon 30th Celebration,Fuecoco ex #147,$85.00
14450991,Pokemon 30th Celebration,Fuecoco ex #15,$1.68
14451001,Pokemon 30th Celebration,Galarian Meowth #101,$1.95
14330015,Pokemon 30th Celebration,Galarian Meowth #141,$47.38
14470811,Pokemon 30th Celebration,Genesect EX #11,$6.49
14470825,Pokemon 30th Celebration,Gengar #94,$94.50
14486868,Pokemon 30th Celebration,Gengar Ex #154,$130.00
14451079,Pokemon 30th Celebration,Gengar ex #90,$29.99
14451012,Pokemon 30th Celebration,Gholdengo #108,$1.03
14451057,Pokemon 30th Celebration,Gholdengo #142,$24.50
14451074,Pokemon 30th Celebration,Gimmighoul #81,$1.60
14470815,Pokemon 30th Celebration,Greninja BREAK #41,$7.44
14451065,Pokemon 30th Celebration,Greninja ex #148,$77.36
14328081,Pokemon 30th Celebration,Greninja ex #21,$9.50
14328097,Pokemon 30th Celebration,Greninja ex Box,$53.33
14451072,Pokemon 30th Celebration,Groudon #82,$1.22
14451016,Pokemon 30th Celebration,Hakamo-o #111,$0.04
14451031,Pokemon 30th Celebration,Hisuian Zoroark #123,$2.95
14451030,Pokemon 30th Celebration,Hisuian Zorua #122,$1.95
14330016,Pokemon 30th Celebration,Hisuian Zorua #145,$124.88
14450988,Pokemon 30th Celebration,Ho-Oh #12,$1.32
14451087,Pokemon 30th Celebration,Hydreigon #99,$0.44
14451029,Pokemon 30th Celebration,Igglybuff #120,$1.91
14450980,Pokemon 30th Celebration,Illumise #4,$1.95
14451015,Pokemon 30th Celebration,Jangmo-o #110,$1.01
14330005,Pokemon 30th Celebration,Jirachi ex #102,$1.12
14451069,Pokemon 30th Celebration,Jirachi ex #155,$199.99
14330007,Pokemon 30th Celebration,Kangaskhan #114,$0.20
14328095,Pokemon 30th Celebration,Knock Out Collection,$30.49
14486866,Pokemon 30th Celebration,Kommo-O #143,$3.49
14451017,Pokemon 30th Celebration,Kommo-o #112,$1.10
14451077,Pokemon 30th Celebration,Koraidon #86,$1.03
14450995,Pokemon 30th Celebration,Kyogre #19,$1.23
14330011,Pokemon 30th Celebration,Lapras #131,$42.75
14450993,Pokemon 30th Celebration,Lapras #17,$1.43
14451073,Pokemon 30th Celebration,Lucario #83,$1.95
14330010,Pokemon 30th Celebration,Lugia #121,$4.99
14470808,Pokemon 30th Celebration,Lugia #149,$335.47
14451070,Pokemon 30th Celebration,Lunala #80,$0.23
14330013,Pokemon 30th Celebration,Lycanroc #138,$11.46
14451076,Pokemon 30th Celebration,Lycanroc #85,$0.10
14470830,Pokemon 30th Celebration,M Gardevoir EX #106,$14.00
14470836,Pokemon 30th Celebration,Magikarp #203,$86.44
14330008,Pokemon 30th Celebration,Marill #67,$1.91
14451033,Pokemon 30th Celebration,Maushold #125,$2.48
14451063,Pokemon 30th Celebration,Maushold #146,$112.00
14330006,Pokemon 30th Celebration,Meowth #113,$1.23
14330018,Pokemon 30th Celebration,Meowth #144,$36.07
14470810,Pokemon 30th Celebration,Metagross #11,$7.29
14451051,Pokemon 30th Celebration,Mew #65,$2.87
14486869,Pokemon 30th Celebration,Mew B/RGB,$3800.00
14486846,Pokemon 30th Celebration,Mew Ex #152,$185.00
14486871,Pokemon 30th Celebration,Mew G/RGB,$3950.00
14486870,Pokemon 30th Celebration,Mew R/RGB,$4000.00
14470833,Pokemon 30th Celebration,Mew VMAX #114,$21.99
14328087,Pokemon 30th Celebration,Mew ex #158,$124.99
14451052,Pokemon 30th Celebration,Mew ex #66,$9.95
14451047,Pokemon 30th Celebration,Mewtwo #63,$5.50
14486867,Pokemon 30th Celebration,Mewtwo Ex #151,$119.49
14470838,Pokemon 30th Celebration,Mewtwo [Best Buy] #63,
14470837,Pokemon 30th Celebration,Mewtwo [Gamestop] #63,
14328080,Pokemon 30th Celebration,Mewtwo ex #157,$621.54
14451050,Pokemon 30th Celebration,Mewtwo ex #64,$9.95
14328110,Pokemon 30th Celebration,Mini Tin Display,$354.25
14328101,Pokemon 30th Celebration,Mini Tin: Day Pikachu,$49.49
14328100,Pokemon 30th Celebration,Mini Tin: Espeon,$49.54
14328112,Pokemon 30th Celebration,Mini Tin: Greninja,$47.14
14328104,Pokemon 30th Celebration,Mini Tin: Lapras,$47.07
14328103,Pokemon 30th Celebration,Mini Tin: Mew,$48.94
14328118,Pokemon 30th Celebration,Mini Tin: Mewtwo,$48.79
14328105,Pokemon 30th Celebration,Mini Tin: Moltres,$48.98
14328109,Pokemon 30th Celebration,Mini Tin: Night Pikachu,$47.35
14328108,Pokemon 30th Celebration,Mini Tin: Umbreon,$49.49
14328106,Pokemon 30th Celebration,Mini Tin: Zapdos,$46.48
14451032,Pokemon 30th Celebration,Minior #124,$1.72
14451045,Pokemon 30th Celebration,Miraidon #62,$1.00
14470812,Pokemon 30th Celebration,Misty #18,$5.39
14450987,Pokemon 30th Celebration,Moltres #11,$1.33
14451039,Pokemon 30th Celebration,Moltres #130,$14.99
14451049,Pokemon 30th Celebration,Morpeko #135,$25.99
14451044,Pokemon 30th Celebration,Morpeko #61,$1.91
14451080,Pokemon 30th Celebration,Murkrow #93,$1.00
14470828,Pokemon 30th Celebration,N #101,$110.45
14451078,Pokemon 30th Celebration,Nidoran #87,$1.05
14330017,Pokemon 30th Celebration,Nidorina #88,$0.21
14450986,Pokemon 30th Celebration,Ninetales #10,$1.95
14450996,Pokemon 30th Celebration,Palkia #20,$0.25
14470829,Pokemon 30th Celebration,Palkia LV.X #106,$9.00
14328130,Pokemon 30th Celebration,Pikachu #23,$19.88
14450998,Pokemon 30th Celebration,Pikachu #24,$0.99
14328143,Pokemon 30th Celebration,Pikachu #25,$15.52
14328131,Pokemon 30th Celebration,Pikachu #26,$24.62
14450999,Pokemon 30th Celebration,Pikachu #27,$22.49
14451000,Pokemon 30th Celebration,Pikachu #28,$13.90
14451002,Pokemon 30th Celebration,Pikachu #29,$17.76
14328139,Pokemon 30th Celebration,Pikachu #30,$17.73
14451003,Pokemon 30th Celebration,Pikachu #31,$17.09
14328132,Pokemon 30th Celebration,Pikachu #32,$20.34
14451008,Pokemon 30th Celebration,Pikachu #33,$26.00
14328133,Pokemon 30th Celebration,Pikachu #34,$17.13
14451010,Pokemon 30th Celebration,Pikachu #35,$12.00
14328079,Pokemon 30th Celebration,Pikachu #36,$21.33
14451011,Pokemon 30th Celebration,Pikachu #37,$13.00
14328145,Pokemon 30th Celebration,Pikachu #38,$32.21
14328134,Pokemon 30th Celebration,Pikachu #39,$15.79
14328135,Pokemon 30th Celebration,Pikachu #40,$30.49
14451014,Pokemon 30th Celebration,Pikachu #41,$10.74
14328142,Pokemon 30th Celebration,Pikachu #42,$25.00
14328144,Pokemon 30th Celebration,Pikachu #43,$22.49
14451018,Pokemon 30th Celebration,Pikachu #44,$13.99
14451019,Pokemon 30th Celebration,Pikachu #45,$26.00
14451021,Pokemon 30th Celebration,Pikachu #46,$9.99
14451022,Pokemon 30th Celebration,Pikachu #47,$6.25
14451023,Pokemon 30th Celebration,Pikachu #48,$2.99
14451024,Pokemon 30th Celebration,Pikachu #49,$5.36
14451025,Pokemon 30th Celebration,Pikachu #50,$9.99
14451026,Pokemon 30th Celebration,Pikachu #51,$28.24
14451028,Pokemon 30th Celebration,Pikachu #52,$5.05
14470820,Pokemon 30th Celebration,Pikachu #58,$17.50
14470807,Pokemon 30th Celebration,Pikachu & Zekrom GX #33,$32.47
14328137,Pokemon 30th Celebration,Pikachu ex #149,$420.00
14328136,Pokemon 30th Celebration,Pikachu ex #150,$460.00
14329997,Pokemon 30th Celebration,Pikachu ex #53,$1.00
14329998,Pokemon 30th Celebration,Pikachu ex #54,$11.68
14451034,Pokemon 30th Celebration,Poke Pad #126,$1.95
14328096,Pokemon 30th Celebration,Poster Collection,$44.83
14470818,Pokemon 30th Celebration,Raikou #50,$4.00
14470823,Pokemon 30th Celebration,Rayquaza EX #85,$163.00
14450990,Pokemon 30th Celebration,Reshiram #14,$1.95
14451013,Pokemon 30th Celebration,Salamence ex #109,$1.35
14451071,Pokemon 30th Celebration,Salamence ex #156,$59.91
14470832,Pokemon 30th Celebration,Scizor ex #108,$13.99
14451055,Pokemon 30th Celebration,Scraggy #140,$13.99
14451082,Pokemon 30th Celebration,Scraggy #94,$1.82
14328093,Pokemon 30th Celebration,Sealed Tin: Greninja ex,$49.25
14328092,Pokemon 30th Celebration,Sealed Tin: Sylveon ex,$58.15
14451075,Pokemon 30th Celebration,Seismitoad #84,$0.15
14470831,Pokemon 30th Celebration,Shining Celebi #106,$29.99
14450992,Pokemon 30th Celebration,Slowpoke #16,$1.48
14470814,Pokemon 30th Celebration,Sneasel #25,$7.69
14451027,Pokemon 30th Celebration,Snorlax #119,$3.50
14451006,Pokemon 30th Celebration,Solgaleo #105,$0.27
14470824,Pokemon 30th Celebration,Solgaleo GX #89,$4.50
14451035,Pokemon 30th Celebration,Switch #127,$1.52
14451067,Pokemon 30th Celebration,Sylveon ex #153,$266.55
14330001,Pokemon 30th Celebration,Sylveon ex #71,$9.95
14328102,Pokemon 30th Celebration,Sylveon ex Box,$77.01
14328088,Pokemon 30th Celebration,Tech Sticker Collection: Alolan Exeggutor,$43.92
14328089,Pokemon 30th Celebration,Tech Sticker Collection: Lucario,$47.75
14451040,Pokemon 30th Celebration,Toxel #58,$1.91
14451048,Pokemon 30th Celebration,Toxtricity #134,$16.62
14451041,Pokemon 30th Celebration,Toxtricity #59,$1.05
14451042,Pokemon 30th Celebration,Toxtricity #60,$1.42
14450981,Pokemon 30th Celebration,Tropius #5,$1.06
14451037,Pokemon 30th Celebration,Ultra Ball #128,$2.03
14328114,Pokemon 30th Celebration,Ultra-Premium Collection: Day,$611.79
14328116,Pokemon 30th Celebration,Ultra-Premium Collection: Night,$664.75
14330003,Pokemon 30th Celebration,Umbreon #91,$17.18
14330004,Pokemon 30th Celebration,Umbreon ex #92,$9.95
14451056,Pokemon 30th Celebration,Unown #72,$1.95
14470816,Pokemon 30th Celebration,Uxie #43,$2.93
14450989,Pokemon 30th Celebration,Victini #13,$1.47
14450984,Pokemon 30th Celebration,Vivillon #8,$1.95
14450979,Pokemon 30th Celebration,Volbeat #3,$1.48
14450985,Pokemon 30th Celebration,Vulpix #9,$1.95
14450997,Pokemon 30th Celebration,Wishiwashi #22,$1.98
14451061,Pokemon 30th Celebration,Xerneas #76,$1.02
14451086,Pokemon 30th Celebration,Yveltal #100,$0.09
14451007,Pokemon 30th Celebration,Zacian #106,$1.00
14470835,Pokemon 30th Celebration,Zacian V #138,$8.20
14451009,Pokemon 30th Celebration,Zamazenta #107,$0.25
14451046,Pokemon 30th Celebration,Zapdos #133,$29.99
14329999,Pokemon 30th Celebration,Zapdos #55,$1.95
14451036,Pokemon 30th Celebration,Zekrom #56,$2.25
14330000,Pokemon 30th Celebration,Zeraora #57,$1.91
14451083,Pokemon 30th Celebration,Zoroark #96,$1.95
14451081,Pokemon 30th Celebration,Zorua #95,$1.91
14451085,Pokemon 30th Celebration,Zweilous #98,$1.06
