id,console-name,product-name,loose-price
8873940,Pokemon Ancient Origins,3 Pack Blister: Salamence,$691.50
959087,Pokemon Ancient Origins,Ace Trainer #69,$0.25
10306351,Pokemon Ancient Origins,Ace Trainer [International Challenge Staff] #69,$55.22
7372282,Pokemon Ancient Origins,Ace Trainer [International Challenge] #69,$38.53
5963749,Pokemon Ancient Origins,Ace Trainer [Regional Championships Staff] #69,$28.03
10952244,Pokemon Ancient Origins,Ace Trainer [Regional Championships] #69,$7.56
959175,Pokemon Ancient Origins,Ace Trainer [Reverse Holo] #69,$0.74
959046,Pokemon Ancient Origins,Ampharos EX #27,$4.27
959105,Pokemon Ancient Origins,Ampharos EX #87,$24.99
959088,Pokemon Ancient Origins,Ampharos Spirit Link #70,$0.47
959176,Pokemon Ancient Origins,Ampharos Spirit Link [Reverse Holo] #70,$0.82
959025,Pokemon Ancient Origins,Ariados #6,$0.25
959124,Pokemon Ancient Origins,Ariados [Reverse Holo] #6,$0.41
959050,Pokemon Ancient Origins,Baltoy #31,$0.15
959051,Pokemon Ancient Origins,Baltoy #32,$0.49
959144,Pokemon Ancient Origins,Baltoy [Reverse Holo] #31,$0.39
959145,Pokemon Ancient Origins,Baltoy [Reverse Holo] #32,$1.10
2158357,Pokemon Ancient Origins,Beldum #47,$0.61
2158356,Pokemon Ancient Origins,Beldum [Reverse Holo] #47,$0.77
959023,Pokemon Ancient Origins,Bellossom #4,$0.58
959122,Pokemon Ancient Origins,Bellossom [Reverse Holo] #4,$0.84
2244979,Pokemon Ancient Origins,Booster Box,$5550.68
2244980,Pokemon Ancient Origins,Booster Pack,$82.00
959052,Pokemon Ancient Origins,Claydol #33,$0.58
959146,Pokemon Ancient Origins,Claydol [Reverse Holo] #33,$0.59
959028,Pokemon Ancient Origins,Combee #9,$0.25
959125,Pokemon Ancient Origins,Combee [Reverse Holo] #9,$0.48
959073,Pokemon Ancient Origins,Cottonee #55,$0.29
959163,Pokemon Ancient Origins,Cottonee [Reverse Holo] #55,$1.00
959100,Pokemon Ancient Origins,Dangerous Energy #82,$0.25
959188,Pokemon Ancient Origins,Dangerous Energy [Reverse Holo] #82,$0.50
959089,Pokemon Ancient Origins,Eco Arm #71,$0.28
959177,Pokemon Ancient Origins,Eco Arm [Reverse Holo] #71,$0.28
959081,Pokemon Ancient Origins,Eevee #63,$0.69
959170,Pokemon Ancient Origins,Eevee [Reverse Holo] #63,$2.21
6345977,Pokemon Ancient Origins,Elite Trainer Box,$2827.95
959090,Pokemon Ancient Origins,Energy Recycler #72,$0.57
959178,Pokemon Ancient Origins,Energy Recycler [Reverse Holo] #72,$0.66
959117,Pokemon Ancient Origins,Energy Retrieval #99,$14.00
959033,Pokemon Ancient Origins,Entei #14,$0.74
959034,Pokemon Ancient Origins,Entei #15,$8.08
9146019,Pokemon Ancient Origins,Entei [Cosmos Holo] #14,$4.26
959130,Pokemon Ancient Origins,Entei [Reverse Holo] #14,$1.89
959131,Pokemon Ancient Origins,Entei [Reverse Holo] #15,$8.02
959091,Pokemon Ancient Origins,Faded Town #73,$0.10
959179,Pokemon Ancient Origins,Faded Town [Reverse Holo] #73,$0.77
959032,Pokemon Ancient Origins,Flareon #13,$1.69
6946114,Pokemon Ancient Origins,Flareon [Cosmos Holo] #13,$6.00
959129,Pokemon Ancient Origins,Flareon [Reverse Holo] #13,$3.46
959101,Pokemon Ancient Origins,Flash Energy #83,$0.36
959189,Pokemon Ancient Origins,Flash Energy [Reverse Holo] #83,$0.60
959092,Pokemon Ancient Origins,Forest of Giant Plants #74,$0.47
959180,Pokemon Ancient Origins,Forest of Giant Plants [Reverse Holo] #74,$0.42
959072,Pokemon Ancient Origins,Gardevoir #54,$5.31
9146017,Pokemon Ancient Origins,Gardevoir [Cosmos Holo] #54,$6.99
959162,Pokemon Ancient Origins,Gardevoir [Reverse Holo] #54,$5.00
959075,Pokemon Ancient Origins,Giratina EX #57,$15.66
959111,Pokemon Ancient Origins,Giratina EX #93,$81.71
959021,Pokemon Ancient Origins,Gloom #2,$0.38
959120,Pokemon Ancient Origins,Gloom [Reverse Holo] #2,$1.09
959053,Pokemon Ancient Origins,Golett #34,$0.19
959147,Pokemon Ancient Origins,Golett [Reverse Holo] #34,$0.50
959054,Pokemon Ancient Origins,Golurk #35,$0.53
959060,Pokemon Ancient Origins,Golurk #41,$0.25
959148,Pokemon Ancient Origins,Golurk [Reverse Holo] #35,$3.75
959152,Pokemon Ancient Origins,Golurk [Reverse Holo] #41,$0.27
959078,Pokemon Ancient Origins,Goodra #60,$1.24
959167,Pokemon Ancient Origins,Goodra [Reverse Holo] #60,$1.01
959076,Pokemon Ancient Origins,Goomy #58,$0.35
959165,Pokemon Ancient Origins,Goomy [Reverse Holo] #58,$0.73
959039,Pokemon Ancient Origins,Gyarados #20,$1.91
959040,Pokemon Ancient Origins,Gyarados #21,$28.53
9809226,Pokemon Ancient Origins,Gyarados [Cosmos Holo] #20,$8.00
7752408,Pokemon Ancient Origins,Gyarados [Cosmos Holo] #21,$38.23
959136,Pokemon Ancient Origins,Gyarados [Reverse Holo] #20,$3.75
959137,Pokemon Ancient Origins,Gyarados [Reverse Holo] #21,$31.75
959093,Pokemon Ancient Origins,Hex Maniac #75,$2.86
2390412,Pokemon Ancient Origins,Hex Maniac #75a,$104.98
959181,Pokemon Ancient Origins,Hex Maniac [Reverse Holo] #75,$3.15
959055,Pokemon Ancient Origins,Hoopa EX #36,$4.20
959107,Pokemon Ancient Origins,Hoopa EX #89,$28.49
7084351,Pokemon Ancient Origins,Hoopa EX [Jumbo] #36,$27.56
959064,Pokemon Ancient Origins,Inkay #45,$0.49
959154,Pokemon Ancient Origins,Inkay [Reverse Holo] #45,$0.82
959045,Pokemon Ancient Origins,Jolteon #26,$3.89
959141,Pokemon Ancient Origins,Jolteon [Reverse Holo] #26,$3.46
959071,Pokemon Ancient Origins,Kirlia #53,$0.84
959161,Pokemon Ancient Origins,Kirlia [Reverse Holo] #53,$0.89
959044,Pokemon Ancient Origins,Kyurem EX #25,$4.26
959104,Pokemon Ancient Origins,Kyurem EX #86,$29.00
959035,Pokemon Ancient Origins,Larvesta #16,$0.19
959132,Pokemon Ancient Origins,Larvesta [Reverse Holo] #16,$0.25
959094,Pokemon Ancient Origins,Level Ball #76,$0.29
959182,Pokemon Ancient Origins,Level Ball [Reverse Holo] #76,$1.27
959095,Pokemon Ancient Origins,Lucky Helmet #77,$0.20
959183,Pokemon Ancient Origins,Lucky Helmet [Reverse Holo] #77,$0.99
