id,console-name,product-name,loose-price
842594,Pokemon Aquapolis,Aipom #67,$4.11
2293958,Pokemon Aquapolis,Aipom [Reverse Holo] #67,$18.99
842530,Pokemon Aquapolis,Ampharos #1,$19.99
887937,Pokemon Aquapolis,Ampharos #H1,$118.84
2293892,Pokemon Aquapolis,Ampharos [Reverse Holo] #1,$31.61
842634,Pokemon Aquapolis,Apricorn Forest #118,$4.89
2294009,Pokemon Aquapolis,Apricorn Forest [Reverse Holo] #118,$9.99
842531,Pokemon Aquapolis,Arcanine #2,$55.00
887948,Pokemon Aquapolis,Arcanine #H2,$238.77
2293893,Pokemon Aquapolis,Arcanine [Reverse Holo] #2,$87.64
842532,Pokemon Aquapolis,Ariados #3,$5.99
887959,Pokemon Aquapolis,Ariados #H3,$41.47
2293894,Pokemon Aquapolis,Ariados [Reverse Holo] #3,$15.16
842533,Pokemon Aquapolis,Azumarill #4,$19.49
887963,Pokemon Aquapolis,Azumarill #H4,$90.00
2293895,Pokemon Aquapolis,Azumarill [Reverse Holo] #4,$18.75
842534,Pokemon Aquapolis,Bellossom #5,$15.00
887964,Pokemon Aquapolis,Bellossom #H5,$66.39
2293896,Pokemon Aquapolis,Bellossom [Reverse Holo] #5,$25.00
842572,Pokemon Aquapolis,Bellsprout #45,$8.76
887924,Pokemon Aquapolis,Bellsprout #68,$5.19
2293936,Pokemon Aquapolis,Bellsprout [Reverse Holo] #45,$19.50
2293959,Pokemon Aquapolis,Bellsprout [Reverse Holo] #68,$18.33
842535,Pokemon Aquapolis,Blissey #6,$4.00
887965,Pokemon Aquapolis,Blissey #H6,$60.00
2293897,Pokemon Aquapolis,Blissey [Reverse Holo] #6,$13.42
6149153,Pokemon Aquapolis,Blister Pack,$1825.00
842661,Pokemon Aquapolis,Boost Energy #145,$4.71
2294036,Pokemon Aquapolis,Boost Energy [Reverse Holo] #145,$10.00
2245069,Pokemon Aquapolis,Booster Box,$13766.70
2245070,Pokemon Aquapolis,Booster Pack,$1775.69
842595,Pokemon Aquapolis,Chansey #69,$2.71
2293960,Pokemon Aquapolis,Chansey [Reverse Holo] #69,$21.98
842596,Pokemon Aquapolis,Chinchou #70,$8.00
887925,Pokemon Aquapolis,Chinchou #71,$2.99
2293961,Pokemon Aquapolis,Chinchou [Reverse Holo] #70,$25.07
2293962,Pokemon Aquapolis,Chinchou [Reverse Holo] #71,$17.87
842662,Pokemon Aquapolis,Crystal Energy #146,$3.99
2294037,Pokemon Aquapolis,Crystal Energy [Reverse Holo] #146,$9.99
842597,Pokemon Aquapolis,Cubone #72,$11.25
2293963,Pokemon Aquapolis,Cubone [Reverse Holo] #72,$37.70
842635,Pokemon Aquapolis,Darkness Cube 01 #119,$1.76
2294010,Pokemon Aquapolis,Darkness Cube 01 [Reverse Holo] #119,$4.99
842658,Pokemon Aquapolis,Darkness Energy #142,$6.73
2294033,Pokemon Aquapolis,Darkness Energy [Reverse Holo] #142,$8.25
842573,Pokemon Aquapolis,Dodrio #46,$9.39
2293937,Pokemon Aquapolis,Dodrio [Reverse Holo] #46,$16.25
842598,Pokemon Aquapolis,Doduo #73,$3.03
2293964,Pokemon Aquapolis,Doduo [Reverse Holo] #73,$11.99
842536,Pokemon Aquapolis,Donphan #7,$13.89
2293898,Pokemon Aquapolis,Donphan [Reverse Holo] #7,$15.47
9062184,Pokemon Aquapolis,Drowzee #74B,$3.45
842599,Pokemon Aquapolis,Drowzee #74a,$4.08
2293965,Pokemon Aquapolis,Drowzee [Reverse Holo] #74,$13.25
842600,Pokemon Aquapolis,Eevee #75,$24.00
2293966,Pokemon Aquapolis,Eevee [Reverse Holo] #75,$149.61
842537,Pokemon Aquapolis,Electrode #8,$8.59
887966,Pokemon Aquapolis,Electrode #H7,$73.39
2293899,Pokemon Aquapolis,Electrode [Reverse Holo] #8,$17.95
842538,Pokemon Aquapolis,Elekid #9,$10.29
2293900,Pokemon Aquapolis,Elekid [Reverse Holo] #9,$22.87
842636,Pokemon Aquapolis,Energy Switch #120,$17.75
2294011,Pokemon Aquapolis,Energy Switch [Reverse Holo] #120,$43.02
842539,Pokemon Aquapolis,Entei #10,$27.49
887967,Pokemon Aquapolis,Entei #H8,$118.68
5878915,Pokemon Aquapolis,Entei [Box Topper] #5,$118.51
2293901,Pokemon Aquapolis,Entei [Reverse Holo] #10,$53.55
842540,Pokemon Aquapolis,Espeon #11,$61.50
