id,console-name,product-name,loose-price
925632,Pokemon Arceus,Aerodactyl #13,$2.79
925743,Pokemon Arceus,Aerodactyl [Reverse Holo] #13,$7.16
925719,Pokemon Arceus,Arceus #AR1,$29.24
925720,Pokemon Arceus,Arceus #AR2,$21.01
925721,Pokemon Arceus,Arceus #AR3,$12.00
925722,Pokemon Arceus,Arceus #AR4,$29.37
925723,Pokemon Arceus,Arceus #AR5,$23.25
925724,Pokemon Arceus,Arceus #AR6,$13.46
925725,Pokemon Arceus,Arceus #AR7,$19.95
925726,Pokemon Arceus,Arceus #AR8,$20.13
925727,Pokemon Arceus,Arceus #AR9,$15.00
925713,Pokemon Arceus,Arceus LV. X #94,$37.99
925714,Pokemon Arceus,Arceus LV. X #95,$48.99
925715,Pokemon Arceus,Arceus LV. X #96,$38.28
925671,Pokemon Arceus,Bagon #52,$0.59
925728,Pokemon Arceus,Bagon #SH10,$50.00
925782,Pokemon Arceus,Bagon [Reverse Holo] #52,$2.12
925672,Pokemon Arceus,Beedrill G #53,$0.75
925783,Pokemon Arceus,Beedrill G [Reverse Holo] #53,$2.76
925701,Pokemon Arceus,Beginning Door #82,$1.18
925812,Pokemon Arceus,Beginning Door [Reverse Holo] #82,$3.75
925702,Pokemon Arceus,Bench Shield #83,$0.90
925813,Pokemon Arceus,Bench Shield [Reverse Holo] #83,$1.10
6331441,Pokemon Arceus,Blister Pack,$247.50
2245023,Pokemon Arceus,Booster Box,$4102.78
2245024,Pokemon Arceus,Booster Pack,$245.47
925633,Pokemon Arceus,Bronzong #14,$0.99
925652,Pokemon Arceus,Bronzong #33,$0.45
925744,Pokemon Arceus,Bronzong [Reverse Holo] #14,$1.21
925763,Pokemon Arceus,Bronzong [Reverse Holo] #33,$1.29
925653,Pokemon Arceus,Bronzor #34,$0.58
925673,Pokemon Arceus,Bronzor #54,$0.93
925764,Pokemon Arceus,Bronzor [Reverse Holo] #34,$0.99
925784,Pokemon Arceus,Bronzor [Reverse Holo] #54,$2.63
925703,Pokemon Arceus,Buffer Piece #84,$0.81
925814,Pokemon Arceus,Buffer Piece [Reverse Holo] #84,$1.78
925674,Pokemon Arceus,Buneary #55,$0.76
925785,Pokemon Arceus,Buneary [Reverse Holo] #55,$2.51
925675,Pokemon Arceus,Burmy #56,$0.32
925676,Pokemon Arceus,Burmy #57,$0.61
925677,Pokemon Arceus,Burmy #58,$0.62
925786,Pokemon Arceus,Burmy [Reverse Holo] #56,$2.47
925787,Pokemon Arceus,Burmy [Reverse Holo] #57,$5.27
925788,Pokemon Arceus,Burmy [Reverse Holo] #58,$2.20
925620,Pokemon Arceus,Charizard #1,$37.69
5551260,Pokemon Arceus,Charizard [Cracked Ice] #1,$24.00
925731,Pokemon Arceus,Charizard [Reverse Holo] #1,$39.77
925678,Pokemon Arceus,Charmander #59,$1.71
925789,Pokemon Arceus,Charmander [Reverse Holo] #59,$11.42
925654,Pokemon Arceus,Charmeleon #35,$1.94
925765,Pokemon Arceus,Charmeleon [Reverse Holo] #35,$8.18
925634,Pokemon Arceus,Cherrim #15,$4.46
925745,Pokemon Arceus,Cherrim [Reverse Holo] #15,$6.49
925679,Pokemon Arceus,Cherubi #60,$1.17
925790,Pokemon Arceus,Cherubi [Reverse Holo] #60,$9.08
925680,Pokemon Arceus,Croagunk #61,$0.41
925791,Pokemon Arceus,Croagunk [Reverse Holo] #61,$3.97
925704,Pokemon Arceus,Department Store Girl #85,$1.19
925815,Pokemon Arceus,Department Store Girl [Reverse Holo] #85,$2.25
925711,Pokemon Arceus,Dome Fossil #92,$1.23
925822,Pokemon Arceus,Dome Fossil [Reverse Holo] #92,$3.59
925681,Pokemon Arceus,Electrike #62,$0.33
925682,Pokemon Arceus,Electrike #63,$0.29
925792,Pokemon Arceus,Electrike [Reverse Holo] #62,$2.50
925793,Pokemon Arceus,Electrike [Reverse Holo] #63,$0.89
925705,Pokemon Arceus,Energy Restore #86,$0.62
925816,Pokemon Arceus,Energy Restore [Reverse Holo] #86,$1.60
925706,Pokemon Arceus,Expert Belt #87,$0.87
8597944,Pokemon Arceus,Expert Belt [League] #87,$2.09
925817,Pokemon Arceus,Expert Belt [Reverse Holo] #87,$3.17
925621,Pokemon Arceus,Froslass #2,$4.48
925732,Pokemon Arceus,Froslass [Reverse Holo] #2,$4.89
925655,Pokemon Arceus,Gastly #36,$1.28
925683,Pokemon Arceus,Gastly #64,$0.39
925766,Pokemon Arceus,Gastly [Reverse Holo] #36,$7.74
925794,Pokemon Arceus,Gastly [Reverse Holo] #64,$16.39
925635,Pokemon Arceus,Gengar #16,$23.89
925636,Pokemon Arceus,Gengar #17,$21.60
925716,Pokemon Arceus,Gengar LV. X #97,$118.07
925746,Pokemon Arceus,Gengar [Reverse Holo] #16,$68.14
925747,Pokemon Arceus,Gengar [Reverse Holo] #17,$60.00
925684,Pokemon Arceus,Geodude #65,$0.75
925795,Pokemon Arceus,Geodude [Reverse Holo] #65,$1.81
925637,Pokemon Arceus,Glalie #18,$1.49
925748,Pokemon Arceus,Glalie [Reverse Holo] #18,$2.81
925638,Pokemon Arceus,Golem #19,$2.10
925749,Pokemon Arceus,Golem [Reverse Holo] #19,$5.00
925656,Pokemon Arceus,Graveler #37,$1.19
925767,Pokemon Arceus,Graveler [Reverse Holo] #37,$1.75
925657,Pokemon Arceus,Grovyle #38,$1.15
925658,Pokemon Arceus,Grovyle #39,$1.04
925768,Pokemon Arceus,Grovyle [Reverse Holo] #38,$2.99
925769,Pokemon Arceus,Grovyle [Reverse Holo] #39,$1.44
