id,console-name,product-name,loose-price
11748898,Pokemon Ascended Heroes,2 Pack Blister Collection: Erika,$22.99
11748899,Pokemon Ascended Heroes,2 Pack Blister Collection: Larry,$28.98
11816107,Pokemon Ascended Heroes,Acerola's Mischief #180,$0.18
11816328,Pokemon Ascended Heroes,Acerola's Mischief [Ball] #180,$0.21
11870421,Pokemon Ascended Heroes,Acerola's Mischief [Energy] #180,
11971819,Pokemon Ascended Heroes,Acerola's Mischief [Reverse Holo] #180,$1.98
11816439,Pokemon Ascended Heroes,Air Balloon #181,$0.40
11816110,Pokemon Ascended Heroes,Air Balloon [Ball] #181,$0.25
11870422,Pokemon Ascended Heroes,Air Balloon [Energy] #181,
11971820,Pokemon Ascended Heroes,Air Balloon [Reverse Holo] #181,$2.01
11816112,Pokemon Ascended Heroes,Anthea & Concordia #182,$0.35
11816175,Pokemon Ascended Heroes,Anthea & Concordia #254,$4.64
11816330,Pokemon Ascended Heroes,Anthea & Concordia [Ball] #182,$0.12
11870423,Pokemon Ascended Heroes,Anthea & Concordia [Energy] #182,
11971821,Pokemon Ascended Heroes,Anthea & Concordia [Reverse Holo] #182,$1.34
11816020,Pokemon Ascended Heroes,Azumarill ex #84,$2.00
11816156,Pokemon Ascended Heroes,Banette #234,$13.80
11816404,Pokemon Ascended Heroes,Banette #91,$0.07
11816026,Pokemon Ascended Heroes,Banette [Ball] #91,$0.24
11870424,Pokemon Ascended Heroes,Banette [Energy] #91,$1.69
11815947,Pokemon Ascended Heroes,Bayleef #9,$0.30
11816242,Pokemon Ascended Heroes,Bayleef [Ball] #9,$0.30
11870425,Pokemon Ascended Heroes,Bayleef [Energy] #9,$2.64
11815951,Pokemon Ascended Heroes,Beautifly #13,$0.84
11816142,Pokemon Ascended Heroes,Beautifly #219,$9.03
11816245,Pokemon Ascended Heroes,Beautifly [Ball] #13,$0.40
11870426,Pokemon Ascended Heroes,Beautifly [Energy] #13,$1.86
11830147,Pokemon Ascended Heroes,Bisharp #147,$0.11
11830148,Pokemon Ascended Heroes,Bisharp [Ball] #147,$0.56
11870428,Pokemon Ascended Heroes,Bisharp [Energy] #147,$1.98
11816178,Pokemon Ascended Heroes,Black Belt's Training #255,$3.81
11748912,Pokemon Ascended Heroes,Booster Bundle,$71.00
11748915,Pokemon Ascended Heroes,Booster Pack,$15.16
11816111,Pokemon Ascended Heroes,Boss's Orders: Corbeau #183,$0.50
