id,console-name,product-name,loose-price
3508394,Pokemon Astral Radiance,Abomasnow #TG01,$2.32
4134552,Pokemon Astral Radiance,Absol #97,$1.57
8212793,Pokemon Astral Radiance,Absol [Cosmos Holo] #97,$1.52
3489596,Pokemon Astral Radiance,Absol [Holo] #97,$1.00
3489797,Pokemon Astral Radiance,Absol [Reverse Holo] #97,$0.66
3489634,Pokemon Astral Radiance,Adaman #135,$0.21
3489680,Pokemon Astral Radiance,Adaman #181,$3.30
3489699,Pokemon Astral Radiance,Adaman #199,$4.37
8228040,Pokemon Astral Radiance,Adaman [Holo] #135,$1.30
3489828,Pokemon Astral Radiance,Adaman [Reverse Holo] #135,$0.27
3508416,Pokemon Astral Radiance,Allister #TG24,$5.00
3489565,Pokemon Astral Radiance,Azelf #67,$0.20
3489773,Pokemon Astral Radiance,Azelf [Reverse Holo] #67,$0.47
4602700,Pokemon Astral Radiance,Back to School Eevee Eraser 2-Pack Blister,$55.00
4602699,Pokemon Astral Radiance,Back to School Pikachu Eraser 2-Pack Blister,
3489533,Pokemon Astral Radiance,Barboach #35,$0.10
3489745,Pokemon Astral Radiance,Barboach [Reverse Holo] #35,$0.24
3489609,Pokemon Astral Radiance,Bastiodon #110,$0.50
3489807,Pokemon Astral Radiance,Bastiodon [Reverse Holo] #110,$0.27
3508417,Pokemon Astral Radiance,Bea #TG25,$4.70
3489499,Pokemon Astral Radiance,Beedrill V #1,$1.25
3489659,Pokemon Astral Radiance,Beedrill V #160,$3.52
3489660,Pokemon Astral Radiance,Beedrill V #161,$38.24
3489545,Pokemon Astral Radiance,Bergmite #47,$0.13
3489756,Pokemon Astral Radiance,Bergmite [Reverse Holo] #47,$0.17
3489615,Pokemon Astral Radiance,Bisharp #116,$0.13
3489812,Pokemon Astral Radiance,Bisharp [Reverse Holo] #116,$0.17
3490294,Pokemon Astral Radiance,Booster Box,$623.00
3490293,Pokemon Astral Radiance,Booster Pack,$8.91
3489611,Pokemon Astral Radiance,Bronzong #112,$0.11
3508403,Pokemon Astral Radiance,Bronzong #TG11,$2.50
3489809,Pokemon Astral Radiance,Bronzong [Reverse Holo] #112,$0.25
3489610,Pokemon Astral Radiance,Bronzor #111,$0.07
3489808,Pokemon Astral Radiance,Bronzor [Reverse Holo] #111,$0.14
3509639,Pokemon Astral Radiance,Build & Battle Box,$34.99
7307259,Pokemon Astral Radiance,Build & Battle Display Box,$263.88
3509638,Pokemon Astral Radiance,Build & Battle Stadium,$94.43
3489635,Pokemon Astral Radiance,Canceling Cologne #136,$0.19
3489829,Pokemon Astral Radiance,Canceling Cologne [Reverse Holo] #136,$0.27
3489628,Pokemon Astral Radiance,Chatot #129,$0.15
3489824,Pokemon Astral Radiance,Chatot [Reverse Holo] #129,$0.21
3489711,Pokemon Astral Radiance,Choice Belt #211,$2.51
3489636,Pokemon Astral Radiance,Choy #137,$0.10
3489681,Pokemon Astral Radiance,Choy #182,$1.49
3489700,Pokemon Astral Radiance,Choy #200,$3.80
3489830,Pokemon Astral Radiance,Choy [Reverse Holo] #137,$0.16
3489509,Pokemon Astral Radiance,Combee #11,$0.11
3489725,Pokemon Astral Radiance,Combee [Reverse Holo] #11,$0.21
3489574,Pokemon Astral Radiance,Cranidos #76,$0.16
3489780,Pokemon Astral Radiance,Cranidos [Reverse Holo] #76,$0.25
3489637,Pokemon Astral Radiance,Cyllene #138,$0.15
3489682,Pokemon Astral Radiance,Cyllene #183,$1.60
3489701,Pokemon Astral Radiance,Cyllene #201,$3.90
6658428,Pokemon Astral Radiance,Cyllene [League Stamp] #138,
3489831,Pokemon Astral Radiance,Cyllene [Reverse Holo] #138,$0.25
