id,console-name,product-name,loose-price
8654839,Pokemon BREAKpoint,3 Card Pack,$8.50
959553,Pokemon BREAKpoint,Aegislash #62,$0.89
959668,Pokemon BREAKpoint,Aegislash [Reverse Holo] #62,$0.80
959587,Pokemon BREAKpoint,All-Night Party #96,$1.87
959695,Pokemon BREAKpoint,All-Night Party [Reverse Holo] #96,$14.19
959502,Pokemon BREAKpoint,Arcanine #11,$1.34
959625,Pokemon BREAKpoint,Arcanine [Reverse Holo] #11,$3.69
959576,Pokemon BREAKpoint,Aromatisse #85,$0.53
959686,Pokemon BREAKpoint,Aromatisse [Reverse Holo] #85,$0.80
959493,Pokemon BREAKpoint,Bayleef #2,$1.09
5401909,Pokemon BREAKpoint,Bayleef [League Promo] #2,$3.29
959616,Pokemon BREAKpoint,Bayleef [Reverse Holo] #2,$2.41
959539,Pokemon BREAKpoint,Blitzle #48,$0.20
959655,Pokemon BREAKpoint,Blitzle [Reverse Holo] #48,$1.26
2244975,Pokemon BREAKpoint,Booster Box,$2549.72
2244976,Pokemon BREAKpoint,Booster Pack,$22.28
959588,Pokemon BREAKpoint,Bursting Balloon #97,$0.25
959696,Pokemon BREAKpoint,Bursting Balloon [Reverse Holo] #97,$0.50
959504,Pokemon BREAKpoint,Camerupt #13,$0.31
959627,Pokemon BREAKpoint,Camerupt [Reverse Holo] #13,$0.50
959492,Pokemon BREAKpoint,Chikorita #1,$0.54
9489252,Pokemon BREAKpoint,Chikorita [League] #1,$6.85
959614,Pokemon BREAKpoint,Chikorita [Reverse Holo] #1,$0.67
959573,Pokemon BREAKpoint,Clefable #82,$0.99
959684,Pokemon BREAKpoint,Clefable [Reverse Holo] #82,$1.00
959572,Pokemon BREAKpoint,Clefairy #81,$1.45
959683,Pokemon BREAKpoint,Clefairy [Reverse Holo] #81,$6.75
959515,Pokemon BREAKpoint,Cloyster #24,$0.48
959636,Pokemon BREAKpoint,Cloyster [Reverse Holo] #24,$1.47
959520,Pokemon BREAKpoint,Corsola #29,$0.29
959639,Pokemon BREAKpoint,Corsola [Reverse Holo] #29,$0.56
959609,Pokemon BREAKpoint,Darkrai EX #118,$28.00
959565,Pokemon BREAKpoint,Darkrai EX #74,$4.99
959589,Pokemon BREAKpoint,Delinquent #98,$0.50
2423641,Pokemon BREAKpoint,Delinquent #98a,$6.94
2390411,Pokemon BREAKpoint,Delinquent #98b,$44.88
959697,Pokemon BREAKpoint,Delinquent [Reverse Holo] #98,$0.69
959552,Pokemon BREAKpoint,Doublade #61,$0.28
959667,Pokemon BREAKpoint,Doublade [Reverse Holo] #61,$0.50
959577,Pokemon BREAKpoint,Dragalge #86,$0.96
959687,Pokemon BREAKpoint,Dragalge [Reverse Holo] #86,$0.98
959545,Pokemon BREAKpoint,Drapion #54,$0.48
959660,Pokemon BREAKpoint,Drapion [Reverse Holo] #54,$0.68
959541,Pokemon BREAKpoint,Drowzee #50,$0.23
959657,Pokemon BREAKpoint,Drowzee [Reverse Holo] #50,$0.47
959527,Pokemon BREAKpoint,Ducklett #36,$0.35
959645,Pokemon BREAKpoint,Ducklett [Reverse Holo] #36,$0.48
959581,Pokemon BREAKpoint,Dunsparce #90,$0.25
959690,Pokemon BREAKpoint,Dunsparce [Reverse Holo] #90,$0.38
959500,Pokemon BREAKpoint,Durant #9,$0.22
959623,Pokemon BREAKpoint,Durant [Reverse Holo] #9,$0.59
959533,Pokemon BREAKpoint,Electabuzz #42,$0.15
959650,Pokemon BREAKpoint,Electabuzz [Reverse Holo] #42,$1.41
959534,Pokemon BREAKpoint,Electivire #43,$0.25
959651,Pokemon BREAKpoint,Electivire [Reverse Holo] #43,$1.02
4780182,Pokemon BREAKpoint,Elite Trainer Box,$736.95
959505,Pokemon BREAKpoint,Emboar EX #14,$2.26
959608,Pokemon BREAKpoint,Espeon EX #117,$55.78
959543,Pokemon BREAKpoint,Espeon EX #52,$16.33
959549,Pokemon BREAKpoint,Espurr #58,$0.99
959664,Pokemon BREAKpoint,Espurr [Reverse Holo] #58,$1.28
959570,Pokemon BREAKpoint,Ferroseed #79,$0.10
959681,Pokemon BREAKpoint,Ferroseed [Reverse Holo] #79,$0.25
959571,Pokemon BREAKpoint,Ferrothorn #80,$0.30
959682,Pokemon BREAKpoint,Ferrothorn [Reverse Holo] #80,$0.41
959590,Pokemon BREAKpoint,Fighting Fury Belt #99,$1.99
959698,Pokemon BREAKpoint,Fighting Fury Belt [Reverse Holo] #99,$2.94
959529,Pokemon BREAKpoint,Froakie #38,$0.34
959647,Pokemon BREAKpoint,Froakie [Reverse Holo] #38,$0.80
959530,Pokemon BREAKpoint,Frogadier #39,$0.45
959648,Pokemon BREAKpoint,Frogadier [Reverse Holo] #39,$1.66
959586,Pokemon BREAKpoint,Furfrou #95,$0.20
959694,Pokemon BREAKpoint,Furfrou [Reverse Holo] #95,$0.50
959560,Pokemon BREAKpoint,Gabite #69,$0.45
959674,Pokemon BREAKpoint,Gabite [Reverse Holo] #69,$0.99
959548,Pokemon BREAKpoint,Garbodor #57,$1.00
959663,Pokemon BREAKpoint,Garbodor [Reverse Holo] #57,$1.50
959561,Pokemon BREAKpoint,Garchomp #70,$2.47
959675,Pokemon BREAKpoint,Garchomp [Reverse Holo] #70,$2.96
959559,Pokemon BREAKpoint,Gible #68,$0.27
959673,Pokemon BREAKpoint,Gible [Reverse Holo] #68,$0.88
959584,Pokemon BREAKpoint,Glameow #93,$0.17
959692,Pokemon BREAKpoint,Glameow [Reverse Holo] #93,$0.50
959508,Pokemon BREAKpoint,Golduck #17,$0.50
959509,Pokemon BREAKpoint,Golduck BREAK #18,$3.36
959630,Pokemon BREAKpoint,Golduck [Reverse Holo] #17,$0.77
959591,Pokemon BREAKpoint,Great Ball #100,$0.24
959699,Pokemon BREAKpoint,Great Ball [Reverse Holo] #100,$0.60
959531,Pokemon BREAKpoint,Greninja #40,$2.29
959532,Pokemon BREAKpoint,Greninja BREAK #41,$10.46
5705291,Pokemon BREAKpoint,Greninja [1st Place League] #40,$69.63
6396932,Pokemon BREAKpoint,Greninja [2nd Place League] #40,$19.36
6392471,Pokemon BREAKpoint,Greninja [3rd Place League] #40,$16.99
6135472,Pokemon BREAKpoint,Greninja [4th Place League] #40,$14.55
7222063,Pokemon BREAKpoint,Greninja [Cracked Ice Holo] #40,$5.69
959649,Pokemon BREAKpoint,Greninja [Reverse Holo] #40,$4.29
959501,Pokemon BREAKpoint,Growlithe #10,$0.64
959624,Pokemon BREAKpoint,Growlithe [Reverse Holo] #10,$0.50
959605,Pokemon BREAKpoint,Gyarados EX #114,$63.48
959615,Pokemon BREAKpoint,Gyarados EX #123,$100.00
959517,Pokemon BREAKpoint,Gyarados EX #26,$14.23
959592,Pokemon BREAKpoint,Gyarados Spirit Link #101,$0.61
959700,Pokemon BREAKpoint,Gyarados Spirit Link [Reverse Holo] #101,$3.99
959506,Pokemon BREAKpoint,Heatmor #15,$0.17
959628,Pokemon BREAKpoint,Heatmor [Reverse Holo] #15,$0.43
959612,Pokemon BREAKpoint,Ho-Oh EX #121,$30.11
959583,Pokemon BREAKpoint,Ho-Oh EX #92,$5.00
959551,Pokemon BREAKpoint,Honedge #60,$0.25
