id,console-name,product-name,loose-price
959228,Pokemon BREAKthrough,Abomasnow #40,$0.66
959388,Pokemon BREAKthrough,Abomasnow [Reverse Holo] #40,$0.80
959295,Pokemon BREAKthrough,Aromatisse #106,$0.54
959446,Pokemon BREAKthrough,Aromatisse [Reverse Holo] #106,$1.72
959322,Pokemon BREAKthrough,Assault Vest #133,$0.17
959472,Pokemon BREAKthrough,Assault Vest [Reverse Holo] #133,$1.06
959297,Pokemon BREAKthrough,Axew #108,$0.26
959298,Pokemon BREAKthrough,Axew #109,$0.35
959448,Pokemon BREAKthrough,Axew [Reverse Holo] #108,$1.50
959449,Pokemon BREAKthrough,Axew [Reverse Holo] #109,$1.20
959263,Pokemon BREAKthrough,Beheeyem #74,$0.38
959417,Pokemon BREAKthrough,Beheeyem [Reverse Holo] #74,$1.14
2244977,Pokemon BREAKthrough,Booster Box,$3150.00
2244978,Pokemon BREAKthrough,Booster Pack,$12.65
959214,Pokemon BREAKthrough,Braixen #26,$0.52
959376,Pokemon BREAKthrough,Braixen [Reverse Holo] #26,$0.72
959319,Pokemon BREAKthrough,Braviary #130,$0.36
959469,Pokemon BREAKthrough,Braviary [Reverse Holo] #130,$1.22
959323,Pokemon BREAKthrough,Brigette #134,$1.08
959350,Pokemon BREAKthrough,Brigette #161,$21.83
959473,Pokemon BREAKthrough,Brigette [Reverse Holo] #134,$2.50
959285,Pokemon BREAKthrough,Bronzong #96,$0.97
959437,Pokemon BREAKthrough,Bronzong [Reverse Holo] #96,$1.32
959284,Pokemon BREAKthrough,Bronzor #95,$0.20
959436,Pokemon BREAKthrough,Bronzor [Reverse Holo] #95,$0.39
959324,Pokemon BREAKthrough,Buddy-Buddy Rescue #135,$0.20
959474,Pokemon BREAKthrough,Buddy-Buddy Rescue [Reverse Holo] #135,$1.22
959340,Pokemon BREAKthrough,Burning Energy #151,$1.72
959490,Pokemon BREAKthrough,Burning Energy [Reverse Holo] #151,$2.99
959192,Pokemon BREAKthrough,Cacnea #4,$0.92
