id,console-name,product-name,loose-price
2368846,Pokemon Base Set 2,2-Player CD-ROM Starter Set,$95.33
12001084,Pokemon Base Set 2,4-Pack Blister Pack - WOTC,
641868,Pokemon Base Set 2,Abra #65,$0.76
643564,Pokemon Base Set 2,Alakazam #1,$26.34
641836,Pokemon Base Set 2,Arcanine #33,$2.10
641824,Pokemon Base Set 2,Beedrill #21,$2.87
641869,Pokemon Base Set 2,Bellsprout #66,$0.49
641920,Pokemon Base Set 2,Bill #118,$0.39
641805,Pokemon Base Set 2,Blastoise #2,$61.91
3269420,Pokemon Base Set 2,Booster Box,$12420.00
3269421,Pokemon Base Set 2,Booster Pack,$342.15
641870,Pokemon Base Set 2,Bulbasaur #67,$2.12
641837,Pokemon Base Set 2,Butterfree #34,$1.95
641871,Pokemon Base Set 2,Caterpie #68,$0.83
641806,Pokemon Base Set 2,Chansey #3,$11.99
641807,Pokemon Base Set 2,Charizard #4,$263.72
641872,Pokemon Base Set 2,Charmander #69,$1.40
641838,Pokemon Base Set 2,Charmeleon #35,$1.36
641808,Pokemon Base Set 2,Clefable #5,$13.76
641809,Pokemon Base Set 2,Clefairy #6,$9.24
641903,Pokemon Base Set 2,Computer Search #101,$2.66
641873,Pokemon Base Set 2,Cubone #70,$1.00
641911,Pokemon Base Set 2,Defender #109,$0.47
641839,Pokemon Base Set 2,Dewgong #36,$1.80
641874,Pokemon Base Set 2,Diglett #71,$0.78
641840,Pokemon Base Set 2,Dodrio #37,$1.60
641875,Pokemon Base Set 2,Doduo #72,$0.95
641926,Pokemon Base Set 2,Double Colorless Energy #124,$2.33
641825,Pokemon Base Set 2,Dragonair #22,$8.00
641841,Pokemon Base Set 2,Dratini #38,$1.11
641876,Pokemon Base Set 2,Drowzee #73,$0.73
641826,Pokemon Base Set 2,Dugtrio #23,$3.00
641827,Pokemon Base Set 2,Electabuzz #24,$3.04
641828,Pokemon Base Set 2,Electrode #25,$3.42
641921,Pokemon Base Set 2,Energy Removal #119,$0.35
641912,Pokemon Base Set 2,Energy Retrieval #110,$0.50
641877,Pokemon Base Set 2,Exeggcute #74,$0.55
641842,Pokemon Base Set 2,Exeggutor #39,$1.49
641843,Pokemon Base Set 2,Farfetch'd #40,$0.80
641844,Pokemon Base Set 2,Fearow #41,$1.33
641927,Pokemon Base Set 2,Fighting Energy #125,$0.37
641928,Pokemon Base Set 2,Fire Energy #126,$0.72
641913,Pokemon Base Set 2,Full Heal #111,$0.47
641878,Pokemon Base Set 2,Gastly #75,$0.56
641879,Pokemon Base Set 2,Goldeen #76,$0.80
641929,Pokemon Base Set 2,Grass Energy #127,$0.24
641845,Pokemon Base Set 2,Growlithe #42,$1.33
641922,Pokemon Base Set 2,Gust of Wind #120,$0.50
641810,Pokemon Base Set 2,Gyarados #7,$18.25
641846,Pokemon Base Set 2,Haunter #43,$1.49
641811,Pokemon Base Set 2,Hitmonchan #8,$14.10
641904,Pokemon Base Set 2,Imposter Professor Oak #102,$2.58
641905,Pokemon Base Set 2,Item Finder #103,$6.03
641847,Pokemon Base Set 2,Ivysaur #44,$2.41
641880,Pokemon Base Set 2,Jigglypuff #77,$1.67
641848,Pokemon Base Set 2,Jynx #45,$1.00
641849,Pokemon Base Set 2,Kadabra #46,$1.36
641850,Pokemon Base Set 2,Kakuna #47,$1.15
641829,Pokemon Base Set 2,Kangaskhan #26,$3.56
641906,Pokemon Base Set 2,Lass #104,$2.99
641851,Pokemon Base Set 2,Lickitung #48,$1.60
641930,Pokemon Base Set 2,Lightning Energy #128,$0.32
641852,Pokemon Base Set 2,Machoke #49,$0.72
641881,Pokemon Base Set 2,Machop #78,$0.78
641853,Pokemon Base Set 2,Magikarp #50,$1.65
641854,Pokemon Base Set 2,Magmar #51,$1.27
641882,Pokemon Base Set 2,Magnemite #79,$0.71
641812,Pokemon Base Set 2,Magneton #9,$13.00
641914,Pokemon Base Set 2,Maintenance #112,$0.96
641855,Pokemon Base Set 2,Marowak #52,$1.91
641883,Pokemon Base Set 2,Meowth #80,$0.99
641884,Pokemon Base Set 2,Metapod #81,$0.70
641813,Pokemon Base Set 2,Mewtwo #10,$28.04
641830,Pokemon Base Set 2,Mr. Mime #27,$4.99
641814,Pokemon Base Set 2,Nidoking #11,$16.49
641815,Pokemon Base Set 2,Nidoqueen #12,$17.65
641885,Pokemon Base Set 2,Nidoran #82,$0.73
2383202,Pokemon Base Set 2,Nidoran #83,$0.80
641856,Pokemon Base Set 2,Nidorina #53,$1.18
641857,Pokemon Base Set 2,Nidorino #54,$1.44
641816,Pokemon Base Set 2,Ninetales #13,$16.09
641886,Pokemon Base Set 2,Onix #84,$1.00
641887,Pokemon Base Set 2,Paras #85,$0.50
641858,Pokemon Base Set 2,Parasect #55,$1.20
641859,Pokemon Base Set 2,Persian #56,$1.64
641817,Pokemon Base Set 2,Pidgeot #14,$17.56
641831,Pokemon Base Set 2,Pidgeotto #28,$4.24
