id,console-name,product-name,loose-price
2368803,Pokemon Base Set,2-Player Starter Set,$199.00
630456,Pokemon Base Set,Abra #43,$1.45
9138735,Pokemon Base Set,Abra [1999-2000] #43,$1.85
715637,Pokemon Base Set,Abra [1st Edition] #43,$19.78
715734,Pokemon Base Set,Abra [Shadowless] #43,$3.00
630414,Pokemon Base Set,Alakazam #1,$29.73
7599149,Pokemon Base Set,Alakazam [1999-2000] #1,$28.83
715590,Pokemon Base Set,Alakazam [1st Edition] #1,$378.32
715692,Pokemon Base Set,Alakazam [Shadowless] #1,$85.00
630436,Pokemon Base Set,Arcanine #23,$3.00
7456074,Pokemon Base Set,Arcanine [1999-2000] #23,$9.32
715612,Pokemon Base Set,Arcanine [1st Edition] #23,$79.99
715714,Pokemon Base Set,Arcanine [Shadowless] #23,$10.00
630430,Pokemon Base Set,Beedrill #17,$3.86
9138728,Pokemon Base Set,Beedrill [1999-2000] #17,$8.37
715606,Pokemon Base Set,Beedrill [1st Edition] #17,$83.93
715708,Pokemon Base Set,Beedrill [Shadowless] #17,$12.99
630504,Pokemon Base Set,Bill #91,$1.19
9138765,Pokemon Base Set,Bill [1999-2000] #91,$2.21
715680,Pokemon Base Set,Bill [1st Edition] #91,$11.95
5836057,Pokemon Base Set,Bill [Shadowless] #91,$2.74
4723127,Pokemon Base Set,Blackout,$285.64
630415,Pokemon Base Set,Blastoise #2,$81.06
7249889,Pokemon Base Set,Blastoise [1999-2000] #2,$110.00
715591,Pokemon Base Set,Blastoise [1st Edition] #2,$1181.80
715693,Pokemon Base Set,Blastoise [Shadowless] #2,$191.20
4536070,Pokemon Base Set,Blastoise [Stage Error] #2,$119.95
2365260,Pokemon Base Set,Blastoise [Trainer Deck B] #2,$1750.00
5927156,Pokemon Base Set,Blister Pack,$903.50
6948293,Pokemon Base Set,Blister Pack [1st Edition],$9000.00
6948306,Pokemon Base Set,Blister Pack [Shadowless],$2150.00
2189364,Pokemon Base Set,Booster Box,$26750.00
2368436,Pokemon Base Set,Booster Box [1st Edition],$93025.00
2189363,Pokemon Base Set,Booster Pack,$551.75
2189365,Pokemon Base Set,Booster Pack [1st Edition],$5121.78
6245979,Pokemon Base Set,Booster Pack [Shadowless],$1112.50
3465887,Pokemon Base Set,Booster Pack [Triangle Error],$621.11
4723126,Pokemon Base Set,Brushfire,$271.31
630457,Pokemon Base Set,Bulbasaur #44,$2.74
7851545,Pokemon Base Set,Bulbasaur [1999-2000] #44,$6.66
715632,Pokemon Base Set,Bulbasaur [1st Edition] #44,$152.05
715735,Pokemon Base Set,Bulbasaur [Shadowless] #44,$8.50
630458,Pokemon Base Set,Caterpie #45,$1.50
9138736,Pokemon Base Set,Caterpie [1999-2000] #45,$3.13
715633,Pokemon Base Set,Caterpie [1st Edition] #45,$37.30
715736,Pokemon Base Set,Caterpie [Shadowless] #45,$4.97
630416,Pokemon Base Set,Chansey #3,$13.99
7718784,Pokemon Base Set,Chansey [1999-2000] #3,$12.03
715592,Pokemon Base Set,Chansey [1st Edition] #3,$224.83
715694,Pokemon Base Set,Chansey [Shadowless] #3,$50.03
630417,Pokemon Base Set,Charizard #4,$332.50
7096109,Pokemon Base Set,Charizard [1999-2000] #4,$328.51
715593,Pokemon Base Set,Charizard [1st Edition] #4,$5551.08
7307451,Pokemon Base Set,Charizard [Black Dot Error] #4,$494.12
715695,Pokemon Base Set,Charizard [Shadowless] #4,$850.00
630459,Pokemon Base Set,Charmander #46,$1.93
7418436,Pokemon Base Set,Charmander [1999-2000] #46,$5.01
715634,Pokemon Base Set,Charmander [1st Edition] #46,$99.00
715737,Pokemon Base Set,Charmander [Shadowless] #46,$4.20
630437,Pokemon Base Set,Charmeleon #24,$2.57
9082012,Pokemon Base Set,Charmeleon [1999-2000] #24,$4.75
715613,Pokemon Base Set,Charmeleon [1st Edition] #24,$72.50
715715,Pokemon Base Set,Charmeleon [Shadowless] #24,$5.11
630418,Pokemon Base Set,Clefairy #5,$15.01
630483,Pokemon Base Set,Clefairy Doll #70,$5.24
7918797,Pokemon Base Set,Clefairy Doll [1999-2000] #70,$12.67
715659,Pokemon Base Set,Clefairy Doll [1st Edition] #70,$42.50
3839426,Pokemon Base Set,Clefairy Doll [Shadowless] #70,$11.00
6948238,Pokemon Base Set,Clefairy [1999-2000] #5,$15.68
715594,Pokemon Base Set,Clefairy [1st Edition] #5,$229.50
715696,Pokemon Base Set,Clefairy [Shadowless] #5,$71.00
630484,Pokemon Base Set,Computer Search #71,$4.49
9138752,Pokemon Base Set,Computer Search [1999-2000] #71,$5.44
715660,Pokemon Base Set,Computer Search [1st Edition] #71,$97.49
4196417,Pokemon Base Set,Computer Search [Shadowless] #71,$5.82
2386886,Pokemon Base Set,Computer Search [Trainer Deck B] #71,$225.00
630493,Pokemon Base Set,Defender #80,$2.70
7845263,Pokemon Base Set,Defender [1999-2000] #80,$5.37
715669,Pokemon Base Set,Defender [1st Edition] #80,$16.00
4035079,Pokemon Base Set,Defender [Shadowless] #80,$2.75
2386894,Pokemon Base Set,Defender [Trainer Deck A] #80,$71.00
630485,Pokemon Base Set,Devolution Spray #72,$5.63
9138753,Pokemon Base Set,Devolution Spray [1999-2000] #72,$6.99
715661,Pokemon Base Set,Devolution Spray [1st Edition] #72,$24.09
3951785,Pokemon Base Set,Devolution Spray [Shadowless] #72,$8.29
630438,Pokemon Base Set,Dewgong #25,$2.79
7374202,Pokemon Base Set,Dewgong [1999-2000] #25,$5.09
715614,Pokemon Base Set,Dewgong [1st Edition] #25,$18.49
715716,Pokemon Base Set,Dewgong [Shadowless] #25,$5.75
630460,Pokemon Base Set,Diglett #47,$1.49
9138737,Pokemon Base Set,Diglett [1999-2000] #47,$2.93
715635,Pokemon Base Set,Diglett [1st Edition] #47,$17.02
4388133,Pokemon Base Set,Diglett [Fight Symbol Error] #47,$13.69
715738,Pokemon Base Set,Diglett [Shadowless] #47,$1.99
630461,Pokemon Base Set,Doduo #48,$1.97
9138738,Pokemon Base Set,Doduo [1999-2000] #48,$2.45
715636,Pokemon Base Set,Doduo [1st Edition] #48,$14.66
715739,Pokemon Base Set,Doduo [Shadowless] #48,$2.97
630509,Pokemon Base Set,Double Colorless Energy #96,$3.36
10341657,Pokemon Base Set,Double Colorless Energy [1999-2000] #96,$4.30
715685,Pokemon Base Set,Double Colorless Energy [1st Edition] #96,$23.00
4188903,Pokemon Base Set,Double Colorless Energy [Shadowless] #96,$9.11
630431,Pokemon Base Set,Dragonair #18,$7.99
9138729,Pokemon Base Set,Dragonair [1999-2000] #18,$20.99
715607,Pokemon Base Set,Dragonair [1st Edition] #18,$173.56
715709,Pokemon Base Set,Dragonair [Shadowless] #18,$24.13
630439,Pokemon Base Set,Dratini #26,$2.31
9138731,Pokemon Base Set,Dratini [1999-2000] #26,$3.56
715615,Pokemon Base Set,Dratini [1st Edition] #26,$48.18
715717,Pokemon Base Set,Dratini [Shadowless] #26,$3.42
630462,Pokemon Base Set,Drowzee #49,$1.54
9138739,Pokemon Base Set,Drowzee [1999-2000] #49,$1.32
715638,Pokemon Base Set,Drowzee [1st Edition] #49,$18.28
715740,Pokemon Base Set,Drowzee [Shadowless] #49,$2.51
630432,Pokemon Base Set,Dugtrio #19,$5.50
9127501,Pokemon Base Set,Dugtrio [1999-2000] #19,$5.56
715608,Pokemon Base Set,Dugtrio [1st Edition] #19,$39.38
715710,Pokemon Base Set,Dugtrio [Shadowless] #19,$12.77
630433,Pokemon Base Set,Electabuzz #20,$5.80
7719406,Pokemon Base Set,Electabuzz [1999-2000] #20,$10.25
715609,Pokemon Base Set,Electabuzz [1st Edition] #20,$57.36
715711,Pokemon Base Set,Electabuzz [Shadowless] #20,$14.76
630434,Pokemon Base Set,Electrode #21,$5.00
8030736,Pokemon Base Set,Electrode [1999-2000] #21,$6.00
715610,Pokemon Base Set,Electrode [1st Edition] #21,$40.49
715712,Pokemon Base Set,Electrode [Shadowless] #21,$9.21
