id,console-name,product-name,loose-price
1673287,Pokemon Battle Styles,Aegislash #108,$0.25
1673288,Pokemon Battle Styles,Aegislash [Holo] #107,$0.25
1725079,Pokemon Battle Styles,Aegislash [Reverse Holo] #107,$0.32
1725080,Pokemon Battle Styles,Aegislash [Reverse Holo] #108,$0.25
1673237,Pokemon Battle Styles,Baltoy #57,$0.10
1725038,Pokemon Battle Styles,Baltoy [Reverse Holo] #57,$0.15
1673182,Pokemon Battle Styles,Bellsprout #1,$0.10
1724990,Pokemon Battle Styles,Bellsprout [Reverse Holo] #1,$0.29
1673284,Pokemon Battle Styles,Bisharp #104,$0.07
1725076,Pokemon Battle Styles,Bisharp [Reverse Holo] #104,$0.25
3399675,Pokemon Battle Styles,Blastoise VMAX Battle Box,$85.00
1673198,Pokemon Battle Styles,Blipbug #17,$0.08
1725005,Pokemon Battle Styles,Blipbug [Reverse Holo] #17,$0.18
7023804,Pokemon Battle Styles,Blister Pack,$12.25
1673233,Pokemon Battle Styles,Boltund #53,$0.20
1725034,Pokemon Battle Styles,Boltund [Reverse Holo] #53,$0.40
2189387,Pokemon Battle Styles,Booster Box,$250.00
2189386,Pokemon Battle Styles,Booster Pack,$8.13
1673298,Pokemon Battle Styles,Bouffalant #118,$0.15
1725087,Pokemon Battle Styles,Bouffalant [Reverse Holo] #118,$0.16
1673282,Pokemon Battle Styles,Bronzong #102,$0.21
1725074,Pokemon Battle Styles,Bronzong [Reverse Holo] #102,$0.25
1673281,Pokemon Battle Styles,Bronzor #101,$0.10
1725073,Pokemon Battle Styles,Bronzor [Reverse Holo] #101,$0.20
1673301,Pokemon Battle Styles,Bruno #121,$0.12
1673338,Pokemon Battle Styles,Bruno #158,$2.72
1673352,Pokemon Battle Styles,Bruno #172,$5.39
1725089,Pokemon Battle Styles,Bruno [Reverse Holo] #121,$0.16
1673224,Pokemon Battle Styles,Bruxish #43,$0.14
1725026,Pokemon Battle Styles,Bruxish [Reverse Holo] #43,$0.15
10561244,Pokemon Battle Styles,Build & Battle Box,$44.00
1673185,Pokemon Battle Styles,Cacnea #4,$0.05
1724993,Pokemon Battle Styles,Cacnea [Reverse Holo] #4,$0.15
1673186,Pokemon Battle Styles,Cacturne #5,$0.20
1724994,Pokemon Battle Styles,Cacturne [Reverse Holo] #5,$0.27
1673302,Pokemon Battle Styles,Camping Gear #122,$0.10
1725091,Pokemon Battle Styles,Camping Gear [Reverse Holo] #122,$0.16
1673259,Pokemon Battle Styles,Carkol #79,$0.07
1725058,Pokemon Battle Styles,Carkol [Reverse Holo] #79,$0.74
1673190,Pokemon Battle Styles,Carnivine #9,$0.13
1724997,Pokemon Battle Styles,Carnivine [Reverse Holo] #9,$0.25
1673211,Pokemon Battle Styles,Centiskorch #30,$0.20
1725014,Pokemon Battle Styles,Centiskorch [Reverse Holo] #30,$0.20
1673188,Pokemon Battle Styles,Cherrim #8,$0.98
4556227,Pokemon Battle Styles,Cherrim [Holo] #8,$1.93
1724996,Pokemon Battle Styles,Cherrim [Reverse Holo] #8,$1.47
1673189,Pokemon Battle Styles,Cherubi #7,$0.06
1724995,Pokemon Battle Styles,Cherubi [Reverse Holo] #7,$0.22
1673303,Pokemon Battle Styles,Cheryl #123,$0.15
1673339,Pokemon Battle Styles,Cheryl #159,$8.17
1673353,Pokemon Battle Styles,Cheryl #173,$7.29
1725093,Pokemon Battle Styles,Cheryl [Reverse Holo] #123,$0.24
1673239,Pokemon Battle Styles,Chimecho #59,$0.11
1725040,Pokemon Battle Styles,Chimecho [Reverse Holo] #59,$0.35
1673238,Pokemon Battle Styles,Claydol #58,$0.16
1725039,Pokemon Battle Styles,Claydol [Reverse Holo] #58,$0.23
1673260,Pokemon Battle Styles,Coalossal #80,$0.51
1725059,Pokemon Battle Styles,Coalossal [Reverse Holo] #80,$0.58
1673255,Pokemon Battle Styles,Conkeldurr #75,$0.18
1725054,Pokemon Battle Styles,Conkeldurr [Reverse Holo] #75,$0.30
1673219,Pokemon Battle Styles,Corphish #38,$0.17
1725022,Pokemon Battle Styles,Corphish [Reverse Holo] #38,$0.25
1673289,Pokemon Battle Styles,Corviknight V #109,$1.75
1673336,Pokemon Battle Styles,Corviknight V #156,$4.08
8244355,Pokemon Battle Styles,Corviknight V [Prize Pack Series 1] #109,$19.91
1673290,Pokemon Battle Styles,Corviknight VMAX #110,$2.30
1673351,Pokemon Battle Styles,Corviknight VMAX #171,$10.62
7750355,Pokemon Battle Styles,Corviknight VMAX [Prize Pack] #110,$64.00
1673220,Pokemon Battle Styles,Crawdaunt #39,$0.08
1725023,Pokemon Battle Styles,Crawdaunt [Reverse Holo] #39,$0.16
8011057,Pokemon Battle Styles,Crobat #91,$2.49
1673271,Pokemon Battle Styles,Crobat [Holo] #91,$0.74
1725065,Pokemon Battle Styles,Crobat [Reverse Holo] #91,$0.37
1673249,Pokemon Battle Styles,Cubone #69,$0.25
1725048,Pokemon Battle Styles,Cubone [Reverse Holo] #69,$0.32
1673244,Pokemon Battle Styles,Dottler #64,$0.07
1725043,Pokemon Battle Styles,Dottler [Reverse Holo] #64,$0.16
1673286,Pokemon Battle Styles,Doublade #106,$0.12
1725078,Pokemon Battle Styles,Doublade [Reverse Holo] #106,$0.25
4644675,Pokemon Battle Styles,Dragonite V Box,
1673299,Pokemon Battle Styles,Drampa #119,$0.16
1725088,Pokemon Battle Styles,Drampa [Reverse Holo] #119,$0.37
1673191,Pokemon Battle Styles,Durant #10,$0.10
1724998,Pokemon Battle Styles,Durant [Reverse Holo] #10,$0.50
6657493,Pokemon Battle Styles,Eevee 3-Pack Blister,$24.94
