id,console-name,product-name,loose-price
2978638,Pokemon Best of Game,Dark Ivysaur #6,$33.00
10809801,Pokemon Best of Game,Dark Ivysaur [Jumbo] #6,$48.50
2978640,Pokemon Best of Game,Dark Ivysaur [Winner] #6,$67.87
2978641,Pokemon Best of Game,Dark Venusaur #7,$81.76
10809803,Pokemon Best of Game,Dark Venusaur [Jumbo] #7,$60.00
2978642,Pokemon Best of Game,Dark Venusaur [Winner] #7,$92.00
2978632,Pokemon Best of Game,Electabuzz #1,$24.99
10809798,Pokemon Best of Game,Electabuzz [Jumbo] #1,$94.95
2978633,Pokemon Best of Game,Electabuzz [Winner] #1,$39.52
2978634,Pokemon Best of Game,Hitmonchan #2,$30.98
5790812,Pokemon Best of Game,Hitmonchan [Jumbo Winner] #2,$30.79
10809799,Pokemon Best of Game,Hitmonchan [Jumbo] #2,
2978635,Pokemon Best of Game,Hitmonchan [Winner] #2,$54.81
2978636,Pokemon Best of Game,Professor Elm #3,$18.92
10809805,Pokemon Best of Game,Rocket's Hitmonchan [Jumbo] #9,
2978644,Pokemon Best of Game,Rocket's Hitmonchan [Winner] #9,$120.85
10809804,Pokemon Best of Game,Rocket's Mewtwo [Jumbo] #8,
2978643,Pokemon Best of Game,Rocket's Mewtwo [Winner] #8,$206.75
2978572,Pokemon Best of Game,Rocket's Scizor #4,$28.42
10809800,Pokemon Best of Game,Rocket's Scizor [Jumbo] #4,
2978573,Pokemon Best of Game,Rocket's Scizor [Winner] #4,$53.43
2978637,Pokemon Best of Game,Rocket's Sneasel #5,$15.01
10809802,Pokemon Best of Game,Rocket's Sneasel [Jumbo] #5,
2978639,Pokemon Best of Game,Rocket's Sneasel [Winner] #5,$32.10
