id,console-name,product-name,loose-price
7963435,Pokemon Black & White,3-Pack Blister,$293.47
806352,Pokemon Black & White,Alomomola #38,$0.96
886690,Pokemon Black & White,Alomomola #39,$0.89
806439,Pokemon Black & White,Alomomola [Reverse Holo] #38,$1.53
886711,Pokemon Black & White,Alomomola [Reverse Holo] #39,$2.04
806394,Pokemon Black & White,Audino #87,$0.58
806481,Pokemon Black & White,Audino [Reverse Holo] #87,$2.47
806349,Pokemon Black & White,Basculin #35,$1.09
806436,Pokemon Black & White,Basculin [Reverse Holo] #35,$2.75
6219763,Pokemon Black & White,Blister Pack,$234.65
806353,Pokemon Black & White,Blitzle #40,$0.70
886691,Pokemon Black & White,Blitzle #41,$0.46
806440,Pokemon Black & White,Blitzle [Reverse Holo] #40,$2.00
886712,Pokemon Black & White,Blitzle [Reverse Holo] #41,$1.09
2245013,Pokemon Black & White,Booster Box,$5750.00
2245014,Pokemon Black & White,Booster Pack,$110.54
7418448,Pokemon Black & White,Booster Pack [Preview],$23.49
806397,Pokemon Black & White,Bouffalant #90,$1.06
886697,Pokemon Black & White,Bouffalant #91,$1.90
806484,Pokemon Black & White,Bouffalant [Reverse Holo] #90,$2.08
886718,Pokemon Black & White,Bouffalant [Reverse Holo] #91,$1.47
806396,Pokemon Black & White,Cinccino #89,$1.18
806483,Pokemon Black & White,Cinccino [Reverse Holo] #89,$2.67
6239306,Pokemon Black & White,Collector's Album Box,$159.19
2677907,Pokemon Black & White,Darkness Energy #111,$1.89
806342,Pokemon Black & White,Darmanitan #25,$1.75
5550602,Pokemon Black & White,Darmanitan [Prerelease Staff] #25,$39.99
7718920,Pokemon Black & White,Darmanitan [Prerelease] #25,$9.99
806429,Pokemon Black & White,Darmanitan [Reverse Holo] #25,$1.99
806341,Pokemon Black & White,Darumaka #23,$9.01
886686,Pokemon Black & White,Darumaka #24,$5.60
806428,Pokemon Black & White,Darumaka [Reverse Holo] #23,$1.66
886707,Pokemon Black & White,Darumaka [Reverse Holo] #24,$2.11
806334,Pokemon Black & White,Deerling #13,$0.74
806421,Pokemon Black & White,Deerling [Reverse Holo] #13,$2.47
806345,Pokemon Black & White,Dewott #29,$1.60
886688,Pokemon Black & White,Dewott #30,$1.49
8670679,Pokemon Black & White,Dewott [Cracked Ice Holo] #29,$8.99
806432,Pokemon Black & White,Dewott [Reverse Holo] #29,$2.41
886709,Pokemon Black & White,Dewott [Reverse Holo] #30,$2.00
806350,Pokemon Black & White,Ducklett #36,$1.49
806437,Pokemon Black & White,Ducklett [Reverse Holo] #36,$2.00
806366,Pokemon Black & White,Duosion #56,$1.69
806453,Pokemon Black & White,Duosion [Reverse Holo] #56,$2.37
806338,Pokemon Black & White,Emboar #19,$2.93
886685,Pokemon Black & White,Emboar #20,$2.62
8624895,Pokemon Black & White,Emboar [Cracked Ice] #19,$2.98
806425,Pokemon Black & White,Emboar [Reverse Holo] #19,$3.99
886706,Pokemon Black & White,Emboar [Reverse Holo] #20,$3.46
806398,Pokemon Black & White,Energy Retrieval #92,$0.20
806485,Pokemon Black & White,Energy Retrieval [Reverse Holo] #92,$1.78
806399,Pokemon Black & White,Energy Search #93,$0.30
806486,Pokemon Black & White,Energy Search [Reverse Holo] #93,$1.61
806400,Pokemon Black & White,Energy Switch #94,$0.55
806487,Pokemon Black & White,Energy Switch [Reverse Holo] #94,$0.99
2677920,Pokemon Black & White,Fighting Energy #110,$2.00
7047618,Pokemon Black & White,Fighting Energy [Holo] #110,$1.40
7719041,Pokemon Black & White,Fighting Energy [Play! Promo] #110,$4.20
2677917,Pokemon Black & White,Fire Energy #106,$2.01
806401,Pokemon Black & White,Full Heal #95,$0.26
806488,Pokemon Black & White,Full Heal [Reverse Holo] #95,$0.49
806356,Pokemon Black & White,Galvantula #46,$1.49
806443,Pokemon Black & White,Galvantula [Reverse Holo] #46,$1.51
2677911,Pokemon Black & White,Grass Energy #105,$2.00
806369,Pokemon Black & White,Gurdurr #60,$0.79
806456,Pokemon Black & White,Gurdurr [Reverse Holo] #60,$1.84
806389,Pokemon Black & White,Herdier #82,$0.68
806476,Pokemon Black & White,Herdier [Reverse Holo] #82,$1.25
806355,Pokemon Black & White,Joltik #44,$1.75
886693,Pokemon Black & White,Joltik #45,$0.37
806442,Pokemon Black & White,Joltik [Reverse Holo] #44,$4.03
886714,Pokemon Black & White,Joltik [Reverse Holo] #45,$2.32
806384,Pokemon Black & White,Klang #75,$1.17
8209869,Pokemon Black & White,Klang [Cracked Ice] #75,$3.60
806471,Pokemon Black & White,Klang [Reverse Holo] #75,$1.00
806383,Pokemon Black & White,Klink #74,$0.79
8209868,Pokemon Black & White,Klink [Cracked Ice] #74,$3.40
806470,Pokemon Black & White,Klink [Reverse Holo] #74,$1.70
806385,Pokemon Black & White,Klinklang #76,$1.75
8193710,Pokemon Black & White,Klinklang [Cracked Ice] #76,$5.00
806472,Pokemon Black & White,Klinklang [Reverse Holo] #76,$1.94
806373,Pokemon Black & White,Krokorok #64,$0.99
6239712,Pokemon Black & White,Krokorok [Pokemon League] #64,$5.00
806460,Pokemon Black & White,Krokorok [Reverse Holo] #64,$1.44
806374,Pokemon Black & White,Krookodile #65,$2.23
806461,Pokemon Black & White,Krookodile [Reverse Holo] #65,$2.70
806376,Pokemon Black & White,Liepard #67,$1.57
806463,Pokemon Black & White,Liepard [Reverse Holo] #67,$1.57
2677930,Pokemon Black & White,Lightning Energy #108,$4.16
7047617,Pokemon Black & White,Lightning Energy [Holo] #108,$1.63
8597958,Pokemon Black & White,Lightning Energy [Play] #108,$3.43
806332,Pokemon Black & White,Lilligant #10,$4.33
806419,Pokemon Black & White,Lilligant [Reverse Holo] #10,$2.99
806388,Pokemon Black & White,Lillipup #80,$1.00
886696,Pokemon Black & White,Lillipup #81,$0.69
7226347,Pokemon Black & White,Lillipup [League Promo] #81,$3.35
806475,Pokemon Black & White,Lillipup [Reverse Holo] #80,$2.96
886717,Pokemon Black & White,Lillipup [Reverse Holo] #81,$2.59
806382,Pokemon Black & White,Mandibuzz #73,$0.93
806469,Pokemon Black & White,Mandibuzz [Reverse Holo] #73,$1.47
806333,Pokemon Black & White,Maractus #11,$1.99
886682,Pokemon Black & White,Maractus #12,$3.73
806420,Pokemon Black & White,Maractus [Reverse Holo] #11,$1.80
886703,Pokemon Black & White,Maractus [Reverse Holo] #12,$2.49
2677903,Pokemon Black & White,Metal Energy #112,$1.97
8597954,Pokemon Black & White,Metal Energy [Play] #112,$7.74
806395,Pokemon Black & White,Minccino #88,$5.27
806482,Pokemon Black & White,Minccino [Reverse Holo] #88,$1.96
806358,Pokemon Black & White,Munna #48,$0.98
806445,Pokemon Black & White,Munna [Reverse Holo] #48,$1.78
806359,Pokemon Black & White,Musharna #49,$0.64
806446,Pokemon Black & White,Musharna [Reverse Holo] #49,$0.70
806344,Pokemon Black & White,Oshawott #27,$2.88
886687,Pokemon Black & White,Oshawott #28,$2.13
8570545,Pokemon Black & White,Oshawott [Cosmos Holo] #27,$8.40
6639838,Pokemon Black & White,Oshawott [Crosshatch Holo League] #27,$6.11
806431,Pokemon Black & White,Oshawott [Reverse Holo] #27,$3.99
886708,Pokemon Black & White,Oshawott [Reverse Holo] #28,$3.98
806347,Pokemon Black & White,Panpour #33,$0.49
806434,Pokemon Black & White,Panpour [Reverse Holo] #33,$1.49
806329,Pokemon Black & White,Pansage #7,$1.99
806416,Pokemon Black & White,Pansage [Reverse Holo] #7,$1.05
806339,Pokemon Black & White,Pansear #21,$0.35
806426,Pokemon Black & White,Pansear [Reverse Holo] #21,$1.29
806386,Pokemon Black & White,Patrat #77,$0.91
886695,Pokemon Black & White,Patrat #78,$0.23
806473,Pokemon Black & White,Patrat [Reverse Holo] #77,$1.39
886716,Pokemon Black & White,Patrat [Reverse Holo] #78,$2.95
806331,Pokemon Black & White,Petilil #9,$0.69
806418,Pokemon Black & White,Petilil [Reverse Holo] #9,$1.52
806391,Pokemon Black & White,Pidove #84,$1.75
806478,Pokemon Black & White,Pidove [Reverse Holo] #84,$1.99
806337,Pokemon Black & White,Pignite #17,$1.57
886684,Pokemon Black & White,Pignite #18,$1.51
806424,Pokemon Black & White,Pignite [Reverse Holo] #17,$2.29
886705,Pokemon Black & White,Pignite [Reverse Holo] #18,$4.21
806411,Pokemon Black & White,Pikachu #115,$33.00
806402,Pokemon Black & White,PlusPower #96,$0.38
806489,Pokemon Black & White,PlusPower [Reverse Holo] #96,$0.66
806403,Pokemon Black & White,Poke Ball #97,$0.67
806490,Pokemon Black & White,Poke Ball [Reverse Holo] #97,$1.69
806404,Pokemon Black & White,Pokedex #98,$0.28
806491,Pokemon Black & White,Pokedex [Reverse Holo] #98,$0.72
806405,Pokemon Black & White,Pokemon Communication #99,$0.70
806492,Pokemon Black & White,Pokemon Communication [Reverse Holo] #99,$1.49
806406,Pokemon Black & White,Potion #100,$0.23
806493,Pokemon Black & White,Potion [Reverse Holo] #100,$0.53
806407,Pokemon Black & White,Professor Juniper #101,$0.48
9363404,Pokemon Black & White,Professor Juniper [Professor Program] #101,$16.49
806494,Pokemon Black & White,Professor Juniper [Reverse Holo] #101,$1.16
2677913,Pokemon Black & White,Psychic Energy #109,$1.87
8597957,Pokemon Black & White,Psychic Energy [Play] #109,$3.50
806375,Pokemon Black & White,Purrloin #66,$0.55
806462,Pokemon Black & White,Purrloin [Reverse Holo] #66,$1.02
886698,Pokemon Black & White,Reshiram #113,$66.50
806343,Pokemon Black & White,Reshiram #26,$4.68
7307272,Pokemon Black & White,Reshiram Box,$575.00
806430,Pokemon Black & White,Reshiram [Reverse Holo] #26,$5.65
806367,Pokemon Black & White,Reuniclus [Holo] #57,$2.74
806454,Pokemon Black & White,Reuniclus [Reverse Holo] #57,$3.12
806408,Pokemon Black & White,Revive #102,$0.29
806495,Pokemon Black & White,Revive [Reverse Holo] #102,$0.72
806346,Pokemon Black & White,Samurott #31,$2.49
886689,Pokemon Black & White,Samurott #32,$2.72
8624917,Pokemon Black & White,Samurott [Cracked Ice] #31,$2.55
5921870,Pokemon Black & White,Samurott [Holo] [Japanese] [Beginning Set] #13,
806433,Pokemon Black & White,Samurott [Reverse Holo] #31,$2.80
886710,Pokemon Black & White,Samurott [Reverse Holo] #32,$3.58
806372,Pokemon Black & White,Sandile #63,$0.50
8626110,Pokemon Black & White,Sandile [Cracked Ice] #63,$7.72
806459,Pokemon Black & White,Sandile [Reverse Holo] #63,$1.89
806371,Pokemon Black & White,Sawk #62,$1.03
806458,Pokemon Black & White,Sawk [Reverse Holo] #62,$1.99
806335,Pokemon Black & White,Sawsbuck #14,$3.29
806422,Pokemon Black & White,Sawsbuck [Reverse Holo] #14,$5.00
806364,Pokemon Black & White,Scolipede #54,$1.13
806451,Pokemon Black & White,Scolipede [Reverse Holo] #54,$1.78
806378,Pokemon Black & White,Scrafty #69,$1.66
806465,Pokemon Black & White,Scrafty [Reverse Holo] #69,$2.73
806377,Pokemon Black & White,Scraggy #68,$4.18
806464,Pokemon Black & White,Scraggy [Reverse Holo] #68,$1.81
6636931,Pokemon Black & White,Sealed Reshiram Tin,$464.74
7667672,Pokemon Black & White,Sealed Zekrom Ex Tin,$304.25
6636944,Pokemon Black & White,Sealed Zekrom Tin,$418.60
806328,Pokemon Black & White,Serperior #5,$2.81
886681,Pokemon Black & White,Serperior #6,$3.48
8624887,Pokemon Black & White,Serperior [Cracked Ice] #5,$3.39
806414,Pokemon Black & White,Serperior [Reverse Holo] #5,$3.44
886702,Pokemon Black & White,Serperior [Reverse Holo] #6,$3.00
806326,Pokemon Black & White,Servine #3,$0.43
806327,Pokemon Black & White,Servine #4,$2.28
806413,Pokemon Black & White,Servine [Reverse Holo] #3,$3.48
886701,Pokemon Black & White,Servine [Reverse Holo] #4,$3.10
806348,Pokemon Black & White,Simipour #34,$0.50
806435,Pokemon Black & White,Simipour [Reverse Holo] #34,$1.12
806330,Pokemon Black & White,Simisage #8,$0.70
806417,Pokemon Black & White,Simisage [Reverse Holo] #8,$1.09
806340,Pokemon Black & White,Simisear #22,$0.45
806427,Pokemon Black & White,Simisear [Reverse Holo] #22,$0.96
806325,Pokemon Black & White,Snivy #1,$1.37
886680,Pokemon Black & White,Snivy #2,$0.39
9715973,Pokemon Black & White,Snivy [Cosmos Holo] #1,$14.98
2183097,Pokemon Black & White,Snivy [Crosshatch Reverse Holo] #1,$2.00
806412,Pokemon Black & White,Snivy [Reverse Holo] #1,$3.53
886700,Pokemon Black & White,Snivy [Reverse Holo] #2,$2.80
806365,Pokemon Black & White,Solosis #55,$1.00
806452,Pokemon Black & White,Solosis [Reverse Holo] #55,$2.32
806390,Pokemon Black & White,Stoutland #83,$1.04
806477,Pokemon Black & White,Stoutland [Reverse Holo] #83,$1.31
