id,console-name,product-name,loose-price
10031679,Pokemon Black Bolt,Air Balloon #79,$1.39
11703023,Pokemon Black Bolt,Air Balloon [Great Ball League] #79,$52.78
10031875,Pokemon Black Bolt,Air Balloon [Poke Ball] #79,$2.51
10031576,Pokemon Black Bolt,Air Balloon [Reverse] #79,$0.90
10031606,Pokemon Black Bolt,Alomomola #108,$10.24
10031504,Pokemon Black Bolt,Alomomola #24,$0.16
10031651,Pokemon Black Bolt,Alomomola [Master Ball] #24,$3.63
10031830,Pokemon Black Bolt,Alomomola [Poke Ball] #24,$0.59
10031807,Pokemon Black Bolt,Alomomola [Reverse] #24,$0.15
10031487,Pokemon Black Bolt,Amoonguss #11,$0.17
10031736,Pokemon Black Bolt,Amoonguss #96,$24.88
10031613,Pokemon Black Bolt,Amoonguss [Master Ball] #11,$4.82
10031817,Pokemon Black Bolt,Amoonguss [Poke Ball] #11,$0.50
10031778,Pokemon Black Bolt,Amoonguss [Reverse] #11,$0.19
10031682,Pokemon Black Bolt,Antique Cover Fossil #80,$0.05
10031876,Pokemon Black Bolt,Antique Cover Fossil [Poke Ball] #80,$2.69
10031578,Pokemon Black Bolt,Antique Cover Fossil [Reverse] #80,$1.68
10031711,Pokemon Black Bolt,Audino #151,$14.76
10031659,Pokemon Black Bolt,Audino #74,$0.10
10031775,Pokemon Black Bolt,Audino [Master Ball] #74,$5.00
10031884,Pokemon Black Bolt,Audino [Poke Ball] #74,$0.50
10031565,Pokemon Black Bolt,Audino [Reverse] #74,$0.10
10031694,Pokemon Black Bolt,Axew #145,$11.13
10031634,Pokemon Black Bolt,Axew #68,$0.18
10031759,Pokemon Black Bolt,Axew [Master Ball] #68,$3.77
10031869,Pokemon Black Bolt,Axew [Poke Ball] #68,$0.50
10031553,Pokemon Black Bolt,Axew [Reverse] #68,$0.10
10031609,Pokemon Black Bolt,Beartic #110,$6.77
10031511,Pokemon Black Bolt,Beartic #26,$0.15
10031654,Pokemon Black Bolt,Beartic [Master Ball] #26,$3.15
10031832,Pokemon Black Bolt,Beartic [Poke Ball] #26,$0.55
10031810,Pokemon Black Bolt,Beartic [Reverse] #26,$0.21
10031629,Pokemon Black Bolt,Beheeyem #121,$4.98
10031546,Pokemon Black Bolt,Beheeyem #41,$0.16
10031696,Pokemon Black Bolt,Beheeyem [Master Ball] #41,$5.95
10031845,Pokemon Black Bolt,Beheeyem [Poke Ball] #41,$0.65
10031512,Pokemon Black Bolt,Beheeyem [Reverse] #41,$0.13
10023909,Pokemon Black Bolt,Binder Collection,$52.00
10031689,Pokemon Black Bolt,Bisharp #143,$6.10
10031618,Pokemon Black Bolt,Bisharp #65,$0.10
10031753,Pokemon Black Bolt,Bisharp [Master Ball] #65,$4.06
10031867,Pokemon Black Bolt,Bisharp [Poke Ball] #65,$0.45
10031549,Pokemon Black Bolt,Bisharp [Reverse] #65,$0.12
10023910,Pokemon Black Bolt,Booster Bundle,$51.50
10561197,Pokemon Black Bolt,Booster Bundle Display Box,$863.72
10023912,Pokemon Black Bolt,Booster Pack,$9.43
10031726,Pokemon Black Bolt,Braviary #155,$6.73
10031671,Pokemon Black Bolt,Braviary #78,$0.12
