id,console-name,product-name,loose-price
956667,Pokemon Boundaries Crossed,Altaria #152,$105.36
956642,Pokemon Boundaries Crossed,Aspertia City Gym #127,$0.32
956786,Pokemon Boundaries Crossed,Aspertia City Gym [Reverse Holo] #127,$1.00
956641,Pokemon Boundaries Crossed,Audino #126,$0.95
956785,Pokemon Boundaries Crossed,Audino [Reverse Holo] #126,$1.38
956552,Pokemon Boundaries Crossed,Azumarill #37,$1.75
956703,Pokemon Boundaries Crossed,Azumarill [Reverse Holo] #37,$2.83
956519,Pokemon Boundaries Crossed,Bellossom #4,$1.59
956672,Pokemon Boundaries Crossed,Bellossom [Reverse Holo] #4,$2.38
956662,Pokemon Boundaries Crossed,Bianca #147,$136.81
956615,Pokemon Boundaries Crossed,Black Kyurem #100,$1.99
956616,Pokemon Boundaries Crossed,Black Kyurem EX #101,$3.48
956660,Pokemon Boundaries Crossed,Black Kyurem EX #145,$246.26
6160690,Pokemon Boundaries Crossed,Black Kyurem [Cracked Ice] #100,$1.99
956761,Pokemon Boundaries Crossed,Black Kyurem [Reverse Holo] #100,$3.37
956546,Pokemon Boundaries Crossed,Blastoise #31,$3.32
956697,Pokemon Boundaries Crossed,Blastoise [Reverse Holo] #31,$16.72
6869716,Pokemon Boundaries Crossed,Blister Pack,$219.99
956571,Pokemon Boundaries Crossed,Blitzle #56,$0.65
956721,Pokemon Boundaries Crossed,Blitzle [Reverse Holo] #56,$0.89
2245003,Pokemon Boundaries Crossed,Booster Box,$4349.73
2245004,Pokemon Boundaries Crossed,Booster Pack,$166.43
956631,Pokemon Boundaries Crossed,Buneary #116,$0.58
956775,Pokemon Boundaries Crossed,Buneary [Reverse Holo] #116,$2.33
956537,Pokemon Boundaries Crossed,Camerupt #22,$1.39
956689,Pokemon Boundaries Crossed,Camerupt [Reverse Holo] #22,$1.56
956656,Pokemon Boundaries Crossed,Celebi EX #141,$80.05
956524,Pokemon Boundaries Crossed,Celebi EX #9,$13.94
956535,Pokemon Boundaries Crossed,Charizard #20,$25.05
7308843,Pokemon Boundaries Crossed,Charizard [Cosmos Holo] #20,$19.22
956687,Pokemon Boundaries Crossed,Charizard [Reverse Holo] #20,$30.91
956533,Pokemon Boundaries Crossed,Charmander #18,$3.00
956685,Pokemon Boundaries Crossed,Charmander [Reverse Holo] #18,$13.00
956534,Pokemon Boundaries Crossed,Charmeleon #19,$2.80
956686,Pokemon Boundaries Crossed,Charmeleon [Reverse Holo] #19,$6.99
956663,Pokemon Boundaries Crossed,Cheren #148,$40.00
956570,Pokemon Boundaries Crossed,Chinchou #55,$0.26
956720,Pokemon Boundaries Crossed,Chinchou [Reverse Holo] #55,$1.33
956652,Pokemon Boundaries Crossed,Computer Search #137,$12.03
956529,Pokemon Boundaries Crossed,Cottonee #14,$0.42
956681,Pokemon Boundaries Crossed,Cottonee [Reverse Holo] #14,$1.38
956658,Pokemon Boundaries Crossed,Cresselia EX #143,$55.15
956582,Pokemon Boundaries Crossed,Cresselia EX #67,$10.19
956579,Pokemon Boundaries Crossed,Croagunk #64,$0.67
956580,Pokemon Boundaries Crossed,Croagunk #65,$0.76
956729,Pokemon Boundaries Crossed,Croagunk [Reverse Holo] #64,$1.07
956730,Pokemon Boundaries Crossed,Croagunk [Reverse Holo] #65,$1.54
956600,Pokemon Boundaries Crossed,Crustle #85,$3.37
956747,Pokemon Boundaries Crossed,Crustle [Reverse Holo] #85,$3.81
956561,Pokemon Boundaries Crossed,Cryogonal #46,$0.49
956712,Pokemon Boundaries Crossed,Cryogonal [Reverse Holo] #46,$1.25
956653,Pokemon Boundaries Crossed,Crystal Edge #138,$3.02
956654,Pokemon Boundaries Crossed,Crystal Wall #139,$3.08
956543,Pokemon Boundaries Crossed,Darmanitan #28,$0.53
956694,Pokemon Boundaries Crossed,Darmanitan [Reverse Holo] #28,$1.68
956542,Pokemon Boundaries Crossed,Darumaka #27,$0.76
956693,Pokemon Boundaries Crossed,Darumaka [Reverse Holo] #27,$1.07
956629,Pokemon Boundaries Crossed,Delcatty #114,$0.63
956773,Pokemon Boundaries Crossed,Delcatty [Reverse Holo] #114,$0.77
956553,Pokemon Boundaries Crossed,Delibird #38,$0.86
6216898,Pokemon Boundaries Crossed,Delibird [1st Place League] #38,$33.16
8670736,Pokemon Boundaries Crossed,Delibird [2nd Place League] #38,$30.61
10259709,Pokemon Boundaries Crossed,Delibird [3rd Place League] #38,$6.93
956704,Pokemon Boundaries Crossed,Delibird [Reverse Holo] #38,$2.21
956555,Pokemon Boundaries Crossed,Dewott #40,$0.50
956706,Pokemon Boundaries Crossed,Dewott [Reverse Holo] #40,$3.84
956623,Pokemon Boundaries Crossed,Ditto #108,$20.00
956767,Pokemon Boundaries Crossed,Ditto [Reverse Holo] #108,$27.50
956557,Pokemon Boundaries Crossed,Ducklett #42,$0.58
956708,Pokemon Boundaries Crossed,Ducklett [Reverse Holo] #42,$1.97
956626,Pokemon Boundaries Crossed,Dunsparce #111,$0.36
956770,Pokemon Boundaries Crossed,Dunsparce [Reverse Holo] #111,$2.84
956577,Pokemon Boundaries Crossed,Dusclops #62,$0.68
956727,Pokemon Boundaries Crossed,Dusclops [Reverse Holo] #62,$1.20
956578,Pokemon Boundaries Crossed,Dusknoir #63,$3.54
956728,Pokemon Boundaries Crossed,Dusknoir [Reverse Holo] #63,$5.45
956576,Pokemon Boundaries Crossed,Duskull #61,$0.37
956726,Pokemon Boundaries Crossed,Duskull [Reverse Holo] #61,$5.19
956599,Pokemon Boundaries Crossed,Dwebble #84,$1.03
956746,Pokemon Boundaries Crossed,Dwebble [Reverse Holo] #84,$1.30
956568,Pokemon Boundaries Crossed,Electabuzz #53,$0.50
956718,Pokemon Boundaries Crossed,Electabuzz [Reverse Holo] #53,$2.75
956569,Pokemon Boundaries Crossed,Electivire #54,$1.99
956719,Pokemon Boundaries Crossed,Electivire [Reverse Holo] #54,$3.24
956567,Pokemon Boundaries Crossed,Electrode #52,$0.89
956717,Pokemon Boundaries Crossed,Electrode [Reverse Holo] #52,$0.99
956541,Pokemon Boundaries Crossed,Emboar #26,$3.41
956692,Pokemon Boundaries Crossed,Emboar [Reverse Holo] #26,$4.12
956643,Pokemon Boundaries Crossed,Energy Search #128,$0.20
956787,Pokemon Boundaries Crossed,Energy Search [Reverse Holo] #128,$1.76
956622,Pokemon Boundaries Crossed,Farfetch'd #107,$1.32
956766,Pokemon Boundaries Crossed,Farfetch'd [Reverse Holo] #107,$6.81
956614,Pokemon Boundaries Crossed,Flygon #99,$6.25
956760,Pokemon Boundaries Crossed,Flygon [Reverse Holo] #99,$5.46
956559,Pokemon Boundaries Crossed,Frillish #44,$0.47
956710,Pokemon Boundaries Crossed,Frillish [Reverse Holo] #44,$0.92
956595,Pokemon Boundaries Crossed,Gligar #80,$0.25
956742,Pokemon Boundaries Crossed,Gligar [Reverse Holo] #80,$0.78
956596,Pokemon Boundaries Crossed,Gliscor #81,$1.97
956743,Pokemon Boundaries Crossed,Gliscor [Reverse Holo] #81,$3.59
956517,Pokemon Boundaries Crossed,Gloom #2,$1.07
956670,Pokemon Boundaries Crossed,Gloom [Reverse Holo] #2,$3.00
956655,Pokemon Boundaries Crossed,Gold Potion #140,$3.99
956549,Pokemon Boundaries Crossed,Golduck #34,$0.35
956550,Pokemon Boundaries Crossed,Golduck #35,$0.96
956700,Pokemon Boundaries Crossed,Golduck [Reverse Holo] #34,$4.17
956701,Pokemon Boundaries Crossed,Golduck [Reverse Holo] #35,$2.38
956665,Pokemon Boundaries Crossed,Golurk #150,$75.66
956590,Pokemon Boundaries Crossed,Gothita #75,$0.68
956738,Pokemon Boundaries Crossed,Gothita [Reverse Holo] #75,$1.36
956591,Pokemon Boundaries Crossed,Gothorita #76,$0.69
956739,Pokemon Boundaries Crossed,Gothorita [Reverse Holo] #76,$1.23
956644,Pokemon Boundaries Crossed,Great Ball #129,$0.16
956788,Pokemon Boundaries Crossed,Great Ball [Reverse Holo] #129,$2.00
