id,console-name,product-name,loose-price
3188353,Pokemon Brilliant Stars,Acerola's Premonition #129,$0.15
3216323,Pokemon Brilliant Stars,Acerola's Premonition #TG24,$7.76
3219473,Pokemon Brilliant Stars,Acerola's Premonition [Reverse Holo] #129,$0.24
3188320,Pokemon Brilliant Stars,Aggron V #96,$1.36
3188321,Pokemon Brilliant Stars,Aggron VMAX #97,$2.59
3188295,Pokemon Brilliant Stars,Alcremie #71,$0.69
3216316,Pokemon Brilliant Stars,Alcremie #TG08,$2.49
3219425,Pokemon Brilliant Stars,Alcremie [Reverse Holo] #71,$0.50
4652249,Pokemon Brilliant Stars,Arceus Spring 2022 Collector's Chest,$52.79
3188346,Pokemon Brilliant Stars,Arceus V #122,$3.68
3188389,Pokemon Brilliant Stars,Arceus V #165,$6.01
3188390,Pokemon Brilliant Stars,Arceus V #166,$46.74
6011535,Pokemon Brilliant Stars,Arceus V Figure Collection,$110.00
4286298,Pokemon Brilliant Stars,Arceus V [Metal] #122,$9.00
3188347,Pokemon Brilliant Stars,Arceus VSTAR #123,$4.07
3216297,Pokemon Brilliant Stars,Arceus VSTAR #176,$11.99
3188397,Pokemon Brilliant Stars,Arceus VSTAR #184,$14.52
9432587,Pokemon Brilliant Stars,Arceus VSTAR Premium Collection,$188.14
4234477,Pokemon Brilliant Stars,Arceus VSTAR Ultra Premium Collection Box,$279.07
6714695,Pokemon Brilliant Stars,Arceus VSTAR [League Promo] #123,$19.99
4286296,Pokemon Brilliant Stars,Arceus VSTAR [Premium Collection] #123,$14.00
6148331,Pokemon Brilliant Stars,Arceus VStar [Jumbo] #123,$11.44
3188400,Pokemon Brilliant Stars,Ariados #TG09,$2.70
3188334,Pokemon Brilliant Stars,Axew #110,$0.25
3219458,Pokemon Brilliant Stars,Axew [Reverse Holo] #110,$0.30
3188282,Pokemon Brilliant Stars,Baltoy #58,$0.05
3219416,Pokemon Brilliant Stars,Baltoy [Reverse Holo] #58,$0.10
3188354,Pokemon Brilliant Stars,Barry #130,$0.05
3188391,Pokemon Brilliant Stars,Barry #167,$1.78
3219474,Pokemon Brilliant Stars,Barry [Reverse Holo] #130,$0.10
3188268,Pokemon Brilliant Stars,Beartic #43,$0.14
3219404,Pokemon Brilliant Stars,Beartic [Reverse Holo] #43,$0.20
4136129,Pokemon Brilliant Stars,Bibarel #121,$2.29
3188345,Pokemon Brilliant Stars,Bibarel [Holo] #121,$0.30
8598220,Pokemon Brilliant Stars,Bibarel [Prize Pack Holo] #121,$2.49
3219468,Pokemon Brilliant Stars,Bibarel [Reverse Holo] #121,$0.65
3188344,Pokemon Brilliant Stars,Bidoof #120,$0.27
3219467,Pokemon Brilliant Stars,Bidoof [Reverse Holo] #120,$0.49
3188355,Pokemon Brilliant Stars,Blunder Policy #131,$0.07
3219475,Pokemon Brilliant Stars,Blunder Policy [Reverse Holo] #131,$0.38
3188401,Pokemon Brilliant Stars,Boltund V #TG13,$9.92
4954189,Pokemon Brilliant Stars,Boltund V Box,$63.99
3188412,Pokemon Brilliant Stars,Booster Box,$553.16
