id,console-name,product-name,loose-price
4892168,Pokemon Burger King,Abra #63,$2.60
7446424,Pokemon Burger King,Aerodactyl #142,$2.27
4892170,Pokemon Burger King,Alakazam #65,$3.24
4892153,Pokemon Burger King,Arbok #24,$2.44
5334198,Pokemon Burger King,Arcanine #59,$3.99
4892213,Pokemon Burger King,Articuno #144,$4.56
4892221,Pokemon Burger King,Beedrill #15,$3.88
4892171,Pokemon Burger King,Bellsprout #69,$1.69
4892148,Pokemon Burger King,Blastoise #9,$2.74
4892141,Pokemon Burger King,Bulbasaur #1,$3.26
6167088,Pokemon Burger King,Butterfree #12,$3.46
7446311,Pokemon Burger King,Caterpie #10,$2.98
7446355,Pokemon Burger King,Chansey #113,$2.03
4892145,Pokemon Burger King,Charizard #6,$8.82
6234768,Pokemon Burger King,Charizard [Gold Plated] #6,$56.22
4892144,Pokemon Burger King,Charmander #4,$8.50
6303527,Pokemon Burger King,Charmeleon #5,$4.29
6837198,Pokemon Burger King,Clefable #36,$3.99
4892159,Pokemon Burger King,Clefairy #35,$1.57
7446432,Pokemon Burger King,Cloyster #91,$1.50
7446392,Pokemon Burger King,Cubone #104,$8.40
4892181,Pokemon Burger King,Dewgong #87,$2.01
7446391,Pokemon Burger King,Diglett #50,$2.52
4892205,Pokemon Burger King,Ditto #132,$8.88
4892179,Pokemon Burger King,Dodrio #85,$2.28
7446429,Pokemon Burger King,Doduo #84,$2.25
4892217,Pokemon Burger King,Dragonair #148,$2.54
4892218,Pokemon Burger King,Dragonite #149,$5.67
4892216,Pokemon Burger King,Dratini #147,$1.50
4892185,Pokemon Burger King,Drowzee #96,$2.46
7446331,Pokemon Burger King,Dugtrio #51,$1.78
4892206,Pokemon Burger King,Eevee #133,$4.25
4892152,Pokemon Burger King,Ekans #23,$2.38
4892200,Pokemon Burger King,Electabuzz #125,$2.16
7446343,Pokemon Burger King,Electrode #101,$1.25
4892190,Pokemon Burger King,Exeggcute #102,$2.34
4892191,Pokemon Burger King,Exeggutor #103,$2.95
7446453,Pokemon Burger King,Farfetch'D #83,$2.50
7446412,Pokemon Burger King,Fearow #22,$1.50
4892209,Pokemon Burger King,Flareon #136,$4.90
4892182,Pokemon Burger King,Gastly #92,$2.00
4892184,Pokemon Burger King,Gengar #94,$5.00
7446435,Pokemon Burger King,Geodude #74,$1.49
7446417,Pokemon Burger King,Gloom #44,$2.56
5334191,Pokemon Burger King,Golbat #42,$2.90
7446428,Pokemon Burger King,Goldeen #118,$1.89
7446396,Pokemon Burger King,Golduck #55,$1.81
4892175,Pokemon Burger King,Golem #76,$6.71
4892174,Pokemon Burger King,Graveler #75,$1.50
7446364,Pokemon Burger King,Grimer #88,$1.50
7446333,Pokemon Burger King,Growlithe #58,$4.17
4892203,Pokemon Burger King,Gyarados #130,$3.49
4892183,Pokemon Burger King,Haunter #93,$3.01
7446344,Pokemon Burger King,Hitmonchan #107,$2.29
4892192,Pokemon Burger King,Hitmonlee #106,$2.13
4892195,Pokemon Burger King,Horsea #116,$1.50
4892186,Pokemon Burger King,Hypno #97,$2.27
4892142,Pokemon Burger King,Ivysaur #2,$2.07
7446330,Pokemon Burger King,Jigglypuff #39,$5.93
4892160,Pokemon Burger King,Jigglypuff [Gold Plated] #39,$15.00
4892208,Pokemon Burger King,Jolteon #135,$2.01
7446356,Pokemon Burger King,Jynx #124,$1.63
4892211,Pokemon Burger King,Kabuto #140,$1.99
7446363,Pokemon Burger King,Kabutops #141,$2.87
4892169,Pokemon Burger King,Kadabra #64,$1.00
4892149,Pokemon Burger King,Kakuna #14,$2.26
4892194,Pokemon Burger King,Kangaskhan #115,$3.22
4892188,Pokemon Burger King,Kingler #99,$3.18
4892193,Pokemon Burger King,Koffing #109,$1.88
4892187,Pokemon Burger King,Krabby #98,$1.96
4892204,Pokemon Burger King,Lapras #131,$2.89
7446454,Pokemon Burger King,Lickitung #108,$2.00
7446404,Pokemon Burger King,Machamp #68,$1.91
7446397,Pokemon Burger King,Machoke #67,$3.41
7446388,Pokemon Burger King,Machop #66,$1.55
4892202,Pokemon Burger King,Magikarp #129,$3.99
7446362,Pokemon Burger King,Magmar #126,$1.60
7446405,Pokemon Burger King,Magnemite #81,$1.89
4892178,Pokemon Burger King,Magneton #82,$1.00
7374261,Pokemon Burger King,Mankey #56,$2.15
5334199,Pokemon Burger King,Marowak #105,$2.50
4892163,Pokemon Burger King,Meowth #52,$2.20
5334195,Pokemon Burger King,Metapod #11,$2.49
4892220,Pokemon Burger King,Mew #151,$5.00
7446372,Pokemon Burger King,Mewtwo #150,$3.98
4892219,Pokemon Burger King,Mewtwo [Gold Plated] #150,$28.99
4892215,Pokemon Burger King,Moltres #146,$1.54
7446386,Pokemon Burger King,Mr. Mime #122,$1.00
7446373,Pokemon Burger King,Muk #89,$2.79
4892158,Pokemon Burger King,Nidoking #34,$3.25
4892157,Pokemon Burger King,Nidoqueen #31,$1.80
7446319,Pokemon Burger King,Nidoran #29,$1.37
7446320,Pokemon Burger King,Nidoran #32,$3.60
7446462,Pokemon Burger King,Nidorina #30,$1.00
7446450,Pokemon Burger King,Nidorino #33,$1.89
7446456,Pokemon Burger King,Ninetales #38,$3.00
5334192,Pokemon Burger King,Oddish #43,$2.48
4892210,Pokemon Burger King,Omanyte #138,$1.99
7446426,Pokemon Burger King,Omastar #139,$2.95
5334193,Pokemon Burger King,Onix #95,$2.81
7446406,Pokemon Burger King,Paras #46,$2.01
7446425,Pokemon Burger King,Parasect #47,$1.99
7446436,Pokemon Burger King,Persian #53,$3.50
6167089,Pokemon Burger King,Pidgeot #18,$1.91
4892151,Pokemon Burger King,Pidgeotto #17,$1.99
4892150,Pokemon Burger King,Pidgey #16,$1.99
4892154,Pokemon Burger King,Pikachu #25,$6.79
6234178,Pokemon Burger King,Pikachu [Gold Plated] #25,$24.49
4892201,Pokemon Burger King,Pinsir #127,$2.00
4892165,Pokemon Burger King,Poliwag #60,$2.91
7446452,Pokemon Burger King,Poliwhirl #61,$4.11
4892166,Pokemon Burger King,Poliwhirl [Gold Plated] #61,$17.49
4892167,Pokemon Burger King,Poliwrath #62,$2.82
4892176,Pokemon Burger King,Ponyta #77,$4.33
7446413,Pokemon Burger King,Porygon #137,$4.65
4892164,Pokemon Burger King,Primeape #57,$2.19
7446379,Pokemon Burger King,Psyduck #54,$2.00
4892155,Pokemon Burger King,Raichu #26,$3.25
4892177,Pokemon Burger King,Rapidash #78,$2.17
7446427,Pokemon Burger King,Raticate #20,$1.47
6167090,Pokemon Burger King,Rattata #19,$2.13
7446346,Pokemon Burger King,Rhydon #112,$1.75
7446345,Pokemon Burger King,Rhyhorn #111,$2.08
4892156,Pokemon Burger King,Sandshrew #27,$1.71
7446423,Pokemon Burger King,Sandslash #28,$1.99
4892199,Pokemon Burger King,Scyther #123,$4.00
7446390,Pokemon Burger King,Seadra #117,$1.88
4892196,Pokemon Burger King,Seaking #119,$1.69
4892180,Pokemon Burger King,Seel #86,$2.23
7446365,Pokemon Burger King,Shellder #90,$1.75
7446342,Pokemon Burger King,Slowbro #80,$1.50
7446341,Pokemon Burger King,Slowpoke #79,$2.35
4892212,Pokemon Burger King,Snorlax #143,$8.67
7446451,Pokemon Burger King,Spearow #21,$7.99
4892146,Pokemon Burger King,Squirtle #7,$2.25
4892198,Pokemon Burger King,Starmie #121,$1.90
4892197,Pokemon Burger King,Staryu #120,$2.50
7446457,Pokemon Burger King,Tangela #114,$2.00
7446449,Pokemon Burger King,Tauros #128,$3.00
4892173,Pokemon Burger King,Tentacool #72,$1.98
7446460,Pokemon Burger King,Tentacruel #73,$1.53
6627589,Pokemon Burger King,Togepi [Gold Plated],$17.06
4892207,Pokemon Burger King,Vaporeon #134,$3.73
4892162,Pokemon Burger King,Venomoth #49,$2.05
7446421,Pokemon Burger King,Venonat #48,$1.99
4892143,Pokemon Burger King,Venusaur #3,$3.11
4892172,Pokemon Burger King,Victreebel #71,$2.46
4892161,Pokemon Burger King,Vileplume #45,$1.62
4892189,Pokemon Burger King,Voltorb #100,$1.39
7446378,Pokemon Burger King,Vulpix #37,$2.37
4892147,Pokemon Burger King,Wartortle #8,$2.87
8678396,Pokemon Burger King,Weedle #13,$1.98
7446455,Pokemon Burger King,Weepinbell #70,$1.24
5334201,Pokemon Burger King,Weezing #110,$1.79
7446431,Pokemon Burger King,Wigglytuff #40,$1.92
4892214,Pokemon Burger King,Zapdos #145,$2.99
5334197,Pokemon Burger King,Zubat #41,$1.99
