id,console-name,product-name,loose-price
960896,Pokemon Burning Shadows,Acerola #112,$0.29
960926,Pokemon Burning Shadows,Acerola #142,$32.94
961053,Pokemon Burning Shadows,Acerola [Reverse Holo] #112,$1.26
960867,Pokemon Burning Shadows,Alolan Grimer #83,$0.28
961028,Pokemon Burning Shadows,Alolan Grimer [Reverse Holo] #83,$0.34
960922,Pokemon Burning Shadows,Alolan Muk GX #138,$5.07
960941,Pokemon Burning Shadows,Alolan Muk GX #157,$12.36
960868,Pokemon Burning Shadows,Alolan Muk GX #84,$3.18
960812,Pokemon Burning Shadows,Alolan Ninetales #28,$1.16
4017903,Pokemon Burning Shadows,Alolan Ninetales [Cracked Ice] #28,$4.56
960977,Pokemon Burning Shadows,Alolan Ninetales [Reverse Holo] #28,$1.59
960866,Pokemon Burning Shadows,Alolan Raticate #82,$0.22
961027,Pokemon Burning Shadows,Alolan Raticate [Reverse Holo] #82,$0.34
960865,Pokemon Burning Shadows,Alolan Rattata #81,$0.13
961026,Pokemon Burning Shadows,Alolan Rattata [Reverse Holo] #81,$0.30
960811,Pokemon Burning Shadows,Alolan Vulpix #27,$1.00
960976,Pokemon Burning Shadows,Alolan Vulpix [Reverse Holo] #27,$0.99
960799,Pokemon Burning Shadows,Araquanid #15,$0.24
960968,Pokemon Burning Shadows,Araquanid [Reverse Holo] #15,$0.25
960819,Pokemon Burning Shadows,Azumarill #35,$0.45
960984,Pokemon Burning Shadows,Azumarill [Reverse Holo] #35,$0.50
960895,Pokemon Burning Shadows,Bewear #111,$0.50
961052,Pokemon Burning Shadows,Bewear [Reverse Holo] #111,$0.65
7310386,Pokemon Burning Shadows,Blister Pack,$63.00
960897,Pokemon Burning Shadows,Bodybuilding Dumbbells #113,$0.16
960945,Pokemon Burning Shadows,Bodybuilding Dumbbells #161,$5.44
5529192,Pokemon Burning Shadows,Bodybuilding Dumbbells [League Staff] #113,$6.92
5515067,Pokemon Burning Shadows,Bodybuilding Dumbbells [League] #113,$3.56
961054,Pokemon Burning Shadows,Bodybuilding Dumbbells [Reverse Holo] #113,$0.25
2244963,Pokemon Burning Shadows,Booster Box,$982.83
7274650,Pokemon Burning Shadows,Booster Box [Prerelease],$59.99
2244964,Pokemon Burning Shadows,Booster Pack,$17.30
960892,Pokemon Burning Shadows,Bouffalant #108,$0.13
961049,Pokemon Burning Shadows,Bouffalant [Reverse Holo] #108,$0.30
960822,Pokemon Burning Shadows,Bruxish #38,$0.20
960987,Pokemon Burning Shadows,Bruxish [Reverse Holo] #38,$0.37
960787,Pokemon Burning Shadows,Butterfree #3,$0.50
960956,Pokemon Burning Shadows,Butterfree [Reverse Holo] #3,$1.05
960785,Pokemon Burning Shadows,Caterpie #1,$0.20
960954,Pokemon Burning Shadows,Caterpie [Reverse Holo] #1,$0.33
960934,Pokemon Burning Shadows,Charizard GX #150,$260.08
960804,Pokemon Burning Shadows,Charizard GX #20,$11.30
960802,Pokemon Burning Shadows,Charmander #18,$1.16
8340689,Pokemon Burning Shadows,Charmander [Holo] #18,$2.49
960970,Pokemon Burning Shadows,Charmander [Reverse Holo] #18,$0.85
960803,Pokemon Burning Shadows,Charmeleon #19,$0.94
960971,Pokemon Burning Shadows,Charmeleon [Reverse Holo] #19,$1.03
9708617,Pokemon Burning Shadows,Charmeleon [Water-Web Holo] #19,$1.85
960946,Pokemon Burning Shadows,Choice Band #162,$5.00
8423781,Pokemon Burning Shadows,Cosmog 3-Pack Blister,$43.57
960858,Pokemon Burning Shadows,Crabominable #74,$0.24
961020,Pokemon Burning Shadows,Crabominable [Reverse Holo] #74,$0.23
960857,Pokemon Burning Shadows,Crabrawler #73,$0.10
961019,Pokemon Burning Shadows,Crabrawler [Reverse Holo] #73,$0.19
960838,Pokemon Burning Shadows,Croagunk #54,$0.11
961002,Pokemon Burning Shadows,Croagunk [Reverse Holo] #54,$0.40
960879,Pokemon Burning Shadows,Cutiefly #95,$0.30
961037,Pokemon Burning Shadows,Cutiefly [Reverse Holo] #95,$0.47
960952,Pokemon Burning Shadows,Dark Energy #168,$30.42
960871,Pokemon Burning Shadows,Darkrai #87,$0.99
960923,Pokemon Burning Shadows,Darkrai GX #139,$15.34
960942,Pokemon Burning Shadows,Darkrai GX #158,$28.63
960872,Pokemon Burning Shadows,Darkrai GX #88,$4.74
2390424,Pokemon Burning Shadows,Darkrai GX #88a,$10.01
9351796,Pokemon Burning Shadows,Darkrai GX [Jumbo] #88A,$5.89
7628974,Pokemon Burning Shadows,Darkrai [Pokemon League] #87,$2.67
961031,Pokemon Burning Shadows,Darkrai [Reverse Holo] #87,$0.64
960798,Pokemon Burning Shadows,Dewpider #14,$0.08
960967,Pokemon Burning Shadows,Dewpider [Reverse Holo] #14,$0.25
960878,Pokemon Burning Shadows,Diancie #94,$0.75
5705706,Pokemon Burning Shadows,Diancie [League] #94,$0.77
961036,Pokemon Burning Shadows,Diancie [Reverse Holo] #94,$0.75
960836,Pokemon Burning Shadows,Dusclops #52,$0.20
961000,Pokemon Burning Shadows,Dusclops [Reverse Holo] #52,$0.61
960837,Pokemon Burning Shadows,Dusknoir #53,$0.27
961001,Pokemon Burning Shadows,Dusknoir [Reverse Holo] #53,$0.25
960835,Pokemon Burning Shadows,Duskull #51,$0.21
960999,Pokemon Burning Shadows,Duskull [Reverse Holo] #51,$0.74
960829,Pokemon Burning Shadows,Eelektrik #45,$0.23
960993,Pokemon Burning Shadows,Eelektrik [Reverse Holo] #45,$0.26
960830,Pokemon Burning Shadows,Eelektross #46,$0.25
960994,Pokemon Burning Shadows,Eelektross [Reverse Holo] #46,$0.27
960826,Pokemon Burning Shadows,Electabuzz #42,$0.17
960990,Pokemon Burning Shadows,Electabuzz [Reverse Holo] #42,$0.50
960827,Pokemon Burning Shadows,Electivire #43,$0.37
960991,Pokemon Burning Shadows,Electivire [Reverse Holo] #43,$0.47
3839387,Pokemon Burning Shadows,Elite Trainer Box,$274.65
960898,Pokemon Burning Shadows,Escape Rope #114,$0.21
960947,Pokemon Burning Shadows,Escape Rope #163,$19.48
961055,Pokemon Burning Shadows,Escape Rope [Reverse Holo] #114,$0.50
960843,Pokemon Burning Shadows,Espurr #59,$0.75
961007,Pokemon Burning Shadows,Espurr [Reverse Holo] #59,$0.71
960953,Pokemon Burning Shadows,Fairy Energy #169,$70.00
4652584,Pokemon Burning Shadows,Fighting Energy,$0.32
2250867,Pokemon Burning Shadows,Fire Energy,$0.10
960951,Pokemon Burning Shadows,Fire Energy #167,$20.05
960924,Pokemon Burning Shadows,Gardevoir GX #140,$12.00
960943,Pokemon Burning Shadows,Gardevoir GX #159,$33.19
960877,Pokemon Burning Shadows,Gardevoir GX #93,$6.04
960789,Pokemon Burning Shadows,Gloom #5,$0.25
960958,Pokemon Burning Shadows,Gloom [Reverse Holo] #5,$0.41
960913,Pokemon Burning Shadows,Golisopod GX #129,$4.09
960932,Pokemon Burning Shadows,Golisopod GX #148,$12.43
960801,Pokemon Burning Shadows,Golisopod GX #17,$1.43
960899,Pokemon Burning Shadows,Guzma #115,$2.87
960927,Pokemon Burning Shadows,Guzma #143,$19.00
4140979,Pokemon Burning Shadows,Guzma [2018 World Championship] #115,$0.73
6845844,Pokemon Burning Shadows,Guzma [Regional Championships] #115A,$10.42
961056,Pokemon Burning Shadows,Guzma [Reverse Holo] #115,$3.40
960818,Pokemon Burning Shadows,Gyarados #33,$1.77
960982,Pokemon Burning Shadows,Gyarados [Reverse Holo] #33,$2.01
960808,Pokemon Burning Shadows,Heatmor #24,$0.17
960974,Pokemon Burning Shadows,Heatmor [Reverse Holo] #24,$0.24
960795,Pokemon Burning Shadows,Heracross #11,$0.28
960964,Pokemon Burning Shadows,Heracross [Reverse Holo] #11,$0.70
960915,Pokemon Burning Shadows,Ho-Oh GX #131,$9.75
960805,Pokemon Burning Shadows,Ho-Oh GX #21,$4.57
960890,Pokemon Burning Shadows,Hoothoot #106,$0.18
961047,Pokemon Burning Shadows,Hoothoot [Reverse Holo] #106,$0.61
960813,Pokemon Burning Shadows,Horsea #29,$0.30
960978,Pokemon Burning Shadows,Horsea [Reverse Holo] #29,$0.50
960873,Pokemon Burning Shadows,Inkay #89,$0.16
961032,Pokemon Burning Shadows,Inkay [Reverse Holo] #89,$0.28
960900,Pokemon Burning Shadows,Kiawe #116,$0.35
960928,Pokemon Burning Shadows,Kiawe #144,$8.22
9312172,Pokemon Burning Shadows,Kiawe [League] #116A,$0.45
961057,Pokemon Burning Shadows,Kiawe [Reverse Holo] #116,$0.40
960815,Pokemon Burning Shadows,Kingdra #31,$1.27
960980,Pokemon Burning Shadows,Kingdra [Reverse Holo] #31,$0.73
960876,Pokemon Burning Shadows,Kirlia #92,$0.34
2425200,Pokemon Burning Shadows,Kirlia #92a,$3.29
961035,Pokemon Burning Shadows,Kirlia [Reverse Holo] #92,$0.76
960901,Pokemon Burning Shadows,Lana #117,$0.18
961058,Pokemon Burning Shadows,Lana [Reverse Holo] #117,$0.36
960794,Pokemon Burning Shadows,Ledian #10,$0.23
960963,Pokemon Burning Shadows,Ledian [Reverse Holo] #10,$0.44
960793,Pokemon Burning Shadows,Ledyba #9,$0.19
960962,Pokemon Burning Shadows,Ledyba [Reverse Holo] #9,$0.33
960855,Pokemon Burning Shadows,Lucario #71,$1.35
961017,Pokemon Burning Shadows,Lucario [Reverse Holo] #71,$1.53
8746004,Pokemon Burning Shadows,Luminous Frost Theme Deck,$11.99
960852,Pokemon Burning Shadows,Lunatone #68,$0.16
961014,Pokemon Burning Shadows,Lunatone [Reverse Holo] #68,$0.62
960859,Pokemon Burning Shadows,Lycanroc #75,$0.52
960860,Pokemon Burning Shadows,Lycanroc #76,$0.25
960920,Pokemon Burning Shadows,Lycanroc GX #136,$3.99
960939,Pokemon Burning Shadows,Lycanroc GX #155,$13.18
4020808,Pokemon Burning Shadows,Lycanroc [Cracked Ice] #76,$1.90
961021,Pokemon Burning Shadows,Lycanroc [Reverse Holo] #75,$0.85
961022,Pokemon Burning Shadows,Lycanroc [Reverse Holo] #76,$0.50
960919,Pokemon Burning Shadows,Machamp GX #135,$7.71
960938,Pokemon Burning Shadows,Machamp GX #154,$16.83
960848,Pokemon Burning Shadows,Machamp GX #64,$4.16
960816,Pokemon Burning Shadows,Magikarp #32,$0.72
960981,Pokemon Burning Shadows,Magikarp [Reverse Holo] #32,$1.97
960874,Pokemon Burning Shadows,Malamar #90,$0.20
961033,Pokemon Burning Shadows,Malamar [Reverse Holo] #90,$0.40
960817,Pokemon Burning Shadows,Marill #34,$0.72
