id,console-name,product-name,loose-price
926274,Pokemon Call of Legends,Ampharos #23,$1.99
926380,Pokemon Call of Legends,Ampharos [Reverse Holo] #23,$13.25
926291,Pokemon Call of Legends,Bayleef #40,$1.28
926397,Pokemon Call of Legends,Bayleef [Reverse Holo] #40,$3.68
6943454,Pokemon Call of Legends,Blister Pack,$897.16
2245015,Pokemon Call of Legends,Booster Box,$10300.00
2245016,Pokemon Call of Legends,Booster Pack,$390.86
926327,Pokemon Call of Legends,Cheerleader's Cheer #76,$0.90
926433,Pokemon Call of Legends,Cheerleader's Cheer [Reverse Holo] #76,$2.42
926304,Pokemon Call of Legends,Chikorita #53,$1.49
926410,Pokemon Call of Legends,Chikorita [Reverse Holo] #53,$6.50
926252,Pokemon Call of Legends,Clefable #1,$5.64
926358,Pokemon Call of Legends,Clefable [Reverse Holo] #1,$5.00
926305,Pokemon Call of Legends,Clefairy #54,$0.70
926411,Pokemon Call of Legends,Clefairy [Reverse Holo] #54,$5.86
926275,Pokemon Call of Legends,Cleffa #24,$3.91
926381,Pokemon Call of Legends,Cleffa [Reverse Holo] #24,$10.36
926328,Pokemon Call of Legends,Copycat #77,$0.45
926434,Pokemon Call of Legends,Copycat [Reverse Holo] #77,$4.00
926292,Pokemon Call of Legends,Croconaw #41,$2.22
926398,Pokemon Call of Legends,Croconaw [Reverse Holo] #41,$4.08
926306,Pokemon Call of Legends,Cyndaquil #55,$1.39
926412,Pokemon Call of Legends,Cyndaquil [Reverse Holo] #55,$11.55
926337,Pokemon Call of Legends,Darkness Energy #86,$1.29
926345,Pokemon Call of Legends,Darkness Energy #94,$95.00
9709338,Pokemon Call of Legends,Darkness Energy [Play] #94,$130.19
926443,Pokemon Call of Legends,Darkness Energy [Reverse Holo] #86,$7.16
926253,Pokemon Call of Legends,Deoxys #2,$16.62
926347,Pokemon Call of Legends,Deoxys #SL1,$102.50
926359,Pokemon Call of Legends,Deoxys [Reverse Holo] #2,$11.81
926254,Pokemon Call of Legends,Dialga #3,$9.97
926350,Pokemon Call of Legends,Dialga #SL2,$99.75
926360,Pokemon Call of Legends,Dialga [Reverse Holo] #3,$10.32
926293,Pokemon Call of Legends,Donphan #42,$0.64
926399,Pokemon Call of Legends,Donphan [Reverse Holo] #42,$2.12
926329,Pokemon Call of Legends,Dual Ball #78,$0.76
926435,Pokemon Call of Legends,Dual Ball [Reverse Holo] #78,$2.04
926307,Pokemon Call of Legends,Eevee #56,$2.12
926413,Pokemon Call of Legends,Eevee [Reverse Holo] #56,$15.91
926351,Pokemon Call of Legends,Entei #SL3,$92.68
926255,Pokemon Call of Legends,Espeon #4,$25.51
8576445,Pokemon Call of Legends,Espeon [Cosmos Holo] #4,
926361,Pokemon Call of Legends,Espeon [Reverse Holo] #4,$24.50
926276,Pokemon Call of Legends,Feraligatr #25,$6.50
926382,Pokemon Call of Legends,Feraligatr [Reverse Holo] #25,$16.63
926344,Pokemon Call of Legends,Fighting Energy #93,$29.54
6377622,Pokemon Call of Legends,Fighting Energy [Play] #93,$37.50
926340,Pokemon Call of Legends,Fire Energy #89,$45.00
4677966,Pokemon Call of Legends,Fire Energy [Play] #89,$70.91
926294,Pokemon Call of Legends,Flaaffy #43,$0.65
