id,console-name,product-name,loose-price
2618175,Pokemon Celebrations,Blastoise #2,$13.00
4200088,Pokemon Celebrations,Booster Pack,$21.26
4563042,Pokemon Celebrations,Bulbasaur [Jumbo] #44,$3.98
4953155,Pokemon Celebrations,Celebrations Premium Playmat Collection Box [Pikachu V-UNION],$150.65
2618172,Pokemon Celebrations,Charizard #4,$149.56
2945355,Pokemon Celebrations,Charizard [Ultra Premium Collection] #4,$180.53
5917176,Pokemon Celebrations,Charmander [Jumbo] #46,$2.99
4563047,Pokemon Celebrations,Chespin [Jumbo] #XY01,$3.14
4563044,Pokemon Celebrations,Chikorita [Jumbo] #54,$1.33
4957629,Pokemon Celebrations,Chimchar [Jumbo] #76,$1.99
2618186,Pokemon Celebrations,Claydol [Holo] #15,$0.96
2618190,Pokemon Celebrations,Cleffa #20,$2.17
3398884,Pokemon Celebrations,Collector Chest,$121.36
2618159,Pokemon Celebrations,Cosmoem #14,$0.93
2618158,Pokemon Celebrations,Cosmog #13,$0.85
5917175,Pokemon Celebrations,Cyndaquil [Jumbo] #57,$2.16
2618177,Pokemon Celebrations,Dark Gyarados #8,$5.50
6219736,Pokemon Celebrations,Dark Sylveon Tin,$104.00
11199071,Pokemon Celebrations,Dark Sylveon Tin [International],$100.68
2618199,Pokemon Celebrations,Dark Sylveon V #SWSH134,$8.53
3398881,Pokemon Celebrations,Dark Sylveon V Box,$101.24
4562543,Pokemon Celebrations,Dark Sylveon V [Jumbo] #SWSH134,$4.00
3398882,Pokemon Celebrations,Deluxe Pin Collection Box,$90.50
2618165,Pokemon Celebrations,Dialga #20,$0.75
2618185,Pokemon Celebrations,Donphan #107,$2.89
2618197,Pokemon Celebrations,Dragapult #SWSH132,$6.97
3398880,Pokemon Celebrations,Dragapult Prime Box,$56.50
4562548,Pokemon Celebrations,Dragapult [Jumbo] #SWSH132,$3.24
3345755,Pokemon Celebrations,Elite Trainer Box,$254.75
3345833,Pokemon Celebrations,Elite Trainer Box [Pokemon Center],$405.00
4991262,Pokemon Celebrations,Fennekin [Jumbo] #XY02,$2.86
8473907,Pokemon Celebrations,First Partner Pack [Alola],$21.03
8473908,Pokemon Celebrations,First Partner Pack [Galar],$16.26
8473901,Pokemon Celebrations,First Partner Pack [Hoenn],$17.98
8473899,Pokemon Celebrations,First Partner Pack [Johto],$9.14
8473905,Pokemon Celebrations,First Partner Pack [Kalos],$6.45
8473232,Pokemon Celebrations,First Partner Pack [Kanto],$20.00
8473902,Pokemon Celebrations,First Partner Pack [Sinnoh],$9.08
8473904,Pokemon Celebrations,First Partner Pack [Unova],$15.84
2618151,Pokemon Celebrations,Flying Pikachu V #6,$2.99
2618152,Pokemon Celebrations,Flying Pikachu VMAX #7,$5.37
8470180,Pokemon Celebrations,Froakie [Jumbo] #XY03,$3.50
2618192,Pokemon Celebrations,Garchomp C LV.X #145,$5.60
2618173,Pokemon Celebrations,Gardevoir EX #93,$8.99
9906844,Pokemon Celebrations,Genesect Mythical Collection Box,$250.00
2618209,Pokemon Celebrations,Greninja [Gold Star] #SWSH144,$25.04
4563040,Pokemon Celebrations,Grookey [Jumbo] #SWSH001,$5.54
2618162,Pokemon Celebrations,Groudon #17,$0.99
2618193,Pokemon Celebrations,Here Comes Team Rocket #15,$1.62
2618146,Pokemon Celebrations,Ho-oh #1,$0.85
2618203,Pokemon Celebrations,Hydreigon C #SWSH138,$1.70
4562545,Pokemon Celebrations,Hydreigon C [Jumbo] #SWSH138,$7.99
2618194,Pokemon Celebrations,Imposter Professor Oak #73,$1.67
9906842,Pokemon Celebrations,Keldeo Mythical Collection Box,$297.50
2618148,Pokemon Celebrations,Kyogre #3,$0.55
2618198,Pokemon Celebrations,Lance's Charizard V #SWSH133,$9.11
4357443,Pokemon Celebrations,Lance's Charizard V Big Tin,$124.95
3398879,Pokemon Celebrations,Lance's Charizard V Box,$106.44
4357442,Pokemon Celebrations,Lance's Charizard V Tin,$100.00
4644651,Pokemon Celebrations,Lance's Charizard V [Jumbo] #SWSH133,$4.25
2618202,Pokemon Celebrations,Light Toxtricity #SWSH137,$6.00
4562544,Pokemon Celebrations,Light Toxtricity [Jumbo] #SWSH137,$11.78
7963907,Pokemon Celebrations,Litten [Jumbo] #SM02,$3.99
2618167,Pokemon Celebrations,Lugia #22,$1.51
2618160,Pokemon Celebrations,Lunala #15,$0.86
2618180,Pokemon Celebrations,Luxray GL LV.X #109,$3.00
2618191,Pokemon Celebrations,M Rayquaza EX #76,$35.00
9906847,Pokemon Celebrations,Manaphy Mythical Collection Box,$200.00
9906839,Pokemon Celebrations,Meloetta Mythical Collection Box,$287.50
2618156,Pokemon Celebrations,Mew #11,$4.25
2618170,Pokemon Celebrations,Mew #25,$48.26
2618183,Pokemon Celebrations,Mew EX #88,$14.33
2618182,Pokemon Celebrations,Mewtwo EX #54,$10.94
2618201,Pokemon Celebrations,Mimikyu #SWSH136,$9.99
4562547,Pokemon Celebrations,Mimikyu [Jumbo] #SWSH136,$20.94
9127948,Pokemon Celebrations,Mini Tin Display,$350.00
10909119,Pokemon Celebrations,Mini Tin: Kanto,$41.98
5167988,Pokemon Celebrations,Mudkip [Jumbo] #59,$2.95
5427285,Pokemon Celebrations,Oshawott [Jumbo] #BW03,$1.85
2618149,Pokemon Celebrations,Palkia #4,$0.60
2618150,Pokemon Celebrations,Pikachu #5,$4.73
2618178,Pokemon Celebrations,Pikachu Birthday #24,$29.37
2618204,Pokemon Celebrations,Pikachu V #SWSH143,$7.41
2618210,Pokemon Celebrations,Pikachu V #SWSH145,$73.67
2618205,Pokemon Celebrations,Pikachu V Union #SWSH139,$4.47
2618206,Pokemon Celebrations,Pikachu V Union #SWSH140,$3.78
2618207,Pokemon Celebrations,Pikachu V Union #SWSH141,$7.25
2618208,Pokemon Celebrations,Pikachu V Union #SWSH142,$5.99
2618196,Pokemon Celebrations,Pikachu VMAX #SWSH062,$13.23
5427273,Pokemon Celebrations,Pikachu [Jumbo] #58,$6.90
2945367,Pokemon Celebrations,Pikachu [Ultra Premium Collection] #58,$86.97
4957633,Pokemon Celebrations,Piplup [Jumbo] #93,$3.50
2618211,Pokemon Celebrations,Poke Ball #SWSH146,$22.00
7963906,Pokemon Celebrations,Popplio [Jumbo] #SM03,$2.82
3808297,Pokemon Celebrations,Premium Figure Collection Pikachu VMAX Box,$155.00
3808294,Pokemon Celebrations,Prime Collection,$198.36
2720032,Pokemon Celebrations,Professor Burnet #SWSH167,$0.39
2618168,Pokemon Celebrations,Professor's Research #23,$1.06
2618169,Pokemon Celebrations,Professor's Research #24,$2.25
2618174,Pokemon Celebrations,Reshiram #113,$13.50
2618147,Pokemon Celebrations,Reshiram #2,$1.02
2618195,Pokemon Celebrations,Rocket's Admin. #86,$1.38
2618179,Pokemon Celebrations,Rocket's Zapdos #15,$3.63
4563039,Pokemon Celebrations,Rowlet [Jumbo] #SM01,$3.24
5167984,Pokemon Celebrations,Scorbunny [Jumbo] #SWSH002,$3.13
11277888,Pokemon Celebrations,Sealed 25th Anniversary Golden Box,
2618176,Pokemon Celebrations,Shining Magikarp #66,$34.61
4563048,Pokemon Celebrations,Snivy [Jumbo] #BW01,$1.40
5435559,Pokemon Celebrations,Sobble [Jumbo] #SWSH003,$3.74
2618166,Pokemon Celebrations,Solgaleo #21,$0.77
3398883,Pokemon Celebrations,Special Collection: Pikachu V-UNION Box,$122.10
5917171,Pokemon Celebrations,Squirtle [Jumbo] #63,$6.52
2618153,Pokemon Celebrations,Surfing Pikachu V #8,$2.96
2618154,Pokemon Celebrations,Surfing Pikachu VMAX #9,$4.99
2618184,Pokemon Celebrations,Tapu Lele GX #60,$3.99
2618187,Pokemon Celebrations,Team Magma's Groudon #9,$2.24
5427284,Pokemon Celebrations,Tepig [Jumbo] #BW02,$1.34
5167987,Pokemon Celebrations,Torchic [Jumbo] #74,$1.65
5917166,Pokemon Celebrations,Totodile [Jumbo] #81,$2.38
4563043,Pokemon Celebrations,Treecko [Jumbo] #76,$1.99
4563045,Pokemon Celebrations,Turtwig [Jumbo] #103,$2.50
3169085,Pokemon Celebrations,Ultra Premium Collection Box,$923.83
2618188,Pokemon Celebrations,Umbreon #17,$65.92
3398885,Pokemon Celebrations,V Memories Collection Box,$134.74
2618171,Pokemon Celebrations,Venusaur #15,$11.00
9906845,Pokemon Celebrations,Victini Mythical Collection Box,$362.27
2618157,Pokemon Celebrations,Xerneas #12,$0.75
2618189,Pokemon Celebrations,Xerneas EX #97,$4.54
2618164,Pokemon Celebrations,Yveltal #19,$0.97
2618200,Pokemon Celebrations,Zacian LV #SWSH135,$3.48
2618161,Pokemon Celebrations,Zacian V #16,$1.95
2618163,Pokemon Celebrations,Zamazenta V #18,$1.43
2618155,Pokemon Celebrations,Zekrom #10,$1.00
2618181,Pokemon Celebrations,Zekrom #114,$17.63
