id,console-name,product-name,loose-price
962037,Pokemon Celestial Storm,Acro Bike #123,$0.50
9088652,Pokemon Celestial Storm,Acro Bike #123A,$2.52
962091,Pokemon Celestial Storm,Acro Bike #178,$15.99
962204,Pokemon Celestial Storm,Acro Bike [Reverse Holo] #123,$0.88
961999,Pokemon Celestial Storm,Alolan Raticate GX #85,$1.99
961998,Pokemon Celestial Storm,Alolan Rattata #84,$0.29
962172,Pokemon Celestial Storm,Alolan Rattata [Reverse Holo] #84,$0.93
962038,Pokemon Celestial Storm,Apricorn Maker #124,$0.25
962074,Pokemon Celestial Storm,Apricorn Maker #161,$16.00
962205,Pokemon Celestial Storm,Apricorn Maker [Reverse Holo] #124,$0.64
961920,Pokemon Celestial Storm,Ariados #6,$0.77
962102,Pokemon Celestial Storm,Ariados [Reverse Holo] #6,$0.98
962067,Pokemon Celestial Storm,Articuno GX #154,$19.58
962084,Pokemon Celestial Storm,Articuno GX #171,$57.19
961945,Pokemon Celestial Storm,Articuno GX #31,$8.12
962017,Pokemon Celestial Storm,Bagon #103,$0.21
962018,Pokemon Celestial Storm,Bagon #104,$0.20
962187,Pokemon Celestial Storm,Bagon [Reverse Holo] #103,$0.50
962188,Pokemon Celestial Storm,Bagon [Reverse Holo] #104,$0.75
961992,Pokemon Celestial Storm,Baltoy #78,$0.25
962167,Pokemon Celestial Storm,Baltoy [Reverse Holo] #78,$0.32
961979,Pokemon Celestial Storm,Banette #65,$0.39
962070,Pokemon Celestial Storm,Banette GX #157,$7.95
962087,Pokemon Celestial Storm,Banette GX #174,$26.94
961980,Pokemon Celestial Storm,Banette GX #66,$2.49
962155,Pokemon Celestial Storm,Banette [Reverse Holo] #65,$1.25
962039,Pokemon Celestial Storm,Beast Ball #125,$0.45
962206,Pokemon Celestial Storm,Beast Ball [Reverse Holo] #125,$1.29
962006,Pokemon Celestial Storm,Beldum #92,$0.30
962007,Pokemon Celestial Storm,Beldum #93,$0.20
962178,Pokemon Celestial Storm,Beldum [Reverse Holo] #92,$0.45
962179,Pokemon Celestial Storm,Beldum [Reverse Holo] #93,$0.46
961915,Pokemon Celestial Storm,Bellsprout #1,$0.25
962097,Pokemon Celestial Storm,Bellsprout [Reverse Holo] #1,$0.85
962040,Pokemon Celestial Storm,Bill's Maintenance #126,$0.30
962075,Pokemon Celestial Storm,Bill's Maintenance #162,$18.40
962207,Pokemon Celestial Storm,Bill's Maintenance [Reverse Holo] #126,$0.47
962066,Pokemon Celestial Storm,Blaziken GX #153,$40.12
962083,Pokemon Celestial Storm,Blaziken GX #170,$60.00
961942,Pokemon Celestial Storm,Blaziken GX #28,$8.80
2244955,Pokemon Celestial Storm,Booster Box,$2113.15
2244956,Pokemon Celestial Storm,Booster Pack,$69.75
961933,Pokemon Celestial Storm,Cacnea #19,$0.25
962114,Pokemon Celestial Storm,Cacnea [Reverse Holo] #19,$0.33
961934,Pokemon Celestial Storm,Cacturne #20,$0.33
962115,Pokemon Celestial Storm,Cacturne [Reverse Holo] #20,$0.44
962014,Pokemon Celestial Storm,Celesteela #100,$2.82
8189610,Pokemon Celestial Storm,Celesteela [Pokemon League] #100,$2.65
962185,Pokemon Celestial Storm,Celesteela [Reverse Holo] #100,$3.06
961963,Pokemon Celestial Storm,Chinchou #49,$0.15
962141,Pokemon Celestial Storm,Chinchou [Reverse Holo] #49,$0.37
961955,Pokemon Celestial Storm,Clamperl #41,$0.25
962134,Pokemon Celestial Storm,Clamperl [Reverse Holo] #41,$0.47
961993,Pokemon Celestial Storm,Claydol #79,$0.25
962168,Pokemon Celestial Storm,Claydol [Reverse Holo] #79,$0.39
961941,Pokemon Celestial Storm,Combusken #27,$0.40
962122,Pokemon Celestial Storm,Combusken [Reverse Holo] #27,$0.46
962041,Pokemon Celestial Storm,Copycat #127,$0.20
962076,Pokemon Celestial Storm,Copycat #163,$32.99
962208,Pokemon Celestial Storm,Copycat [Reverse Holo] #127,$0.46
962035,Pokemon Celestial Storm,Delcatty #121,$1.00
962202,Pokemon Celestial Storm,Delcatty [Reverse Holo] #121,$1.24
961981,Pokemon Celestial Storm,Deoxys #67,$4.17
961982,Pokemon Celestial Storm,Deoxys #68,$0.50
961983,Pokemon Celestial Storm,Deoxys #69,$1.40
962156,Pokemon Celestial Storm,Deoxys [Reverse Holo] #67,$3.97
962157,Pokemon Celestial Storm,Deoxys [Reverse Holo] #68,$2.83
962158,Pokemon Celestial Storm,Deoxys [Reverse Holo] #69,$1.95
961936,Pokemon Celestial Storm,Dhelmise #22,$0.29
962117,Pokemon Celestial Storm,Dhelmise [Reverse Holo] #22,$0.89
961987,Pokemon Celestial Storm,Donphan #73,$0.24
962162,Pokemon Celestial Storm,Donphan [Reverse Holo] #73,$0.45
962024,Pokemon Celestial Storm,Dunsparce #110,$0.27
962191,Pokemon Celestial Storm,Dunsparce [Reverse Holo] #110,$0.49
961965,Pokemon Celestial Storm,Electrike #51,$0.29
962234,Pokemon Celestial Storm,Electrike [Reverse Holo] #51,$0.37
962068,Pokemon Celestial Storm,Electrode GX #155,$9.00
962085,Pokemon Celestial Storm,Electrode GX #172,$17.00
961962,Pokemon Celestial Storm,Electrode GX #48,$4.57
4780178,Pokemon Celestial Storm,Elite Trainer Box,$1500.86
962042,Pokemon Celestial Storm,Energy Recycle System #128,$0.25
962209,Pokemon Celestial Storm,Energy Recycle System [Reverse Holo] #128,$0.47
962043,Pokemon Celestial Storm,Energy Switch #129,$0.63
962210,Pokemon Celestial Storm,Energy Switch [Reverse Holo] #129,$1.25
10032226,Pokemon Celestial Storm,Evolution Celebration Tin [Glaceon GX],$137.90
10032225,Pokemon Celestial Storm,Evolution Celebration Tin [Leafeon GX],$117.66
10032230,Pokemon Celestial Storm,Evolution Celebration Tin [Sylveon GX],$137.42
962033,Pokemon Celestial Storm,Exploud #119,$0.37
962200,Pokemon Celestial Storm,Exploud [Reverse Holo] #119,$0.84
962044,Pokemon Celestial Storm,Fisherman #130,$0.45
962211,Pokemon Celestial Storm,Fisherman [Reverse Holo] #130,$0.50
962045,Pokemon Celestial Storm,Friend Ball #131,$0.32
962212,Pokemon Celestial Storm,Friend Ball [Reverse Holo] #131,$0.87
961957,Pokemon Celestial Storm,Gorebyss #43,$0.26
962136,Pokemon Celestial Storm,Gorebyss [Reverse Holo] #43,$0.42
961995,Pokemon Celestial Storm,Groudon #81,$1.91
5065224,Pokemon Celestial Storm,Groudon [Legendary Pokemon] #81,$19.35
962170,Pokemon Celestial Storm,Groudon [Reverse Holo] #81,$2.25
961923,Pokemon Celestial Storm,Grovyle #9,$0.42
962105,Pokemon Celestial Storm,Grovyle [Reverse Holo] #9,$0.76
961974,Pokemon Celestial Storm,Grumpig #60,$0.47
962149,Pokemon Celestial Storm,Grumpig [Reverse Holo] #60,$0.58
961971,Pokemon Celestial Storm,Gulpin #57,$0.69
962145,Pokemon Celestial Storm,Gulpin [Reverse Holo] #57,$1.47
962046,Pokemon Celestial Storm,Hau #132,$0.30
962213,Pokemon Celestial Storm,Hau [Reverse Holo] #132,$0.37
962012,Pokemon Celestial Storm,Heatran #98,$0.53
962183,Pokemon Celestial Storm,Heatran [Reverse Holo] #98,$0.68
962047,Pokemon Celestial Storm,Hiker #133,$0.22
962214,Pokemon Celestial Storm,Hiker [Reverse Holo] #133,$0.32
961956,Pokemon Celestial Storm,Huntail #42,$0.38
962135,Pokemon Celestial Storm,Huntail [Reverse Holo] #42,$1.33
962233,Pokemon Celestial Storm,Hustle Belt #134,$0.35
962092,Pokemon Celestial Storm,Hustle Belt #179,$6.70
962215,Pokemon Celestial Storm,Hustle Belt [Reverse Holo] #134,$0.66
961932,Pokemon Celestial Storm,Illumise #18,$0.35
962113,Pokemon Celestial Storm,Illumise [Reverse Holo] #18,$0.49
962011,Pokemon Celestial Storm,Jirachi Prism Star #97,$7.00
962015,Pokemon Celestial Storm,Kartana #101,$0.67
962186,Pokemon Celestial Storm,Kartana [Reverse Holo] #101,$1.49
962036,Pokemon Celestial Storm,Kecleon #122,$0.34
962203,Pokemon Celestial Storm,Kecleon [Reverse Holo] #122,$0.54
961960,Pokemon Celestial Storm,Kyogre #46,$3.17
962139,Pokemon Celestial Storm,Kyogre [Reverse Holo] #46,$3.37
961964,Pokemon Celestial Storm,Lanturn #50,$0.25
962142,Pokemon Celestial Storm,Lanturn [Reverse Holo] #50,$0.42
961988,Pokemon Celestial Storm,Larvitar #74,$0.30
962163,Pokemon Celestial Storm,Larvitar [Reverse Holo] #74,$1.02
962048,Pokemon Celestial Storm,Last Chance Potion #135,$0.35
962216,Pokemon Celestial Storm,Last Chance Potion [Reverse Holo] #135,$0.63
962021,Pokemon Celestial Storm,Latias Prism Star #107,$8.23
962022,Pokemon Celestial Storm,Latios Prism Star #108,$10.25
962049,Pokemon Celestial Storm,Life Herb #136,$0.17
962093,Pokemon Celestial Storm,Life Herb #180,$6.39
962217,Pokemon Celestial Storm,Life Herb [Reverse Holo] #136,$0.83
962050,Pokemon Celestial Storm,Lisia #137,$0.37
962077,Pokemon Celestial Storm,Lisia #164,$183.99
962218,Pokemon Celestial Storm,Lisia [Reverse Holo] #137,$0.81
961951,Pokemon Celestial Storm,Lombre #37,$0.26
962130,Pokemon Celestial Storm,Lombre [Reverse Holo] #37,$0.36
961950,Pokemon Celestial Storm,Lotad #36,$0.30
962129,Pokemon Celestial Storm,Lotad [Reverse Holo] #36,$0.57
962032,Pokemon Celestial Storm,Loudred #118,$0.25
962199,Pokemon Celestial Storm,Loudred [Reverse Holo] #118,$0.42
961952,Pokemon Celestial Storm,Ludicolo #38,$0.97
962131,Pokemon Celestial Storm,Ludicolo [Reverse Holo] #38,$1.17
961984,Pokemon Celestial Storm,Lunala #70,$1.54
962159,Pokemon Celestial Storm,Lunala [Reverse Holo] #70,$1.97
961975,Pokemon Celestial Storm,Lunatone #61,$0.53
962150,Pokemon Celestial Storm,Lunatone [Reverse Holo] #61,$0.58
962051,Pokemon Celestial Storm,Lure Ball #138,$0.40
962219,Pokemon Celestial Storm,Lure Ball [Reverse Holo] #138,$0.57
961958,Pokemon Celestial Storm,Luvdisc #44,$1.49
962137,Pokemon Celestial Storm,Luvdisc [Reverse Holo] #44,$5.21
961938,Pokemon Celestial Storm,Magcargo #24,$1.03
6245984,Pokemon Celestial Storm,Magcargo [1st Place League] #24,$3.91
962119,Pokemon Celestial Storm,Magcargo [Reverse Holo] #24,$4.26
961966,Pokemon Celestial Storm,Manectric #52,$0.39
962143,Pokemon Celestial Storm,Manectric [Reverse Holo] #52,$0.44
961948,Pokemon Celestial Storm,Marshtomp #34,$0.75
962127,Pokemon Celestial Storm,Marshtomp [Reverse Holo] #34,$0.97
962052,Pokemon Celestial Storm,Masked Royal #139,$0.25
962220,Pokemon Celestial Storm,Masked Royal [Reverse Holo] #139,$0.37
961930,Pokemon Celestial Storm,Masquerain #16,$0.21
962111,Pokemon Celestial Storm,Masquerain [Reverse Holo] #16,$0.47
962005,Pokemon Celestial Storm,Mawile #91,$0.47
962177,Pokemon Celestial Storm,Mawile [Reverse Holo] #91,$0.66
961991,Pokemon Celestial Storm,Medicham #77,$0.22
962166,Pokemon Celestial Storm,Medicham [Reverse Holo] #77,$0.68
961990,Pokemon Celestial Storm,Meditite #76,$0.21
962165,Pokemon Celestial Storm,Meditite [Reverse Holo] #76,$0.39
962009,Pokemon Celestial Storm,Metagross #95,$1.19
4990416,Pokemon Celestial Storm,Metagross [League Promo] #95,$1.36
962181,Pokemon Celestial Storm,Metagross [Reverse Holo] #95,$2.30
962008,Pokemon Celestial Storm,Metang #94,$0.27
962180,Pokemon Celestial Storm,Metang [Reverse Holo] #94,$0.43
11972792,Pokemon Celestial Storm,Mini Booster Pack,$6.50
