id,console-name,product-name,loose-price
12579986,Pokemon Chaos Rising,3 Pack Blister: Charmeleon,$37.69
13025520,Pokemon Chaos Rising,AZ's Tranquility #106,$11.94
13025521,Pokemon Chaos Rising,AZ's Tranquility #120,$67.62
13025518,Pokemon Chaos Rising,AZ's Tranquility #76,$1.00
13025719,Pokemon Chaos Rising,AZ's Tranquility [Reverse Holo] #76,$1.15
13025514,Pokemon Chaos Rising,Adversity Policy #74,$0.40
13025710,Pokemon Chaos Rising,Adversity Policy [Reverse Holo] #74,
13025515,Pokemon Chaos Rising,Ampharos #29,$0.73
13025516,Pokemon Chaos Rising,Ampharos #90,$32.74
13025517,Pokemon Chaos Rising,Ange Floette #75,$0.50
13025711,Pokemon Chaos Rising,Ange Floette [Reverse Holo] #75,
13025519,Pokemon Chaos Rising,Avalugg #24,$0.73
13025673,Pokemon Chaos Rising,Avalugg [Reverse Holo] #24,
13025522,Pokemon Chaos Rising,Baltoy #46,$0.50
13025690,Pokemon Chaos Rising,Baltoy [Reverse Holo] #46,
13025623,Pokemon Chaos Rising,Beedrill ex #3,$3.99
13025523,Pokemon Chaos Rising,Beedrill ex #98,$12.92
13025524,Pokemon Chaos Rising,Beldum #59,$0.45
13025699,Pokemon Chaos Rising,Beldum [Reverse Holo] #59,
13025525,Pokemon Chaos Rising,Bergmite #23,$0.49
13025671,Pokemon Chaos Rising,Bergmite [Reverse Holo] #23,
12579973,Pokemon Chaos Rising,Booster Box,$240.00
12579984,Pokemon Chaos Rising,Booster Bundle,$54.36
12579974,Pokemon Chaos Rising,Booster Pack,$12.38
13025526,Pokemon Chaos Rising,Braixen #12,$0.50
13025664,Pokemon Chaos Rising,Braixen [Reverse Holo] #12,
13025527,Pokemon Chaos Rising,Bubbly W Energy #84,$0.40
12579982,Pokemon Chaos Rising,Build & Battle Box,$58.20
12579983,Pokemon Chaos Rising,Build & Battle Display,$504.06
13025528,Pokemon Chaos Rising,Carnivine #4,$1.04
13025658,Pokemon Chaos Rising,Carnivine [Reverse Holo] #4,
13025529,Pokemon Chaos Rising,Chesnaught #7,$1.30
13025530,Pokemon Chaos Rising,Chespin #5,$0.49
13025531,Pokemon Chaos Rising,Chespin #87,$13.95
13025659,Pokemon Chaos Rising,Chespin [Reverse Holo] #5,
13025533,Pokemon Chaos Rising,Cinccino ex #105,$7.99
13025534,Pokemon Chaos Rising,Cinccino ex #119,$109.99
13025532,Pokemon Chaos Rising,Cinccino ex #73,$2.74
13025535,Pokemon Chaos Rising,Claydol #47,$0.49
13025635,Pokemon Chaos Rising,Claydol #92,$8.91
13025691,Pokemon Chaos Rising,Claydol [Reverse Holo] #47,
13025542,Pokemon Chaos Rising,Cobalion ex #103,$11.46
13025536,Pokemon Chaos Rising,Cobalion ex #64,$0.89
13025539,Pokemon Chaos Rising,Crobat #51,$0.99
13025538,Pokemon Chaos Rising,Crobat #93,$14.66
13025537,Pokemon Chaos Rising,Delibird #18,$0.38
13025668,Pokemon Chaos Rising,Delibird [Reverse Holo] #18,
13025548,Pokemon Chaos Rising,Delphox #13,$1.40
13025627,Pokemon Chaos Rising,Deoxys #31,$0.91
13025540,Pokemon Chaos Rising,Deoxys #32,$1.44
13025541,Pokemon Chaos Rising,Deoxys #33,$0.95
13025571,Pokemon Chaos Rising,Deoxys #34,$1.71
13025678,Pokemon Chaos Rising,Deoxys [Reverse Holo] #31,$1.95
13025679,Pokemon Chaos Rising,Deoxys [Reverse Holo] #32,
13025680,Pokemon Chaos Rising,Deoxys [Reverse Holo] #33,$2.49
13025681,Pokemon Chaos Rising,Deoxys [Reverse Holo] #34,$1.78
13025543,Pokemon Chaos Rising,Donphan #45,$1.59
13025689,Pokemon Chaos Rising,Donphan [Reverse Holo] #45,
12579978,Pokemon Chaos Rising,Elite Trainer Box,$100.27
12579980,Pokemon Chaos Rising,Elite Trainer Box [Pokemon Center],$233.70
13025544,Pokemon Chaos Rising,Emma #107,$9.98
13025547,Pokemon Chaos Rising,Emma #77,$0.50
13025712,Pokemon Chaos Rising,Emma [Reverse Holo] #77,
13025546,Pokemon Chaos Rising,Emolga #30,$1.15
13025677,Pokemon Chaos Rising,Emolga [Reverse Holo] #30,
13025545,Pokemon Chaos Rising,Energy Retrieval #108,$6.98
13025555,Pokemon Chaos Rising,Espurr #36,$1.23
13025683,Pokemon Chaos Rising,Espurr [Reverse Holo] #36,
13025549,Pokemon Chaos Rising,Fennekin #11,$0.89
13025663,Pokemon Chaos Rising,Fennekin [Reverse Holo] #11,
13025550,Pokemon Chaos Rising,Ferroseed #62,$0.49
13025705,Pokemon Chaos Rising,Ferroseed [Reverse Holo] #62,
13025551,Pokemon Chaos Rising,Ferrothorn #63,$0.50
13025703,Pokemon Chaos Rising,Ferrothorn [Reverse Holo] #63,$1.98
13025552,Pokemon Chaos Rising,Flaaffy #28,$0.74
13025676,Pokemon Chaos Rising,Flaaffy [Reverse Holo] #28,
13025553,Pokemon Chaos Rising,Froakie #20,$0.96
13025625,Pokemon Chaos Rising,Froakie #88,$39.32
13025669,Pokemon Chaos Rising,Froakie [Reverse Holo] #20,
13025554,Pokemon Chaos Rising,Frogadier #21,$0.97
13025629,Pokemon Chaos Rising,Frogadier #89,$30.00
13025670,Pokemon Chaos Rising,Frogadier [Reverse Holo] #21,
13025556,Pokemon Chaos Rising,Garbodor #57,$1.04
13025700,Pokemon Chaos Rising,Garbodor [Reverse Holo] #57,
13025558,Pokemon Chaos Rising,Golbat #50,$0.50
13025693,Pokemon Chaos Rising,Golbat [Reverse Holo] #50,
13025557,Pokemon Chaos Rising,Golisopod #26,$0.40
13025674,Pokemon Chaos Rising,Golisopod [Reverse Holo] #26,
13025566,Pokemon Chaos Rising,Goodra #68,$0.82
13025559,Pokemon Chaos Rising,Goomy #66,$0.45
13025704,Pokemon Chaos Rising,Goomy [Reverse Holo] #66,
13025562,Pokemon Chaos Rising,Gourgeist ex #102,$4.74
13025560,Pokemon Chaos Rising,Gourgeist ex #41,$0.98
13025561,Pokemon Chaos Rising,Great Haul Net #78,$1.36
13025714,Pokemon Chaos Rising,Great Haul Net [Reverse Holo] #78,
13067533,Pokemon Chaos Rising,Half Booster Box,
13025632,Pokemon Chaos Rising,Ho-Oh #10,$0.39
13067534,Pokemon Chaos Rising,Ho-Oh [EBGames Stamped],
13025565,Pokemon Chaos Rising,Jumbo Ice Cream #109,$8.96
13025563,Pokemon Chaos Rising,Kakuna #2,$0.49
13025657,Pokemon Chaos Rising,Kakuna [Reverse Holo] #2,
13025564,Pokemon Chaos Rising,Keldeo #19,$1.54
13025567,Pokemon Chaos Rising,Krookodile ex #55,$1.14
13025631,Pokemon Chaos Rising,Litleo #14,$0.49
13025665,Pokemon Chaos Rising,Litleo [Reverse Holo] #14,
13025569,Pokemon Chaos Rising,Magnetic M Energy #85,$0.65
13025568,Pokemon Chaos Rising,Mareep #27,$0.57
13025675,Pokemon Chaos Rising,Mareep [Reverse Holo] #27,
13025572,Pokemon Chaos Rising,Mega Dragalge ex #104,$30.16
13025573,Pokemon Chaos Rising,Mega Dragalge ex #118,$109.99
13025570,Pokemon Chaos Rising,Mega Dragalge ex #65,$3.19
13020382,Pokemon Chaos Rising,Mega Floette Ex #35,$3.48
13025682,Pokemon Chaos Rising,Mega Floette Ex [Reverse Holo] #35,
13025633,Pokemon Chaos Rising,Mega Floette ex #101,$18.65
13025575,Pokemon Chaos Rising,Mega Floette ex #117,$89.00
13025576,Pokemon Chaos Rising,Mega Gallade ex #48,$0.99
13025580,Pokemon Chaos Rising,Mega Greninja ex #100,$54.67
13025578,Pokemon Chaos Rising,Mega Greninja ex #116,$600.00
13025579,Pokemon Chaos Rising,Mega Greninja ex #122,$500.00
13025577,Pokemon Chaos Rising,Mega Greninja ex #22,$6.99
13025581,Pokemon Chaos Rising,Mega Pyroar ex #15,$1.06
13025582,Pokemon Chaos Rising,Mega Pyroar ex #99,$11.50
13025583,Pokemon Chaos Rising,Meowstic #37,$0.74
13025684,Pokemon Chaos Rising,Meowstic [Reverse Holo] #37,
13025584,Pokemon Chaos Rising,Metagross #61,$2.90
13025702,Pokemon Chaos Rising,Metagross [Reverse Holo] #61,$1.09
13025585,Pokemon Chaos Rising,Metang #60,$0.46
13025586,Pokemon Chaos Rising,Metang #94,$13.00
13025701,Pokemon Chaos Rising,Metang [Reverse Holo] #60,
13025587,Pokemon Chaos Rising,Minccino #72,$0.74
13025709,Pokemon Chaos Rising,Minccino [Reverse Holo] #72,
13025588,Pokemon Chaos Rising,Ninetales #9,$1.54
13025662,Pokemon Chaos Rising,Ninetales [Reverse Holo] #9,
13025589,Pokemon Chaos Rising,Nitro R Energy #86,$1.06
13025592,Pokemon Chaos Rising,Octillery #17,$0.52
13025667,Pokemon Chaos Rising,Octillery [Reverse Holo] #17,
13025590,Pokemon Chaos Rising,Patrat #70,$0.33
13025707,Pokemon Chaos Rising,Patrat [Reverse Holo] #70,
13025591,Pokemon Chaos Rising,Phanpy #44,$0.73
13025688,Pokemon Chaos Rising,Phanpy [Reverse Holo] #44,
13025600,Pokemon Chaos Rising,Phantump #38,$0.33
13025685,Pokemon Chaos Rising,Phantump [Reverse Holo] #38,$1.15
13025594,Pokemon Chaos Rising,Philippe #110,$6.99
13025593,Pokemon Chaos Rising,Philippe #79,$0.60
13025715,Pokemon Chaos Rising,Philippe [Reverse Holo] #79,$1.79
12579988,Pokemon Chaos Rising,Premium Checklane Blister: Flygon,
12579987,Pokemon Chaos Rising,Premium Checklane Blister: Pawmot,
13025595,Pokemon Chaos Rising,Prism Tower #111,$15.98
13025596,Pokemon Chaos Rising,Prism Tower #80,$0.59
13025716,Pokemon Chaos Rising,Prism Tower [Reverse Holo] #80,$1.15
13025616,Pokemon Chaos Rising,Pumpkaboo #40,$0.69
13025686,Pokemon Chaos Rising,Pumpkaboo [Reverse Holo] #40,$1.75
13025598,Pokemon Chaos Rising,Quilladin #6,$0.49
13025660,Pokemon Chaos Rising,Quilladin [Reverse Holo] #6,$1.49
13025597,Pokemon Chaos Rising,Qwilfish #52,$1.00
13025694,Pokemon Chaos Rising,Qwilfish [Reverse Holo] #52,
13025599,Pokemon Chaos Rising,Remoraid #16,$0.75
13025666,Pokemon Chaos Rising,Remoraid [Reverse Holo] #16,
13025601,Pokemon Chaos Rising,Roxie's Performance #112,$16.27
13025604,Pokemon Chaos Rising,Roxie's Performance #121,$62.63
13025602,Pokemon Chaos Rising,Roxie's Performance #81,$0.75
13025717,Pokemon Chaos Rising,Roxie's Performance [Reverse Holo] #81,
12579985,Pokemon Chaos Rising,Single Pack Blister: Toxel,$17.71
13025603,Pokemon Chaos Rising,Skrelp #58,$0.46
13025698,Pokemon Chaos Rising,Skrelp [Reverse Holo] #58,
13025605,Pokemon Chaos Rising,Skuntank #54,$0.95
13025697,Pokemon Chaos Rising,Skuntank [Reverse Holo] #54,
12579976,Pokemon Chaos Rising,Sleeved Booster Pack,$10.92
13025606,Pokemon Chaos Rising,Sliggoo #67,$1.05
13025608,Pokemon Chaos Rising,Sliggoo #95,$11.98
13025706,Pokemon Chaos Rising,Sliggoo [Reverse Holo] #67,
13025607,Pokemon Chaos Rising,Special Red Card #113,$28.81
13025609,Pokemon Chaos Rising,Special Red Card #82,$3.00
13025718,Pokemon Chaos Rising,Special Red Card [Reverse Holo] #82,
13025617,Pokemon Chaos Rising,Stunky #53,$0.47
13025695,Pokemon Chaos Rising,Stunky [Reverse Holo] #53,$1.15
13025610,Pokemon Chaos Rising,Sudowoodo #43,$2.99
13025687,Pokemon Chaos Rising,Sudowoodo [Reverse Holo] #43,
13025628,Pokemon Chaos Rising,Surfing Beach #114,$18.18
13025611,Pokemon Chaos Rising,Tauros #69,$0.74
13025626,Pokemon Chaos Rising,Tauros #96,$17.49
13025713,Pokemon Chaos Rising,Tauros [Reverse Holo] #69,
13025614,Pokemon Chaos Rising,Tool Scrapper #115,$6.93
13025612,Pokemon Chaos Rising,Transformation Tome #83,$0.95
13025720,Pokemon Chaos Rising,Transformation Tome [Reverse Holo] #83,
13025613,Pokemon Chaos Rising,Trevenant #39,$0.30
13025615,Pokemon Chaos Rising,Trubbish #56,$0.30
13025696,Pokemon Chaos Rising,Trubbish [Reverse Holo] #56,$2.59
13025619,Pokemon Chaos Rising,Vulpix #8,$0.75
13025661,Pokemon Chaos Rising,Vulpix [Reverse Holo] #8,
13025630,Pokemon Chaos Rising,Watchog #71,$0.25
13025618,Pokemon Chaos Rising,Watchog #97,$6.87
13025708,Pokemon Chaos Rising,Watchog [Reverse Holo] #71,
13025620,Pokemon Chaos Rising,Weedle #1,$0.63
13025656,Pokemon Chaos Rising,Weedle [Reverse Holo] #1,
13025621,Pokemon Chaos Rising,Wimpod #25,$0.49
13025672,Pokemon Chaos Rising,Wimpod [Reverse Holo] #25,$1.15
13025634,Pokemon Chaos Rising,Xerneas #42,$0.65
13025622,Pokemon Chaos Rising,Xerneas #91,$24.99
13025624,Pokemon Chaos Rising,Zubat #49,$0.80
