id,console-name,product-name,loose-price
10109625,Pokemon Chilling Reign,2 Pack Blister,$34.87
10811515,Pokemon Chilling Reign,3 Pack Blister [Eevee],$46.99
2253816,Pokemon Chilling Reign,Abomasnow #10,$0.17
2254044,Pokemon Chilling Reign,Abomasnow [Reverse Holo] #10,$0.17
4476211,Pokemon Chilling Reign,Abomasnow [Snowflake Stamp] #10,$0.51
2253934,Pokemon Chilling Reign,Agatha #129,$0.10
2253990,Pokemon Chilling Reign,Agatha #186,$4.00
2254014,Pokemon Chilling Reign,Agatha #210,$5.44
2254141,Pokemon Chilling Reign,Agatha [Reverse Holo] #129,$0.15
2253916,Pokemon Chilling Reign,Aggron #111,$0.27
2254128,Pokemon Chilling Reign,Aggron [Reverse Holo] #111,$0.27
2253855,Pokemon Chilling Reign,Ampharos #49,$0.21
2254078,Pokemon Chilling Reign,Ampharos [Reverse Holo] #49,$0.45
2253914,Pokemon Chilling Reign,Aron #109,$0.10
2254126,Pokemon Chilling Reign,Aron [Reverse Holo] #109,$0.25
2253935,Pokemon Chilling Reign,Avery #130,$0.10
2253991,Pokemon Chilling Reign,Avery #187,$3.00
2254015,Pokemon Chilling Reign,Avery #211,$5.29
2254142,Pokemon Chilling Reign,Avery [Reverse Holo] #130,$0.25
2253868,Pokemon Chilling Reign,Banette #63,$0.25
2254090,Pokemon Chilling Reign,Banette [Reverse Holo] #63,$0.35
2253809,Pokemon Chilling Reign,Beedrill #3,$0.49
2254039,Pokemon Chilling Reign,Beedrill [Reverse Holo] #3,$0.26
2253965,Pokemon Chilling Reign,Blaziken V #161,$9.94
2253826,Pokemon Chilling Reign,Blaziken V #20,$1.32
7599231,Pokemon Chilling Reign,Blaziken V [Prize Pack] #20,$4.83
2254004,Pokemon Chilling Reign,Blaziken VMAX #200,$23.79
2254005,Pokemon Chilling Reign,Blaziken VMAX #201,$317.14
2253827,Pokemon Chilling Reign,Blaziken VMAX #21,$4.34
2253924,Pokemon Chilling Reign,Blissey V #119,$1.00
2253986,Pokemon Chilling Reign,Blissey V #182,$4.00
2253987,Pokemon Chilling Reign,Blissey V #183,$33.06
11550971,Pokemon Chilling Reign,Blissey V [Prize Pack] #119,$5.94
2253856,Pokemon Chilling Reign,Blitzle #50,$0.10
2254079,Pokemon Chilling Reign,Blitzle [Reverse Holo] #50,$0.46
2261559,Pokemon Chilling Reign,Booster Box,$482.50
2783087,Pokemon Chilling Reign,Booster Pack,$9.01
2253819,Pokemon Chilling Reign,Bounsweet #13,$0.08
2254047,Pokemon Chilling Reign,Bounsweet [Reverse Holo] #13,$0.19
2253936,Pokemon Chilling Reign,Brawly #131,$0.04
2253992,Pokemon Chilling Reign,Brawly #188,$2.00
2254016,Pokemon Chilling Reign,Brawly #212,$4.85
2254143,Pokemon Chilling Reign,Brawly [Reverse Holo] #131,$0.10
2254027,Pokemon Chilling Reign,Bronzong #223,$5.00
9766339,Pokemon Chilling Reign,Build & Battle Display Box,$433.84
8210357,Pokemon Chilling Reign,Build And Battle Box,$46.00
2253937,Pokemon Chilling Reign,Caitlin #132,$0.10
2253993,Pokemon Chilling Reign,Caitlin #189,$22.14
2254017,Pokemon Chilling Reign,Caitlin #213,$9.52
2254144,Pokemon Chilling Reign,Caitlin [Reverse Holo] #132,$0.17
2253926,Pokemon Chilling Reign,Castform #121,$0.18
2253839,Pokemon Chilling Reign,Castform Rainy Form #33,$0.16
2254064,Pokemon Chilling Reign,Castform Rainy Form [Reverse Holo] #33,$0.33
2253840,Pokemon Chilling Reign,Castform Snowy Form #34,$0.21
2254065,Pokemon Chilling Reign,Castform Snowy Form [Reverse Holo] #34,$0.25
2253828,Pokemon Chilling Reign,Castform Sunny Form #22,$0.25
2254054,Pokemon Chilling Reign,Castform Sunny Form [Reverse Holo] #22,$0.30
2254136,Pokemon Chilling Reign,Castform [Reverse Holo] #121,$0.35
2253964,Pokemon Chilling Reign,Celebi V #160,$10.14
2253813,Pokemon Chilling Reign,Celebi V #7,$1.22
2254003,Pokemon Chilling Reign,Celebi VMAX #199,$20.02
2253814,Pokemon Chilling Reign,Celebi VMAX #8,$3.35
2253834,Pokemon Chilling Reign,Cinderace #28,$0.74
2253102,Pokemon Chilling Reign,Cinderace #SWSH112,$3.35
2254058,Pokemon Chilling Reign,Cinderace [Reverse Holo] #28,$0.30
2253895,Pokemon Chilling Reign,Clobbopus #91,$0.44
