id,console-name,product-name,loose-price
6948331,Pokemon Cosmic Eclipse,2-Pack Blister,$20.00
6916429,Pokemon Cosmic Eclipse,3-Pack Blister,$147.70
10265903,Pokemon Cosmic Eclipse,3-Pack Blister [Celebi],$225.69
964371,Pokemon Cosmic Eclipse,Absol #133,$0.62
964631,Pokemon Cosmic Eclipse,Absol [Reverse Holo] #133,$2.01
964407,Pokemon Cosmic Eclipse,Aipom #169,$0.27
964662,Pokemon Cosmic Eclipse,Aipom [Reverse Holo] #169,$0.30
964368,Pokemon Cosmic Eclipse,Alolan Grimer #130,$0.19
964628,Pokemon Cosmic Eclipse,Alolan Grimer [Reverse Holo] #130,$0.50
964366,Pokemon Cosmic Eclipse,Alolan Meowth #128,$0.33
964627,Pokemon Cosmic Eclipse,Alolan Meowth [Reverse Holo] #128,$0.50
964369,Pokemon Cosmic Eclipse,Alolan Muk #131,$0.87
964629,Pokemon Cosmic Eclipse,Alolan Muk [Reverse Holo] #131,$0.99
964383,Pokemon Cosmic Eclipse,Alolan Ninetales #145,$3.00
964642,Pokemon Cosmic Eclipse,Alolan Ninetales [Reverse Holo] #145,$3.88
964367,Pokemon Cosmic Eclipse,Alolan Persian GX #129,$1.98
964457,Pokemon Cosmic Eclipse,Alolan Persian GX #219,$6.00
964495,Pokemon Cosmic Eclipse,Alolan Persian GX #257,$11.29
964375,Pokemon Cosmic Eclipse,Alolan Sandshrew #137,$0.25
964635,Pokemon Cosmic Eclipse,Alolan Sandshrew [Reverse Holo] #137,$0.77
964376,Pokemon Cosmic Eclipse,Alolan Sandslash #138,$0.46
964636,Pokemon Cosmic Eclipse,Alolan Sandslash [Reverse Holo] #138,$1.12
964277,Pokemon Cosmic Eclipse,Alolan Vulpix #39,$0.99
964543,Pokemon Cosmic Eclipse,Alolan Vulpix [Reverse Holo] #39,$1.76
964408,Pokemon Cosmic Eclipse,Ambipom #170,$0.20
964663,Pokemon Cosmic Eclipse,Ambipom [Reverse Holo] #170,$0.48
964349,Pokemon Cosmic Eclipse,Anorith #111,$0.20
964610,Pokemon Cosmic Eclipse,Anorith [Reverse Holo] #111,$0.46
964303,Pokemon Cosmic Eclipse,Araquanid #65,$0.35
964567,Pokemon Cosmic Eclipse,Araquanid [Reverse Holo] #65,$0.66
964394,Pokemon Cosmic Eclipse,Arceus & Dialga & Palkia GX #156,$19.99
964458,Pokemon Cosmic Eclipse,Arceus & Dialga & Palkia GX #220,$51.00
964459,Pokemon Cosmic Eclipse,Arceus & Dialga & Palkia GX #221,$402.25
964496,Pokemon Cosmic Eclipse,Arceus & Dialga & Palkia GX #258,$75.00
964350,Pokemon Cosmic Eclipse,Armaldo #112,$0.32
964611,Pokemon Cosmic Eclipse,Armaldo [Reverse Holo] #112,$1.21
964384,Pokemon Cosmic Eclipse,Azurill #146,$5.99
964643,Pokemon Cosmic Eclipse,Azurill [Reverse Holo] #146,$9.96
964423,Pokemon Cosmic Eclipse,Beastite #185,$0.22
964677,Pokemon Cosmic Eclipse,Beastite [Reverse Holo] #185,$0.59
964424,Pokemon Cosmic Eclipse,Bellelba & Brycen-Man #186,$0.30
964678,Pokemon Cosmic Eclipse,Bellelba & Brycen-Man [Reverse Holo] #186,$0.64
964420,Pokemon Cosmic Eclipse,Bewear #182,$0.34
964675,Pokemon Cosmic Eclipse,Bewear [Reverse Holo] #182,$0.69
964373,Pokemon Cosmic Eclipse,Bisharp #135,$0.21
964633,Pokemon Cosmic Eclipse,Bisharp [Reverse Holo] #135,$0.40
964342,Pokemon Cosmic Eclipse,Blacephalon #104,$5.27
964604,Pokemon Cosmic Eclipse,Blacephalon [Reverse Holo] #104,$6.85
964299,Pokemon Cosmic Eclipse,Black Kyurem #61,$1.25
964564,Pokemon Cosmic Eclipse,Black Kyurem [Reverse Holo] #61,$1.16
964452,Pokemon Cosmic Eclipse,Blastoise & Piplup GX #214,$60.00
964453,Pokemon Cosmic Eclipse,Blastoise & Piplup GX #215,$313.00
964491,Pokemon Cosmic Eclipse,Blastoise & Piplup GX #253,$94.39
964276,Pokemon Cosmic Eclipse,Blastoise & Piplup GX #38,$50.50
6246001,Pokemon Cosmic Eclipse,Blister Pack,$76.08
2244943,Pokemon Cosmic Eclipse,Booster Box,$3675.00
6791480,Pokemon Cosmic Eclipse,Booster Box [Build & Battle],$399.00
2244944,Pokemon Cosmic Eclipse,Booster Pack,$57.75
964416,Pokemon Cosmic Eclipse,Braviary #178,$0.35
964671,Pokemon Cosmic Eclipse,Braviary [Reverse Holo] #178,$0.57
8655356,Pokemon Cosmic Eclipse,Build & Battle Box,$349.99
8576450,Pokemon Cosmic Eclipse,Build & Battle Display Box,$2249.99
964259,Pokemon Cosmic Eclipse,Buzzwole #21,$2.32
964528,Pokemon Cosmic Eclipse,Buzzwole [Reverse Holo] #21,$2.38
964370,Pokemon Cosmic Eclipse,Carvanha #132,$0.14
964630,Pokemon Cosmic Eclipse,Carvanha [Reverse Holo] #132,$0.29
964425,Pokemon Cosmic Eclipse,Chaotic Swell #187,$0.50
964679,Pokemon Cosmic Eclipse,Chaotic Swell [Reverse Holo] #187,$1.73
964450,Pokemon Cosmic Eclipse,Charizard & Braixen GX #212,$70.00
964260,Pokemon Cosmic Eclipse,Charizard & Braixen GX #22,$24.99
964489,Pokemon Cosmic Eclipse,Charizard & Braixen GX #251,$90.43
