id,console-name,product-name,loose-price
961156,Pokemon Crimson Invasion,Accelgor #9,$0.13
961279,Pokemon Crimson Invasion,Accelgor [Reverse Holo] #9,$0.19
961214,Pokemon Crimson Invasion,Aggron #67,$0.50
961332,Pokemon Crimson Invasion,Aggron [Reverse Holo] #67,$0.99
961253,Pokemon Crimson Invasion,Alolan Exeggutor GX #107,$4.76
961264,Pokemon Crimson Invasion,Alolan Exeggutor GX #118,$10.76
2390420,Pokemon Crimson Invasion,Alolan Exeggutor GX #74,$2.47
961179,Pokemon Crimson Invasion,Alolan Geodude #32,$0.18
961301,Pokemon Crimson Invasion,Alolan Geodude [Reverse Holo] #32,$0.50
961248,Pokemon Crimson Invasion,Alolan Golem GX #102,$4.50
961261,Pokemon Crimson Invasion,Alolan Golem GX #113,$9.50
961181,Pokemon Crimson Invasion,Alolan Golem GX #34,$2.00
961180,Pokemon Crimson Invasion,Alolan Graveler #33,$0.11
961302,Pokemon Crimson Invasion,Alolan Graveler [Reverse Holo] #33,$1.12
961159,Pokemon Crimson Invasion,Alolan Marowak #12,$1.00
961282,Pokemon Crimson Invasion,Alolan Marowak [Reverse Holo] #12,$1.61
961178,Pokemon Crimson Invasion,Alolan Raichu #31,$1.55
961300,Pokemon Crimson Invasion,Alolan Raichu [Reverse Holo] #31,$1.80
961226,Pokemon Crimson Invasion,Altaria #80,$0.48
961343,Pokemon Crimson Invasion,Altaria [Reverse Holo] #80,$0.62
961212,Pokemon Crimson Invasion,Aron #65,$0.26
961330,Pokemon Crimson Invasion,Aron [Reverse Holo] #65,$0.30
961150,Pokemon Crimson Invasion,Beedrill #3,$0.33
961273,Pokemon Crimson Invasion,Beedrill [Reverse Holo] #3,$0.69
5691819,Pokemon Crimson Invasion,Bewear #56,$1.74
961203,Pokemon Crimson Invasion,Bewear [Holo] #56,$0.76
961323,Pokemon Crimson Invasion,Bewear [Reverse Holo] #56,$0.40
2244961,Pokemon Crimson Invasion,Booster Box,$535.45
4652250,Pokemon Crimson Invasion,Booster Box [Prerelease],
2244962,Pokemon Crimson Invasion,Booster Pack,$12.75
961233,Pokemon Crimson Invasion,Bunnelby #87,$0.15
961350,Pokemon Crimson Invasion,Bunnelby [Reverse Holo] #87,$0.20
961250,Pokemon Crimson Invasion,Buzzwole GX #104,$6.48
961262,Pokemon Crimson Invasion,Buzzwole GX #115,$13.45
961204,Pokemon Crimson Invasion,Buzzwole GX #57,$2.98
5571298,Pokemon Crimson Invasion,Buzzwole GX [World Championships] #57,$5.21
961152,Pokemon Crimson Invasion,Cacnea #5,$0.15
961275,Pokemon Crimson Invasion,Cacnea [Reverse Holo] #5,$0.25
961153,Pokemon Crimson Invasion,Cacturne #6,$0.28
961276,Pokemon Crimson Invasion,Cacturne [Reverse Holo] #6,$0.66
961161,Pokemon Crimson Invasion,Camerupt #14,$0.29
961284,Pokemon Crimson Invasion,Camerupt [Reverse Holo] #14,$0.30
961190,Pokemon Crimson Invasion,Chimecho #43,$0.16
961311,Pokemon Crimson Invasion,Chimecho [Reverse Holo] #43,$0.25
961232,Pokemon Crimson Invasion,Cinccino #86,$0.25
961349,Pokemon Crimson Invasion,Cinccino [Reverse Holo] #86,$0.84
961171,Pokemon Crimson Invasion,Corphish #24,$0.15
961293,Pokemon Crimson Invasion,Corphish [Reverse Holo] #24,$0.35
961266,Pokemon Crimson Invasion,Counter Catcher #120,$10.60
961237,Pokemon Crimson Invasion,Counter Catcher #91,$2.00
6009630,Pokemon Crimson Invasion,Counter Catcher [League Cup Staff] #91,$27.99
6073274,Pokemon Crimson Invasion,Counter Catcher [League Cup] #91,$7.65
961353,Pokemon Crimson Invasion,Counter Catcher [Reverse Holo] #91,$5.50
961246,Pokemon Crimson Invasion,Counter Energy #100,$0.89
961268,Pokemon Crimson Invasion,Counter Energy #122,$6.60
961362,Pokemon Crimson Invasion,Counter Energy [Reverse Holo] #100,$1.47
961172,Pokemon Crimson Invasion,Crawdaunt #25,$0.28
961294,Pokemon Crimson Invasion,Crawdaunt [Reverse Holo] #25,$0.36
961199,Pokemon Crimson Invasion,Cubone #52,$0.49
961319,Pokemon Crimson Invasion,Cubone [Reverse Holo] #52,$0.86
961238,Pokemon Crimson Invasion,Dashing Pouch #92,$0.22
961354,Pokemon Crimson Invasion,Dashing Pouch [Reverse Holo] #92,$0.22
961207,Pokemon Crimson Invasion,Deino #60,$0.17
961326,Pokemon Crimson Invasion,Deino [Reverse Holo] #60,$0.26
961239,Pokemon Crimson Invasion,Devoured Field #93,$0.14
961355,Pokemon Crimson Invasion,Devoured Field [Reverse Holo] #93,$0.36
961234,Pokemon Crimson Invasion,Diggersby #88,$0.24
961351,Pokemon Crimson Invasion,Diggersby [Reverse Holo] #88,$0.43
4780179,Pokemon Crimson Invasion,Elite Trainer Box,$150.00
961182,Pokemon Crimson Invasion,Emolga #35,$0.22
961303,Pokemon Crimson Invasion,Emolga [Reverse Holo] #35,$0.44
961215,Pokemon Crimson Invasion,Escavalier #69,$0.20
961334,Pokemon Crimson Invasion,Escavalier [Reverse Holo] #69,$0.25
961151,Pokemon Crimson Invasion,Exeggcute #4,$0.14
961274,Pokemon Crimson Invasion,Exeggcute [Reverse Holo] #4,$0.50
961220,Pokemon Crimson Invasion,Exeggutor GX #74,$2.31
961173,Pokemon Crimson Invasion,Feebas #26,$0.24
961295,Pokemon Crimson Invasion,Feebas [Reverse Holo] #26,$0.29
961240,Pokemon Crimson Invasion,Fighting Memory #94,$0.18
961356,Pokemon Crimson Invasion,Fighting Memory [Reverse Holo] #94,$0.40
961183,Pokemon Crimson Invasion,Gastly #36,$0.42
961304,Pokemon Crimson Invasion,Gastly [Reverse Holo] #36,$1.26
961201,Pokemon Crimson Invasion,Gastrodon #54,$0.25
961321,Pokemon Crimson Invasion,Gastrodon [Reverse Holo] #54,$0.92
6870164,Pokemon Crimson Invasion,Gengar #38,$12.00
961185,Pokemon Crimson Invasion,Gengar [Holo] #38,$13.29
961306,Pokemon Crimson Invasion,Gengar [Reverse Holo] #38,$15.15
961255,Pokemon Crimson Invasion,Gladion #109,$12.50
961241,Pokemon Crimson Invasion,Gladion #95,$0.56
5790883,Pokemon Crimson Invasion,Gladion [Regional Championships] #95,$7.06
961357,Pokemon Crimson Invasion,Gladion [Reverse Holo] #95,$1.83
