id,console-name,product-name,loose-price
4636972,Pokemon Crown Zenith,Absol #76,$0.49
4637072,Pokemon Crown Zenith,Absol #GG16,$5.00
4637186,Pokemon Crown Zenith,Absol [Reverse Holo] #76,$0.75
4637113,Pokemon Crown Zenith,Adaman #GG57,$5.85
4636985,Pokemon Crown Zenith,Aggron #89,$0.60
4637199,Pokemon Crown Zenith,Aggron [Reverse Holo] #89,$0.41
4637075,Pokemon Crown Zenith,Altaria #GG19,$5.49
4637126,Pokemon Crown Zenith,Arceus VSTAR #GG70,$114.65
4636983,Pokemon Crown Zenith,Aron #87,$0.25
4637197,Pokemon Crown Zenith,Aron [Reverse Holo] #87,$0.31
4636966,Pokemon Crown Zenith,Baltoy #70,$0.26
4637180,Pokemon Crown Zenith,Baltoy [Reverse Holo] #70,$0.26
4637019,Pokemon Crown Zenith,Bea #123,$0.60
4637219,Pokemon Crown Zenith,Bea [Reverse Holo] #123,$0.36
4637020,Pokemon Crown Zenith,Bede #124,$0.48
4637220,Pokemon Crown Zenith,Bede [Reverse Holo] #124,$0.32
4636900,Pokemon Crown Zenith,Bellossom #3,$0.46
4637129,Pokemon Crown Zenith,Bellossom [Reverse Holo] #3,$0.47
4637081,Pokemon Crown Zenith,Bibarel #GG25,$2.41
4637007,Pokemon Crown Zenith,Bidoof #111,$0.24
4637085,Pokemon Crown Zenith,Bidoof #GG29,$5.91
4637211,Pokemon Crown Zenith,Bidoof [Reverse Holo] #111,$0.39
4636989,Pokemon Crown Zenith,Bisharp #93,$0.15
4637203,Pokemon Crown Zenith,Bisharp [Reverse Holo] #93,$0.63
6768046,Pokemon Crown Zenith,Booster Bundle,$134.21
4636896,Pokemon Crown Zenith,Booster Pack,$18.00
4636913,Pokemon Crown Zenith,Calyrex #17,$0.56
4637141,Pokemon Crown Zenith,Calyrex [Reverse Holo] #17,$0.62
4636908,Pokemon Crown Zenith,Carnivine #12,$0.35
4637138,Pokemon Crown Zenith,Carnivine [Reverse Holo] #12,$0.36
4636914,Pokemon Crown Zenith,Charizard V #18,$4.98
4636915,Pokemon Crown Zenith,Charizard VSTAR #19,$8.06
4637008,Pokemon Crown Zenith,Chatot #112,$0.18
4637212,Pokemon Crown Zenith,Chatot [Reverse Holo] #112,$0.29
4637114,Pokemon Crown Zenith,Cheren's Care #GG58,$3.24
4636907,Pokemon Crown Zenith,Cherubi #11,$0.17
4637137,Pokemon Crown Zenith,Cherubi [Reverse Holo] #11,$0.25
4637115,Pokemon Crown Zenith,Colress's Experiment #GG59,$2.80
4637070,Pokemon Crown Zenith,Comfey #GG14,$2.97
4636929,Pokemon Crown Zenith,Corphish #33,$0.18
4637153,Pokemon Crown Zenith,Corphish [Reverse Holo] #33,$0.43
5115969,Pokemon Crown Zenith,Crown Zenith Tin [Galarian Moltres],$81.50
5115970,Pokemon Crown Zenith,Crown Zenith Tin [Galarian Zapdos],$78.00
4637021,Pokemon Crown Zenith,Crushing Hammer #125,$0.18
4637221,Pokemon Crown Zenith,Crushing Hammer [Reverse Holo] #125,$0.25
4637116,Pokemon Crown Zenith,Cynthia's Ambition #GG60,$16.99
4637054,Pokemon Crown Zenith,Darkness Energy [Holo] #158,$4.00
4637106,Pokemon Crown Zenith,Darkrai VStar #GG50,$42.20
4637068,Pokemon Crown Zenith,Deoxys #GG12,$10.84
4637101,Pokemon Crown Zenith,Deoxys VMAX #GG45,$44.06
4637102,Pokemon Crown Zenith,Deoxys VSTAR #GG46,$27.22
4637069,Pokemon Crown Zenith,Diancie #GG13,$3.26
4637022,Pokemon Crown Zenith,Digging Duo #126,$0.22
4637222,Pokemon Crown Zenith,Digging Duo [Reverse Holo] #126,$0.27
4637003,Pokemon Crown Zenith,Ditto #107,$0.99
4637078,Pokemon Crown Zenith,Ditto #GG22,$7.76
4637208,Pokemon Crown Zenith,Ditto [Reverse Holo] #107,$0.99
4636978,Pokemon Crown Zenith,Dragalge #82,$0.29
4637192,Pokemon Crown Zenith,Dragalge [Reverse Holo] #82,$0.38
4637105,Pokemon Crown Zenith,Drapion V #GG49,$7.00
4637018,Pokemon Crown Zenith,Dubwool #122,$0.16
4637218,Pokemon Crown Zenith,Dubwool [Reverse Holo] #122,$0.29
4637079,Pokemon Crown Zenith,Dunsparce #GG23,$2.52
4636999,Pokemon Crown Zenith,Duraludon V #103,$0.75
4637000,Pokemon Crown Zenith,Duraludon VMAX #104,$2.17
4636959,Pokemon Crown Zenith,Dusclops #63,$0.33
4637174,Pokemon Crown Zenith,Dusclops [Reverse Holo] #63,$0.40
4637084,Pokemon Crown Zenith,Duskull #GG28,$3.38
4636943,Pokemon Crown Zenith,Eelektrik #48,$0.12
4637164,Pokemon Crown Zenith,Eelektrik [Reverse Holo] #48,$0.22
4637004,Pokemon Crown Zenith,Eevee V #108,$4.00
4637064,Pokemon Crown Zenith,Electivire #GG08,$5.99
