id,console-name,product-name,loose-price
889376,Pokemon Crystal Guardians,Aggron EX #89,$55.00
889386,Pokemon Crystal Guardians,Alakazam [Gold Star] #99,$780.00
889331,Pokemon Crystal Guardians,Aron #44,$1.50
889431,Pokemon Crystal Guardians,Aron [Reverse Holo] #44,$7.56
889288,Pokemon Crystal Guardians,Banette #1,$7.60
889388,Pokemon Crystal Guardians,Banette [Reverse Holo] #1,$14.32
889358,Pokemon Crystal Guardians,Bill's Maintenance #71,$1.28
889457,Pokemon Crystal Guardians,Bill's Maintenance [Reverse Holo] #71,$3.87
889301,Pokemon Crystal Guardians,Blastoise #14,$7.25
889289,Pokemon Crystal Guardians,Blastoise #2,$98.92
8765384,Pokemon Crystal Guardians,Blastoise [Cosmos Holo] #14,$13.00
4956334,Pokemon Crystal Guardians,Blastoise [National Championships] #14,$22.57
889401,Pokemon Crystal Guardians,Blastoise [Reverse Holo] #14,$49.00
889389,Pokemon Crystal Guardians,Blastoise [Reverse Holo] #2,$77.00
3969982,Pokemon Crystal Guardians,Blastoise [Staff] #14,$324.99
889377,Pokemon Crystal Guardians,Blaziken EX #90,$52.00
5952367,Pokemon Crystal Guardians,Blister Pack,$1950.00
2245047,Pokemon Crystal Guardians,Booster Box,$12789.00
2245048,Pokemon Crystal Guardians,Booster Pack,$771.52
889332,Pokemon Crystal Guardians,Bulbasaur #45,$3.73
889333,Pokemon Crystal Guardians,Bulbasaur #46,$2.73
889432,Pokemon Crystal Guardians,Bulbasaur [Reverse Holo] #45,$33.00
889433,Pokemon Crystal Guardians,Bulbasaur [Reverse Holo] #46,$30.58
889334,Pokemon Crystal Guardians,Cacnea #47,$1.12
889434,Pokemon Crystal Guardians,Cacnea [Reverse Holo] #47,$6.00
889302,Pokemon Crystal Guardians,Cacturne #15,$2.20
889402,Pokemon Crystal Guardians,Cacturne [Reverse Holo] #15,$12.60
889290,Pokemon Crystal Guardians,Camerupt #3,$3.72
889390,Pokemon Crystal Guardians,Camerupt [Reverse Holo] #3,$10.60
889359,Pokemon Crystal Guardians,Castaway #72,$4.00
889458,Pokemon Crystal Guardians,Castaway [Reverse Holo] #72,$7.64
889387,Pokemon Crystal Guardians,Celebi [Gold Star] #100,$846.36
889360,Pokemon Crystal Guardians,Celio's Network #73,$0.92
889459,Pokemon Crystal Guardians,Celio's Network [Reverse Holo] #73,$3.67
889361,Pokemon Crystal Guardians,Cessation Crystal #74,$4.00
889460,Pokemon Crystal Guardians,Cessation Crystal [Reverse Holo] #74,$6.15
889291,Pokemon Crystal Guardians,Charizard #4,$180.47
889391,Pokemon Crystal Guardians,Charizard [Reverse Holo] #4,$287.41
889335,Pokemon Crystal Guardians,Charmander #48,$2.25
889336,Pokemon Crystal Guardians,Charmander #49,$3.25
889435,Pokemon Crystal Guardians,Charmander [Reverse Holo] #48,$24.93
889436,Pokemon Crystal Guardians,Charmander [Reverse Holo] #49,$35.00
889316,Pokemon Crystal Guardians,Charmeleon #29,$2.15
889317,Pokemon Crystal Guardians,Charmeleon #30,$4.00
889416,Pokemon Crystal Guardians,Charmeleon [Reverse Holo] #29,$17.65
889417,Pokemon Crystal Guardians,Charmeleon [Reverse Holo] #30,$39.75
889303,Pokemon Crystal Guardians,Combusken #16,$1.89
889318,Pokemon Crystal Guardians,Combusken #31,$1.71
889403,Pokemon Crystal Guardians,Combusken [Reverse Holo] #16,$13.88
889418,Pokemon Crystal Guardians,Combusken [Reverse Holo] #31,$11.61
4894838,Pokemon Crystal Guardians,Combusken [Stamped] #16,$7.00
889362,Pokemon Crystal Guardians,Crystal Beach #75,$2.50
889461,Pokemon Crystal Guardians,Crystal Beach [Reverse Holo] #75,$7.25
889363,Pokemon Crystal Guardians,Crystal Shard #76,$1.99
889462,Pokemon Crystal Guardians,Crystal Shard [Reverse Holo] #76,$3.88
889378,Pokemon Crystal Guardians,Delcatty EX #91,$37.06
889337,Pokemon Crystal Guardians,Diglett #50,$1.77
889437,Pokemon Crystal Guardians,Diglett [Reverse Holo] #50,$18.00
4916999,Pokemon Crystal Guardians,Diglett [Stamped] #50,$9.49
889364,Pokemon Crystal Guardians,Double Full Heal #77,$0.96
889463,Pokemon Crystal Guardians,Double Full Heal [Reverse Holo] #77,$3.10
889375,Pokemon Crystal Guardians,Double Rainbow Energy #88,$4.35
