id,console-name,product-name,loose-price
956057,Pokemon Dark Explorers,Accelgor #11,$1.50
956169,Pokemon Dark Explorers,Accelgor [Reverse Holo] #11,$2.15
956099,Pokemon Dark Explorers,Aerodactyl #53,$2.99
956208,Pokemon Dark Explorers,Aerodactyl [Reverse Holo] #53,$7.09
956157,Pokemon Dark Explorers,Archeops #110,$77.98
956118,Pokemon Dark Explorers,Bisharp #72,$1.33
956125,Pokemon Dark Explorers,Bisharp #79,$1.43
956225,Pokemon Dark Explorers,Bisharp [Reverse Holo] #72,$1.53
956232,Pokemon Dark Explorers,Bisharp [Reverse Holo] #79,$1.96
956063,Pokemon Dark Explorers,Blaziken #17,$8.11
956174,Pokemon Dark Explorers,Blaziken [Reverse Holo] #17,$7.40
956128,Pokemon Dark Explorers,Blissey #82,$2.02
956235,Pokemon Dark Explorers,Blissey [Reverse Holo] #82,$1.86
6239425,Pokemon Dark Explorers,Blister Pack,$498.55
2245005,Pokemon Dark Explorers,Booster Box,$5411.91
2245006,Pokemon Dark Explorers,Booster Pack,$247.00
956047,Pokemon Dark Explorers,Bulbasaur #1,$3.04
4913641,Pokemon Dark Explorers,Bulbasaur [Build A Bear] #1,$20.00
956159,Pokemon Dark Explorers,Bulbasaur [Reverse Holo] #1,$11.00
956051,Pokemon Dark Explorers,Carnivine #5,$1.25
956163,Pokemon Dark Explorers,Carnivine [Reverse Holo] #5,$2.98
956126,Pokemon Dark Explorers,Chansey #80,$0.87
956127,Pokemon Dark Explorers,Chansey #81,$0.50
956233,Pokemon Dark Explorers,Chansey [Reverse Holo] #80,$5.00
956234,Pokemon Dark Explorers,Chansey [Reverse Holo] #81,$2.09
956131,Pokemon Dark Explorers,Chatot #85,$0.78
956238,Pokemon Dark Explorers,Chatot [Reverse Holo] #85,$1.81
956137,Pokemon Dark Explorers,Cheren #91,$0.52
956243,Pokemon Dark Explorers,Cheren [Reverse Holo] #91,$1.57
956098,Pokemon Dark Explorers,Cofagrigus #52,$1.48
8166060,Pokemon Dark Explorers,Cofagrigus [Cracked Ice Holo] #52,$3.18
956207,Pokemon Dark Explorers,Cofagrigus [Reverse Holo] #52,$2.01
956062,Pokemon Dark Explorers,Combusken #16,$1.64
956173,Pokemon Dark Explorers,Combusken [Reverse Holo] #16,$2.19
956054,Pokemon Dark Explorers,Crustle #8,$0.67
956166,Pokemon Dark Explorers,Crustle [Reverse Holo] #8,$4.17
956138,Pokemon Dark Explorers,Dark Claw #92,$4.57
956244,Pokemon Dark Explorers,Dark Claw [Reverse Holo] #92,$8.95
956139,Pokemon Dark Explorers,Dark Patch #93,$2.61
956245,Pokemon Dark Explorers,Dark Patch [Reverse Holo] #93,$3.27
956154,Pokemon Dark Explorers,Darkrai EX #107,$313.84
956109,Pokemon Dark Explorers,Darkrai EX #63,$10.21
956101,Pokemon Dark Explorers,Drilbur #55,$0.91
956209,Pokemon Dark Explorers,Drilbur [Reverse Holo] #55,$4.56
956081,Pokemon Dark Explorers,Ducklett #35,$0.63
956191,Pokemon Dark Explorers,Ducklett [Reverse Holo] #35,$0.99
956053,Pokemon Dark Explorers,Dwebble #7,$0.71
956165,Pokemon Dark Explorers,Dwebble [Reverse Holo] #7,$0.74
956092,Pokemon Dark Explorers,Eelektrik #46,$0.94
956201,Pokemon Dark Explorers,Eelektrik [Reverse Holo] #46,$1.25
956093,Pokemon Dark Explorers,Eelektross #47,$1.81
956202,Pokemon Dark Explorers,Eelektross [Reverse Holo] #47,$1.89
956129,Pokemon Dark Explorers,Eevee #83,$3.86
956130,Pokemon Dark Explorers,Eevee #84,$1.46
4127319,Pokemon Dark Explorers,Eevee [City Championship Staff] #84,$167.84
5551217,Pokemon Dark Explorers,Eevee [City Championship] #84,$19.99
956236,Pokemon Dark Explorers,Eevee [Reverse Holo] #83,$30.75
956237,Pokemon Dark Explorers,Eevee [Reverse Holo] #84,$20.11
956075,Pokemon Dark Explorers,Empoleon #29,$3.49
956185,Pokemon Dark Explorers,Empoleon [Reverse Holo] #29,$5.00
956140,Pokemon Dark Explorers,Enhanced Hammer #94,$1.27
956246,Pokemon Dark Explorers,Enhanced Hammer [Reverse Holo] #94,$2.24
956150,Pokemon Dark Explorers,Entei EX #103,$174.99
956059,Pokemon Dark Explorers,Entei EX #13,$16.66
956120,Pokemon Dark Explorers,Escavalier #74,$0.99
956227,Pokemon Dark Explorers,Escavalier [Reverse Holo] #74,$0.98
956094,Pokemon Dark Explorers,Espeon #48,$6.03
956203,Pokemon Dark Explorers,Espeon [Reverse Holo] #48,$18.99
956102,Pokemon Dark Explorers,Excadrill #56,$0.96
956103,Pokemon Dark Explorers,Excadrill #57,$0.78
956210,Pokemon Dark Explorers,Excadrill [Reverse Holo] #56,$1.75
956211,Pokemon Dark Explorers,Excadrill [Reverse Holo] #57,$0.95
956058,Pokemon Dark Explorers,Flareon #12,$3.88
8470192,Pokemon Dark Explorers,Flareon [Regional Championships Staff] #12,
4928511,Pokemon Dark Explorers,Flareon [Regional Championships] #12,$54.99
956170,Pokemon Dark Explorers,Flareon [Reverse Holo] #12,$13.50
956089,Pokemon Dark Explorers,Galvantula #43,$1.44
956198,Pokemon Dark Explorers,Galvantula [Reverse Holo] #43,$1.61
956156,Pokemon Dark Explorers,Gardevoir #109,$350.00
956076,Pokemon Dark Explorers,Glaceon #30,$4.69
956186,Pokemon Dark Explorers,Glaceon [Reverse Holo] #30,$18.27
