id,console-name,product-name,loose-price
11551342,Pokemon Darkness Ablaze,2 Pack Blister,$16.50
887096,Pokemon Darkness Ablaze,Accelgor #10,$0.30
887285,Pokemon Darkness Ablaze,Accelgor [Reverse Holo] #10,$0.36
836664,Pokemon Darkness Ablaze,Aggron #123,$0.52
887382,Pokemon Darkness Ablaze,Aggron [Reverse Holo] #123,$0.71
887143,Pokemon Darkness Ablaze,Ampharos #57,$0.44
887327,Pokemon Darkness Ablaze,Ampharos [Reverse Holo] #57,$0.67
887140,Pokemon Darkness Ablaze,Arctovish #54,$0.49
887324,Pokemon Darkness Ablaze,Arctovish [Reverse Holo] #54,$1.83
887152,Pokemon Darkness Ablaze,Arctozolt #66,$1.42
887335,Pokemon Darkness Ablaze,Arctozolt [Reverse Holo] #66,$1.57
887188,Pokemon Darkness Ablaze,Ariados #103,$0.12
887369,Pokemon Darkness Ablaze,Ariados [Reverse Holo] #103,$0.48
887203,Pokemon Darkness Ablaze,Aron #121,$0.18
887380,Pokemon Darkness Ablaze,Aron [Reverse Holo] #121,$0.24
887135,Pokemon Darkness Ablaze,Beartic #49,$0.25
887319,Pokemon Darkness Ablaze,Beartic [Reverse Holo] #49,$0.30
4400702,Pokemon Darkness Ablaze,Beartic [Snowflake Stamp] #49,$0.55
887235,Pokemon Darkness Ablaze,Big Parasol #157,$0.14
887276,Pokemon Darkness Ablaze,Big Parasol #199,$2.88
887413,Pokemon Darkness Ablaze,Big Parasol [Reverse Holo] #157,$0.33
887236,Pokemon Darkness Ablaze,Billowing Smoke #158,$0.16
887414,Pokemon Darkness Ablaze,Billowing Smoke [Reverse Holo] #158,$0.24
887237,Pokemon Darkness Ablaze,Bird Keeper #159,$0.25
887415,Pokemon Darkness Ablaze,Bird Keeper [Reverse Holo] #159,$0.25
887110,Pokemon Darkness Ablaze,Blaziken #24,$0.68
887296,Pokemon Darkness Ablaze,Blaziken [Reverse Holo] #24,$1.27
2244939,Pokemon Darkness Ablaze,Booster Box,$301.62
2244940,Pokemon Darkness Ablaze,Booster Pack,$8.00
887100,Pokemon Darkness Ablaze,Bounsweet #14,$0.30
887289,Pokemon Darkness Ablaze,Bounsweet [Reverse Holo] #14,$0.54
10907393,Pokemon Darkness Ablaze,Build & Battle Box,$48.80
11387972,Pokemon Darkness Ablaze,Build & Battle Display Box,$479.99
887229,Pokemon Darkness Ablaze,Bunnelby #150,$0.50
5154455,Pokemon Darkness Ablaze,Bunnelby [Prize Pack 1] #150,$5.00
887406,Pokemon Darkness Ablaze,Bunnelby [Reverse Holo] #150,$0.32
5428258,Pokemon Darkness Ablaze,Bunnelby [Thank You] #150,$5.27
887087,Pokemon Darkness Ablaze,Butterfree V #1,$1.75
887255,Pokemon Darkness Ablaze,Butterfree V #177,$4.03
887268,Pokemon Darkness Ablaze,Butterfree VMAX #190,$14.00
887088,Pokemon Darkness Ablaze,Butterfree VMAX #2,$3.84
887238,Pokemon Darkness Ablaze,Cape of Toughness #160,$0.20
887416,Pokemon Darkness Ablaze,Cape of Toughness [Reverse Holo] #160,$0.39
836720,Pokemon Darkness Ablaze,Capture Energy #201,$3.50
887091,Pokemon Darkness Ablaze,Carnivine #5,$0.15
887280,Pokemon Darkness Ablaze,Carnivine [Reverse Holo] #5,$0.20
887257,Pokemon Darkness Ablaze,Centiskorch V #179,$1.62
887119,Pokemon Darkness Ablaze,Centiskorch V #33,$0.70
