id,console-name,product-name,loose-price
888776,Pokemon Delta Species,Azumarill #114,$34.02
888681,Pokemon Delta Species,Azumarill #19,$4.99
888795,Pokemon Delta Species,Azumarill [Reverse Holo] #19,$28.25
888682,Pokemon Delta Species,Azurill #20,$6.79
888796,Pokemon Delta Species,Azurill [Reverse Holo] #20,$19.99
888719,Pokemon Delta Species,Bagon #57,$1.52
888720,Pokemon Delta Species,Bagon #58,$1.33
888833,Pokemon Delta Species,Bagon [Reverse Holo] #57,$14.25
888834,Pokemon Delta Species,Bagon [Reverse Holo] #58,$27.20
10455293,Pokemon Delta Species,Bagon [Stamped] #57,$13.08
888664,Pokemon Delta Species,Beedrill #1,$23.39
888777,Pokemon Delta Species,Beedrill [Reverse Holo] #1,$21.94
888721,Pokemon Delta Species,Beldum #59,$1.75
888835,Pokemon Delta Species,Beldum [Reverse Holo] #59,$13.97
6869713,Pokemon Delta Species,Blister Pack,$737.96
2245053,Pokemon Delta Species,Booster Box,$25000.00
2245054,Pokemon Delta Species,Booster Pack,$662.26
888696,Pokemon Delta Species,Castform #34,$2.10
888810,Pokemon Delta Species,Castform [Reverse Holo] #34,$10.54
888663,Pokemon Delta Species,Crobat #2,$10.83
888778,Pokemon Delta Species,Crobat [Reverse Holo] #2,$27.38
888722,Pokemon Delta Species,Cubone #60,$1.88
888836,Pokemon Delta Species,Cubone [Reverse Holo] #60,$25.81
888765,Pokemon Delta Species,Darkness Energy #103,$3.41
888879,Pokemon Delta Species,Darkness Energy [Reverse Holo] #103,$5.99
888697,Pokemon Delta Species,Ditto #35,$26.99
5609152,Pokemon Delta Species,Ditto #37,$27.87
888698,Pokemon Delta Species,Ditto (Bulbasaur) #36,$72.50
888812,Pokemon Delta Species,Ditto (Bulbasaur) [Reverse Holo] #36,$100.13
888699,Pokemon Delta Species,Ditto (Charmander) #37,$29.99
888813,Pokemon Delta Species,Ditto (Charmander) [Reverse Holo] #37,$97.61
888724,Pokemon Delta Species,Ditto (Geodude) #62,$16.97
888838,Pokemon Delta Species,Ditto (Geodude) [Reverse Holo] #62,$100.00
888700,Pokemon Delta Species,Ditto (Mr. Mime) #38,$34.99
888814,Pokemon Delta Species,Ditto (Mr. Mime) [Reverse Holo] #38,$86.85
888701,Pokemon Delta Species,Ditto (Pikachu) #39,$50.00
888725,Pokemon Delta Species,Ditto (Pikachu) #63,$30.00
888815,Pokemon Delta Species,Ditto (Pikachu) [Reverse Holo] #39,$85.50
888839,Pokemon Delta Species,Ditto (Pikachu) [Reverse Holo] #63,$98.16
888702,Pokemon Delta Species,Ditto (Squirtle) #40,$38.90
888726,Pokemon Delta Species,Ditto (Squirtle) #64,$29.48
888816,Pokemon Delta Species,Ditto (Squirtle) [Reverse Holo] #40,$81.66
888840,Pokemon Delta Species,Ditto (Squirtle) [Reverse Holo] #64,$100.36
888723,Pokemon Delta Species,Ditto Charmander #61,$25.00
6389245,Pokemon Delta Species,Ditto Charmander [Origins] #61,$124.08
888837,Pokemon Delta Species,Ditto Charmander [Reverse Holo] #61,$97.00
7798850,Pokemon Delta Species,Ditto [Charmander Origins Games Expo] #61,
4214872,Pokemon Delta Species,Ditto [Games Expo] #64,$513.74
5830383,Pokemon Delta Species,Ditto [Pikachu Comic Con] #63,$300.00
888811,Pokemon Delta Species,Ditto [Reverse Holo] #35,$78.50
888703,Pokemon Delta Species,Dragonair #41,$5.18
888704,Pokemon Delta Species,Dragonair #42,$5.70
888817,Pokemon Delta Species,Dragonair [Reverse Holo] #41,$34.50
888818,Pokemon Delta Species,Dragonair [Reverse Holo] #42,$29.15
888665,Pokemon Delta Species,Dragonite #3,$99.46
888779,Pokemon Delta Species,Dragonite [Reverse Holo] #3,$94.49
888727,Pokemon Delta Species,Dratini #65,$2.19
888728,Pokemon Delta Species,Dratini #66,$2.60
888841,Pokemon Delta Species,Dratini [Reverse Holo] #65,$25.50
888842,Pokemon Delta Species,Dratini [Reverse Holo] #66,$26.98
888729,Pokemon Delta Species,Drowzee #67,$2.40
888843,Pokemon Delta Species,Drowzee [Reverse Holo] #67,$32.73
888751,Pokemon Delta Species,Dual Ball #89,$1.43
888865,Pokemon Delta Species,Dual Ball [Reverse Holo] #89,$5.00
888730,Pokemon Delta Species,Eevee #68,$5.85
888731,Pokemon Delta Species,Eevee #69,$4.92
888844,Pokemon Delta Species,Eevee [Reverse Holo] #68,$47.51
888845,Pokemon Delta Species,Eevee [Reverse Holo] #69,$45.02
888667,Pokemon Delta Species,Espeon #4,$99.85
888780,Pokemon Delta Species,Espeon [Reverse Holo] #4,$123.25
888666,Pokemon Delta Species,Flareon #5,$78.12
888770,Pokemon Delta Species,Flareon EX #108,$99.69
888781,Pokemon Delta Species,Flareon [Reverse Holo] #5,$94.99
888668,Pokemon Delta Species,Gardevoir #6,$48.00
888782,Pokemon Delta Species,Gardevoir [Reverse Holo] #6,$70.12
4895162,Pokemon Delta Species,Gligar [Stamped] #16,$5.00
888705,Pokemon Delta Species,Golbat #43,$0.79
888819,Pokemon Delta Species,Golbat [Reverse Holo] #43,$12.00
888752,Pokemon Delta Species,Great Ball #90,$1.49
888866,Pokemon Delta Species,Great Ball [Reverse Holo] #90,$7.65
888773,Pokemon Delta Species,Groudon [Gold Star] #111,$968.08
888706,Pokemon Delta Species,Hariyama #44,$4.38
888820,Pokemon Delta Species,Hariyama [Reverse Holo] #44,$9.99
888766,Pokemon Delta Species,Holon Energy FF #104,$4.99
888880,Pokemon Delta Species,Holon Energy FF [Reverse Holo] #104,$7.15
888767,Pokemon Delta Species,Holon Energy GL #105,$1.79
888881,Pokemon Delta Species,Holon Energy GL [Reverse Holo] #105,$7.57
888768,Pokemon Delta Species,Holon Energy WP #106,$4.00
888882,Pokemon Delta Species,Holon Energy WP [Reverse Holo] #106,$5.29
888753,Pokemon Delta Species,Holon Farmer #91,$2.20
888867,Pokemon Delta Species,Holon Farmer [Reverse Holo] #91,$5.65
888754,Pokemon Delta Species,Holon Lass #92,$1.75
888868,Pokemon Delta Species,Holon Lass [Reverse Holo] #92,$6.98
888755,Pokemon Delta Species,Holon Mentor #93,$5.35
888869,Pokemon Delta Species,Holon Mentor [Reverse Holo] #93,$9.98
888756,Pokemon Delta Species,Holon Research Tower #94,$0.72
888870,Pokemon Delta Species,Holon Research Tower [Reverse Holo] #94,$7.00
888757,Pokemon Delta Species,Holon Researcher #95,$1.32
888871,Pokemon Delta Species,Holon Researcher [Reverse Holo] #95,$8.85
5056059,Pokemon Delta Species,Holon Researcher [Stamped] #95,$5.35
888758,Pokemon Delta Species,Holon Ruins #96,$3.36
888872,Pokemon Delta Species,Holon Ruins [Reverse Holo] #96,$4.07
888759,Pokemon Delta Species,Holon Scientist #97,$4.50
888873,Pokemon Delta Species,Holon Scientist [Reverse Holo] #97,$11.24
888760,Pokemon Delta Species,Holon Transceiver #98,$18.88
888874,Pokemon Delta Species,Holon Transceiver [Reverse Holo] #98,$34.45
888683,Pokemon Delta Species,Holon's Electrode #21,$6.21
888797,Pokemon Delta Species,Holon's Electrode [Reverse Holo] #21,$14.44
888732,Pokemon Delta Species,Holon's Magnemite #70,$1.96
888846,Pokemon Delta Species,Holon's Magnemite [Reverse Holo] #70,$15.00
888684,Pokemon Delta Species,Holon's Magneton #22,$5.87
888798,Pokemon Delta Species,Holon's Magneton [Reverse Holo] #22,$18.81
888733,Pokemon Delta Species,Holon's Voltorb #71,$0.92
888847,Pokemon Delta Species,Holon's Voltorb [Reverse Holo] #71,$12.62
888685,Pokemon Delta Species,Hypno #23,$2.47
888799,Pokemon Delta Species,Hypno [Reverse Holo] #23,$16.25
888707,Pokemon Delta Species,Illumise #45,$2.90
888821,Pokemon Delta Species,Illumise [Reverse Holo] #45,$7.99
888669,Pokemon Delta Species,Jolteon #7,$61.77
888771,Pokemon Delta Species,Jolteon EX #109,$97.33
888783,Pokemon Delta Species,Jolteon [Reverse Holo] #7,$90.00
888708,Pokemon Delta Species,Kakuna #46,$2.17
888822,Pokemon Delta Species,Kakuna [Reverse Holo] #46,$15.24
888709,Pokemon Delta Species,Kirlia #47,$2.19
888823,Pokemon Delta Species,Kirlia [Reverse Holo] #47,$14.94
888734,Pokemon Delta Species,Koffing #72,$0.62
888848,Pokemon Delta Species,Koffing [Reverse Holo] #72,$12.61
888774,Pokemon Delta Species,Kyogre [Gold Star] #112,$986.43
888735,Pokemon Delta Species,Larvitar #73,$2.00
4768813,Pokemon Delta Species,Larvitar [Donald Duck] #73,$40.02
888849,Pokemon Delta Species,Larvitar [Reverse Holo] #73,$15.98
888670,Pokemon Delta Species,Latias #8,$54.56
888784,Pokemon Delta Species,Latias [Reverse Holo] #8,$44.33
888671,Pokemon Delta Species,Latios #9,$56.33
888785,Pokemon Delta Species,Latios [Reverse Holo] #9,$66.51
888736,Pokemon Delta Species,Magnemite #74,$1.70
888850,Pokemon Delta Species,Magnemite [Reverse Holo] #74,$7.10
888710,Pokemon Delta Species,Magneton #48,$2.00
888824,Pokemon Delta Species,Magneton [Reverse Holo] #48,$13.05
888737,Pokemon Delta Species,Makuhita #75,$1.37
888851,Pokemon Delta Species,Makuhita [Reverse Holo] #75,$8.03
888738,Pokemon Delta Species,Marill #76,$1.39
888852,Pokemon Delta Species,Marill [Reverse Holo] #76,$10.00
888672,Pokemon Delta Species,Marowak #10,$25.02
888786,Pokemon Delta Species,Marowak [Reverse Holo] #10,$27.14
888761,Pokemon Delta Species,Master Ball #99,$0.54
888875,Pokemon Delta Species,Master Ball [Reverse Holo] #99,$7.18
888739,Pokemon Delta Species,Meowth #77,$1.69
888853,Pokemon Delta Species,Meowth [Reverse Holo] #77,$25.74
888673,Pokemon Delta Species,Metagross #11,$38.09
888775,Pokemon Delta Species,Metagross [Gold Star] #113,$975.43
888787,Pokemon Delta Species,Metagross [Reverse Holo] #11,$48.80
888769,Pokemon Delta Species,Metal Energy #107,$1.49
888883,Pokemon Delta Species,Metal Energy [Reverse Holo] #107,$5.12
888711,Pokemon Delta Species,Metang #49,$4.27
6219751,Pokemon Delta Species,Metang [Prerelease] #49,$22.66
888825,Pokemon Delta Species,Metang [Reverse Holo] #49,$15.76
888674,Pokemon Delta Species,Mewtwo #12,$120.60
888788,Pokemon Delta Species,Mewtwo [Reverse Holo] #12,$113.94
888686,Pokemon Delta Species,Mightyena #24,$6.00
888800,Pokemon Delta Species,Mightyena [Reverse Holo] #24,$20.00
888712,Pokemon Delta Species,Persian #50,$2.19
888826,Pokemon Delta Species,Persian [Reverse Holo] #50,$15.00
888740,Pokemon Delta Species,Ponyta #78,$1.10
888854,Pokemon Delta Species,Ponyta [Reverse Holo] #78,$13.32
888741,Pokemon Delta Species,Poochyena #79,$1.53
888855,Pokemon Delta Species,Poochyena [Reverse Holo] #79,$10.00
888742,Pokemon Delta Species,Porygon #80,$1.14
888856,Pokemon Delta Species,Porygon [Reverse Holo] #80,$18.00
888687,Pokemon Delta Species,Porygon2 #25,$2.99
888801,Pokemon Delta Species,Porygon2 [Reverse Holo] #25,$12.32
888763,Pokemon Delta Species,Potion #101,$0.88
888877,Pokemon Delta Species,Potion [Reverse Holo] #101,$5.00
888713,Pokemon Delta Species,Pupitar #51,$2.00
888827,Pokemon Delta Species,Pupitar [Reverse Holo] #51,$16.50
888688,Pokemon Delta Species,Rain Castform #26,$2.31
888802,Pokemon Delta Species,Rain Castform [Reverse Holo] #26,$12.60
888743,Pokemon Delta Species,Ralts #81,$2.58
888857,Pokemon Delta Species,Ralts [Reverse Holo] #81,$12.06
888714,Pokemon Delta Species,Rapidash #52,$1.99
888828,Pokemon Delta Species,Rapidash [Reverse Holo] #52,$18.92
888675,Pokemon Delta Species,Rayquaza #13,$94.77
888789,Pokemon Delta Species,Rayquaza [Reverse Holo] #13,$110.07
888676,Pokemon Delta Species,Salamence #14,$24.52
888790,Pokemon Delta Species,Salamence [Reverse Holo] #14,$42.81
888744,Pokemon Delta Species,Sandshrew #82,$2.20
888858,Pokemon Delta Species,Sandshrew [Reverse Holo] #82,$19.43
888689,Pokemon Delta Species,Sandslash #27,$7.50
888803,Pokemon Delta Species,Sandslash [Reverse Holo] #27,$20.99
888715,Pokemon Delta Species,Shelgon #53,$1.56
888716,Pokemon Delta Species,Shelgon #54,$2.61
888829,Pokemon Delta Species,Shelgon [Reverse Holo] #53,$10.41
888830,Pokemon Delta Species,Shelgon [Reverse Holo] #54,$10.86
