id,console-name,product-name,loose-price
888022,Pokemon Deoxys,Altaria #1,$19.99
888129,Pokemon Deoxys,Altaria [Reverse Holo] #1,$34.00
888072,Pokemon Deoxys,Bagon #52,$2.22
888180,Pokemon Deoxys,Bagon [Reverse Holo] #52,$12.49
888104,Pokemon Deoxys,Balloon Berry #84,$1.03
888212,Pokemon Deoxys,Balloon Berry [Reverse Holo] #84,$6.24
888073,Pokemon Deoxys,Baltoy #53,$1.95
888181,Pokemon Deoxys,Baltoy [Reverse Holo] #53,$6.46
888074,Pokemon Deoxys,Barboach #54,$1.38
888182,Pokemon Deoxys,Barboach [Reverse Holo] #54,$7.00
888023,Pokemon Deoxys,Beautifly #2,$8.49
888130,Pokemon Deoxys,Beautifly [Reverse Holo] #2,$15.00
888075,Pokemon Deoxys,Beldum #55,$2.27
888183,Pokemon Deoxys,Beldum [Reverse Holo] #55,$8.55
888113,Pokemon Deoxys,Boost Energy #93,$2.75
888221,Pokemon Deoxys,Boost Energy [Reverse Holo] #93,$8.79
2245059,Pokemon Deoxys,Booster Box,$110.70
2245060,Pokemon Deoxys,Booster Pack,$1171.92
888024,Pokemon Deoxys,Breloom #3,$13.00
888131,Pokemon Deoxys,Breloom [Reverse Holo] #3,$22.96
888025,Pokemon Deoxys,Camerupt #4,$5.19
888132,Pokemon Deoxys,Camerupt [Reverse Holo] #4,$14.00
888076,Pokemon Deoxys,Carvanha #56,$2.39
888184,Pokemon Deoxys,Carvanha [Reverse Holo] #56,$18.65
888026,Pokemon Deoxys,Claydol #5,$8.20
888133,Pokemon Deoxys,Claydol [Reverse Holo] #5,$14.79
888077,Pokemon Deoxys,Corphish #57,$1.00
888185,Pokemon Deoxys,Corphish [Reverse Holo] #57,$7.24
888027,Pokemon Deoxys,Crawdaunt #6,$15.13
888134,Pokemon Deoxys,Crawdaunt [Reverse Holo] #6,$20.00
888116,Pokemon Deoxys,Crobat EX #96,$55.68
888105,Pokemon Deoxys,Crystal Shard #85,$2.59
888213,Pokemon Deoxys,Crystal Shard [Reverse Holo] #85,$4.00
888037,Pokemon Deoxys,Deoxys #16,$9.25
888038,Pokemon Deoxys,Deoxys #17,$5.68
888039,Pokemon Deoxys,Deoxys #18,$5.97
888117,Pokemon Deoxys,Deoxys EX #97,$110.38
888118,Pokemon Deoxys,Deoxys EX #98,$65.68
888119,Pokemon Deoxys,Deoxys EX #99,$70.00
3366448,Pokemon Deoxys,Deoxys [Destiny Deoxys] #16,$16.49
4134110,Pokemon Deoxys,Deoxys [Pokemon Day] #16,$6.86
4956335,Pokemon Deoxys,Deoxys [Regional Championships] #16,$29.74
888144,Pokemon Deoxys,Deoxys [Reverse Holo] #16,$46.48
888145,Pokemon Deoxys,Deoxys [Reverse Holo] #17,$47.87
888146,Pokemon Deoxys,Deoxys [Reverse Holo] #18,$29.99
8193707,Pokemon Deoxys,Deoxys [Stadium Challenge] #16,$5250.00
888050,Pokemon Deoxys,Donphan #30,$5.04
888158,Pokemon Deoxys,Donphan [Reverse Holo] #30,$23.92
888028,Pokemon Deoxys,Dusclops #7,$12.30
888135,Pokemon Deoxys,Dusclops [Reverse Holo] #7,$21.53
888078,Pokemon Deoxys,Duskull #58,$2.04
888186,Pokemon Deoxys,Duskull [Reverse Holo] #58,$14.95
888079,Pokemon Deoxys,Electrike #59,$1.45
888080,Pokemon Deoxys,Electrike #60,$0.51
888187,Pokemon Deoxys,Electrike [Reverse Holo] #59,$10.00
888188,Pokemon Deoxys,Electrike [Reverse Holo] #60,$14.99
888106,Pokemon Deoxys,Energy Charge #86,$1.78
888214,Pokemon Deoxys,Energy Charge [Reverse Holo] #86,$5.59
888051,Pokemon Deoxys,Golbat #31,$2.13
888159,Pokemon Deoxys,Golbat [Reverse Holo] #31,$10.26
888081,Pokemon Deoxys,Goldeen #61,$1.80
888189,Pokemon Deoxys,Goldeen [Reverse Holo] #61,$12.99
888052,Pokemon Deoxys,Grumpig #32,$1.49
888160,Pokemon Deoxys,Grumpig [Reverse Holo] #32,$7.36
888029,Pokemon Deoxys,Gyarados #8,$47.26
888136,Pokemon Deoxys,Gyarados [Reverse Holo] #8,$70.00
888120,Pokemon Deoxys,Hariyama EX #100,$32.00
888114,Pokemon Deoxys,Heal Energy #94,$4.99
888222,Pokemon Deoxys,Heal Energy [Reverse Holo] #94,$8.99
888030,Pokemon Deoxys,Jirachi #9,$43.07
888137,Pokemon Deoxys,Jirachi [Reverse Holo] #9,$77.16
888082,Pokemon Deoxys,Koffing #62,$1.49
