id,console-name,product-name,loose-price
9420226,Pokemon Destined Rivals,3 Pack Blister: Kangaskhan,$38.77
9420225,Pokemon Destined Rivals,3 Pack Blister: Zebstrika,$34.97
9432768,Pokemon Destined Rivals,Abomasnow #60,$0.10
9433006,Pokemon Destined Rivals,Abomasnow [Reverse Holo] #60,$0.31
9432800,Pokemon Destined Rivals,Annihilape #92,$0.29
9433033,Pokemon Destined Rivals,Annihilape [Reverse Holo] #92,$0.99
9432724,Pokemon Destined Rivals,Applin #16,$0.25
9432966,Pokemon Destined Rivals,Applin [Reverse Holo] #16,$0.21
9432914,Pokemon Destined Rivals,Arboliva ex #207,$2.01
9432731,Pokemon Destined Rivals,Arboliva ex #23,$1.10
9432736,Pokemon Destined Rivals,Arcanine #28,$0.19
9432976,Pokemon Destined Rivals,Arcanine [Reverse Holo] #28,$0.70
9432770,Pokemon Destined Rivals,Arrokuda #62,$0.27
9433008,Pokemon Destined Rivals,Arrokuda [Reverse Holo] #62,$0.13
9432867,Pokemon Destined Rivals,Arven's Greedent #159,$0.90
9432912,Pokemon Destined Rivals,Arven's Greedent #205,$3.97
11370199,Pokemon Destined Rivals,Arven's Greedent [Cosmos Holo] #159,$3.18
9433100,Pokemon Destined Rivals,Arven's Greedent [Reverse Holo] #159,$0.35
9432847,Pokemon Destined Rivals,Arven's Mabosstiff ex #139,$1.53
9432925,Pokemon Destined Rivals,Arven's Mabosstiff ex #218,$2.44
9432942,Pokemon Destined Rivals,Arven's Mabosstiff ex #235,$24.39
9432846,Pokemon Destined Rivals,Arven's Maschiff #138,$0.18
9433082,Pokemon Destined Rivals,Arven's Maschiff [Reverse Holo] #138,$0.47
9432869,Pokemon Destined Rivals,Arven's Sandwich #161,$0.10
9433102,Pokemon Destined Rivals,Arven's Sandwich [Reverse Holo] #161,$0.50
9432866,Pokemon Destined Rivals,Arven's Skwovet #158,$0.10
9433099,Pokemon Destined Rivals,Arven's Skwovet [Reverse Holo] #158,$0.18
9432817,Pokemon Destined Rivals,Arven's Toedscool #109,$0.05
9433047,Pokemon Destined Rivals,Arven's Toedscool [Reverse Holo] #109,$0.25
9432818,Pokemon Destined Rivals,Arven's Toedscruel #110,$0.15
9433048,Pokemon Destined Rivals,Arven's Toedscruel [Reverse Holo] #110,$0.36
9432771,Pokemon Destined Rivals,Barraskewda #63,$0.20
9433009,Pokemon Destined Rivals,Barraskewda [Reverse Holo] #63,$0.86
9432899,Pokemon Destined Rivals,Blaziken #192,$9.49
9432750,Pokemon Destined Rivals,Blaziken #42,$0.99
11358755,Pokemon Destined Rivals,Blaziken [Cosmos Holo] #42,$4.96
9432988,Pokemon Destined Rivals,Blaziken [Reverse Holo] #42,$0.75
9914445,Pokemon Destined Rivals,Blister Pack: Eevee,$11.85
10113046,Pokemon Destined Rivals,Blister Pack: Zarude,$13.38
9420220,Pokemon Destined Rivals,Booster Box,$550.00
9420223,Pokemon Destined Rivals,Booster Bundle,$52.00
9420222,Pokemon Destined Rivals,Booster Pack,$7.98
9432714,Pokemon Destined Rivals,Breloom #6,$0.09
9432956,Pokemon Destined Rivals,Breloom [Reverse Holo] #6,$0.18
9420229,Pokemon Destined Rivals,Build & Battle Box,$45.75
9778248,Pokemon Destined Rivals,Build & Battle Display Box,$473.68
9432765,Pokemon Destined Rivals,Buizel #57,$0.26
9433003,Pokemon Destined Rivals,Buizel [Reverse Holo] #57,$0.32
9432917,Pokemon Destined Rivals,Cetitan ex #210,$2.35
9432773,Pokemon Destined Rivals,Cetitan ex #65,$1.32
9432772,Pokemon Destined Rivals,Cetoddle #64,$0.09
9433010,Pokemon Destined Rivals,Cetoddle [Reverse Holo] #64,$0.19
9432902,Pokemon Destined Rivals,Clamperl #195,$3.34
9432762,Pokemon Destined Rivals,Clamperl #54,$0.09
9433000,Pokemon Destined Rivals,Clamperl [Reverse Holo] #54,$0.25
9432749,Pokemon Destined Rivals,Combusken #41,$0.15
9432987,Pokemon Destined Rivals,Combusken [Reverse Holo] #41,$0.44
