id,console-name,product-name,loose-price
963143,Pokemon Detective Pikachu,Arcanine #6,$3.55
8068476,Pokemon Detective Pikachu,Booster Pack,$13.15
10025697,Pokemon Detective Pikachu,Booster Pack [2-Card],$13.72
963138,Pokemon Detective Pikachu,Bulbasaur #1,$1.42
963142,Pokemon Detective Pikachu,Charizard #5,$9.28
9354859,Pokemon Detective Pikachu,Charizard-GX Case File,$100.00
9714127,Pokemon Detective Pikachu,Charizard-GX Special Case File,$212.18
963141,Pokemon Detective Pikachu,Charmander #4,$1.54
963147,Pokemon Detective Pikachu,Detective Pikachu #10,$5.38
9017328,Pokemon Detective Pikachu,Detective Pikachu Case File,$90.75
8685384,Pokemon Detective Pikachu,Detective Pikachu Case File Display,$445.03
8091698,Pokemon Detective Pikachu,Detective Pikachu Collectors Chest,$137.28
10253103,Pokemon Detective Pikachu,Detective Pikachu On The Case Figure Collection,$136.73
963154,Pokemon Detective Pikachu,Ditto #17,$5.88
963146,Pokemon Detective Pikachu,Greninja #9,$4.08
8361228,Pokemon Detective Pikachu,Greninja-GX Case File,$74.99
963151,Pokemon Detective Pikachu,Jigglypuff #14,$1.26
963153,Pokemon Detective Pikachu,Lickitung #16,$0.80
963139,Pokemon Detective Pikachu,Ludicolo #2,$1.00
963150,Pokemon Detective Pikachu,Machamp #13,$1.16
963145,Pokemon Detective Pikachu,Magikarp #8,$0.75
963149,Pokemon Detective Pikachu,Mewtwo #12,$5.36
963140,Pokemon Detective Pikachu,Morelull #3,$0.80
963148,Pokemon Detective Pikachu,Mr. Mime #11,$2.12
963144,Pokemon Detective Pikachu,Psyduck #7,$0.99
963155,Pokemon Detective Pikachu,Slaking #18,$1.21
963152,Pokemon Detective Pikachu,Snubbull #15,$0.50
