id,console-name,product-name,loose-price
9850661,Pokemon Diamond & Pearl,2-Pack Blister,$390.25
763054,Pokemon Diamond & Pearl,Azumarill #18,$1.99
763176,Pokemon Diamond & Pearl,Azumarill [Reverse Holo] #18,$4.61
763105,Pokemon Diamond & Pearl,Azurill #69,$4.89
763227,Pokemon Diamond & Pearl,Azurill [Reverse Holo] #69,$7.48
763055,Pokemon Diamond & Pearl,Beautifly #19,$1.99
763177,Pokemon Diamond & Pearl,Beautifly [Reverse Holo] #19,$3.97
763056,Pokemon Diamond & Pearl,Bibarel #20,$3.21
763178,Pokemon Diamond & Pearl,Bibarel [Reverse Holo] #20,$2.93
763106,Pokemon Diamond & Pearl,Bidoof #70,$1.54
763228,Pokemon Diamond & Pearl,Bidoof [Reverse Holo] #70,$3.42
7307332,Pokemon Diamond & Pearl,Blister Pack,$263.75
763107,Pokemon Diamond & Pearl,Bonsly #71,$11.52
763229,Pokemon Diamond & Pearl,Bonsly [Reverse Holo] #71,$49.13
5881532,Pokemon Diamond & Pearl,Booster Box,$6209.72
4602158,Pokemon Diamond & Pearl,Booster Pack,$270.43
763079,Pokemon Diamond & Pearl,Budew #43,$4.36
763201,Pokemon Diamond & Pearl,Budew [Reverse Holo] #43,$8.64
763108,Pokemon Diamond & Pearl,Buizel #72,$0.43
763230,Pokemon Diamond & Pearl,Buizel [Reverse Holo] #72,$2.27
763109,Pokemon Diamond & Pearl,Buneary #73,$2.13
763231,Pokemon Diamond & Pearl,Buneary [Reverse Holo] #73,$2.99
763057,Pokemon Diamond & Pearl,Carnivine #21,$2.68
763179,Pokemon Diamond & Pearl,Carnivine [Reverse Holo] #21,$2.90
763080,Pokemon Diamond & Pearl,Cascoon #44,$0.98
763202,Pokemon Diamond & Pearl,Cascoon [Reverse Holo] #44,$1.97
763110,Pokemon Diamond & Pearl,Chatot #74,$1.65
763232,Pokemon Diamond & Pearl,Chatot [Reverse Holo] #74,$1.87
763081,Pokemon Diamond & Pearl,Cherrim #45,$1.46
763203,Pokemon Diamond & Pearl,Cherrim [Reverse Holo] #45,$3.62
763111,Pokemon Diamond & Pearl,Cherubi #75,$0.77
763233,Pokemon Diamond & Pearl,Cherubi [Reverse Holo] #75,$2.31
763112,Pokemon Diamond & Pearl,Chimchar #76,$2.79
5066886,Pokemon Diamond & Pearl,Chimchar Trio Box,$600.00
10949579,Pokemon Diamond & Pearl,Chimchar [Cosmos Holo] #76,$5.50
763234,Pokemon Diamond & Pearl,Chimchar [Reverse Holo] #76,$4.50
5428219,Pokemon Diamond & Pearl,Chimchar [Stamped] #76,$3.89
763058,Pokemon Diamond & Pearl,Clefable #22,$3.26
763180,Pokemon Diamond & Pearl,Clefable [Reverse Holo] #22,$4.07
763113,Pokemon Diamond & Pearl,Clefairy #77,$1.11
763235,Pokemon Diamond & Pearl,Clefairy [Reverse Holo] #77,$3.00
763114,Pokemon Diamond & Pearl,Cleffa #78,$1.90
763236,Pokemon Diamond & Pearl,Cleffa [Reverse Holo] #78,$5.69
6984915,Pokemon Diamond & Pearl,Collection Box,$2239.28
763115,Pokemon Diamond & Pearl,Combee #79,$0.99
763237,Pokemon Diamond & Pearl,Combee [Reverse Holo] #79,$2.00
2677905,Pokemon Diamond & Pearl,Darkness Energy #129,$1.79
763037,Pokemon Diamond & Pearl,Dialga #1,$9.07
8740632,Pokemon Diamond & Pearl,Dialga LV.X Tin,$1800.00
7328195,Pokemon Diamond & Pearl,Dialga Premium Box,$399.90
763159,Pokemon Diamond & Pearl,Dialga [Reverse Holo] #1,$6.70
10811245,Pokemon Diamond & Pearl,Doduo #DPBP#092,
763141,Pokemon Diamond & Pearl,Double Full Heal #105,$0.38
763263,Pokemon Diamond & Pearl,Double Full Heal [Reverse Holo] #105,$2.70
763059,Pokemon Diamond & Pearl,Drapion #23,$2.34
763181,Pokemon Diamond & Pearl,Drapion [Reverse Holo] #23,$4.11
763060,Pokemon Diamond & Pearl,Drifblim #24,$2.98
763182,Pokemon Diamond & Pearl,Drifblim [Reverse Holo] #24,$3.00
763082,Pokemon Diamond & Pearl,Drifloon #46,$1.28
763204,Pokemon Diamond & Pearl,Drifloon [Reverse Holo] #46,$2.06
763083,Pokemon Diamond & Pearl,Dusclops #47,$0.88
763205,Pokemon Diamond & Pearl,Dusclops [Reverse Holo] #47,$1.79
763038,Pokemon Diamond & Pearl,Dusknoir #2,$3.74
763160,Pokemon Diamond & Pearl,Dusknoir [Reverse Holo] #2,$4.62
763116,Pokemon Diamond & Pearl,Duskull #80,$0.94
763238,Pokemon Diamond & Pearl,Duskull [Reverse Holo] #80,$4.23
763061,Pokemon Diamond & Pearl,Dustox #25,$3.09
