id,console-name,product-name,loose-price
7557617,Pokemon Double Crisis,4-Pack Blister Pack,$1295.80
958776,Pokemon Double Crisis,Aqua Diffuser #23,$1.58
2978729,Pokemon Double Crisis,Aqua Diffuser [Reverse Holo] #23,$1.93
5636753,Pokemon Double Crisis,Booster Pack,$409.50
958786,Pokemon Double Crisis,Double Aqua Energy #33,$1.12
2978739,Pokemon Double Crisis,Double Aqua Energy [Reverse Holo] #33,$4.57
958787,Pokemon Double Crisis,Double Magma Energy #34,$1.07
2978740,Pokemon Double Crisis,Double Magma Energy [Reverse Holo] #34,$3.65
958777,Pokemon Double Crisis,Magma Pointer #24,$1.03
2978730,Pokemon Double Crisis,Magma Pointer [Reverse Holo] #24,$1.72
958778,Pokemon Double Crisis,Team Aqua Admin #25,$1.45
2978731,Pokemon Double Crisis,Team Aqua Admin [Reverse Holo] #25,$5.87
958779,Pokemon Double Crisis,Team Aqua Grunt #26,$0.64
2978732,Pokemon Double Crisis,Team Aqua Grunt [Reverse Holo] #26,$6.06
958773,Pokemon Double Crisis,Team Aqua's Carvanha #20,$1.92
2978727,Pokemon Double Crisis,Team Aqua's Carvanha [Reverse Holo] #20,$5.49
958780,Pokemon Double Crisis,Team Aqua's Great Ball #27,$1.25
2978733,Pokemon Double Crisis,Team Aqua's Great Ball [Reverse Holo] #27,$4.95
958760,Pokemon Double Crisis,Team Aqua's Grimer #7,$2.75
2975519,Pokemon Double Crisis,Team Aqua's Grimer [Reverse Holo] #7,$5.94
958759,Pokemon Double Crisis,Team Aqua's Kyogre EX #6,$275.00
958771,Pokemon Double Crisis,Team Aqua's Mightyena #18,$1.82
2775149,Pokemon Double Crisis,Team Aqua's Mightyena [Reverse Holo] #18,$8.52
958761,Pokemon Double Crisis,Team Aqua's Muk #8,$2.99
2978719,Pokemon Double Crisis,Team Aqua's Muk [Reverse Holo] #8,$4.54
958769,Pokemon Double Crisis,Team Aqua's Poochyena #16,$2.44
2775151,Pokemon Double Crisis,Team Aqua's Poochyena [Reverse Holo] #16,$4.39
958757,Pokemon Double Crisis,Team Aqua's Sealeo #4,$1.34
2978717,Pokemon Double Crisis,Team Aqua's Sealeo [Reverse Holo] #4,$8.64
958781,Pokemon Double Crisis,Team Aqua's Secret Base #28,$1.63
2978734,Pokemon Double Crisis,Team Aqua's Secret Base [Reverse Holo] #28,$2.97
958762,Pokemon Double Crisis,Team Aqua's Seviper #9,$1.75
2978720,Pokemon Double Crisis,Team Aqua's Seviper [Reverse Holo] #9,$9.38
958774,Pokemon Double Crisis,Team Aqua's Sharpedo #21,$4.58
2978728,Pokemon Double Crisis,Team Aqua's Sharpedo [Reverse Holo] #21,$9.50
958756,Pokemon Double Crisis,Team Aqua's Spheal #3,$3.16
2978716,Pokemon Double Crisis,Team Aqua's Spheal [Reverse Holo] #3,$10.50
958758,Pokemon Double Crisis,Team Aqua's Walrein #5,$3.58
2978718,Pokemon Double Crisis,Team Aqua's Walrein [Reverse Holo] #5,$5.33
958782,Pokemon Double Crisis,Team Magma Admin #29,$1.82
2978735,Pokemon Double Crisis,Team Magma Admin [Reverse Holo] #29,$4.12
958783,Pokemon Double Crisis,Team Magma Grunt #30,$1.57
2978736,Pokemon Double Crisis,Team Magma Grunt [Reverse Holo] #30,$3.36
958767,Pokemon Double Crisis,Team Magma's Aggron #14,$3.40
2978724,Pokemon Double Crisis,Team Magma's Aggron [Reverse Holo] #14,$7.59
958765,Pokemon Double Crisis,Team Magma's Aron #12,$1.87
2978722,Pokemon Double Crisis,Team Magma's Aron [Reverse Holo] #12,$5.25
958763,Pokemon Double Crisis,Team Magma's Baltoy #10,$1.74
2975512,Pokemon Double Crisis,Team Magma's Baltoy [Reverse Holo] #10,$2.55
958755,Pokemon Double Crisis,Team Magma's Camerupt #2,$2.44
2978715,Pokemon Double Crisis,Team Magma's Camerupt [Reverse Holo] #2,$3.33
958764,Pokemon Double Crisis,Team Magma's Claydol #11,$2.18
2978721,Pokemon Double Crisis,Team Magma's Claydol [Reverse Holo] #11,$3.90
958784,Pokemon Double Crisis,Team Magma's Great Ball #31,$9.00
2978737,Pokemon Double Crisis,Team Magma's Great Ball [Reverse Holo] #31,$15.12
958768,Pokemon Double Crisis,Team Magma's Groudon EX #15,$179.99
958766,Pokemon Double Crisis,Team Magma's Lairon #13,$1.65
2978723,Pokemon Double Crisis,Team Magma's Lairon [Reverse Holo] #13,$6.18
958772,Pokemon Double Crisis,Team Magma's Mightyena #19,$1.47
2978726,Pokemon Double Crisis,Team Magma's Mightyena [Reverse Holo] #19,$8.36
958754,Pokemon Double Crisis,Team Magma's Numel #1,$2.71
2978714,Pokemon Double Crisis,Team Magma's Numel [Reverse Holo] #1,$4.00
958770,Pokemon Double Crisis,Team Magma's Poochyena #17,$1.97
2978725,Pokemon Double Crisis,Team Magma's Poochyena [Reverse Holo] #17,$7.13
958785,Pokemon Double Crisis,Team Magma's Secret Base #32,$2.99
2978738,Pokemon Double Crisis,Team Magma's Secret Base [Reverse Holo] #32,$4.83
958775,Pokemon Double Crisis,Team Magma's Zangoose #22,$2.51
2782405,Pokemon Double Crisis,Team Magma's Zangoose [Reverse Holo] #22,$8.46
