id,console-name,product-name,loose-price
889564,Pokemon Dragon Frontiers,Altaria EX #90,$46.99
889475,Pokemon Dragon Frontiers,Ampharos #1,$28.23
889576,Pokemon Dragon Frontiers,Ampharos [Reverse Holo] #1,$23.75
889487,Pokemon Dragon Frontiers,Arbok #13,$3.32
889588,Pokemon Dragon Frontiers,Arbok [Reverse Holo] #13,$19.56
889517,Pokemon Dragon Frontiers,Bagon #43,$1.26
889618,Pokemon Dragon Frontiers,Bagon [Reverse Holo] #43,$12.08
889500,Pokemon Dragon Frontiers,Bayleef #26,$2.00
889601,Pokemon Dragon Frontiers,Bayleef [Reverse Holo] #26,$18.00
5857350,Pokemon Dragon Frontiers,Blister Pack,$2399.99
889561,Pokemon Dragon Frontiers,Boost Energy #87,$1.96
889662,Pokemon Dragon Frontiers,Boost Energy [Reverse Holo] #87,$4.00
2245045,Pokemon Dragon Frontiers,Booster Box,$10344.10
2245046,Pokemon Dragon Frontiers,Booster Pack,$1037.80
889546,Pokemon Dragon Frontiers,Buffer Piece #72,$0.84
889647,Pokemon Dragon Frontiers,Buffer Piece [Reverse Holo] #72,$2.46
889574,Pokemon Dragon Frontiers,Charizard [Gold Star] #100,$2245.46
889518,Pokemon Dragon Frontiers,Chikorita #44,$3.41
889619,Pokemon Dragon Frontiers,Chikorita [Reverse Holo] #44,$17.37
889488,Pokemon Dragon Frontiers,Cloyster #14,$2.25
889589,Pokemon Dragon Frontiers,Cloyster [Reverse Holo] #14,$17.65
889547,Pokemon Dragon Frontiers,Copycat #73,$2.22
889648,Pokemon Dragon Frontiers,Copycat [Reverse Holo] #73,$6.08
889501,Pokemon Dragon Frontiers,Croconaw #27,$2.93
889602,Pokemon Dragon Frontiers,Croconaw [Reverse Holo] #27,$24.25
889519,Pokemon Dragon Frontiers,Cyndaquil #45,$1.62
889620,Pokemon Dragon Frontiers,Cyndaquil [Reverse Holo] #45,$17.77
889489,Pokemon Dragon Frontiers,Dewgong #15,$2.95
889590,Pokemon Dragon Frontiers,Dewgong [Reverse Holo] #15,$16.57
7445412,Pokemon Dragon Frontiers,Dewgong [Stamped] #15,$12.00
889502,Pokemon Dragon Frontiers,Dragonair #28,$4.50
3623319,Pokemon Dragon Frontiers,Dragonair [Prerelease] #28,$67.16
889603,Pokemon Dragon Frontiers,Dragonair [Reverse Holo] #28,$25.00
889565,Pokemon Dragon Frontiers,Dragonite EX #91,$105.60
889520,Pokemon Dragon Frontiers,Dratini #46,$1.89
