id,console-name,product-name,loose-price
962274,Pokemon Dragon Majesty,Altaria #40,$1.25
2423657,Pokemon Dragon Majesty,Altaria #40a,$2.16
962275,Pokemon Dragon Majesty,Altaria GX #41,$4.18
962302,Pokemon Dragon Majesty,Altaria GX #68,$8.49
962306,Pokemon Dragon Majesty,Altaria GX #72,$30.83
962348,Pokemon Dragon Majesty,Altaria [Reverse Holo] #40,$3.22
962276,Pokemon Dragon Majesty,Bagon #42,$0.63
962349,Pokemon Dragon Majesty,Bagon [Reverse Holo] #42,$0.89
962292,Pokemon Dragon Majesty,Blaine's Last Stand #58,$0.36
4982049,Pokemon Dragon Majesty,Blaine's Last Stand #69,$35.00
962363,Pokemon Dragon Majesty,Blaine's Last Stand [Reverse Holo] #58,$0.45
962240,Pokemon Dragon Majesty,Blaziken #6,$2.44
962318,Pokemon Dragon Majesty,Blaziken [Reverse Holo] #6,$7.73
4555924,Pokemon Dragon Majesty,Booster Pack,$69.99
5063584,Pokemon Dragon Majesty,Charizard #3,$3.49
4918505,Pokemon Dragon Majesty,Charizard [Holo] #3,$6.83
962315,Pokemon Dragon Majesty,Charizard [Reverse Holo] #3,$20.79
962235,Pokemon Dragon Majesty,Charmander #1,$1.99
962313,Pokemon Dragon Majesty,Charmander [Reverse Holo] #1,$15.62
962236,Pokemon Dragon Majesty,Charmeleon #2,$1.00
962314,Pokemon Dragon Majesty,Charmeleon [Reverse Holo] #2,$2.78
962239,Pokemon Dragon Majesty,Combusken #5,$0.32
962317,Pokemon Dragon Majesty,Combusken [Reverse Holo] #5,$1.00
962261,Pokemon Dragon Majesty,Corsola #27,$0.29
962336,Pokemon Dragon Majesty,Corsola [Reverse Holo] #27,$1.11
962257,Pokemon Dragon Majesty,Croconaw #23,$0.40
962332,Pokemon Dragon Majesty,Croconaw [Reverse Holo] #23,$0.99
962243,Pokemon Dragon Majesty,Darmanitan #9,$0.21
962320,Pokemon Dragon Majesty,Darmanitan [Reverse Holo] #9,$1.42
962242,Pokemon Dragon Majesty,Darumaka #8,$0.30
962319,Pokemon Dragon Majesty,Darumaka [Reverse Holo] #8,$1.49
962293,Pokemon Dragon Majesty,Dragon Talon #59,$0.45
962309,Pokemon Dragon Majesty,Dragon Talon #75,$7.99
962364,Pokemon Dragon Majesty,Dragon Talon [Reverse Holo] #59,$0.73
962270,Pokemon Dragon Majesty,Dragonair #36,$0.50
962345,Pokemon Dragon Majesty,Dragonair [Reverse Holo] #36,$4.86
962271,Pokemon Dragon Majesty,Dragonite GX #37,$14.27
962301,Pokemon Dragon Majesty,Dragonite GX #67,$50.00
962285,Pokemon Dragon Majesty,Drampa #51,$0.49
962356,Pokemon Dragon Majesty,Drampa [Reverse Holo] #51,$1.14
962268,Pokemon Dragon Majesty,Dratini #34,$0.68
962269,Pokemon Dragon Majesty,Dratini #35,$0.31
962343,Pokemon Dragon Majesty,Dratini [Reverse Holo] #34,$2.29
962344,Pokemon Dragon Majesty,Dratini [Reverse Holo] #35,$2.25
4166491,Pokemon Dragon Majesty,Dratini [Stamped] #35,$72.47
962279,Pokemon Dragon Majesty,Druddigon #45,$0.41
