id,console-name,product-name,loose-price
956505,Pokemon Dragon Vault,Axew #12,$1.69
956506,Pokemon Dragon Vault,Axew #13,$1.99
956499,Pokemon Dragon Vault,Bagon #6,$1.65
5672119,Pokemon Dragon Vault,Bagon [Regional Championships] #6,$16.17
5636985,Pokemon Dragon Vault,Booster Pack,$160.13
956496,Pokemon Dragon Vault,Dragonair #3,$4.32
956497,Pokemon Dragon Vault,Dragonair #4,$7.99
956498,Pokemon Dragon Vault,Dragonite #5,$9.99
10257213,Pokemon Dragon Vault,Dragonite [Cosmos Holo] #5,$7.70
956494,Pokemon Dragon Vault,Dratini #1,$3.02
956495,Pokemon Dragon Vault,Dratini #2,$5.83
956510,Pokemon Dragon Vault,Druddigon #17,$2.35
5923746,Pokemon Dragon Vault,Druddigon [Stamped] #17,$9.28
956511,Pokemon Dragon Vault,Exp. Share #18,$2.53
956512,Pokemon Dragon Vault,First Ticket #19,$0.99
956507,Pokemon Dragon Vault,Fraxure #14,$1.83
956508,Pokemon Dragon Vault,Fraxure #15,$1.91
956509,Pokemon Dragon Vault,Haxorus #16,$3.46
5672134,Pokemon Dragon Vault,Haxorus [Stamped] #16,$10.57
956514,Pokemon Dragon Vault,Kyurem #21,$42.71
956502,Pokemon Dragon Vault,Latias #9,$6.86
6124274,Pokemon Dragon Vault,Latias [Stamped] #9,$13.12
956503,Pokemon Dragon Vault,Latios #10,$7.00
4997891,Pokemon Dragon Vault,Latios [Stamped] #10,$11.45
956504,Pokemon Dragon Vault,Rayquaza #11,$23.09
5811201,Pokemon Dragon Vault,Rayquaza [Stamped] #11,$30.62
956501,Pokemon Dragon Vault,Salamence #8,$4.00
10055667,Pokemon Dragon Vault,Salamence [Cosmic Holo] #8,$5.41
9904093,Pokemon Dragon Vault,Salamence [Regional Championship Staff] #8,$100.00
6135051,Pokemon Dragon Vault,Salamence [Regional Championship] #8,$24.45
956500,Pokemon Dragon Vault,Shelgon #7,$1.75
8794101,Pokemon Dragon Vault,Shelgon [Regional Championship Staff] #7,$62.34
6115520,Pokemon Dragon Vault,Shelgon [Regional Championship] #7,$17.38
956513,Pokemon Dragon Vault,Super Rod #20,$6.88
