id,console-name,product-name,loose-price
6331560,Pokemon Dragon,Absol [Holo] #1,$68.76
849480,Pokemon Dragon,Absol [Reverse Holo] #1,$38.96
2492552,Pokemon Dragon,Altaria #2,$28.04
849481,Pokemon Dragon,Altaria [Reverse Holo] #2,$14.99
849468,Pokemon Dragon,Ampharos EX #89,$66.65
849403,Pokemon Dragon,Bagon #23,$2.35
849429,Pokemon Dragon,Bagon #49,$0.84
849430,Pokemon Dragon,Bagon #50,$0.76
849502,Pokemon Dragon,Bagon [Reverse Holo] #23,$6.00
849528,Pokemon Dragon,Bagon [Reverse Holo] #49,$5.84
849529,Pokemon Dragon,Bagon [Reverse Holo] #50,$4.99
849461,Pokemon Dragon,Balloon Berry #82,$0.26
849561,Pokemon Dragon,Balloon Berry [Reverse Holo] #82,$2.74
849431,Pokemon Dragon,Barboach #51,$1.81
849530,Pokemon Dragon,Barboach [Reverse Holo] #51,$5.00
9455768,Pokemon Dragon,Blister Pack,$855.00
5639054,Pokemon Dragon,Booster Pack,$412.53
849462,Pokemon Dragon,Buffer Piece #83,$1.08
849562,Pokemon Dragon,Buffer Piece [Reverse Holo] #83,$2.51
849404,Pokemon Dragon,Camerupt #24,$1.35
849503,Pokemon Dragon,Camerupt [Reverse Holo] #24,$5.00
849479,Pokemon Dragon,Charizard #100,$384.12
3365586,Pokemon Dragon,Charizard [National Championships] #100,$1185.60
849477,Pokemon Dragon,Charmander #98,$129.38
4126742,Pokemon Dragon,Charmander [City Championships] #98,$109.56
849478,Pokemon Dragon,Charmeleon #99,$80.13
6870218,Pokemon Dragon,Charmeleon [State Championship] #99,$70.49
849405,Pokemon Dragon,Combusken #25,$1.45
849504,Pokemon Dragon,Combusken [Reverse Holo] #25,$9.78
849432,Pokemon Dragon,Corphish #52,$0.46
849433,Pokemon Dragon,Corphish #53,$0.56
849434,Pokemon Dragon,Corphish #54,$3.23
849531,Pokemon Dragon,Corphish [Reverse Holo] #52,$7.11
849532,Pokemon Dragon,Corphish [Reverse Holo] #53,$4.99
849533,Pokemon Dragon,Corphish [Reverse Holo] #54,$7.00
849393,Pokemon Dragon,Crawdaunt #13,$1.46
849383,Pokemon Dragon,Crawdaunt #3,$6.83
849492,Pokemon Dragon,Crawdaunt [Reverse Holo] #13,$5.51
849482,Pokemon Dragon,Crawdaunt [Reverse Holo] #3,$6.35
849394,Pokemon Dragon,Dragonair #14,$4.99
849493,Pokemon Dragon,Dragonair [Reverse Holo] #14,$24.67
849469,Pokemon Dragon,Dragonite EX #90,$271.22
849406,Pokemon Dragon,Dratini #26,$7.00
849505,Pokemon Dragon,Dratini [Reverse Holo] #26,$20.97
849463,Pokemon Dragon,Energy Recycle System #84,$0.39
849563,Pokemon Dragon,Energy Recycle System [Reverse Holo] #84,$3.12
849407,Pokemon Dragon,Flaaffy #27,$2.89
849506,Pokemon Dragon,Flaaffy [Reverse Holo] #27,$10.25
849395,Pokemon Dragon,Flygon #15,$2.79
849384,Pokemon Dragon,Flygon #4,$38.95
6179666,Pokemon Dragon,Flygon [Cosmos] #15,$42.59
849494,Pokemon Dragon,Flygon [Reverse Holo] #15,$19.24
849483,Pokemon Dragon,Flygon [Reverse Holo] #4,$23.19
849408,Pokemon Dragon,Forretress #28,$1.64
849507,Pokemon Dragon,Forretress [Reverse Holo] #28,$6.09
849435,Pokemon Dragon,Geodude #55,$1.69
849436,Pokemon Dragon,Geodude #56,$1.59
849534,Pokemon Dragon,Geodude [Reverse Holo] #55,$7.93
849535,Pokemon Dragon,Geodude [Reverse Holo] #56,$5.99
849396,Pokemon Dragon,Girafarig #16,$1.99
849495,Pokemon Dragon,Girafarig [Reverse Holo] #16,$8.26
849385,Pokemon Dragon,Golem #5,$29.36
849470,Pokemon Dragon,Golem EX #91,$37.29
849484,Pokemon Dragon,Golem [Reverse Holo] #5,$12.00
849409,Pokemon Dragon,Graveler #29,$2.51
849410,Pokemon Dragon,Graveler #30,$2.23
849508,Pokemon Dragon,Graveler [Reverse Holo] #29,$9.70
849509,Pokemon Dragon,Graveler [Reverse Holo] #30,$8.86
849437,Pokemon Dragon,Grimer #57,$1.05
849536,Pokemon Dragon,Grimer [Reverse Holo] #57,$11.00
849411,Pokemon Dragon,Grovyle #31,$2.25
849510,Pokemon Dragon,Grovyle [Reverse Holo] #31,$12.49
849386,Pokemon Dragon,Grumpig #6,$13.99
849485,Pokemon Dragon,Grumpig [Reverse Holo] #6,$14.47
849412,Pokemon Dragon,Gyarados #32,$9.13
3312764,Pokemon Dragon,Gyarados [Prerelease] #32,$84.46
849511,Pokemon Dragon,Gyarados [Reverse Holo] #32,$43.65
849464,Pokemon Dragon,High Pressure System #85,$0.98
849564,Pokemon Dragon,High Pressure System [Reverse Holo] #85,$3.94
849413,Pokemon Dragon,Horsea #33,$3.01
849438,Pokemon Dragon,Horsea #58,$1.31
849512,Pokemon Dragon,Horsea [Reverse Holo] #33,$8.89
849537,Pokemon Dragon,Horsea [Reverse Holo] #58,$9.57
849414,Pokemon Dragon,Houndoom #34,$5.25
849513,Pokemon Dragon,Houndoom [Reverse Holo] #34,$18.00
849439,Pokemon Dragon,Houndour #59,$2.94
849538,Pokemon Dragon,Houndour [Reverse Holo] #59,$13.00
849471,Pokemon Dragon,Kingdra EX #92,$60.00
849472,Pokemon Dragon,Latias EX #93,$107.34
849473,Pokemon Dragon,Latios EX #94,$100.00
849465,Pokemon Dragon,Low Pressure System #86,$0.37
849565,Pokemon Dragon,Low Pressure System [Reverse Holo] #86,$2.95
849474,Pokemon Dragon,Magcargo EX #95,$32.00
849440,Pokemon Dragon,Magikarp #60,$2.98
849539,Pokemon Dragon,Magikarp [Reverse Holo] #60,$17.05
849441,Pokemon Dragon,Magnemite #61,$1.79
849442,Pokemon Dragon,Magnemite #62,$1.19
849443,Pokemon Dragon,Magnemite #63,$0.99
849540,Pokemon Dragon,Magnemite [Reverse Holo] #61,$9.71
849541,Pokemon Dragon,Magnemite [Reverse Holo] #62,$4.98
849542,Pokemon Dragon,Magnemite [Reverse Holo] #63,$4.99
849397,Pokemon Dragon,Magneton #17,$2.11
849415,Pokemon Dragon,Magneton #35,$1.33
849496,Pokemon Dragon,Magneton [Reverse Holo] #17,$10.88
849514,Pokemon Dragon,Magneton [Reverse Holo] #35,$8.99
849444,Pokemon Dragon,Mareep #64,$2.01
849543,Pokemon Dragon,Mareep [Reverse Holo] #64,$7.49
849416,Pokemon Dragon,Marshtomp #36,$2.07
849515,Pokemon Dragon,Marshtomp [Reverse Holo] #36,$12.01
849417,Pokemon Dragon,Meditite #37,$1.29
849516,Pokemon Dragon,Meditite [Reverse Holo] #37,$5.87
849387,Pokemon Dragon,Minun #7,$52.44
849486,Pokemon Dragon,Minun [Reverse Holo] #7,$25.00
849466,Pokemon Dragon,Mr. Briney's Compassion #87,$6.99
849566,Pokemon Dragon,Mr. Briney's Compassion [Reverse Holo] #87,$11.49
849445,Pokemon Dragon,Mudkip #65,$2.60
849544,Pokemon Dragon,Mudkip [Reverse Holo] #65,$20.20
849475,Pokemon Dragon,Muk EX #96,$31.08
849446,Pokemon Dragon,Nincada #66,$0.25
849568,Pokemon Dragon,Nincada #67,$1.29
849447,Pokemon Dragon,Nincada #68,$1.30
849545,Pokemon Dragon,Nincada [Reverse Holo] #66,$4.03
849546,Pokemon Dragon,Nincada [Reverse Holo] #67,$4.05
849547,Pokemon Dragon,Nincada [Reverse Holo] #68,$4.12
849398,Pokemon Dragon,Ninjask #18,$1.45
849418,Pokemon Dragon,Ninjask #38,$1.35
849497,Pokemon Dragon,Ninjask [Reverse Holo] #18,$8.21
849517,Pokemon Dragon,Ninjask [Reverse Holo] #38,$4.69
849448,Pokemon Dragon,Numel #69,$1.04
849449,Pokemon Dragon,Numel #70,$1.29
849548,Pokemon Dragon,Numel [Reverse Holo] #69,$9.99
849549,Pokemon Dragon,Numel [Reverse Holo] #70,$4.99
849450,Pokemon Dragon,Pineco #71,$1.48
849550,Pokemon Dragon,Pineco [Reverse Holo] #71,$3.23
849388,Pokemon Dragon,Plusle #8,$38.00
849487,Pokemon Dragon,Plusle [Reverse Holo] #8,$16.50
849476,Pokemon Dragon,Rayquaza EX #97,$213.41
849389,Pokemon Dragon,Roselia #9,$8.03
849488,Pokemon Dragon,Roselia [Reverse Holo] #9,$8.50
849390,Pokemon Dragon,Salamence #10,$37.00
849399,Pokemon Dragon,Salamence #19,$2.46
10854849,Pokemon Dragon,Salamence [Cosmos Holo] #19,$39.99
849489,Pokemon Dragon,Salamence [Reverse Holo] #10,$23.04
849498,Pokemon Dragon,Salamence [Reverse Holo] #19,$18.36
849419,Pokemon Dragon,Seadra #39,$2.49
849420,Pokemon Dragon,Seadra #40,$1.25
849518,Pokemon Dragon,Seadra [Reverse Holo] #39,$10.26
849519,Pokemon Dragon,Seadra [Reverse Holo] #40,$8.50
849391,Pokemon Dragon,Shedinja #11,$27.98
849490,Pokemon Dragon,Shedinja [Reverse Holo] #11,$15.00
849400,Pokemon Dragon,Shelgon #20,$2.09
849421,Pokemon Dragon,Shelgon #41,$1.99
849422,Pokemon Dragon,Shelgon #42,$2.38
849499,Pokemon Dragon,Shelgon [Reverse Holo] #20,$5.16
849520,Pokemon Dragon,Shelgon [Reverse Holo] #41,$9.00
849521,Pokemon Dragon,Shelgon [Reverse Holo] #42,$5.00
849423,Pokemon Dragon,Shuppet #43,$11.56
849522,Pokemon Dragon,Shuppet [Reverse Holo] #43,$14.66
849401,Pokemon Dragon,Skarmory #21,$2.63
849500,Pokemon Dragon,Skarmory [Reverse Holo] #21,$15.54
849451,Pokemon Dragon,Slugma #72,$1.00
849551,Pokemon Dragon,Slugma [Reverse Holo] #72,$5.00
849424,Pokemon Dragon,Snorunt #44,$2.25
849523,Pokemon Dragon,Snorunt [Reverse Holo] #44,$9.99
849452,Pokemon Dragon,Spoink #73,$1.83
849453,Pokemon Dragon,Spoink #74,$1.43
849552,Pokemon Dragon,Spoink [Reverse Holo] #73,$6.43
849553,Pokemon Dragon,Spoink [Reverse Holo] #74,$6.33
849454,Pokemon Dragon,Swablu #75,$1.50
849554,Pokemon Dragon,Swablu [Reverse Holo] #75,$5.00
849425,Pokemon Dragon,Swellow #45,$1.82
849524,Pokemon Dragon,Swellow [Reverse Holo] #45,$6.00
849467,Pokemon Dragon,TV Reporter #88,$0.41
849567,Pokemon Dragon,TV Reporter [Reverse Holo] #88,$362.04
849455,Pokemon Dragon,Taillow #76,$0.99
849555,Pokemon Dragon,Taillow [Reverse Holo] #76,$3.99
849456,Pokemon Dragon,Torchic #77,$0.85
849556,Pokemon Dragon,Torchic [Reverse Holo] #77,$11.69
849392,Pokemon Dragon,Torkoal #12,$27.00
849491,Pokemon Dragon,Torkoal [Reverse Holo] #12,$11.99
849457,Pokemon Dragon,Trapinch #78,$2.00
849458,Pokemon Dragon,Trapinch #79,$1.34
849558,Pokemon Dragon,Trapinch [Reverse Holo] #78,$5.00
849557,Pokemon Dragon,Trapinch [Reverse Holo] #79,$4.79
849459,Pokemon Dragon,Treecko #80,$1.04
849559,Pokemon Dragon,Treecko [Reverse Holo] #80,$8.34
849402,Pokemon Dragon,Vibrava #22,$1.25
849426,Pokemon Dragon,Vibrava #46,$1.41
849427,Pokemon Dragon,Vibrava #47,$0.78
849501,Pokemon Dragon,Vibrava [Reverse Holo] #22,$5.99
849525,Pokemon Dragon,Vibrava [Reverse Holo] #46,$6.99
849526,Pokemon Dragon,Vibrava [Reverse Holo] #47,$7.20
849428,Pokemon Dragon,Whiscash #48,$5.32
849527,Pokemon Dragon,Whiscash [Reverse Holo] #48,$10.99
849460,Pokemon Dragon,Wurmple #81,$1.28
849560,Pokemon Dragon,Wurmple [Reverse Holo] #81,$4.46
