id,console-name,product-name,loose-price
7415796,Pokemon Dragons Exalted,3-Pack Blister,$511.35
956334,Pokemon Dragons Exalted,Aggron #80,$2.79
956459,Pokemon Dragons Exalted,Aggron [Reverse Holo] #80,$3.37
956353,Pokemon Dragons Exalted,Aipom #99,$0.40
956474,Pokemon Dragons Exalted,Aipom [Reverse Holo] #99,$0.78
956291,Pokemon Dragons Exalted,Alomomola #37,$0.98
956418,Pokemon Dragons Exalted,Alomomola [Reverse Holo] #37,$1.56
956338,Pokemon Dragons Exalted,Altaria #84,$1.83
956462,Pokemon Dragons Exalted,Altaria [Reverse Holo] #84,$1.75
956355,Pokemon Dragons Exalted,Ambipom #100,$1.07
956475,Pokemon Dragons Exalted,Ambipom [Reverse Holo] #100,$1.34
956294,Pokemon Dragons Exalted,Ampharos #40,$4.27
956421,Pokemon Dragons Exalted,Ampharos [Reverse Holo] #40,$3.99
956332,Pokemon Dragons Exalted,Aron #78,$0.77
956457,Pokemon Dragons Exalted,Aron [Reverse Holo] #78,$1.02
956362,Pokemon Dragons Exalted,Audino #108,$1.09
956483,Pokemon Dragons Exalted,Audino [Reverse Holo] #108,$7.00
956317,Pokemon Dragons Exalted,Baltoy #63,$0.26
956443,Pokemon Dragons Exalted,Baltoy [Reverse Holo] #63,$0.56
956262,Pokemon Dragons Exalted,Beautifly #8,$1.34
956390,Pokemon Dragons Exalted,Beautifly [Reverse Holo] #8,$1.42
956361,Pokemon Dragons Exalted,Bibarel #107,$0.49
956482,Pokemon Dragons Exalted,Bibarel [Reverse Holo] #107,$1.17
956360,Pokemon Dragons Exalted,Bidoof #106,$1.14
956481,Pokemon Dragons Exalted,Bidoof [Reverse Holo] #106,$1.97
956371,Pokemon Dragons Exalted,Blend Energy #117,$3.88
956372,Pokemon Dragons Exalted,Blend Energy #118,$3.79
6042254,Pokemon Dragons Exalted,Blend Energy [Crosshatch League Promo] #117,$12.50
6234389,Pokemon Dragons Exalted,Blend Energy [Crosshatch League Promo] #118,$15.90
956492,Pokemon Dragons Exalted,Blend Energy [Reverse Holo] #117,$4.99
956493,Pokemon Dragons Exalted,Blend Energy [Reverse Holo] #118,$6.44
956320,Pokemon Dragons Exalted,Boldore #66,$0.69
956446,Pokemon Dragons Exalted,Boldore [Reverse Holo] #66,$0.44
5438828,Pokemon Dragons Exalted,Booster Box,$12035.59
5285205,Pokemon Dragons Exalted,Booster Pack,$189.50
956364,Pokemon Dragons Exalted,Bouffalant #110,$0.44
956485,Pokemon Dragons Exalted,Bouffalant [Reverse Holo] #110,$1.78
956366,Pokemon Dragons Exalted,Braviary #112,$0.91
956487,Pokemon Dragons Exalted,Braviary [Reverse Holo] #112,$1.19
