id,console-name,product-name,loose-price
888315,Pokemon Emerald,Altaria EX #90,$75.04
888268,Pokemon Emerald,Baltoy #43,$3.88
888375,Pokemon Emerald,Baltoy [Reverse Holo] #43,$12.00
888300,Pokemon Emerald,Battle Frontier #75,$4.40
888407,Pokemon Emerald,Battle Frontier [Reverse Holo] #75,$23.11
888226,Pokemon Emerald,Blaziken #1,$15.00
888333,Pokemon Emerald,Blaziken [Reverse Holo] #1,$67.58
7953764,Pokemon Emerald,Blister Pack,$902.50
2245057,Pokemon Emerald,Booster Box,$14053.50
2245058,Pokemon Emerald,Booster Pack,$407.75
888247,Pokemon Emerald,Breloom #22,$2.05
888354,Pokemon Emerald,Breloom [Reverse Holo] #22,$25.00
888269,Pokemon Emerald,Cacnea #44,$3.58
888376,Pokemon Emerald,Cacnea [Reverse Holo] #44,$8.48
888316,Pokemon Emerald,Cacturne EX #91,$63.36
888248,Pokemon Emerald,Camerupt #23,$1.20
888317,Pokemon Emerald,Camerupt EX #92,$45.25
888355,Pokemon Emerald,Camerupt [Reverse Holo] #23,$10.92
888237,Pokemon Emerald,Chimecho #12,$2.04
888344,Pokemon Emerald,Chimecho [Reverse Holo] #12,$18.51
888249,Pokemon Emerald,Claydol #24,$10.50
888356,Pokemon Emerald,Claydol [Reverse Holo] #24,$30.80
888250,Pokemon Emerald,Combusken #25,$1.67
888357,Pokemon Emerald,Combusken [Reverse Holo] #25,$20.00
888311,Pokemon Emerald,Darkness Energy #86,$7.63
888418,Pokemon Emerald,Darkness Energy [Reverse Holo] #86,$14.73
888227,Pokemon Emerald,Deoxys #2,$43.59
888318,Pokemon Emerald,Deoxys EX #93,$130.82
888334,Pokemon Emerald,Deoxys [Reverse Holo] #2,$57.54
888251,Pokemon Emerald,Dodrio #26,$1.65
888358,Pokemon Emerald,Dodrio [Reverse Holo] #26,$17.13
888270,Pokemon Emerald,Doduo #45,$0.56
888377,Pokemon Emerald,Doduo [Reverse Holo] #45,$10.72
888301,Pokemon Emerald,Double Full Heal #76,$4.06
