id,console-name,product-name,loose-price
955509,Pokemon Emerging Powers,Audino #83,$0.82
955606,Pokemon Emerging Powers,Audino [Reverse Holo] #83,$1.37
955451,Pokemon Emerging Powers,Basculin #24,$0.28
956043,Pokemon Emerging Powers,Basculin #25,$0.66
955547,Pokemon Emerging Powers,Basculin [Reverse Holo] #24,$3.17
955548,Pokemon Emerging Powers,Basculin [Reverse Holo] #25,$0.82
955456,Pokemon Emerging Powers,Beartic #30,$1.40
955457,Pokemon Emerging Powers,Beartic #31,$0.99
9767343,Pokemon Emerging Powers,Beartic [Cracked Ice] #30,$3.33
955553,Pokemon Emerging Powers,Beartic [Reverse Holo] #30,$1.74
955554,Pokemon Emerging Powers,Beartic [Reverse Holo] #31,$1.49
955516,Pokemon Emerging Powers,Bianca #90,$0.25
955613,Pokemon Emerging Powers,Bianca [Reverse Holo] #90,$2.20
955477,Pokemon Emerging Powers,Boldore #51,$0.32
955478,Pokemon Emerging Powers,Boldore #52,$0.38
8209871,Pokemon Emerging Powers,Boldore [Cracked Ice] #51,$2.80
955574,Pokemon Emerging Powers,Boldore [Reverse Holo] #51,$0.45
955575,Pokemon Emerging Powers,Boldore [Reverse Holo] #52,$0.51
2245011,Pokemon Emerging Powers,Booster Box,$4300.00
2245012,Pokemon Emerging Powers,Booster Pack,$77.52
955514,Pokemon Emerging Powers,Braviary #88,$1.84
955611,Pokemon Emerging Powers,Braviary [Reverse Holo] #88,$2.27
955517,Pokemon Emerging Powers,Cheren #91,$0.16
955614,Pokemon Emerging Powers,Cheren [Reverse Holo] #91,$1.00
955511,Pokemon Emerging Powers,Cinccino #85,$0.76
955608,Pokemon Emerging Powers,Cinccino [Reverse Holo] #85,$1.61
955503,Pokemon Emerging Powers,Cobalion #77,$1.86
955600,Pokemon Emerging Powers,Cobalion [Reverse Holo] #77,$2.09
955437,Pokemon Emerging Powers,Cottonee #10,$0.41
955436,Pokemon Emerging Powers,Cottonee #9,$0.91
955534,Pokemon Emerging Powers,Cottonee [Reverse Holo] #10,$1.54
955533,Pokemon Emerging Powers,Cottonee [Reverse Holo] #9,$1.94
955518,Pokemon Emerging Powers,Crushing Hammer #92,$1.79
955615,Pokemon Emerging Powers,Crushing Hammer [Reverse Holo] #92,$2.32
955454,Pokemon Emerging Powers,Cubchoo #28,$0.36
955455,Pokemon Emerging Powers,Cubchoo #29,$0.99
955551,Pokemon Emerging Powers,Cubchoo [Reverse Holo] #28,$1.54
955552,Pokemon Emerging Powers,Cubchoo [Reverse Holo] #29,$3.76
955448,Pokemon Emerging Powers,Darmanitan #21,$0.70
955544,Pokemon Emerging Powers,Darmanitan [Reverse Holo] #21,$2.00
955447,Pokemon Emerging Powers,Darumaka #20,$1.00
955543,Pokemon Emerging Powers,Darumaka [Reverse Holo] #20,$2.03
955442,Pokemon Emerging Powers,Deerling #15,$0.43
955538,Pokemon Emerging Powers,Deerling [Reverse Holo] #15,$3.64
955480,Pokemon Emerging Powers,Drilbur #54,$0.45
955481,Pokemon Emerging Powers,Drilbur #55,$0.46
955577,Pokemon Emerging Powers,Drilbur [Reverse Holo] #54,$0.62
955578,Pokemon Emerging Powers,Drilbur [Reverse Holo] #55,$1.80
955452,Pokemon Emerging Powers,Ducklett #26,$0.50
955549,Pokemon Emerging Powers,Ducklett [Reverse Holo] #26,$3.47
955458,Pokemon Emerging Powers,Emolga #32,$1.48
955555,Pokemon Emerging Powers,Emolga [Reverse Holo] #32,$3.17
955482,Pokemon Emerging Powers,Excadrill #56,$1.65
955483,Pokemon Emerging Powers,Excadrill #57,$0.99
955579,Pokemon Emerging Powers,Excadrill [Reverse Holo] #56,$2.03
955580,Pokemon Emerging Powers,Excadrill [Reverse Holo] #57,$1.47
955496,Pokemon Emerging Powers,Ferroseed #70,$0.47
955497,Pokemon Emerging Powers,Ferroseed #71,$0.34
955593,Pokemon Emerging Powers,Ferroseed [Reverse Holo] #70,$1.25
955594,Pokemon Emerging Powers,Ferroseed [Reverse Holo] #71,$0.95
955498,Pokemon Emerging Powers,Ferrothorn #72,$1.75
955499,Pokemon Emerging Powers,Ferrothorn #73,$0.59
955595,Pokemon Emerging Powers,Ferrothorn [Reverse Holo] #72,$2.35
955596,Pokemon Emerging Powers,Ferrothorn [Reverse Holo] #73,$0.54
955460,Pokemon Emerging Powers,Galvantula #34,$0.61
955557,Pokemon Emerging Powers,Galvantula [Reverse Holo] #34,$0.90
955479,Pokemon Emerging Powers,Gigalith #53,$1.08
