id,console-name,product-name,loose-price
8666588,Pokemon Evolutions,3 Card Booster Pack,$19.99
6740987,Pokemon Evolutions,3 Pack Blister [Black Kyurem],$152.43
6740984,Pokemon Evolutions,3 Pack Blister [Braixen],$175.84
960306,Pokemon Evolutions,Arcanine #18,$1.19
960405,Pokemon Evolutions,Arcanine [Reverse Holo] #18,$2.68
960295,Pokemon Evolutions,Beedrill #7,$0.78
960397,Pokemon Evolutions,Beedrill [Reverse Holo] #7,$1.44
960309,Pokemon Evolutions,Blastoise EX #21,$5.00
960361,Pokemon Evolutions,Blastoise Spirit Link #73,$0.72
960449,Pokemon Evolutions,Blastoise Spirit Link [Reverse Holo] #73,$2.70
2244967,Pokemon Evolutions,Booster Box,$1766.64
2244968,Pokemon Evolutions,Booster Pack,$48.95
960386,Pokemon Evolutions,Brock's Grit #107,$6.50
960362,Pokemon Evolutions,Brock's Grit #74,$0.29
960450,Pokemon Evolutions,Brock's Grit [Reverse Holo] #74,$0.53
960291,Pokemon Evolutions,Caterpie #3,$0.35
960393,Pokemon Evolutions,Caterpie [Reverse Holo] #3,$0.60
960358,Pokemon Evolutions,Chansey #70,$2.27
960447,Pokemon Evolutions,Chansey [Reverse Holo] #70,$2.24
960299,Pokemon Evolutions,Charizard #11,$53.30
960300,Pokemon Evolutions,Charizard EX #12,$10.19
960363,Pokemon Evolutions,Charizard Spirit Link #75,$1.44
960451,Pokemon Evolutions,Charizard Spirit Link [Reverse Holo] #75,$5.71
2038365,Pokemon Evolutions,Charizard [Prerelease Staff] #11,$1642.48
2038364,Pokemon Evolutions,Charizard [Prerelease] #11,$447.14
960401,Pokemon Evolutions,Charizard [Reverse Holo] #11,$54.24
960297,Pokemon Evolutions,Charmander #9,$1.18
960399,Pokemon Evolutions,Charmander [Reverse Holo] #9,$2.80
3010353,Pokemon Evolutions,Charmander [Toys R Us] #9,$92.51
960298,Pokemon Evolutions,Charmeleon #10,$0.67
960400,Pokemon Evolutions,Charmeleon [Reverse Holo] #10,$0.99
960351,Pokemon Evolutions,Clefairy #63,$2.36
960442,Pokemon Evolutions,Clefairy [Reverse Holo] #63,$2.98
2358147,Pokemon Evolutions,Darkness Energy #97,$2.48
4134671,Pokemon Evolutions,Darkness Energy [Reverse Holo] #97,$7.28
960364,Pokemon Evolutions,Devolution Spray #76,$0.34
960452,Pokemon Evolutions,Devolution Spray [Reverse Holo] #76,$0.50
960317,Pokemon Evolutions,Dewgong #29,$0.97
960412,Pokemon Evolutions,Dewgong [Reverse Holo] #29,$1.64
960343,Pokemon Evolutions,Diglett #55,$0.25
960435,Pokemon Evolutions,Diglett [Reverse Holo] #55,$1.04
960357,Pokemon Evolutions,Doduo #69,$0.29
960446,Pokemon Evolutions,Doduo [Reverse Holo] #69,$0.53
960378,Pokemon Evolutions,Double Colorless Energy #90,$1.25
5629767,Pokemon Evolutions,Double Colorless Energy [International Championships] #90,$625.00
960466,Pokemon Evolutions,Double Colorless Energy [Reverse Holo] #90,$1.56
6808996,Pokemon Evolutions,Double Colorless Energy [Top 8 Latin America] #90,
7813365,Pokemon Evolutions,Double Colorless Energy [Top 8 Oceania] #90,
960385,Pokemon Evolutions,Dragonite EX #106,$28.63
960360,Pokemon Evolutions,Dragonite EX #72,$4.84
6245978,Pokemon Evolutions,Dragonite EX [Jumbo] #72,$4.93
960337,Pokemon Evolutions,Drowzee #49,$0.34
960430,Pokemon Evolutions,Drowzee [Reverse Holo] #49,$1.23
960344,Pokemon Evolutions,Dugtrio #56,$0.69
960436,Pokemon Evolutions,Dugtrio [Reverse Holo] #56,$1.00
2183002,Pokemon Evolutions,Electabuzz #41,$0.60
960423,Pokemon Evolutions,Electabuzz [Reverse Holo] #41,$1.27
960329,Pokemon Evolutions,Electabuzz [Toys R Us] #41,$25.13
960328,Pokemon Evolutions,Electrode #40,$0.37
960422,Pokemon Evolutions,Electrode [Reverse Holo] #40,$1.88
6346620,Pokemon Evolutions,Elite Trainer Box [Blastoise],$500.00
3345751,Pokemon Evolutions,Elite Trainer Box [Charizard],$575.00
960365,Pokemon Evolutions,Energy Retrieval #77,$0.62
960453,Pokemon Evolutions,Energy Retrieval [Reverse Holo] #77,$1.02
9863816,Pokemon Evolutions,Espeon GX Premium Collection Box,$269.02
960388,Pokemon Evolutions,Exeggutor #109,$2.61
2358132,Pokemon Evolutions,Fairy Energy #99,$1.32
2371260,Pokemon Evolutions,Fairy Energy [Reverse Holo] #99,$3.14
960356,Pokemon Evolutions,Farfetch'd #68,$0.65
960445,Pokemon Evolutions,Farfetch'd [Reverse Holo] #68,$1.25
4955155,Pokemon Evolutions,Fighting Energy #96,$0.41
2158341,Pokemon Evolutions,Fighting Energy [Reverse Holo] #96,$2.19
2775139,Pokemon Evolutions,Fire Energy #92,$1.19
2358128,Pokemon Evolutions,Fire Energy [Reverse Holo] #92,$2.33
960389,Pokemon Evolutions,Flying Pikachu #110,$5.11
960366,Pokemon Evolutions,Full Heal #78,$0.27
960455,Pokemon Evolutions,Full Heal [Reverse Holo] #78,$0.82
960335,Pokemon Evolutions,Gastly #47,$0.49
960428,Pokemon Evolutions,Gastly [Reverse Holo] #47,$1.00
6740981,Pokemon Evolutions,Gengar EX Box,$429.12
2158337,Pokemon Evolutions,Grass Energy #91,$0.29
4626698,Pokemon Evolutions,Grass Energy [Reverse Holo] #91,$2.88
960305,Pokemon Evolutions,Growlithe #17,$0.39
960404,Pokemon Evolutions,Growlithe [Reverse Holo] #17,$1.49
960322,Pokemon Evolutions,Gyarados #34,$6.48
2038363,Pokemon Evolutions,Gyarados [Prerelease Staff] #34,$646.10
2038362,Pokemon Evolutions,Gyarados [Prerelease] #34,$102.61
960416,Pokemon Evolutions,Gyarados [Reverse Holo] #34,$6.66
960336,Pokemon Evolutions,Haunter #48,$0.71
960429,Pokemon Evolutions,Haunter [Reverse Holo] #48,$1.86
960392,Pokemon Evolutions,Here Comes Team Rocket! #113,$0.71
960350,Pokemon Evolutions,Hitmonchan #62,$1.67
7752516,Pokemon Evolutions,Hitmonchan [Holo] #62,$2.40
960441,Pokemon Evolutions,Hitmonchan [Reverse Holo] #62,$1.99
960391,Pokemon Evolutions,Imakuni?'s Doduo #112,$2.52
960294,Pokemon Evolutions,Kakuna #6,$0.33
960396,Pokemon Evolutions,Kakuna [Reverse Holo] #6,$1.01
5554443,Pokemon Evolutions,Kanto Power Collection Box,$440.00
960338,Pokemon Evolutions,Koffing #50,$0.29
960431,Pokemon Evolutions,Koffing [Reverse Holo] #50,$0.59
2775147,Pokemon Evolutions,Lightning Energy #94,$0.27
2775148,Pokemon Evolutions,Lightning Energy [Reverse Holo] #94,$2.00
960381,Pokemon Evolutions,M Blastoise EX #102,$48.58
960310,Pokemon Evolutions,M Blastoise EX #22,$14.91
960380,Pokemon Evolutions,M Charizard EX #101,$117.58
960301,Pokemon Evolutions,M Charizard EX #13,$38.72
960384,Pokemon Evolutions,M Pidgeot EX #105,$13.25
960353,Pokemon Evolutions,M Pidgeot EX #65,$4.21
960315,Pokemon Evolutions,M Slowbro EX #27,$9.50
960379,Pokemon Evolutions,M Venusaur EX #100,$36.35
960290,Pokemon Evolutions,M Venusaur EX #2,$12.00
960347,Pokemon Evolutions,Machamp #59,$3.00
960348,Pokemon Evolutions,Machamp BREAK #60,$3.19
11226669,Pokemon Evolutions,Machamp [Holo] #59,$3.99
2038368,Pokemon Evolutions,Machamp [Prerelease Staff] #59,$200.00
2038369,Pokemon Evolutions,Machamp [Prerelease] #59,$70.00
960439,Pokemon Evolutions,Machamp [Reverse Holo] #59,$3.70
960346,Pokemon Evolutions,Machoke #58,$0.38
960438,Pokemon Evolutions,Machoke [Reverse Holo] #58,$0.49
960345,Pokemon Evolutions,Machop #57,$0.31
960437,Pokemon Evolutions,Machop [Reverse Holo] #57,$0.53
960321,Pokemon Evolutions,Magikarp #33,$1.17
960415,Pokemon Evolutions,Magikarp [Reverse Holo] #33,$2.52
960308,Pokemon Evolutions,Magmar #20,$0.40
960407,Pokemon Evolutions,Magmar [Reverse Holo] #20,$0.50
960325,Pokemon Evolutions,Magnemite #37,$0.39
960419,Pokemon Evolutions,Magnemite [Reverse Holo] #37,$1.05
960326,Pokemon Evolutions,Magneton #38,$2.42
960420,Pokemon Evolutions,Magneton [Reverse Holo] #38,$1.40
960367,Pokemon Evolutions,Maintenance #79,$0.49
960454,Pokemon Evolutions,Maintenance [Reverse Holo] #79,$1.10
2775127,Pokemon Evolutions,Metal Energy #98,$1.07
2775128,Pokemon Evolutions,Metal Energy [Reverse Holo] #98,$3.53
960292,Pokemon Evolutions,Metapod #4,$0.30
960394,Pokemon Evolutions,Metapod [Reverse Holo] #4,$1.48
4998301,Pokemon Evolutions,Mew [1st Place League] #53,$155.53
4658550,Pokemon Evolutions,Mew [2nd Place League] #53,$80.00
5530247,Pokemon Evolutions,Mew [3rd Place League] #53,$68.07
4695524,Pokemon Evolutions,Mew [4th Place League] #53,$43.57
