id,console-name,product-name,loose-price
7274568,Pokemon Evolving Skies,2-Pack Blister,$55.00
8953640,Pokemon Evolving Skies,3 Pack Blister: Eiscue,$139.27
8953639,Pokemon Evolving Skies,3 Pack Blister: Umbreon,$152.57
2512918,Pokemon Evolving Skies,Altaria #106,$0.25
2513125,Pokemon Evolving Skies,Altaria [Reverse Holo] #106,$0.25
2512867,Pokemon Evolving Skies,Ampharos #56,$0.25
2513088,Pokemon Evolving Skies,Ampharos [Reverse Holo] #56,$0.40
2512932,Pokemon Evolving Skies,Appletun #121,$0.25
2513137,Pokemon Evolving Skies,Appletun [Reverse Holo] #121,$0.32
2512828,Pokemon Evolving Skies,Applin #17,$0.22
2513059,Pokemon Evolving Skies,Applin [Reverse Holo] #17,$0.29
2512987,Pokemon Evolving Skies,Arctovish V #176,$2.24
2512859,Pokemon Evolving Skies,Arctovish V #48,$1.24
2512952,Pokemon Evolving Skies,Aroma Lady #141,$0.13
2513008,Pokemon Evolving Skies,Aroma Lady #199,$10.00
2513030,Pokemon Evolving Skies,Aroma Lady #221,$5.65
2513155,Pokemon Evolving Skies,Aroma Lady [Reverse Holo] #141,$0.18
2512856,Pokemon Evolving Skies,Avalugg #45,$0.19
2513079,Pokemon Evolving Skies,Avalugg [Reverse Holo] #45,$0.15
2512919,Pokemon Evolving Skies,Bagon #107,$0.06
2513126,Pokemon Evolving Skies,Bagon [Reverse Holo] #107,$0.13
2512855,Pokemon Evolving Skies,Bergmite #44,$0.14
2513078,Pokemon Evolving Skies,Bergmite [Reverse Holo] #44,$0.30
9906772,Pokemon Evolving Skies,Blister Pack [Octillery],$54.97
2512898,Pokemon Evolving Skies,Boldore #87,$0.09
2513112,Pokemon Evolving Skies,Boldore [Reverse Holo] #87,$0.12
2512953,Pokemon Evolving Skies,Boost Shake #142,$0.08
2513038,Pokemon Evolving Skies,Boost Shake #229,$2.76
2513156,Pokemon Evolving Skies,Boost Shake [Reverse Holo] #142,$0.15
3217472,Pokemon Evolving Skies,Booster Box,$2411.49
4200081,Pokemon Evolving Skies,Booster Pack,$36.78
8165987,Pokemon Evolving Skies,Booster Pack [Heavy],$46.00
2512948,Pokemon Evolving Skies,Braviary #137,$0.05
2513151,Pokemon Evolving Skies,Braviary [Reverse Holo] #137,$0.10
9714095,Pokemon Evolving Skies,Build & Battle Display Box,$3188.62
5927168,Pokemon Evolving Skies,Build & Battle Stadium,$530.78
7951871,Pokemon Evolving Skies,Build And Battle Box,$250.00
2512846,Pokemon Evolving Skies,Carvanha #35,$0.17
2513071,Pokemon Evolving Skies,Carvanha [Reverse Holo] #35,$0.25
2512863,Pokemon Evolving Skies,Chinchou #52,$0.09
2513084,Pokemon Evolving Skies,Chinchou [Reverse Holo] #52,$0.30
2512954,Pokemon Evolving Skies,Copycat #143,$0.12
2513009,Pokemon Evolving Skies,Copycat #200,$2.74
2513031,Pokemon Evolving Skies,Copycat #222,$4.98
6115090,Pokemon Evolving Skies,Copycat [Holo Prize Pack Stamp] #143,$0.22
2513157,Pokemon Evolving Skies,Copycat [Reverse Holo] #143,$0.32
2513037,Pokemon Evolving Skies,Cresselia #228,$9.70
2512823,Pokemon Evolving Skies,Crustle #12,$0.11
2513056,Pokemon Evolving Skies,Crustle [Reverse Holo] #12,$0.17
2512854,Pokemon Evolving Skies,Cryogonal #43,$0.09
2513077,Pokemon Evolving Skies,Cryogonal [Reverse Holo] #43,$0.11
5790481,Pokemon Evolving Skies,Cryogonal [Snowflake Stamp] #43,$0.25
2512955,Pokemon Evolving Skies,Crystal Cave #144,$0.18
2513039,Pokemon Evolving Skies,Crystal Cave #230,$4.25
5334239,Pokemon Evolving Skies,Crystal Cave [Prize Pack 1] #144,
2513158,Pokemon Evolving Skies,Crystal Cave [Reverse Holo] #144,$0.29
2512889,Pokemon Evolving Skies,Cutiefly #78,$0.12
2513103,Pokemon Evolving Skies,Cutiefly [Reverse Holo] #78,$0.14
2513045,Pokemon Evolving Skies,Dark Energy #236,$23.75
2512925,Pokemon Evolving Skies,Deino #113,$0.08
2513130,Pokemon Evolving Skies,Deino [Reverse Holo] #113,$0.18
2512924,Pokemon Evolving Skies,Dialga #112,$0.38
4781303,Pokemon Evolving Skies,Dialga [Cosmos Holo] #112,$0.45
5864061,Pokemon Evolving Skies,Dialga [Prize Pack] #112,$4.83
2513129,Pokemon Evolving Skies,Dialga [Reverse Holo] #112,$0.48
2512956,Pokemon Evolving Skies,Digging Gloves #145,$0.07
2513159,Pokemon Evolving Skies,Digging Gloves [Reverse Holo] #145,$0.20
2512989,Pokemon Evolving Skies,Dracozolt V #178,$3.13
2512869,Pokemon Evolving Skies,Dracozolt V #58,$1.99
2513019,Pokemon Evolving Skies,Dracozolt VMAX #210,$6.60
2512870,Pokemon Evolving Skies,Dracozolt VMAX #59,$1.87
2513000,Pokemon Evolving Skies,Dragonite V #191,$23.40
2513001,Pokemon Evolving Skies,Dragonite V #192,$358.54
3398892,Pokemon Evolving Skies,Dragonite V Box,$110.77
2513180,Pokemon Evolving Skies,Drampa #119,$0.31
2513135,Pokemon Evolving Skies,Drampa [Reverse Holo] #119,$0.65
2512958,Pokemon Evolving Skies,Dream Ball #146,$0.15
5334240,Pokemon Evolving Skies,Dream Ball [Prize Pack 1] #146,
2513160,Pokemon Evolving Skies,Dream Ball [Reverse Holo] #146,$0.39
2512872,Pokemon Evolving Skies,Drowzee #61,$0.10
2513091,Pokemon Evolving Skies,Drowzee [Reverse Holo] #61,$0.16
2512933,Pokemon Evolving Skies,Duraludon V #122,$0.81
2513006,Pokemon Evolving Skies,Duraludon V #197,$2.06
2513007,Pokemon Evolving Skies,Duraludon V #198,$15.67
2512934,Pokemon Evolving Skies,Duraludon VMAX #123,$1.90
2513028,Pokemon Evolving Skies,Duraludon VMAX #219,$6.52
2513029,Pokemon Evolving Skies,Duraludon VMAX #220,$17.01
5811213,Pokemon Evolving Skies,Duraludon VMAX [Prize Pack] #123,$11.44
6148330,Pokemon Evolving Skies,Duraludon Vmax [Jumbo] #123,$4.46
2512822,Pokemon Evolving Skies,Dwebble #11,$0.11
2513055,Pokemon Evolving Skies,Dwebble [Reverse Holo] #11,$0.29
2512936,Pokemon Evolving Skies,Eevee #125,$1.11
4954844,Pokemon Evolving Skies,Eevee Checklane Blister,$79.99
2513139,Pokemon Evolving Skies,Eevee [Reverse Holo] #125,$2.01
2512858,Pokemon Evolving Skies,Eiscue #47,$0.11
2513081,Pokemon Evolving Skies,Eiscue [Reverse Holo] #47,$0.26
2512827,Pokemon Evolving Skies,Eldegoss #16,$0.32
2513058,Pokemon Evolving Skies,Eldegoss [Reverse Holo] #16,$0.51
4134583,Pokemon Evolving Skies,Eldgoss [Holo] #16,$1.00
2513044,Pokemon Evolving Skies,Electric Energy #235,$7.79
2512957,Pokemon Evolving Skies,Elemental Badge #147,$0.11
2513161,Pokemon Evolving Skies,Elemental Badge [Reverse Holo] #147,$0.10
6347813,Pokemon Evolving Skies,Elite Trainer Box: Jolteon,$389.95
3346513,Pokemon Evolving Skies,Elite Trainer Box: Jolteon [Pokemon Center],$722.75
2783083,Pokemon Evolving Skies,Elite Trainer Box: Vaporeon,$386.32
6347911,Pokemon Evolving Skies,Elite Trainer Box: Vaporeon [Pokemon Center],$858.18
2512868,Pokemon Evolving Skies,Emolga #57,$0.20
2513089,Pokemon Evolving Skies,Emolga [Reverse Holo] #57,$0.18
7980900,Pokemon Evolving Skies,Empoleon V Tin,$95.00
7462977,Pokemon Evolving Skies,Entei #19,$1.30
2512830,Pokemon Evolving Skies,Entei [Holo] #19,$0.50
2513060,Pokemon Evolving Skies,Entei [Reverse Holo] #19,$0.36
2512990,Pokemon Evolving Skies,Espeon V #179,$17.33
2512991,Pokemon Evolving Skies,Espeon V #180,$153.60
2512875,Pokemon Evolving Skies,Espeon V #64,$2.27
8880991,Pokemon Evolving Skies,Espeon V [Prize Pack] #64,$17.57
2512876,Pokemon Evolving Skies,Espeon VMAX #65,$10.99
6330500,Pokemon Evolving Skies,Espeon VMAX [Prize Pack] #65,$52.57
2512848,Pokemon Evolving Skies,Feebas #37,$0.10
2513073,Pokemon Evolving Skies,Feebas [Reverse Holo] #37,$0.39
2512866,Pokemon Evolving Skies,Flaaffy #55,$0.20
11550847,Pokemon Evolving Skies,Flaaffy [Prize Pack] #55,$0.45
2513087,Pokemon Evolving Skies,Flaaffy [Reverse Holo] #55,$0.47
2512882,Pokemon Evolving Skies,Flabebe #71,$0.05
2513098,Pokemon Evolving Skies,Flabebe [Reverse Holo] #71,$0.21
2512931,Pokemon Evolving Skies,Flapple #120,$0.16
2513136,Pokemon Evolving Skies,Flapple [Reverse Holo] #120,$0.20
2512980,Pokemon Evolving Skies,Flareon V #169,$15.47
2512829,Pokemon Evolving Skies,Flareon VMAX #18,$8.02
3808296,Pokemon Evolving Skies,Flareon VMAX Premium Collection Box,$269.68
2512949,Pokemon Evolving Skies,Fletchinder #139,$0.12
2513153,Pokemon Evolving Skies,Fletchinder [Reverse Holo] #139,$0.22
2512950,Pokemon Evolving Skies,Fletchling #138,$0.11
2513152,Pokemon Evolving Skies,Fletchling [Reverse Holo] #138,$0.31
2512883,Pokemon Evolving Skies,Floette #72,$0.21
2513099,Pokemon Evolving Skies,Floette [Reverse Holo] #72,$0.39
2512884,Pokemon Evolving Skies,Florges #73,$0.26
2513100,Pokemon Evolving Skies,Florges [Reverse Holo] #73,$0.22
2513035,Pokemon Evolving Skies,Froslass #226,$7.17
2512959,Pokemon Evolving Skies,Full Face Guard #148,$0.06
2513040,Pokemon Evolving Skies,Full Face Guard #231,$3.40
2513162,Pokemon Evolving Skies,Full Face Guard [Reverse Holo] #148,$0.07
11080485,Pokemon Evolving Skies,Fun Pack,$15.00
9178011,Pokemon Evolving Skies,Galarian Articuno #63,$1.47
2512874,Pokemon Evolving Skies,Galarian Articuno [Holo] #63,$0.44
11550865,Pokemon Evolving Skies,Galarian Articuno [Prize Pack] #63,$2.75
2513093,Pokemon Evolving Skies,Galarian Articuno [Reverse Holo] #63,$0.66
2512905,Pokemon Evolving Skies,Galarian Moltres [Holo] #93,$0.66
11550872,Pokemon Evolving Skies,Galarian Moltres [Prize Pack] #93,$3.11
2513116,Pokemon Evolving Skies,Galarian Moltres [Reverse Holo] #93,$0.36
6550837,Pokemon Evolving Skies,Galarian Slowpoke Checklane Blister,$69.00
2512893,Pokemon Evolving Skies,Galarian Zapdos [Holo] #82,$0.68
2513107,Pokemon Evolving Skies,Galarian Zapdos [Reverse Holo] #82,$0.43
2512912,Pokemon Evolving Skies,Garbodor V #100,$1.09
2512999,Pokemon Evolving Skies,Garbodor V #190,$3.63
2512913,Pokemon Evolving Skies,Garbodor VMAX #101,$2.16
2513025,Pokemon Evolving Skies,Garbodor VMAX #216,$7.13
2512899,Pokemon Evolving Skies,Gigalith #88,$0.25
2513113,Pokemon Evolving Skies,Gigalith [Reverse Holo] #88,$0.23
2512985,Pokemon Evolving Skies,Glaceon V #174,$18.47
2512986,Pokemon Evolving Skies,Glaceon V #175,$104.45
2512851,Pokemon Evolving Skies,Glaceon V #40,$1.94
11550843,Pokemon Evolving Skies,Glaceon V [Prize Pack] #40,$23.81
5810880,Pokemon Evolving Skies,Glaceon V [Snowflake Stamp] #40,$1.72
2513017,Pokemon Evolving Skies,Glaceon VMAX #208,$26.46
2513018,Pokemon Evolving Skies,Glaceon VMAX #209,$238.19
2512852,Pokemon Evolving Skies,Glaceon VMAX #41,$6.32
5864073,Pokemon Evolving Skies,Glaceon VMAX [Prize Pack] #41,$50.00
5810881,Pokemon Evolving Skies,Glaceon VMAX [Snowflake Stamp] #41,$4.59
2512836,Pokemon Evolving Skies,Golduck #25,$0.12
2513065,Pokemon Evolving Skies,Golduck [Reverse Holo] #25,$0.56
2512992,Pokemon Evolving Skies,Golurk V #181,$3.89
2512993,Pokemon Evolving Skies,Golurk V #182,$20.09
2512881,Pokemon Evolving Skies,Golurk V #70,$1.00
2512960,Pokemon Evolving Skies,Gordie #149,$0.21
2513010,Pokemon Evolving Skies,Gordie #201,$1.90
2513032,Pokemon Evolving Skies,Gordie #223,$3.06
2513163,Pokemon Evolving Skies,Gordie [Reverse Holo] #149,$0.25
2512826,Pokemon Evolving Skies,Gossifleur #15,$0.10
2513057,Pokemon Evolving Skies,Gossifleur [Reverse Holo] #15,$0.22
2512888,Pokemon Evolving Skies,Gourgeist #77,$0.20
2513102,Pokemon Evolving Skies,Gourgeist [Reverse Holo] #77,$0.20
2512982,Pokemon Evolving Skies,Gyarados V #171,$12.24
2512839,Pokemon Evolving Skies,Gyarados V #28,$2.34
2513016,Pokemon Evolving Skies,Gyarados VMAX #207,$34.25
2512840,Pokemon Evolving Skies,Gyarados VMAX #29,$6.62
6670600,Pokemon Evolving Skies,Half Booster Box,$1051.74
5964678,Pokemon Evolving Skies,Hanger Box,$137.50
2512945,Pokemon Evolving Skies,Herdier #134,$0.12
2513148,Pokemon Evolving Skies,Herdier [Reverse Holo] #134,$0.27
2512895,Pokemon Evolving Skies,Hippopotas #84,$0.17
2513108,Pokemon Evolving Skies,Hippopotas [Reverse Holo] #84,$0.30
2512896,Pokemon Evolving Skies,Hippowdon #85,$0.10
