id,console-name,product-name,loose-price
842471,Pokemon Expedition,Abra #93,$2.49
2266946,Pokemon Expedition,Abra [Reverse Holo] #93,$22.28
842417,Pokemon Expedition,Alakazam #1,$89.93
887878,Pokemon Expedition,Alakazam #33,$9.23
3881287,Pokemon Expedition,Alakazam [Box Topper] #1,$91.39
4081651,Pokemon Expedition,Alakazam [For Position Only] #33,$999.00
2266856,Pokemon Expedition,Alakazam [Reverse Holo] #1,$57.32
2266887,Pokemon Expedition,Alakazam [Reverse Holo] #33,$42.08
842418,Pokemon Expedition,Ampharos #2,$79.69
887879,Pokemon Expedition,Ampharos #34,$13.00
4081652,Pokemon Expedition,Ampharos [For Position Only] #34,$1025.00
2266857,Pokemon Expedition,Ampharos [Reverse Holo] #2,$23.99
2266888,Pokemon Expedition,Ampharos [Reverse Holo] #34,$25.00
842419,Pokemon Expedition,Arbok #3,$46.29
887880,Pokemon Expedition,Arbok #35,$7.93
4081653,Pokemon Expedition,Arbok [For Position Only] #35,$635.58
2266858,Pokemon Expedition,Arbok [Reverse Holo] #3,$19.99
2266889,Pokemon Expedition,Arbok [Reverse Holo] #35,$15.00
842449,Pokemon Expedition,Bayleef #71,$6.70
2266924,Pokemon Expedition,Bayleef [Reverse Holo] #71,$17.49
842509,Pokemon Expedition,Bill's Maintenance #137,$0.94
2266990,Pokemon Expedition,Bill's Maintenance [Reverse Holo] #137,$9.02
887881,Pokemon Expedition,Blastoise #36,$32.50
887882,Pokemon Expedition,Blastoise #37,$38.88
842420,Pokemon Expedition,Blastoise #4,$315.00
4081654,Pokemon Expedition,Blastoise [For Position Only] #36,$1977.99
2266890,Pokemon Expedition,Blastoise [Reverse Holo] #36,$90.00
2266891,Pokemon Expedition,Blastoise [Reverse Holo] #37,$56.89
2266859,Pokemon Expedition,Blastoise [Reverse Holo] #4,$91.00
7953811,Pokemon Expedition,Blister Pack,$1180.75
2245071,Pokemon Expedition,Booster Box,$50000.00
2245072,Pokemon Expedition,Booster Pack,$1070.12
842472,Pokemon Expedition,Bulbasaur #94,$19.99
887916,Pokemon Expedition,Bulbasaur #95,$22.99
2266947,Pokemon Expedition,Bulbasaur [Reverse Holo] #94,$69.99
2266948,Pokemon Expedition,Bulbasaur [Reverse Holo] #95,$60.99
887883,Pokemon Expedition,Butterfree #38,$12.96
842421,Pokemon Expedition,Butterfree #5,$111.75
2266892,Pokemon Expedition,Butterfree [Reverse Holo] #38,$25.00
2266860,Pokemon Expedition,Butterfree [Reverse Holo] #5,$27.48
842473,Pokemon Expedition,Caterpie #96,$4.00
2266949,Pokemon Expedition,Caterpie [Reverse Holo] #96,$19.61
842450,Pokemon Expedition,Chansey #72,$4.58
2266925,Pokemon Expedition,Chansey [Reverse Holo] #72,$24.65
887884,Pokemon Expedition,Charizard #39,$86.45
887885,Pokemon Expedition,Charizard #40,$66.73
842422,Pokemon Expedition,Charizard #6,$338.71
4081618,Pokemon Expedition,Charizard [For Position Only] #39,$2025.00
2266893,Pokemon Expedition,Charizard [Reverse Holo] #39,$179.90
2266855,Pokemon Expedition,Charizard [Reverse Holo] #40,$131.58
2266861,Pokemon Expedition,Charizard [Reverse Holo] #6,$120.13
842474,Pokemon Expedition,Charmander #97,$8.59
887917,Pokemon Expedition,Charmander #98,$18.59
2266950,Pokemon Expedition,Charmander [Reverse Holo] #97,$44.63
2266951,Pokemon Expedition,Charmander [Reverse Holo] #98,$52.72
842451,Pokemon Expedition,Charmeleon #73,$17.46
2266926,Pokemon Expedition,Charmeleon [Reverse Holo] #73,$37.00
887918,Pokemon Expedition,Chikorita #100,$4.84
842475,Pokemon Expedition,Chikorita #99,$4.67
2266954,Pokemon Expedition,Chikorita [Reverse Holo] #100,$15.03
2266952,Pokemon Expedition,Chikorita [Reverse Holo] #99,$16.73
887886,Pokemon Expedition,Clefable #41,$4.41
842423,Pokemon Expedition,Clefable #7,$70.00
4081655,Pokemon Expedition,Clefable [For Position Only] #41,$2600.75
2266894,Pokemon Expedition,Clefable [Reverse Holo] #41,$23.88
2266862,Pokemon Expedition,Clefable [Reverse Holo] #7,$28.35
842476,Pokemon Expedition,Clefairy #101,$3.25
2266953,Pokemon Expedition,Clefairy [Reverse Holo] #101,$22.37
887887,Pokemon Expedition,Cloyster #42,$9.00
842424,Pokemon Expedition,Cloyster #8,$48.36
2266895,Pokemon Expedition,Cloyster [Reverse Holo] #42,$24.25
2266863,Pokemon Expedition,Cloyster [Reverse Holo] #8,$23.74
842510,Pokemon Expedition,Copycat #138,$1.69
2266991,Pokemon Expedition,Copycat [Reverse Holo] #138,$12.91
842477,Pokemon Expedition,Corsola #102,$2.15
2266955,Pokemon Expedition,Corsola [Reverse Holo] #102,$11.81
842452,Pokemon Expedition,Croconaw #74,$4.84
2266927,Pokemon Expedition,Croconaw [Reverse Holo] #74,$21.39
842478,Pokemon Expedition,Cubone #103,$32.00
