id,console-name,product-name,loose-price
10279495,Pokemon Fates Collide,3-Pack Pin Blister [Mega Alakazam],$153.50
959933,Pokemon Fates Collide,Aerodactyl #76,$1.14
960044,Pokemon Fates Collide,Aerodactyl [Reverse Holo] #76,$1.27
959974,Pokemon Fates Collide,Alakazam EX #117,$22.14
959982,Pokemon Fates Collide,Alakazam EX #125,$69.69
959882,Pokemon Fates Collide,Alakazam EX #25,$5.39
959947,Pokemon Fates Collide,Alakazam Spirit Link #90,$0.86
960054,Pokemon Fates Collide,Alakazam Spirit Link [Reverse Holo] #90,$0.99
959980,Pokemon Fates Collide,Altaria EX #123,$11.99
959940,Pokemon Fates Collide,Altaria EX #83,$2.28
959948,Pokemon Fates Collide,Altaria Spirit Link #91,$0.36
960055,Pokemon Fates Collide,Altaria Spirit Link [Reverse Holo] #91,$0.51
959941,Pokemon Fates Collide,Audino EX #84,$2.98
959949,Pokemon Fates Collide,Audino Spirit Link #92,$0.30
960056,Pokemon Fates Collide,Audino Spirit Link [Reverse Holo] #92,$0.48
9042115,Pokemon Fates Collide,BREAK Evolution Box: Ho-Oh And Lugia,
959880,Pokemon Fates Collide,Barbaracle #23,$0.50
960002,Pokemon Fates Collide,Barbaracle [Reverse Holo] #23,$0.56
959950,Pokemon Fates Collide,Bent Spoon #93,$0.27
960057,Pokemon Fates Collide,Bent Spoon [Reverse Holo] #93,$0.91
959879,Pokemon Fates Collide,Binacle #22,$0.23
960001,Pokemon Fates Collide,Binacle [Reverse Holo] #22,$0.53
7025162,Pokemon Fates Collide,Blister Pack,$35.00
2244971,Pokemon Fates Collide,Booster Box,$2041.85
2244972,Pokemon Fates Collide,Booster Pack,$29.00
959869,Pokemon Fates Collide,Braixen #12,$0.25
3179774,Pokemon Fates Collide,Braixen [Reverse Holo Pokemon League] #12,$1.99
959994,Pokemon Fates Collide,Braixen [Reverse Holo] #12,$0.47
959918,Pokemon Fates Collide,Bronzong #61,$0.25
959919,Pokemon Fates Collide,Bronzong BREAK #62,$2.58
960034,Pokemon Fates Collide,Bronzong [Reverse Holo] #61,$1.14
959917,Pokemon Fates Collide,Bronzor #60,$0.14
960033,Pokemon Fates Collide,Bronzor [Reverse Holo] #60,$0.31
4477426,Pokemon Fates Collide,Build Battle Kit [PreRelease],$174.69
959859,Pokemon Fates Collide,Burmy #2,$0.19
