id,console-name,product-name,loose-price
849985,Pokemon Fire Red & Leaf Green,Arcanine #18,$1.88
850101,Pokemon Fire Red & Leaf Green,Arcanine [Reverse Holo] #18,$42.31
850081,Pokemon Fire Red & Leaf Green,Articuno EX #114,$76.63
849968,Pokemon Fire Red & Leaf Green,Beedrill #1,$9.95
850084,Pokemon Fire Red & Leaf Green,Beedrill [Reverse Holo] #1,$13.93
850020,Pokemon Fire Red & Leaf Green,Bellsprout #53,$1.58
850135,Pokemon Fire Red & Leaf Green,Bellsprout [Reverse Holo] #53,$11.86
850054,Pokemon Fire Red & Leaf Green,Bill's Maintenance #87,$0.32
850169,Pokemon Fire Red & Leaf Green,Bill's Maintenance [Reverse Holo] #87,$4.49
850071,Pokemon Fire Red & Leaf Green,Blastoise EX #104,$226.04
6865016,Pokemon Fire Red & Leaf Green,Blastoise EX [World Championship] #104,$23.00
6622159,Pokemon Fire Red & Leaf Green,Blister Pack,$1198.43
2245063,Pokemon Fire Red & Leaf Green,Booster Box,$1350.00
2245064,Pokemon Fire Red & Leaf Green,Booster Pack,$689.99
850021,Pokemon Fire Red & Leaf Green,Bulbasaur #54,$6.80
850022,Pokemon Fire Red & Leaf Green,Bulbasaur #55,$3.08
850136,Pokemon Fire Red & Leaf Green,Bulbasaur [Reverse Holo] #54,$53.50
850137,Pokemon Fire Red & Leaf Green,Bulbasaur [Reverse Holo] #55,$42.99
849970,Pokemon Fire Red & Leaf Green,Butterfree #2,$29.99
850085,Pokemon Fire Red & Leaf Green,Butterfree [Reverse Holo] #2,$24.37
850023,Pokemon Fire Red & Leaf Green,Caterpie #56,$1.14
850138,Pokemon Fire Red & Leaf Green,Caterpie [Reverse Holo] #56,$11.00
850055,Pokemon Fire Red & Leaf Green,Celio's Network #88,$0.45
850170,Pokemon Fire Red & Leaf Green,Celio's Network [Reverse Holo] #88,$4.12
849986,Pokemon Fire Red & Leaf Green,Chansey #19,$3.13
850102,Pokemon Fire Red & Leaf Green,Chansey [Reverse Holo] #19,$15.47
850072,Pokemon Fire Red & Leaf Green,Charizard EX #105,$487.50
850080,Pokemon Fire Red & Leaf Green,Charmander #113,$47.13
850024,Pokemon Fire Red & Leaf Green,Charmander #57,$3.22
850025,Pokemon Fire Red & Leaf Green,Charmander #58,$1.39
850139,Pokemon Fire Red & Leaf Green,Charmander [Reverse Holo] #57,$54.17
850140,Pokemon Fire Red & Leaf Green,Charmander [Reverse Holo] #58,$30.86
849998,Pokemon Fire Red & Leaf Green,Charmeleon #31,$2.99
850113,Pokemon Fire Red & Leaf Green,Charmeleon [Reverse Holo] #31,$30.00
850073,Pokemon Fire Red & Leaf Green,Clefable EX #106,$55.06
850026,Pokemon Fire Red & Leaf Green,Clefairy #59,$1.65
850141,Pokemon Fire Red & Leaf Green,Clefairy [Reverse Holo] #59,$10.38
849987,Pokemon Fire Red & Leaf Green,Cloyster #20,$3.04
850103,Pokemon Fire Red & Leaf Green,Cloyster [Reverse Holo] #20,$19.50
850027,Pokemon Fire Red & Leaf Green,Cubone #60,$5.46
850142,Pokemon Fire Red & Leaf Green,Cubone [Reverse Holo] #60,$36.42
849969,Pokemon Fire Red & Leaf Green,Dewgong #3,$15.35
850086,Pokemon Fire Red & Leaf Green,Dewgong [Reverse Holo] #3,$17.94
850028,Pokemon Fire Red & Leaf Green,Diglett #61,$0.99
850143,Pokemon Fire Red & Leaf Green,Diglett [Reverse Holo] #61,$9.11
849971,Pokemon Fire Red & Leaf Green,Ditto #4,$71.99
850087,Pokemon Fire Red & Leaf Green,Ditto [Reverse Holo] #4,$66.13
849988,Pokemon Fire Red & Leaf Green,Dodrio #21,$1.74
850104,Pokemon Fire Red & Leaf Green,Dodrio [Reverse Holo] #21,$9.51
850029,Pokemon Fire Red & Leaf Green,Doduo #62,$0.45
