id,console-name,product-name,loose-price
957778,Pokemon Flashfire,Avalugg #31,$0.38
957884,Pokemon Flashfire,Avalugg [Reverse Holo] #31,$1.50
957796,Pokemon Flashfire,Barbaracle #49,$0.50
957899,Pokemon Flashfire,Barbaracle [Reverse Holo] #49,$2.59
957777,Pokemon Flashfire,Bergmite #30,$0.45
957883,Pokemon Flashfire,Bergmite [Reverse Holo] #30,$0.48
957795,Pokemon Flashfire,Binacle #48,$0.35
957898,Pokemon Flashfire,Binacle [Reverse Holo] #48,$0.33
957835,Pokemon Flashfire,Blacksmith #88,$2.13
2390410,Pokemon Flashfire,Blacksmith #88a,$19.48
957935,Pokemon Flashfire,Blacksmith [Reverse Holo] #88,$2.89
5864091,Pokemon Flashfire,Blister Pack,$150.00
2244989,Pokemon Flashfire,Booster Box,$8320.70
2244990,Pokemon Flashfire,Booster Pack,$144.55
957775,Pokemon Flashfire,Buizel #28,$0.22
957881,Pokemon Flashfire,Buizel [Reverse Holo] #28,$0.50
957831,Pokemon Flashfire,Buneary #84,$0.59
957932,Pokemon Flashfire,Buneary [Reverse Holo] #84,$1.46
957750,Pokemon Flashfire,Butterfree #3,$0.98
957859,Pokemon Flashfire,Butterfree [Reverse Holo] #3,$1.65
10547393,Pokemon Flashfire,Carbink #68,$0.78
957815,Pokemon Flashfire,Carbink [Holo] #68,$0.77
957918,Pokemon Flashfire,Carbink [Reverse Holo] #68,$1.62
957748,Pokemon Flashfire,Caterpie #1,$0.32
957857,Pokemon Flashfire,Caterpie [Reverse Holo] #1,$1.58
957847,Pokemon Flashfire,Charizard EX #100,$98.50
957758,Pokemon Flashfire,Charizard EX #11,$9.55
957759,Pokemon Flashfire,Charizard EX #12,$11.64
3811339,Pokemon Flashfire,Charizard EX [Jumbo] #11,$12.17
957818,Pokemon Flashfire,Dragalge #71,$0.99
957920,Pokemon Flashfire,Dragalge [Reverse Holo] #71,$0.99
957817,Pokemon Flashfire,Druddigon #70,$1.90
957919,Pokemon Flashfire,Druddigon [Reverse Holo] #70,$1.25
957808,Pokemon Flashfire,Durant #61,$0.75
957911,Pokemon Flashfire,Durant [Reverse Holo] #61,$1.25
957786,Pokemon Flashfire,Dusclops #39,$0.25
957890,Pokemon Flashfire,Dusclops [Reverse Holo] #39,$1.32
957787,Pokemon Flashfire,Dusknoir #40,$1.37
957891,Pokemon Flashfire,Dusknoir [Reverse Holo] #40,$1.82
957785,Pokemon Flashfire,Duskull #38,$0.25
957947,Pokemon Flashfire,Duskull [Reverse Holo] #38,$1.39
957789,Pokemon Flashfire,Espurr #42,$0.34
957892,Pokemon Flashfire,Espurr [Reverse Holo] #42,$1.44
957769,Pokemon Flashfire,Feebas #22,$0.30
957875,Pokemon Flashfire,Feebas [Reverse Holo] #22,$0.84
957836,Pokemon Flashfire,Fiery Torch #89,$0.37
6241687,Pokemon Flashfire,Fiery Torch [League] #89,$1.81
957936,Pokemon Flashfire,Fiery Torch [Reverse Holo] #89,$1.50
957809,Pokemon Flashfire,Flabebe #62,$0.63
957810,Pokemon Flashfire,Flabebe #63,$0.36
957912,Pokemon Flashfire,Flabebe [Reverse Holo] #62,$1.00
957913,Pokemon Flashfire,Flabebe [Reverse Holo] #63,$1.34
957764,Pokemon Flashfire,Fletchinder #17,$0.39
957870,Pokemon Flashfire,Fletchinder [Reverse Holo] #17,$0.69
957833,Pokemon Flashfire,Fletchling #86,$0.20
957933,Pokemon Flashfire,Fletchling [Reverse Holo] #86,$0.28
957776,Pokemon Flashfire,Floatzel #29,$0.63
957882,Pokemon Flashfire,Floatzel [Reverse Holo] #29,$1.25
957811,Pokemon Flashfire,Floette #64,$0.86
957812,Pokemon Flashfire,Floette #65,$0.42
957914,Pokemon Flashfire,Floette [Reverse Holo] #64,$1.00
957915,Pokemon Flashfire,Floette [Reverse Holo] #65,$1.12
957813,Pokemon Flashfire,Florges #66,$1.59
957916,Pokemon Flashfire,Florges [Reverse Holo] #66,$1.61
957807,Pokemon Flashfire,Forretress #60,$0.99
957910,Pokemon Flashfire,Forretress [Reverse Holo] #60,$1.04
957834,Pokemon Flashfire,Furfrou #87,$0.47
957934,Pokemon Flashfire,Furfrou [Reverse Holo] #87,$0.67
957829,Pokemon Flashfire,Furret #82,$1.25
957929,Pokemon Flashfire,Furret [Reverse Holo] #82,$1.99
957792,Pokemon Flashfire,Geodude #45,$0.25
957895,Pokemon Flashfire,Geodude [Reverse Holo] #45,$1.49
957794,Pokemon Flashfire,Golem #47,$0.77
957897,Pokemon Flashfire,Golem [Reverse Holo] #47,$1.12
957821,Pokemon Flashfire,Goodra #74,$0.88
957923,Pokemon Flashfire,Goodra [Reverse Holo] #74,$0.98
957819,Pokemon Flashfire,Goomy #72,$0.50
957921,Pokemon Flashfire,Goomy [Reverse Holo] #72,$1.09
957793,Pokemon Flashfire,Graveler #46,$0.25
957896,Pokemon Flashfire,Graveler [Reverse Holo] #46,$1.28
957784,Pokemon Flashfire,Heliolisk #37,$0.61
6857878,Pokemon Flashfire,Heliolisk [Cracked Ice] #37,$1.80
957889,Pokemon Flashfire,Heliolisk [Reverse Holo] #37,$1.00
957783,Pokemon Flashfire,Helioptile #36,$0.25
957888,Pokemon Flashfire,Helioptile [Reverse Holo] #36,$0.47
957850,Pokemon Flashfire,Kangaskhan EX #103,$19.99
957825,Pokemon Flashfire,Kangaskhan EX #78,$2.68
10809725,Pokemon Flashfire,Kangaskhan EX [Jumbo] #78,$3.95
957804,Pokemon Flashfire,Krokorok #57,$0.50
957907,Pokemon Flashfire,Krokorok [Reverse Holo] #57,$0.97
6636088,Pokemon Flashfire,Krookodile EX Box,$305.24
957765,Pokemon Flashfire,Litleo #18,$0.47
957766,Pokemon Flashfire,Litleo #19,$0.18
957871,Pokemon Flashfire,Litleo [Reverse Holo] #18,$0.99
957872,Pokemon Flashfire,Litleo [Reverse Holo] #19,$0.91
957832,Pokemon Flashfire,Lopunny #85,$1.22
957931,Pokemon Flashfire,Lopunny [Reverse Holo] #85,$1.44
957774,Pokemon Flashfire,Luvdisc #27,$0.30
957880,Pokemon Flashfire,Luvdisc [Reverse Holo] #27,$1.50
957780,Pokemon Flashfire,Luxio #33,$0.30
957886,Pokemon Flashfire,Luxio [Reverse Holo] #33,$1.44
957781,Pokemon Flashfire,Luxray #34,$0.97
957887,Pokemon Flashfire,Luxray [Reverse Holo] #34,$1.10
957851,Pokemon Flashfire,Lysandre #104,$18.98
957837,Pokemon Flashfire,Lysandre #90,$0.50
957937,Pokemon Flashfire,Lysandre [Reverse Holo] #90,$1.04
957854,Pokemon Flashfire,M Charizard EX #107,$68.21
957855,Pokemon Flashfire,M Charizard EX #108,$250.00
957760,Pokemon Flashfire,M Charizard EX #13,$31.00
957816,Pokemon Flashfire,M Charizard EX #69,$124.52
8797634,Pokemon Flashfire,M Charizard EX [Jumbo] #13,
10809724,Pokemon Flashfire,M Charizard EX [Jumbo] #69,
957856,Pokemon Flashfire,M Kangaskhan EX #109,$29.99
957826,Pokemon Flashfire,M Kangaskhan EX #79,$13.78
957838,Pokemon Flashfire,Magnetic Storm #91,$0.15
9312156,Pokemon Flashfire,Magnetic Storm [League] #91,$0.48
957938,Pokemon Flashfire,Magnetic Storm [Reverse Holo] #91,$1.61
957848,Pokemon Flashfire,Magnezone EX #101,$11.99
957782,Pokemon Flashfire,Magnezone EX #35,$2.82
957757,Pokemon Flashfire,Maractus #10,$0.56
957866,Pokemon Flashfire,Maractus [Reverse Holo] #10,$1.23
957790,Pokemon Flashfire,Meowstic #43,$1.85
957893,Pokemon Flashfire,Meowstic [Reverse Holo] #43,$0.99
957749,Pokemon Flashfire,Metapod #2,$0.67
957858,Pokemon Flashfire,Metapod [Reverse Holo] #2,$1.49
957770,Pokemon Flashfire,Milotic #23,$1.69
957876,Pokemon Flashfire,Milotic [Reverse Holo] #23,$2.34
957830,Pokemon Flashfire,Miltank #83,$0.99
957930,Pokemon Flashfire,Miltank [Reverse Holo] #83,$2.24
8197628,Pokemon Flashfire,Mini Booster Pack,$28.88
10057830,Pokemon Flashfire,Noctowl [League 1st Place] #31,
10057828,Pokemon Flashfire,Noctowl [League 2nd Place] #31,
10057829,Pokemon Flashfire,Noctowl [League 3rd Place] #31,
10057831,Pokemon Flashfire,Noctowl [League 4th Place] #31,
957753,Pokemon Flashfire,Nuzleaf #6,$0.12
957862,Pokemon Flashfire,Nuzleaf [Reverse Holo] #6,$1.32
957839,Pokemon Flashfire,Pal Pad #92,$0.99
957939,Pokemon Flashfire,Pal Pad [Reverse Holo] #92,$4.45
957824,Pokemon Flashfire,Pidgeot #77,$1.90
957926,Pokemon Flashfire,Pidgeot [Reverse Holo] #77,$2.20
957823,Pokemon Flashfire,Pidgeotto #76,$1.01
957925,Pokemon Flashfire,Pidgeotto [Reverse Holo] #76,$1.71
957822,Pokemon Flashfire,Pidgey #75,$0.35
957924,Pokemon Flashfire,Pidgey [Reverse Holo] #75,$1.05
957752,Pokemon Flashfire,Pineco #4,$0.25
957860,Pokemon Flashfire,Pineco [Reverse Holo] #4,$0.47
957852,Pokemon Flashfire,Pokemon Center Lady #105,$29.50
957840,Pokemon Flashfire,Pokemon Center Lady #93,$0.68
957940,Pokemon Flashfire,Pokemon Center Lady [Reverse Holo] #93,$2.02
957853,Pokemon Flashfire,Pokemon Fan Club #106,$14.98
957841,Pokemon Flashfire,Pokemon Fan Club #94,$0.99
957941,Pokemon Flashfire,Pokemon Fan Club [Reverse Holo] #94,$0.99
957761,Pokemon Flashfire,Ponyta #14,$0.50
957867,Pokemon Flashfire,Ponyta [Reverse Holo] #14,$1.88
957842,Pokemon Flashfire,Protection Cube #95,$0.99
957942,Pokemon Flashfire,Protection Cube [Reverse Holo] #95,$2.11
957767,Pokemon Flashfire,Pyroar [Holo] #20,$1.36
957873,Pokemon Flashfire,Pyroar [Reverse Holo] #20,$1.89
957768,Pokemon Flashfire,Qwilfish #21,$0.63
957874,Pokemon Flashfire,Qwilfish [Reverse Holo] #21,$1.13
957762,Pokemon Flashfire,Rapidash #15,$0.50
957868,Pokemon Flashfire,Rapidash [Reverse Holo] #15,$2.03
957755,Pokemon Flashfire,Roselia #8,$0.42
957864,Pokemon Flashfire,Roselia [Reverse Holo] #8,$0.54
957756,Pokemon Flashfire,Roserade #9,$0.78
957865,Pokemon Flashfire,Roserade [Reverse Holo] #9,$1.35
957843,Pokemon Flashfire,Sacred Ash #96,$1.28
957943,Pokemon Flashfire,Sacred Ash [Reverse Holo] #96,$5.38
957803,Pokemon Flashfire,Sandile #56,$0.25
957906,Pokemon Flashfire,Sandile [Reverse Holo] #56,$0.84
957806,Pokemon Flashfire,Scrafty #59,$0.83
957909,Pokemon Flashfire,Scrafty [Reverse Holo] #59,$0.96
957805,Pokemon Flashfire,Scraggy #58,$0.42
957908,Pokemon Flashfire,Scraggy [Reverse Holo] #58,$0.49
957772,Pokemon Flashfire,Sealeo #25,$0.27
957878,Pokemon Flashfire,Sealeo [Reverse Holo] #25,$1.27
957751,Pokemon Flashfire,Seedot #5,$0.31
957861,Pokemon Flashfire,Seedot [Reverse Holo] #5,$0.50
957828,Pokemon Flashfire,Sentret #81,$0.47
957928,Pokemon Flashfire,Sentret [Reverse Holo] #81,$1.06
957754,Pokemon Flashfire,Shiftry #7,$0.68
957863,Pokemon Flashfire,Shiftry [Reverse Holo] #7,$1.24
957779,Pokemon Flashfire,Shinx #32,$0.25
957885,Pokemon Flashfire,Shinx [Reverse Holo] #32,$0.91
957791,Pokemon Flashfire,Skrelp #44,$0.35
957894,Pokemon Flashfire,Skrelp [Reverse Holo] #44,$0.58
957802,Pokemon Flashfire,Skuntank #55,$0.43
957905,Pokemon Flashfire,Skuntank [Reverse Holo] #55,$1.19
957820,Pokemon Flashfire,Sliggoo #73,$0.24
957922,Pokemon Flashfire,Sliggoo [Reverse Holo] #73,$1.34
957797,Pokemon Flashfire,Sneasel #50,$0.39
957798,Pokemon Flashfire,Sneasel #51,$0.31
957900,Pokemon Flashfire,Sneasel [Reverse Holo] #50,$1.11
957901,Pokemon Flashfire,Sneasel [Reverse Holo] #51,$1.79
957827,Pokemon Flashfire,Snorlax #80,$2.99
5205639,Pokemon Flashfire,Snorlax [Build-a-Bear] #80,$115.50
957927,Pokemon Flashfire,Snorlax [Reverse Holo] #80,$9.38
957771,Pokemon Flashfire,Spheal #24,$0.31
957877,Pokemon Flashfire,Spheal [Reverse Holo] #24,$1.22
957814,Pokemon Flashfire,Spritzee #67,$0.25
957917,Pokemon Flashfire,Spritzee [Reverse Holo] #67,$0.69
957844,Pokemon Flashfire,Startling Megaphone #97,$0.61
957944,Pokemon Flashfire,Startling Megaphone [Reverse Holo] #97,$0.99
957800,Pokemon Flashfire,Stunky #53,$0.60
957801,Pokemon Flashfire,Stunky #54,$0.45
957903,Pokemon Flashfire,Stunky [Reverse Holo] #53,$0.92
