id,console-name,product-name,loose-price
961667,Pokemon Forbidden Light,Abomasnow #4,$0.53
961813,Pokemon Forbidden Light,Abomasnow [Reverse Holo] #4,$0.56
961712,Pokemon Forbidden Light,Aegislash #49,$0.99
961855,Pokemon Forbidden Light,Aegislash [Reverse Holo] #49,$1.15
961665,Pokemon Forbidden Light,Alolan Exeggutor #2,$0.75
2425566,Pokemon Forbidden Light,Alolan Exeggutor #2a,$2.35
8675217,Pokemon Forbidden Light,Alolan Exeggutor [Cracked Ice] #2,$1.92
961811,Pokemon Forbidden Light,Alolan Exeggutor [Reverse Holo] #2,$0.77
961675,Pokemon Forbidden Light,Alolan Marowak #12,$0.70
961821,Pokemon Forbidden Light,Alolan Marowak [Reverse Holo] #12,$1.68
961690,Pokemon Forbidden Light,Amaura #27,$2.29
961834,Pokemon Forbidden Light,Amaura [Reverse Holo] #27,$9.00
961696,Pokemon Forbidden Light,Araquanid #33,$0.20
961839,Pokemon Forbidden Light,Araquanid [Reverse Holo] #33,$0.39
961759,Pokemon Forbidden Light,Arceus #96,$11.50
961691,Pokemon Forbidden Light,Aurorus #28,$9.24
961835,Pokemon Forbidden Light,Aurorus [Reverse Holo] #28,$9.71
961693,Pokemon Forbidden Light,Avalugg #30,$0.67
961837,Pokemon Forbidden Light,Avalugg [Reverse Holo] #30,$0.67
961706,Pokemon Forbidden Light,Azelf #43,$0.25
961849,Pokemon Forbidden Light,Azelf [Reverse Holo] #43,$0.72
961730,Pokemon Forbidden Light,Barbaracle #67,$0.35
961872,Pokemon Forbidden Light,Barbaracle [Reverse Holo] #67,$0.43
961780,Pokemon Forbidden Light,Beast Energy #117,$1.53
961765,Pokemon Forbidden Light,Beast Ring #102,$0.77
961804,Pokemon Forbidden Light,Beast Ring #141,$9.99
9142498,Pokemon Forbidden Light,Beast Ring [Pokemon League] #102,$2.99
961900,Pokemon Forbidden Light,Beast Ring [Reverse Holo] #102,$0.74
961692,Pokemon Forbidden Light,Bergmite #29,$0.25
961836,Pokemon Forbidden Light,Bergmite [Reverse Holo] #29,$0.34
961729,Pokemon Forbidden Light,Binacle #66,$0.29
961871,Pokemon Forbidden Light,Binacle [Reverse Holo] #66,$0.47
8675341,Pokemon Forbidden Light,Blister Pack,$63.24
961766,Pokemon Forbidden Light,Bonnie #103,$0.33
961791,Pokemon Forbidden Light,Bonnie #128,$17.00
961901,Pokemon Forbidden Light,Bonnie [Reverse Holo] #103,$0.57
2244957,Pokemon Forbidden Light,Booster Box,$1345.50
2244958,Pokemon Forbidden Light,Booster Pack,$40.56
961679,Pokemon Forbidden Light,Braixen #16,$0.24
961825,Pokemon Forbidden Light,Braixen [Reverse Holo] #16,$0.65
961760,Pokemon Forbidden Light,Bunnelby #97,$0.28
961895,Pokemon Forbidden Light,Bunnelby [Reverse Holo] #97,$0.52
961740,Pokemon Forbidden Light,Buzzwole #77,$2.04
5705705,Pokemon Forbidden Light,Buzzwole [League] #77,$0.94
961880,Pokemon Forbidden Light,Buzzwole [Reverse Holo] #77,$3.00
961688,Pokemon Forbidden Light,Clauncher #25,$0.14
961832,Pokemon Forbidden Light,Clauncher [Reverse Holo] #25,$0.33
961689,Pokemon Forbidden Light,Clawitzer #26,$0.38
961833,Pokemon Forbidden Light,Clawitzer [Reverse Holo] #26,$0.45
961767,Pokemon Forbidden Light,Crasher Wake #104,$0.50
961792,Pokemon Forbidden Light,Crasher Wake #129,$9.99
961902,Pokemon Forbidden Light,Crasher Wake [Reverse Holo] #104,$0.61
961726,Pokemon Forbidden Light,Croagunk #63,$0.18
961868,Pokemon Forbidden Light,Croagunk [Reverse Holo] #63,$0.65
6160955,Pokemon Forbidden Light,Cubone #57,$0.99
961720,Pokemon Forbidden Light,Cubone [General Mills Holo] #57,$0.83
961862,Pokemon Forbidden Light,Cubone [Reverse Holo] #57,$2.25
961751,Pokemon Forbidden Light,Dedenne #88,$5.77
961889,Pokemon Forbidden Light,Dedenne [Reverse Holo] #88,$15.45
961680,Pokemon Forbidden Light,Delphox #17,$1.87
961826,Pokemon Forbidden Light,Delphox [Reverse Holo] #17,$1.89
961695,Pokemon Forbidden Light,Dewpider #32,$0.15
961838,Pokemon Forbidden Light,Dewpider [Reverse Holo] #32,$0.50
961801,Pokemon Forbidden Light,Dialga GX #138,$66.21
961788,Pokemon Forbidden Light,Dialga-GX #125,$29.52
961745,Pokemon Forbidden Light,Dialga-GX #82,$6.60
961737,Pokemon Forbidden Light,Diancie #74,$3.90
961768,Pokemon Forbidden Light,Diantha #105,$1.13
961793,Pokemon Forbidden Light,Diantha #130,$38.25
5768355,Pokemon Forbidden Light,Diantha [Regional Championships] #105,$10.76
961903,Pokemon Forbidden Light,Diantha [Reverse Holo] #105,$1.32
961761,Pokemon Forbidden Light,Diggersby #98,$0.47
961896,Pokemon Forbidden Light,Diggersby [Reverse Holo] #98,$0.50
961711,Pokemon Forbidden Light,Doublade #48,$0.29
961854,Pokemon Forbidden Light,Doublade [Reverse Holo] #48,$0.35
961716,Pokemon Forbidden Light,Dragalge #53,$0.42
961859,Pokemon Forbidden Light,Dragalge [Reverse Holo] #53,$0.52
9435138,Pokemon Forbidden Light,Dusk Mane Necrozma Box,
5529515,Pokemon Forbidden Light,Elite Trainer Box,$500.00
961744,Pokemon Forbidden Light,Empoleon #81,$0.83
961883,Pokemon Forbidden Light,Empoleon [Reverse Holo] #81,$1.06
961769,Pokemon Forbidden Light,Eneporter #106,$0.12
961805,Pokemon Forbidden Light,Eneporter #142,$5.46
961904,Pokemon Forbidden Light,Eneporter [Reverse Holo] #106,$0.28
961806,Pokemon Forbidden Light,Energy Recycler #143,$26.93
961707,Pokemon Forbidden Light,Espurr #44,$0.50
961850,Pokemon Forbidden Light,Espurr [Reverse Holo] #44,$2.76
961664,Pokemon Forbidden Light,Exeggcute #1,$0.30
961810,Pokemon Forbidden Light,Exeggcute [Reverse Holo] #1,$0.66
961677,Pokemon Forbidden Light,Fennekin #14,$0.27
961678,Pokemon Forbidden Light,Fennekin #15,$0.50
961823,Pokemon Forbidden Light,Fennekin [Reverse Holo] #14,$0.46
961824,Pokemon Forbidden Light,Fennekin [Reverse Holo] #15,$0.55
8576424,Pokemon Forbidden Light,Fennekin [Toy R Us Promo] #15,$10.93
961746,Pokemon Forbidden Light,Flabebe #83,$0.69
961747,Pokemon Forbidden Light,Flabebe #84,$0.25
961884,Pokemon Forbidden Light,Flabebe [Reverse Holo] #83,$1.47
961885,Pokemon Forbidden Light,Flabebe [Reverse Holo] #84,$1.18
961748,Pokemon Forbidden Light,Floette #85,$0.36
961886,Pokemon Forbidden Light,Floette [Reverse Holo] #85,$0.50
961749,Pokemon Forbidden Light,Florges #86,$0.75
961887,Pokemon Forbidden Light,Florges [Reverse Holo] #86,$0.85
961770,Pokemon Forbidden Light,Fossil Excavation Map #107,$0.42
961905,Pokemon Forbidden Light,Fossil Excavation Map [Reverse Holo] #107,$0.96
961684,Pokemon Forbidden Light,Froakie #21,$0.41
961685,Pokemon Forbidden Light,Froakie #22,$0.26
961829,Pokemon Forbidden Light,Froakie [Reverse Holo] #21,$1.21
961830,Pokemon Forbidden Light,Froakie [Reverse Holo] #22,$1.00
961686,Pokemon Forbidden Light,Frogadier #23,$0.56
961831,Pokemon Forbidden Light,Frogadier [Reverse Holo] #23,$1.37
961762,Pokemon Forbidden Light,Furfrou #99,$0.26
961897,Pokemon Forbidden Light,Furfrou [Reverse Holo] #99,$0.71
961724,Pokemon Forbidden Light,Gabite #61,$0.62
961866,Pokemon Forbidden Light,Gabite [Reverse Holo] #61,$0.99
961725,Pokemon Forbidden Light,Garchomp #62,$2.30
961867,Pokemon Forbidden Light,Garchomp [Reverse Holo] #62,$3.21
961722,Pokemon Forbidden Light,Gible #60,$0.35
961865,Pokemon Forbidden Light,Gible [Reverse Holo] #60,$0.94
961673,Pokemon Forbidden Light,Gogoat #10,$0.19
961819,Pokemon Forbidden Light,Gogoat [Reverse Holo] #10,$0.63
961757,Pokemon Forbidden Light,Goodra #94,$0.93
961894,Pokemon Forbidden Light,Goodra [Reverse Holo] #94,$0.75
961754,Pokemon Forbidden Light,Goomy #91,$0.79
961755,Pokemon Forbidden Light,Goomy #92,$0.25
961891,Pokemon Forbidden Light,Goomy [Reverse Holo] #91,$0.97
961892,Pokemon Forbidden Light,Goomy [Reverse Holo] #92,$0.66
961783,Pokemon Forbidden Light,Greninja-GX #120,$36.15
961796,Pokemon Forbidden Light,Greninja-GX #133,$62.50
961687,Pokemon Forbidden Light,Greninja-GX #24,$13.02
961743,Pokemon Forbidden Light,Guzzlord #80,$2.72
5672085,Pokemon Forbidden Light,Guzzlord [Pokemon League] #80,$2.89
961882,Pokemon Forbidden Light,Guzzlord [Reverse Holo] #80,$2.23
961733,Pokemon Forbidden Light,Hawlucha #70,$0.49
961875,Pokemon Forbidden Light,Hawlucha [Reverse Holo] #70,$0.53
961676,Pokemon Forbidden Light,Heatran #13,$0.25
961822,Pokemon Forbidden Light,Heatran [Reverse Holo] #13,$0.32
961701,Pokemon Forbidden Light,Heliolisk #38,$0.24
961844,Pokemon Forbidden Light,Heliolisk [Reverse Holo] #38,$0.47
961700,Pokemon Forbidden Light,Helioptile #37,$0.26
961843,Pokemon Forbidden Light,Helioptile [Reverse Holo] #37,$0.47
961709,Pokemon Forbidden Light,Honedge #46,$0.25
961710,Pokemon Forbidden Light,Honedge #47,$0.20
961852,Pokemon Forbidden Light,Honedge [Reverse Holo] #46,$0.43
961853,Pokemon Forbidden Light,Honedge [Reverse Holo] #47,$0.36
961717,Pokemon Forbidden Light,Hoopa #54,$0.66
961860,Pokemon Forbidden Light,Hoopa [Reverse Holo] #54,$2.77
961723,Pokemon Forbidden Light,Infernape #59,$1.02
961864,Pokemon Forbidden Light,Infernape [Reverse Holo] #59,$1.00
961713,Pokemon Forbidden Light,Inkay #50,$0.45
961856,Pokemon Forbidden Light,Inkay [Reverse Holo] #50,$0.57
961771,Pokemon Forbidden Light,Judge #108,$0.29
6635593,Pokemon Forbidden Light,Judge [Professor Program] #108,$12.77
961906,Pokemon Forbidden Light,Judge [Reverse Holo] #108,$1.56
961752,Pokemon Forbidden Light,Klefki #89,$0.46
961890,Pokemon Forbidden Light,Klefki [Reverse Holo] #89,$0.70
961772,Pokemon Forbidden Light,Lady #109,$0.33
961907,Pokemon Forbidden Light,Lady [Reverse Holo] #109,$1.07
961681,Pokemon Forbidden Light,Litleo #18,$0.49
961827,Pokemon Forbidden Light,Litleo [Reverse Holo] #18,$0.97
961785,Pokemon Forbidden Light,Lucario GX #122,$25.00
961798,Pokemon Forbidden Light,Lucario-GX #135,$83.82
961739,Pokemon Forbidden Light,Lycanroc #76,$1.29
8670192,Pokemon Forbidden Light,Lycanroc [Cracked Ice] #76,$5.01
961879,Pokemon Forbidden Light,Lycanroc [Reverse Holo] #76,$2.75
961773,Pokemon Forbidden Light,Lysandre #110,$0.97
961774,Pokemon Forbidden Light,Lysandre Labs #111,$0.19
961908,Pokemon Forbidden Light,Lysandre Labs [Reverse Holo] #111,$0.53
961697,Pokemon Forbidden Light,Magnemite #34,$0.31
961840,Pokemon Forbidden Light,Magnemite [Reverse Holo] #34,$0.45
961698,Pokemon Forbidden Light,Magneton #35,$0.23
961841,Pokemon Forbidden Light,Magneton [Reverse Holo] #35,$0.44
961699,Pokemon Forbidden Light,Magnezone #36,$0.77
961842,Pokemon Forbidden Light,Magnezone [Reverse Holo] #36,$0.97
961714,Pokemon Forbidden Light,Malamar #51,$0.79
8575989,Pokemon Forbidden Light,Malamar [4th Place League] #51,$18.66
961857,Pokemon Forbidden Light,Malamar [Reverse Holo] #51,$1.96
961708,Pokemon Forbidden Light,Meowstic #45,$0.68
961851,Pokemon Forbidden Light,Meowstic [Reverse Holo] #45,$1.65
961705,Pokemon Forbidden Light,Mesprit #42,$0.33
961848,Pokemon Forbidden Light,Mesprit [Reverse Holo] #42,$0.69
961775,Pokemon Forbidden Light,Metal Frying Pan #112,$0.32
961807,Pokemon Forbidden Light,Metal Frying Pan #144,$9.74
5705711,Pokemon Forbidden Light,Metal Frying Pan [League] #112a,$2.07
961909,Pokemon Forbidden Light,Metal Frying Pan [Reverse Holo] #112,$0.89
8675333,Pokemon Forbidden Light,Mini Portfolio Double Pack,$32.01
961776,Pokemon Forbidden Light,Mysterious Treasure #113,$2.20
961808,Pokemon Forbidden Light,Mysterious Treasure #145,$19.45
5790342,Pokemon Forbidden Light,Mysterious Treasure [League Cup] #113,$4.69
961910,Pokemon Forbidden Light,Mysterious Treasure [Reverse Holo] #113,$2.73
4765126,Pokemon Forbidden Light,Mysterious Treasure [Reverse Holo] #113a,$3.00
5205170,Pokemon Forbidden Light,Mysterious Treasure [Staff League Cup] #113,$19.75
961784,Pokemon Forbidden Light,Naganadel-GX #121,$8.18
961797,Pokemon Forbidden Light,Naganadel-GX #134,$14.17
961719,Pokemon Forbidden Light,Naganadel-GX #56,$3.53
961763,Pokemon Forbidden Light,Noibat #100,$0.28
961898,Pokemon Forbidden Light,Noibat [Reverse Holo] #100,$0.33
961764,Pokemon Forbidden Light,Noivern #101,$0.50
961899,Pokemon Forbidden Light,Noivern [Reverse Holo] #101,$1.12
961782,Pokemon Forbidden Light,Palkia-GX #119,$16.97
961795,Pokemon Forbidden Light,Palkia-GX #132,$33.85
961683,Pokemon Forbidden Light,Palkia-GX #20,$4.98
961728,Pokemon Forbidden Light,Pancham #65,$0.30
961870,Pokemon Forbidden Light,Pancham [Reverse Holo] #65,$0.39
961741,Pokemon Forbidden Light,Pangoro #78,$0.45
961881,Pokemon Forbidden Light,Pangoro [Reverse Holo] #78,$0.48
961674,Pokemon Forbidden Light,Pheromosa #11,$7.18
961820,Pokemon Forbidden Light,Pheromosa [Reverse Holo] #11,$6.99
961718,Pokemon Forbidden Light,Poipole #55,$0.86
961861,Pokemon Forbidden Light,Poipole [Reverse Holo] #55,$2.47
961682,Pokemon Forbidden Light,Pyroar #19,$0.45
961828,Pokemon Forbidden Light,Pyroar [Reverse Holo] #19,$0.99
961738,Pokemon Forbidden Light,Rockruff #75,$0.46
961878,Pokemon Forbidden Light,Rockruff [Reverse Holo] #75,$0.75
961703,Pokemon Forbidden Light,Rotom #40,$0.50
961846,Pokemon Forbidden Light,Rotom [Reverse Holo] #40,$0.88
961668,Pokemon Forbidden Light,Scatterbug #5,$0.11
961669,Pokemon Forbidden Light,Scatterbug #6,$0.18
961814,Pokemon Forbidden Light,Scatterbug [Reverse Holo] #5,$0.41
961815,Pokemon Forbidden Light,Scatterbug [Reverse Holo] #6,$0.29
10085367,Pokemon Forbidden Light,Sealed Mini Portfolio,$44.97
961672,Pokemon Forbidden Light,Skiddo #9,$0.19
961818,Pokemon Forbidden Light,Skiddo [Reverse Holo] #9,$0.68
961715,Pokemon Forbidden Light,Skrelp #52,$0.18
961858,Pokemon Forbidden Light,Skrelp [Reverse Holo] #52,$0.50
961756,Pokemon Forbidden Light,Sliggoo #93,$0.41
961893,Pokemon Forbidden Light,Sliggoo [Reverse Holo] #93,$0.84
961666,Pokemon Forbidden Light,Snover #3,$0.22
961812,Pokemon Forbidden Light,Snover [Reverse Holo] #3,$0.49
961670,Pokemon Forbidden Light,Spewpa #7,$0.20
961816,Pokemon Forbidden Light,Spewpa [Reverse Holo] #7,$0.43
961750,Pokemon Forbidden Light,Sylveon #87,$5.24
961888,Pokemon Forbidden Light,Sylveon [Reverse Holo] #87,$14.86
961721,Pokemon Forbidden Light,Torterra #58,$1.02
961863,Pokemon Forbidden Light,Torterra [Reverse Holo] #58,$1.33
961727,Pokemon Forbidden Light,Toxicroak #64,$0.45
961869,Pokemon Forbidden Light,Toxicroak [Reverse Holo] #64,$0.45
961732,Pokemon Forbidden Light,Tyrantrum #69,$11.00
961874,Pokemon Forbidden Light,Tyrantrum [Reverse Holo] #69,$11.65
961731,Pokemon Forbidden Light,Tyrunt #68,$4.87
961873,Pokemon Forbidden Light,Tyrunt [Reverse Holo] #68,$10.63
961790,Pokemon Forbidden Light,Ultra Necrozma-GX #127,$22.75
961803,Pokemon Forbidden Light,Ultra Necrozma-GX #140,$37.33
961758,Pokemon Forbidden Light,Ultra Necrozma-GX #95,$6.25
961777,Pokemon Forbidden Light,Ultra Recon Squad #114,$0.15
961794,Pokemon Forbidden Light,Ultra Recon Squad #131,$19.22
961911,Pokemon Forbidden Light,Ultra Recon Squad [Reverse Holo] #114,$0.66
961778,Pokemon Forbidden Light,Ultra Space #115,$0.25
961912,Pokemon Forbidden Light,Ultra Space [Reverse Holo] #115,$0.53
961779,Pokemon Forbidden Light,Unidentified Fossil #116,$0.25
961913,Pokemon Forbidden Light,Unidentified Fossil [Reverse Holo] #116,$0.44
961781,Pokemon Forbidden Light,Unit Energy #118,$0.87
961809,Pokemon Forbidden Light,Unit Energy FDF #146,$20.51
961914,Pokemon Forbidden Light,Unit Energy [Reverse Holo] #118,$1.77
961704,Pokemon Forbidden Light,Uxie #41,$0.24
961847,Pokemon Forbidden Light,Uxie [Reverse Holo] #41,$0.94
961671,Pokemon Forbidden Light,Vivillon #8,$0.29
961817,Pokemon Forbidden Light,Vivillon [Reverse Holo] #8,$0.77
961694,Pokemon Forbidden Light,Volcanion #31,$2.70
961789,Pokemon Forbidden Light,Xerneas-GX #126,$20.38
961802,Pokemon Forbidden Light,Xerneas-GX #139,$55.40
961753,Pokemon Forbidden Light,Xerneas-GX #90,$7.80
961702,Pokemon Forbidden Light,Xurkitree #39,$1.67
961845,Pokemon Forbidden Light,Xurkitree [Reverse Holo] #39,$3.60
961800,Pokemon Forbidden Light,Yveltal GX #137,$42.66
961787,Pokemon Forbidden Light,Yveltal-GX #124,$18.05
961742,Pokemon Forbidden Light,Yveltal-GX #79,$10.26
961734,Pokemon Forbidden Light,Zygarde #71,$0.29
961735,Pokemon Forbidden Light,Zygarde #72,$1.20
