id,console-name,product-name,loose-price
643396,Pokemon Fossil,Aerodactyl #1,$20.00
1341265,Pokemon Fossil,Aerodactyl #16,$5.50
6916444,Pokemon Fossil,Aerodactyl [1999-2000] #16,$3.87
1099495,Pokemon Fossil,Aerodactyl [1st Edition] #1,$45.73
1099510,Pokemon Fossil,Aerodactyl [1st Edition] #16,$12.68
2386781,Pokemon Fossil,Aerodactyl [Prerelease] #1,$38.00
643397,Pokemon Fossil,Arbok #31,$1.35
7096060,Pokemon Fossil,Arbok [1999-2000] #31,$3.49
1099525,Pokemon Fossil,Arbok [1st Edition] #31,$3.50
1341264,Pokemon Fossil,Articuno #17,$5.62
643398,Pokemon Fossil,Articuno #2,$25.71
6916442,Pokemon Fossil,Articuno [1999-2000] #17,$4.50
1099511,Pokemon Fossil,Articuno [1st Edition] #17,$17.00
1099496,Pokemon Fossil,Articuno [1st Edition] #2,$74.37
5943765,Pokemon Fossil,Blister Pack,$440.00
7968950,Pokemon Fossil,BodyGuard Theme Deck,$195.45
2189357,Pokemon Fossil,Booster Box,$11650.00
2189356,Pokemon Fossil,Booster Box [1st Edition],$16113.08
2189354,Pokemon Fossil,Booster Pack,$307.50
2189355,Pokemon Fossil,Booster Pack [1st Edition],$557.06
643399,Pokemon Fossil,Cloyster #32,$1.73
7667713,Pokemon Fossil,Cloyster [1999-2000] #32,$9.99
1099526,Pokemon Fossil,Cloyster [1st Edition] #32,$2.99
1341266,Pokemon Fossil,Ditto #18,$6.60
643400,Pokemon Fossil,Ditto #3,$20.16
9021580,Pokemon Fossil,Ditto [1999-2000] #18,$70.00
1099512,Pokemon Fossil,Ditto [1st Edition] #18,$16.00
1099497,Pokemon Fossil,Ditto [1st Edition] #3,$60.50
1341270,Pokemon Fossil,Dragonite #19,$14.50
643401,Pokemon Fossil,Dragonite #4,$69.50
7531686,Pokemon Fossil,Dragonite [1999-2000] #19,$252.53
1099513,Pokemon Fossil,Dragonite [1st Edition] #19,$40.00
1099498,Pokemon Fossil,Dragonite [1st Edition] #4,$199.93
643402,Pokemon Fossil,Ekans #46,$1.30
8193630,Pokemon Fossil,Ekans [1999-2000] #46,$4.89
1099540,Pokemon Fossil,Ekans [1st Edition] #46,$3.12
643403,Pokemon Fossil,Energy Search #59,$1.00
7415738,Pokemon Fossil,Energy Search [1999-2000] #59,$2.93
1099553,Pokemon Fossil,Energy Search [1st Edition] #59,$2.46
643404,Pokemon Fossil,Gambler #60,$1.35
8096193,Pokemon Fossil,Gambler [1999-2000] #60,
1099554,Pokemon Fossil,Gambler [1st Edition] #60,$3.98
643405,Pokemon Fossil,Gastly #33,$1.95
8096102,Pokemon Fossil,Gastly [1999-2000] #33,
1099527,Pokemon Fossil,Gastly [1st Edition] #33,$4.95
1341267,Pokemon Fossil,Gengar #20,$16.20
643406,Pokemon Fossil,Gengar #5,$70.59
6870158,Pokemon Fossil,Gengar [1999-2000] #20,$15.20
1099514,Pokemon Fossil,Gengar [1st Edition] #20,$45.00
1099499,Pokemon Fossil,Gengar [1st Edition] #5,$239.98
643407,Pokemon Fossil,Geodude #47,$1.27
7629539,Pokemon Fossil,Geodude [1999-2000] #47,$4.99
1099541,Pokemon Fossil,Geodude [1st Edition] #47,$2.95
643408,Pokemon Fossil,Golbat #34,$1.48
1099528,Pokemon Fossil,Golbat [1st Edition] #34,$3.76
9826383,Pokemon Fossil,Golbat[1999-2000] #34,$3.00
643409,Pokemon Fossil,Golduck #35,$2.00
7415735,Pokemon Fossil,Golduck [1999-2000] #35,$2.83
1099529,Pokemon Fossil,Golduck [1st Edition] #35,$4.31
643410,Pokemon Fossil,Golem #36,$2.34
1099530,Pokemon Fossil,Golem [1st Edition] #36,$4.48
643411,Pokemon Fossil,Graveler #37,$1.47
8223914,Pokemon Fossil,Graveler [1999-2000] #37,$13.00
1099531,Pokemon Fossil,Graveler [1st Edition] #37,$3.62
643412,Pokemon Fossil,Grimer #48,$0.99
9826376,Pokemon Fossil,Grimer [1999-2000] #48,$4.99
1099542,Pokemon Fossil,Grimer [1st Edition] #48,$3.00
1341268,Pokemon Fossil,Haunter #21,$5.87
643413,Pokemon Fossil,Haunter #6,$22.81
10604810,Pokemon Fossil,Haunter [1999-2000] #21,$24.99
5861346,Pokemon Fossil,Haunter [1st Edition Cigar Error] #6,
1099515,Pokemon Fossil,Haunter [1st Edition] #21,$16.27
1099500,Pokemon Fossil,Haunter [1st Edition] #6,$74.50
9536051,Pokemon Fossil,Haunter [Incomplete Holo Error] #6,
1341269,Pokemon Fossil,Hitmonlee #22,$4.49
643414,Pokemon Fossil,Hitmonlee #7,$13.89
8875792,Pokemon Fossil,Hitmonlee [1999-2000] #22,$3.00
1099516,Pokemon Fossil,Hitmonlee [1st Edition] #22,$11.01
1099501,Pokemon Fossil,Hitmonlee [1st Edition] #7,$45.00
643415,Pokemon Fossil,Horsea #49,$1.37
9826387,Pokemon Fossil,Horsea [1999-2000] #49,$3.00
1099543,Pokemon Fossil,Horsea [1st Edition] #49,$2.98
1341271,Pokemon Fossil,Hypno #23,$4.13
643416,Pokemon Fossil,Hypno #8,$13.30
6916443,Pokemon Fossil,Hypno [1999-2000] #23,$6.38
1099517,Pokemon Fossil,Hypno [1st Edition] #23,$13.00
1099502,Pokemon Fossil,Hypno [1st Edition] #8,$38.70
643417,Pokemon Fossil,Kabuto #50,$1.92
10265898,Pokemon Fossil,Kabuto [1999-2000] #50,$4.37
1099544,Pokemon Fossil,Kabuto [1st Edition] #50,$19.99
2336235,Pokemon Fossil,Kabuto [W Stamp] #50,$66.00
1341272,Pokemon Fossil,Kabutops #24,$4.73
643418,Pokemon Fossil,Kabutops #9,$15.75
10947508,Pokemon Fossil,Kabutops [1999-2000] #24,$2.50
1099518,Pokemon Fossil,Kabutops [1st Edition] #24,$14.49
1099503,Pokemon Fossil,Kabutops [1st Edition] #9,$50.00
643419,Pokemon Fossil,Kingler #38,$1.99
9417699,Pokemon Fossil,Kingler [1999-2000] #38,
1099532,Pokemon Fossil,Kingler [1st Edition] #38,$3.50
643420,Pokemon Fossil,Krabby #51,$1.92
12020555,Pokemon Fossil,Krabby [1999-2000] #51,
1099545,Pokemon Fossil,Krabby [1st Edition] #51,$3.15
2583537,Pokemon Fossil,Krabby [Error] #51,$93.24
643421,Pokemon Fossil,Lapras #10,$7.95
1341273,Pokemon Fossil,Lapras #25,$4.35
1099504,Pokemon Fossil,Lapras [1st Edition] #10,$69.76
1099519,Pokemon Fossil,Lapras [1st Edition] #25,$15.16
9281764,Pokemon Fossil,Lockdown Theme Deck,$127.10
643422,Pokemon Fossil,Magmar #39,$1.44
9826388,Pokemon Fossil,Magmar [1999-2000] #39,$1.25
1099533,Pokemon Fossil,Magmar [1st Edition] #39,$5.82
643423,Pokemon Fossil,Magneton #11,$8.50
1341274,Pokemon Fossil,Magneton #26,$3.49
10277114,Pokemon Fossil,Magneton [1999-2000] #26,$2.50
1099505,Pokemon Fossil,Magneton [1st Edition] #11,$40.50
1099520,Pokemon Fossil,Magneton [1st Edition] #26,$9.97
643424,Pokemon Fossil,Moltres #12,$30.12
1341275,Pokemon Fossil,Moltres #27,$5.99
7144407,Pokemon Fossil,Moltres [1999-2000] #27,$6.25
1099506,Pokemon Fossil,Moltres [1st Edition] #12,$84.25
1099521,Pokemon Fossil,Moltres [1st Edition] #27,$17.72
643425,Pokemon Fossil,Mr. Fuji #58,$2.74
7599147,Pokemon Fossil,Mr. Fuji [1999-2000] #58,$28.14
1099552,Pokemon Fossil,Mr. Fuji [1st Edition] #58,$3.35
643426,Pokemon Fossil,Muk #13,$5.25
1341276,Pokemon Fossil,Muk #28,$4.20
10604817,Pokemon Fossil,Muk [1999-2000] #28,$5.00
1099507,Pokemon Fossil,Muk [1st Edition] #13,$33.92
1099522,Pokemon Fossil,Muk [1st Edition] #28,$9.53
643427,Pokemon Fossil,Mysterious Fossil #62,$1.51
8570547,Pokemon Fossil,Mysterious Fossil [1999-2000] #62,$3.00
1099556,Pokemon Fossil,Mysterious Fossil [1st Edition] #62,$2.61
643428,Pokemon Fossil,Omanyte #52,$1.39
7640082,Pokemon Fossil,Omanyte [1999-2000] #52,$4.99
1099546,Pokemon Fossil,Omanyte [1st Edition] #52,$3.59
643429,Pokemon Fossil,Omastar #40,$2.16
7599146,Pokemon Fossil,Omastar [1999-2000] #40,
1099534,Pokemon Fossil,Omastar [1st Edition] #40,$3.45
3972867,Pokemon Fossil,Pokemon Thunderstorm Gift Box,$1113.78
643430,Pokemon Fossil,Psyduck #53,$2.43
6985432,Pokemon Fossil,Psyduck [1999-2000] #53,$12.56
1099547,Pokemon Fossil,Psyduck [1st Edition] #53,$5.24
643431,Pokemon Fossil,Raichu #14,$22.02
1341277,Pokemon Fossil,Raichu #29,$4.38
7415733,Pokemon Fossil,Raichu [1999-2000] #29,$5.88
1099508,Pokemon Fossil,Raichu [1st Edition] #14,$80.79
1099523,Pokemon Fossil,Raichu [1st Edition] #29,$15.00
643432,Pokemon Fossil,Recycle #61,$1.35
9826389,Pokemon Fossil,Recycle [1999-2000] #61,
1099555,Pokemon Fossil,Recycle [1st Edition] #61,$1.94
643433,Pokemon Fossil,Sandslash #41,$2.38
7640085,Pokemon Fossil,Sandslash [1999-2000] #41,$9.99
1099535,Pokemon Fossil,Sandslash [1st Edition] #41,$4.16
643434,Pokemon Fossil,Seadra #42,$1.00
7077593,Pokemon Fossil,Seadra [1999-2000] #42,$2.84
1099536,Pokemon Fossil,Seadra [1st Edition] #42,$3.97
643435,Pokemon Fossil,Shellder #54,$1.17
1099548,Pokemon Fossil,Shellder [1st Edition] #54,$2.38
643436,Pokemon Fossil,Slowbro #43,$1.99
7128621,Pokemon Fossil,Slowbro [1999-2000] #43,$2.34
1099537,Pokemon Fossil,Slowbro [1st Edition] #43,$6.50
643437,Pokemon Fossil,Slowpoke #55,$1.25
7277625,Pokemon Fossil,Slowpoke [1999-2000] #55,$7.99
1099549,Pokemon Fossil,Slowpoke [1st Edition] #55,$4.53
643438,Pokemon Fossil,Tentacool #56,$1.19
1099550,Pokemon Fossil,Tentacool [1st Edition] #56,$4.88
643439,Pokemon Fossil,Tentacruel #44,$2.14
11026995,Pokemon Fossil,Tentacruel & Nidoran [Make Ready Test Sheet],
1099538,Pokemon Fossil,Tentacruel [1st Edition] #44,$3.63
643440,Pokemon Fossil,Weezing #45,$1.72
9826368,Pokemon Fossil,Weezing [1999-2000] #45,$9.99
1099539,Pokemon Fossil,Weezing [1st Edition] #45,$4.00
643441,Pokemon Fossil,Zapdos #15,$15.50
1341278,Pokemon Fossil,Zapdos #30,$5.99
9282354,Pokemon Fossil,Zapdos [1999-2000] #15,$12.50
7718893,Pokemon Fossil,Zapdos [1999-2000] #30,$6.00
1099509,Pokemon Fossil,Zapdos [1st Edition] #15,$85.80
1099524,Pokemon Fossil,Zapdos [1st Edition] #30,$16.00
