id,console-name,product-name,loose-price
7211809,Pokemon Furious Fists,2-Pack Blister,$160.46
957992,Pokemon Furious Fists,Accelgor #9,$0.36
958103,Pokemon Furious Fists,Accelgor [Reverse Holo] #9,$0.47
958008,Pokemon Furious Fists,Amaura #25,$2.50
9913562,Pokemon Furious Fists,Amaura [Cosmos Holo] #25,$6.34
958118,Pokemon Furious Fists,Amaura [Reverse Holo] #25,$4.51
958009,Pokemon Furious Fists,Aurorus #26,$7.96
9913564,Pokemon Furious Fists,Aurorus [Cosmos Holo] #26,$8.26
958119,Pokemon Furious Fists,Aurorus [Reverse Holo] #26,$9.53
958092,Pokemon Furious Fists,Battle Reporter #109,$11.00
958071,Pokemon Furious Fists,Battle Reporter #88,$0.20
9312166,Pokemon Furious Fists,Battle Reporter [League] #88,$0.88
958177,Pokemon Furious Fists,Battle Reporter [Reverse Holo] #88,$0.66
958005,Pokemon Furious Fists,Beartic #22,$0.80
958115,Pokemon Furious Fists,Beartic [Reverse Holo] #22,$0.74
957984,Pokemon Furious Fists,Bellsprout #1,$0.41
958097,Pokemon Furious Fists,Bellsprout [Reverse Holo] #1,$0.84
957997,Pokemon Furious Fists,Blaziken #14,$2.17
5575753,Pokemon Furious Fists,Blaziken [National Championships] #14,$38.58
958108,Pokemon Furious Fists,Blaziken [Reverse Holo] #14,$4.93
2244987,Pokemon Furious Fists,Booster Box,$4960.90
2244988,Pokemon Furious Fists,Booster Pack,$72.50
958033,Pokemon Furious Fists,Breloom #50,$0.77
958143,Pokemon Furious Fists,Breloom [Reverse Holo] #50,$0.74
958006,Pokemon Furious Fists,Clauncher #23,$0.26
958116,Pokemon Furious Fists,Clauncher [Reverse Holo] #23,$0.47
958007,Pokemon Furious Fists,Clawitzer #24,$0.72
958117,Pokemon Furious Fists,Clawitzer [Reverse Holo] #24,$0.78
958054,Pokemon Furious Fists,Clefable #71,$0.57
958161,Pokemon Furious Fists,Clefable [Reverse Holo] #71,$1.21
958052,Pokemon Furious Fists,Clefairy #69,$0.49
958053,Pokemon Furious Fists,Clefairy #70,$0.93
958159,Pokemon Furious Fists,Clefairy [Reverse Holo] #69,$1.11
958160,Pokemon Furious Fists,Clefairy [Reverse Holo] #70,$1.98
957996,Pokemon Furious Fists,Combusken #13,$0.69
8575993,Pokemon Furious Fists,Combusken [Arena Cup] #13,
6343026,Pokemon Furious Fists,Combusken [Championship] #13,$11.85
958107,Pokemon Furious Fists,Combusken [Reverse Holo] #13,$0.83
6396935,Pokemon Furious Fists,Combusken [State Championship Staff] #13,$69.05
958003,Pokemon Furious Fists,Cubchoo #21,$0.29
958114,Pokemon Furious Fists,Cubchoo [Reverse Holo] #21,$0.69
958017,Pokemon Furious Fists,Dedenne #34,$0.92
958127,Pokemon Furious Fists,Dedenne [Reverse Holo] #34,$1.00
958091,Pokemon Furious Fists,Dragonite EX #108,$40.00
958057,Pokemon Furious Fists,Dragonite EX #74,$5.94
6106227,Pokemon Furious Fists,Dragonite EX [Jumbo] #74,$5.50
10809723,Pokemon Furious Fists,Dragonite EX [Jumbo] #75,
958048,Pokemon Furious Fists,Drapion #65,$0.72
958155,Pokemon Furious Fists,Drapion [Reverse Holo] #65,$0.74
958018,Pokemon Furious Fists,Drowzee #35,$0.25
958128,Pokemon Furious Fists,Drowzee [Reverse Holo] #35,$0.52
958063,Pokemon Furious Fists,Eevee #80,$0.97
958169,Pokemon Furious Fists,Eevee [Reverse Holo] #80,$4.47
958012,Pokemon Furious Fists,Electabuzz #29,$0.32
958122,Pokemon Furious Fists,Electabuzz [Reverse Holo] #29,$0.88
958013,Pokemon Furious Fists,Electivire #30,$1.18
958123,Pokemon Furious Fists,Electivire [Reverse Holo] #30,$1.66
6345770,Pokemon Furious Fists,Elite Trainer Box,$3925.00
958072,Pokemon Furious Fists,Energy Switch #89,$0.29
