id,console-name,product-name,loose-price
2771193,Pokemon Fusion Strike,Absol #164,$0.25
2771450,Pokemon Fusion Strike,Absol [Reverse Holo] #164,$0.46
2771043,Pokemon Fusion Strike,Accelgor #14,$0.13
2771323,Pokemon Fusion Strike,Accelgor [Reverse Holo] #14,$0.30
2771250,Pokemon Fusion Strike,Adventurer's Discovery #224,$0.24
2771506,Pokemon Fusion Strike,Adventurer's Discovery [Reverse Holo] #224,$0.22
2771055,Pokemon Fusion Strike,Appletun V #26,$1.25
2771049,Pokemon Fusion Strike,Araquanid #20,$0.25
2771329,Pokemon Fusion Strike,Araquanid [Reverse Holo] #20,$0.26
2771062,Pokemon Fusion Strike,Arcanine #33,$0.44
2771338,Pokemon Fusion Strike,Arcanine [Reverse Holo] #33,$0.68
2771111,Pokemon Fusion Strike,Arrokuda #82,$0.14
2771376,Pokemon Fusion Strike,Arrokuda [Reverse Holo] #82,$0.22
2771088,Pokemon Fusion Strike,Azumarill #59,$0.30
2771358,Pokemon Fusion Strike,Azumarill [Reverse Holo] #59,$0.30
2771173,Pokemon Fusion Strike,Baltoy #144,$0.05
2771434,Pokemon Fusion Strike,Baltoy [Reverse Holo] #144,$0.25
2771112,Pokemon Fusion Strike,Barraskewda #83,$0.15
2771378,Pokemon Fusion Strike,Barraskewda [Reverse Holo] #83,$0.26
2771099,Pokemon Fusion Strike,Basculin #70,$0.12
2771369,Pokemon Fusion Strike,Basculin [Reverse Holo] #70,$0.30
2771251,Pokemon Fusion Strike,Battle VIP Pass #225,$0.20
5790882,Pokemon Fusion Strike,Battle VIP Pass [Prize Pack] #225,$21.37
2771507,Pokemon Fusion Strike,Battle VIP Pass [Reverse Holo] #225,$0.48
2771180,Pokemon Fusion Strike,Bewear #151,$0.15
2771440,Pokemon Fusion Strike,Bewear [Reverse Holo] #151,$0.27
2771229,Pokemon Fusion Strike,Blissey #203,$0.25
2771486,Pokemon Fusion Strike,Blissey [Reverse Holo] #203,$0.38
2771132,Pokemon Fusion Strike,Boltund V #103,$0.98
2771275,Pokemon Fusion Strike,Boltund V #249,$2.71
2771133,Pokemon Fusion Strike,Boltund VMAX #104,$2.08
2771293,Pokemon Fusion Strike,Boltund VMAX #267,$6.99
5832641,Pokemon Fusion Strike,Boltund VMAX [Prize Pack] #104,$195.00
2782363,Pokemon Fusion Strike,Booster Box,$929.88
2782364,Pokemon Fusion Strike,Booster Pack,$12.20
2771034,Pokemon Fusion Strike,Breloom #5,$0.16
2771035,Pokemon Fusion Strike,Breloom V #6,$1.27
2771315,Pokemon Fusion Strike,Breloom [Reverse Holo] #5,$0.39
2771252,Pokemon Fusion Strike,Bug Catcher #226,$0.10
2771508,Pokemon Fusion Strike,Bug Catcher [Reverse Holo] #226,$0.24
5810924,Pokemon Fusion Strike,Build & Battle Box,$73.50
9420264,Pokemon Fusion Strike,Build & Battle Stadium,$234.94
2771238,Pokemon Fusion Strike,Buneary #212,$0.07
2771496,Pokemon Fusion Strike,Buneary [Reverse Holo] #212,$0.40
2771239,Pokemon Fusion Strike,Bunnelby #214,$0.11
2771498,Pokemon Fusion Strike,Bunnelby [Reverse Holo] #214,$0.22
2771032,Pokemon Fusion Strike,Butterfree #3,$0.28
4566854,Pokemon Fusion Strike,Butterfree [Holo] #3,$1.78
2771313,Pokemon Fusion Strike,Butterfree [Reverse Holo] #3,$0.50
2771191,Pokemon Fusion Strike,Carvanha #162,$0.13
2771448,Pokemon Fusion Strike,Carvanha [Reverse Holo] #162,$0.19
2771030,Pokemon Fusion Strike,Caterpie #1,$0.11
2771311,Pokemon Fusion Strike,Caterpie [Reverse Holo] #1,$0.18
2771271,Pokemon Fusion Strike,Celebi V #245,$52.00
2771077,Pokemon Fusion Strike,Centiskorch #48,$0.23
2771078,Pokemon Fusion Strike,Centiskorch #49,$0.15
2771347,Pokemon Fusion Strike,Centiskorch [Reverse Holo] #48,$0.19
2771348,Pokemon Fusion Strike,Centiskorch [Reverse Holo] #49,$0.25
2771273,Pokemon Fusion Strike,Chandelure V #247,$2.68
2771068,Pokemon Fusion Strike,Chandelure V #39,$0.99
2771291,Pokemon Fusion Strike,Chandelure VMAX #265,$7.50
2771069,Pokemon Fusion Strike,Chandelure VMAX #40,$2.87
2771228,Pokemon Fusion Strike,Chansey #202,$0.31
2771485,Pokemon Fusion Strike,Chansey [Reverse Holo] #202,$0.43
2771129,Pokemon Fusion Strike,Charjabug #100,$0.14
2771394,Pokemon Fusion Strike,Charjabug [Reverse Holo] #100,$0.16
9186281,Pokemon Fusion Strike,Checklane Blister 2 Pack,$24.99
2771109,Pokemon Fusion Strike,Chewtle #80,$0.21
2771374,Pokemon Fusion Strike,Chewtle [Reverse Holo] #80,$0.23
2771253,Pokemon Fusion Strike,Chili & Cilan & Cress #227,$0.09
2771284,Pokemon Fusion Strike,Chili & Cilan & Cress #258,$1.89
2771299,Pokemon Fusion Strike,Chili & Cilan & Cress #273,$3.64
2771509,Pokemon Fusion Strike,Chili & Cilan & Cress [Reverse Holo] #227,$0.22
2771072,Pokemon Fusion Strike,Cinderace V #43,$1.14
2771073,Pokemon Fusion Strike,Cinderace V #44,$0.99
2771074,Pokemon Fusion Strike,Cinderace VMAX #45,$2.81
2771094,Pokemon Fusion Strike,Clamperl #65,$0.14
2771364,Pokemon Fusion Strike,Clamperl [Reverse Holo] #65,$0.24
2771103,Pokemon Fusion Strike,Clauncher #74,$0.10
2771372,Pokemon Fusion Strike,Clauncher [Reverse Holo] #74,$0.20
2771104,Pokemon Fusion Strike,Clawitzer #75,$0.14
2771377,Pokemon Fusion Strike,Clawitzer [Reverse Holo] #75,$0.20
2771174,Pokemon Fusion Strike,Claydol #145,$0.15
2771435,Pokemon Fusion Strike,Claydol [Reverse Holo] #145,$0.38
2771181,Pokemon Fusion Strike,Clobbopus #152,$0.13
2771441,Pokemon Fusion Strike,Clobbopus [Reverse Holo] #152,$0.23
2771080,Pokemon Fusion Strike,Cloyster #51,$0.25
2771350,Pokemon Fusion Strike,Cloyster [Reverse Holo] #51,$0.29
2771254,Pokemon Fusion Strike,Cook #228,$0.10
2771510,Pokemon Fusion Strike,Cook [Reverse Holo] #228,$0.20
2771218,Pokemon Fusion Strike,Copperajah #192,$0.19
2771477,Pokemon Fusion Strike,Copperajah [Reverse Holo] #192,$0.17
2771216,Pokemon Fusion Strike,Corviknight #190,$0.26
2771475,Pokemon Fusion Strike,Corviknight [Reverse Holo] #190,$0.30
2771246,Pokemon Fusion Strike,Corvisquire #220,$0.17
2771502,Pokemon Fusion Strike,Corvisquire [Reverse Holo] #220,$0.25
2771274,Pokemon Fusion Strike,Crabominable V #248,$1.67
2771105,Pokemon Fusion Strike,Crabominable V #76,$0.89
2771255,Pokemon Fusion Strike,Cram-o-matic #229,$0.20
5334235,Pokemon Fusion Strike,Cram-o-matic [Prize Pack 2] #229,$5.00
2771511,Pokemon Fusion Strike,Cram-o-matic [Reverse Holo] #229,$0.39
2771194,Pokemon Fusion Strike,Croagunk #165,$0.08
2771451,Pokemon Fusion Strike,Croagunk [Reverse Holo] #165,$0.25
2771085,Pokemon Fusion Strike,Croconaw #56,$0.40
2771355,Pokemon Fusion Strike,Croconaw [Reverse Holo] #56,$0.40
2771256,Pokemon Fusion Strike,Cross Switcher #230,$0.09
2771512,Pokemon Fusion Strike,Cross Switcher [Reverse Holo] #230,$0.26
2771257,Pokemon Fusion Strike,Crossceiver #231,$0.06
2771513,Pokemon Fusion Strike,Crossceiver [Reverse Holo] #231,$0.32
2771217,Pokemon Fusion Strike,Cufant #191,$0.10
2771476,Pokemon Fusion Strike,Cufant [Reverse Holo] #191,$0.19
2771258,Pokemon Fusion Strike,Dancer #232,$0.25
2771285,Pokemon Fusion Strike,Dancer #259,$2.14
2771300,Pokemon Fusion Strike,Dancer #274,$3.99
2771514,Pokemon Fusion Strike,Dancer [Reverse Holo] #232,$0.21
2771196,Pokemon Fusion Strike,Darkrai #167,$0.27
2771453,Pokemon Fusion Strike,Darkrai [Reverse Holo] #167,$0.69
2771237,Pokemon Fusion Strike,Delcatty #211,$0.20
2771495,Pokemon Fusion Strike,Delcatty [Reverse Holo] #211,$0.28
9964384,Pokemon Fusion Strike,Deoxys #120,$0.25
2771149,Pokemon Fusion Strike,Deoxys [Holo] #120,$0.50
2771410,Pokemon Fusion Strike,Deoxys [Reverse Holo] #120,$0.28
2771048,Pokemon Fusion Strike,Dewpider #19,$0.10
2771328,Pokemon Fusion Strike,Dewpider [Reverse Holo] #19,$0.15
2771240,Pokemon Fusion Strike,Diggersby #215,$0.15
2771499,Pokemon Fusion Strike,Diggersby [Reverse Holo] #215,$0.25
2771227,Pokemon Fusion Strike,Dodrio V #201,$1.36
2771159,Pokemon Fusion Strike,Dragapult #130,$0.25
8331021,Pokemon Fusion Strike,Dragapult [Cosmos Holo] #130,$2.49
8604924,Pokemon Fusion Strike,Dragapult [Holo] #130,$0.23
2771420,Pokemon Fusion Strike,Dragapult [Reverse Holo] #130,$0.50
2771158,Pokemon Fusion Strike,Drakloak #129,$0.16
2771419,Pokemon Fusion Strike,Drakloak [Reverse Holo] #129,$0.21
3102599,Pokemon Fusion Strike,Drednaw #81,$0.14
2771375,Pokemon Fusion Strike,Drednaw [Reverse Holo] #81 #81,$0.19
2771157,Pokemon Fusion Strike,Dreepy #128,$0.12
2771418,Pokemon Fusion Strike,Dreepy [Reverse Holo] #128,$0.20
2771176,Pokemon Fusion Strike,Drilbur #147,$0.07
2771436,Pokemon Fusion Strike,Drilbur [Reverse Holo] #147,$0.17
2771249,Pokemon Fusion Strike,Dubwool #223,$0.15
2771505,Pokemon Fusion Strike,Dubwool [Reverse Holo] #223,$0.25
2771233,Pokemon Fusion Strike,Dunsparce #207,$0.18
2771491,Pokemon Fusion Strike,Dunsparce [Reverse Holo] #207,$0.18
2771210,Pokemon Fusion Strike,Durant #184,$0.15
2771470,Pokemon Fusion Strike,Durant [Reverse Holo] #184,$0.17
2771125,Pokemon Fusion Strike,Eelektrik #96,$0.10
2771390,Pokemon Fusion Strike,Eelektrik [Reverse Holo] #96,$0.17
2771126,Pokemon Fusion Strike,Eelektross #97,$0.22
2771391,Pokemon Fusion Strike,Eelektross [Reverse Holo] #97,$0.23
2771231,Pokemon Fusion Strike,Eevee #205,$0.32
9142496,Pokemon Fusion Strike,Eevee 3-Pack Blister,$47.50
2771489,Pokemon Fusion Strike,Eevee [Reverse Holo] #205,$1.00
2771054,Pokemon Fusion Strike,Eldegoss #25,$0.11
2771331,Pokemon Fusion Strike,Eldegoss [Reverse Holo] #25,$0.27
2771117,Pokemon Fusion Strike,Electrode #88,$0.50
4476115,Pokemon Fusion Strike,Electrode [Cosmos Holo] #88,$0.40
2771381,Pokemon Fusion Strike,Electrode [Reverse Holo] #88,$0.21
2771259,Pokemon Fusion Strike,Elesa's Sparkle #233,$0.13
2771286,Pokemon Fusion Strike,Elesa's Sparkle #260,$3.99
2771301,Pokemon Fusion Strike,Elesa's Sparkle #275,$5.14
6115080,Pokemon Fusion Strike,Elesa's Sparkle [Holo Prize Pack Stamp] #233,
2771515,Pokemon Fusion Strike,Elesa's Sparkle [Reverse Holo] #233,$0.25
2782365,Pokemon Fusion Strike,Elite Trainer Box,$230.00
3345871,Pokemon Fusion Strike,Elite Trainer Box [Pokemon Center],$372.50
6470454,Pokemon Fusion Strike,Espeon 3-Pack Blister,$112.87
2771296,Pokemon Fusion Strike,Espeon VMAX #270,$257.63
2771209,Pokemon Fusion Strike,Excadrill #183,$0.15
2771469,Pokemon Fusion Strike,Excadrill [Reverse Holo] #183,$0.21
2771183,Pokemon Fusion Strike,Falinks #154,$0.14
2771184,Pokemon Fusion Strike,Falinks #155,$0.07
2771443,Pokemon Fusion Strike,Falinks [Reverse Holo] #154,$0.30
2771444,Pokemon Fusion Strike,Falinks [Reverse Holo] #155,$0.25
2771260,Pokemon Fusion Strike,Farewell Bell #234,$0.11
2771516,Pokemon Fusion Strike,Farewell Bell [Reverse Holo] #234,$0.20
2771086,Pokemon Fusion Strike,Feraligatr #57,$0.77
2771356,Pokemon Fusion Strike,Feraligatr [Reverse Holo] #57,$0.28
2771310,Pokemon Fusion Strike,Fire Energy #284,$6.00
2771306,Pokemon Fusion Strike,Flaaffy #280,$5.27
2771114,Pokemon Fusion Strike,Frosmoth #85,$0.15
2771380,Pokemon Fusion Strike,Frosmoth [Reverse Holo] #85,$0.18
10852269,Pokemon Fusion Strike,Fun Pack,$4.79
2771270,Pokemon Fusion Strike,Fusion Strike Energy #244,$0.11
6142632,Pokemon Fusion Strike,Fusion Strike Energy [Prize Pack] #244,$2.50
2771526,Pokemon Fusion Strike,Fusion Strike Energy [Reverse Holo] #244,$0.21
2771146,Pokemon Fusion Strike,Galarian Corsola #117,$0.19
2771407,Pokemon Fusion Strike,Galarian Corsola [Reverse Holo] #117,$0.25
2771147,Pokemon Fusion Strike,Galarian Cursola #118,$0.46
2771408,Pokemon Fusion Strike,Galarian Cursola [Reverse Holo] #118,$0.33
2771101,Pokemon Fusion Strike,Galarian Darmanitan #72,$0.10
2771371,Pokemon Fusion Strike,Galarian Darmanitan [Reverse Holo] #72,$0.21
2771100,Pokemon Fusion Strike,Galarian Darumaka #71,$0.08
2771370,Pokemon Fusion Strike,Galarian Darumaka [Reverse Holo] #71,$0.23
2771189,Pokemon Fusion Strike,Galarian Linoone #160,$0.30
2771446,Pokemon Fusion Strike,Galarian Linoone [Reverse Holo] #160,$0.34
2771206,Pokemon Fusion Strike,Galarian Meowth #180,$0.22
2771466,Pokemon Fusion Strike,Galarian Meowth [Reverse Holo] #180,$0.26
2771190,Pokemon Fusion Strike,Galarian Obstagoon #161,$0.31
8331020,Pokemon Fusion Strike,Galarian Obstagoon [Cosmos Holo] #161,$2.95
2771447,Pokemon Fusion Strike,Galarian Obstagoon [Reverse Holo] #161,$0.25
2771207,Pokemon Fusion Strike,Galarian Perrserker #181,$0.17
2771467,Pokemon Fusion Strike,Galarian Perrserker [Reverse Holo] #181,$0.23
2771188,Pokemon Fusion Strike,Galarian Zigzagoon #159,$0.15
2771445,Pokemon Fusion Strike,Galarian Zigzagoon [Reverse Holo] #159,$0.32
2771198,Pokemon Fusion Strike,Garbodor #169,$0.25
2771455,Pokemon Fusion Strike,Garbodor [Reverse Holo] #169,$0.24
2771211,Pokemon Fusion Strike,Genesect V #185 [HOLO],$0.67
2771280,Pokemon Fusion Strike,Genesect V #254,$3.15
2771281,Pokemon Fusion Strike,Genesect V #255,$23.21
2771185,Pokemon Fusion Strike,Gengar V #156,$7.35
6781821,Pokemon Fusion Strike,Gengar V [Prize Pack] #156,$199.95
2771186,Pokemon Fusion Strike,Gengar VMAX #157,$32.66
2771297,Pokemon Fusion Strike,Gengar VMAX #271,$715.74
9913282,Pokemon Fusion Strike,Gengar VMAX [Prize Pack] #157,$492.50
2771164,Pokemon Fusion Strike,Geodude #135,$0.20
2771425,Pokemon Fusion Strike,Geodude [Reverse Holo] #135,$0.22
2771169,Pokemon Fusion Strike,Gligar #140,$0.10
2771430,Pokemon Fusion Strike,Gligar [Reverse Holo] #140,$0.17
2771170,Pokemon Fusion Strike,Gliscor #141,$0.12
2771431,Pokemon Fusion Strike,Gliscor [Reverse Holo] #141,$0.18
2771166,Pokemon Fusion Strike,Golem #137,$0.52
2771427,Pokemon Fusion Strike,Golem [Reverse Holo] #137,$0.30
2771223,Pokemon Fusion Strike,Goodra #197,$0.45
2771482,Pokemon Fusion Strike,Goodra [Reverse Holo] #197,$0.33
2771221,Pokemon Fusion Strike,Goomy #195,$0.40
2771480,Pokemon Fusion Strike,Goomy [Reverse Holo] #195,$0.27
2771096,Pokemon Fusion Strike,Gorebyss #67,$0.25
2771366,Pokemon Fusion Strike,Gorebyss [Reverse Holo] #67,$0.25
2771053,Pokemon Fusion Strike,Gossifleur #24,$0.14
2771330,Pokemon Fusion Strike,Gossifleur [Reverse Holo] #24,$0.19
