id,console-name,product-name,loose-price
959810,Pokemon Generations,Altaria #RC24,$12.00
9748903,Pokemon Generations,Arceus Mythical Collection Box,$348.35
959737,Pokemon Generations,Articuno #25,$30.92
959729,Pokemon Generations,Blastoise EX #17,$7.73
7902746,Pokemon Generations,Blastoise EX: Red And Blue Collection,$906.51
2244974,Pokemon Generations,Booster Pack,$180.17
959717,Pokemon Generations,Butterfree #5,$3.31
2425559,Pokemon Generations,Butterfree [Reverse Holo] #5,$3.47
959715,Pokemon Generations,Caterpie #3,$0.50
2864132,Pokemon Generations,Caterpie [Reverse Holo] #3,$1.59
7407189,Pokemon Generations,Celebi Mythical Collection Box,$385.44
959791,Pokemon Generations,Charizard #RC5,$24.46
959723,Pokemon Generations,Charizard EX #11,$20.56
6622149,Pokemon Generations,Charizard EX: Red And Blue Collection,$880.00
9850530,Pokemon Generations,Charizard EX: Red And Blue Collection [Jumbo],$356.29
959789,Pokemon Generations,Charmander #RC3,$11.24
959790,Pokemon Generations,Charmeleon #RC4,$9.99
959787,Pokemon Generations,Chikorita #RC1,$7.95
959763,Pokemon Generations,Clefable #51,$0.50
2978691,Pokemon Generations,Clefable [Reverse Holo] #51,$1.35
959762,Pokemon Generations,Clefairy #50,$0.69
5205169,Pokemon Generations,Clefairy [20th Anniversary] #50,$12.11
2978690,Pokemon Generations,Clefairy [Reverse Holo] #50,$5.26
3179767,Pokemon Generations,Clefairy [Toys R Us] #50,$23.99
959771,Pokemon Generations,Clemont #59,$0.43
2978697,Pokemon Generations,Clemont [Reverse Holo] #59,$1.42
959732,Pokemon Generations,Cloyster #20,$0.24
2978668,Pokemon Generations,Cloyster [Reverse Holo] #20,$0.90
959772,Pokemon Generations,Crushing Hammer #60,$0.59
2978698,Pokemon Generations,Crushing Hammer [Reverse Holo] #60,$0.72
2368843,Pokemon Generations,Darkness Energy #81,$3.16
11517972,Pokemon Generations,Darkness Energy [Reverse Holo] #81,$16.05
7407190,Pokemon Generations,Darkrai Mythical Collection Box,$385.00
959796,Pokemon Generations,Dedenne #RC10,$12.65
959808,Pokemon Generations,Diancie #RC22,$4.95
959750,Pokemon Generations,Diglett #38,$0.75
2978680,Pokemon Generations,Diglett [Reverse Holo] #38,$3.46
959768,Pokemon Generations,Dodrio #56,$1.05
2978695,Pokemon Generations,Dodrio [Reverse Holo] #56,$1.28
959767,Pokemon Generations,Doduo #55,$0.81
2782389,Pokemon Generations,Doduo [Reverse Holo] #55,$1.08
959786,Pokemon Generations,Double Colorless Energy #74,$1.18
2978710,Pokemon Generations,Double Colorless Energy [Reverse Holo] #74,$1.85
959751,Pokemon Generations,Dugtrio #39,$0.50
2978681,Pokemon Generations,Dugtrio [Reverse Holo] #39,$0.62
3765632,Pokemon Generations,Elite Trainer Box,$2147.04
959773,Pokemon Generations,Energy Switch #61,$0.37
2978699,Pokemon Generations,Energy Switch [Reverse Holo] #61,$0.47
959800,Pokemon Generations,Espurr #RC14,$11.44
959774,Pokemon Generations,Evosoda #62,$0.89
2978700,Pokemon Generations,Evosoda [Reverse Holo] #62,$3.29
2775131,Pokemon Generations,Fairy Energy #83,$0.96
11386965,Pokemon Generations,Fairy Energy [Reverse Holo] #83,$7.60
2775141,Pokemon Generations,Fighting Energy #80,$0.50
2775142,Pokemon Generations,Fighting Energy [Reverse Holo] #80,$8.45
2158387,Pokemon Generations,Fire Energy #76,$0.94
2775138,Pokemon Generations,Fire Energy [Reverse Holo] #76,$9.79
959803,Pokemon Generations,Flabebe #RC17,$2.75
959814,Pokemon Generations,Flareon EX #RC28,$94.03
959792,Pokemon Generations,Flareon EX #RC6,$40.73
959811,Pokemon Generations,Fletchling #RC25,$3.99
959804,Pokemon Generations,Floette #RC18,$3.20
959812,Pokemon Generations,Floral Crown #RC26,$2.00
959794,Pokemon Generations,Froslass #RC8,$3.02
959816,Pokemon Generations,Gardevoir EX #RC30,$52.02
959745,Pokemon Generations,Gastly #33,$1.20
2978676,Pokemon Generations,Gastly [Reverse Holo] #33,$3.16
959747,Pokemon Generations,Gengar #35,$20.04
2978678,Pokemon Generations,Gengar [Reverse Holo] #35,$29.99
959755,Pokemon Generations,Geodude #43,$0.31
2978684,Pokemon Generations,Geodude [Reverse Holo] #43,$0.79
10638000,Pokemon Generations,Geodude [Stamped] #43,$6.85
3010354,Pokemon Generations,Geodude [Toys R Us] #43,$41.18
959743,Pokemon Generations,Golbat #31,$0.49
2978675,Pokemon Generations,Golbat [Reverse Holo] #31,$1.65
959757,Pokemon Generations,Golem #45,$1.59
959758,Pokemon Generations,Golem EX #46,$1.99
2978686,Pokemon Generations,Golem [Reverse Holo] #45,$2.60
2775134,Pokemon Generations,Grass Energy #75,$1.00
2775135,Pokemon Generations,Grass Energy [Reverse Holo] #75,$7.51
959756,Pokemon Generations,Graveler #44,$0.42
2978685,Pokemon Generations,Graveler [Reverse Holo] #44,$0.99
959798,Pokemon Generations,Gulpin #RC12,$5.99
959735,Pokemon Generations,Gyarados #23,$1.67
2978671,Pokemon Generations,Gyarados [Reverse Holo] #23,$5.64
959746,Pokemon Generations,Haunter #34,$1.35
2978677,Pokemon Generations,Haunter [Reverse Holo] #34,$3.96
959760,Pokemon Generations,Hitmonchan #48,$0.74
2978688,Pokemon Generations,Hitmonchan [Reverse Holo] #48,$0.90
959759,Pokemon Generations,Hitmonlee #47,$1.67
2978687,Pokemon Generations,Hitmonlee [Reverse Holo] #47,$2.00
959775,Pokemon Generations,Imakuni? #63,$5.68
2978701,Pokemon Generations,Imakuni? [Reverse Holo] #63,$8.63
959799,Pokemon Generations,Jirachi #RC13,$10.50
9906835,Pokemon Generations,Jirachi Mythical Collection Box,$377.47
959740,Pokemon Generations,Jolteon EX #28,$16.99
2418320,Pokemon Generations,Jolteon EX #28a,$19.99
959748,Pokemon Generations,Jynx #36,$0.57
2978679,Pokemon Generations,Jynx [Reverse Holo] #36,$1.00
959733,Pokemon Generations,Krabby #21,$0.25
2978669,Pokemon Generations,Krabby [Reverse Holo] #21,$0.66
959721,Pokemon Generations,Leafeon EX #10,$16.22
2368840,Pokemon Generations,Lightning Energy #78,$1.64
2775146,Pokemon Generations,Lightning Energy [Reverse Holo] #78,$5.96
959730,Pokemon Generations,M Blastoise EX #18,$15.91
959724,Pokemon Generations,M Charizard EX #12,$82.50
959817,Pokemon Generations,M Gardevoir EX #RC31,$70.00
959714,Pokemon Generations,M Venusaur EX #2,$12.90
959754,Pokemon Generations,Machamp #42,$2.73
2431337,Pokemon Generations,Machamp [Reverse Holo] #42,$3.04
959753,Pokemon Generations,Machoke #41,$0.69
2978683,Pokemon Generations,Machoke [Reverse Holo] #41,$1.52
959752,Pokemon Generations,Machop #40,$0.50
2978682,Pokemon Generations,Machop [Reverse Holo] #40,$0.88
959734,Pokemon Generations,Magikarp #22,$1.63
9826277,Pokemon Generations,Magikarp [20th Anniversary] #22,$17.56
2978670,Pokemon Generations,Magikarp [Reverse Holo] #22,$3.00
3010355,Pokemon Generations,Magikarp [Toys R Us] #22,$38.95
959728,Pokemon Generations,Magmar #16,$0.94
2978666,Pokemon Generations,Magmar [Reverse Holo] #16,$1.51
959776,Pokemon Generations,Maintenance #64,$0.26
2978702,Pokemon Generations,Maintenance [Reverse Holo] #64,$0.35
959777,Pokemon Generations,Max Revive #65,$0.36
2978703,Pokemon Generations,Max Revive [Reverse Holo] #65,$0.68
959801,Pokemon Generations,Meowstic #RC15,$4.99
959749,Pokemon Generations,Meowstic EX #37,$3.69
959765,Pokemon Generations,Meowth #53,$0.61
6795207,Pokemon Generations,Meowth [20th Anniversary Stamp] #53,$7.43
2978693,Pokemon Generations,Meowth [Reverse Holo] #53,$1.30
3010356,Pokemon Generations,Meowth [Toys R Us] #53,$26.79
2775125,Pokemon Generations,Metal Energy #82,$0.91
2775126,Pokemon Generations,Metal Energy [Reverse Holo] #82,$8.50
959716,Pokemon Generations,Metapod #4,$0.50
