id,console-name,product-name,loose-price
3667020,Pokemon Go,Aipom #56,$0.20
3667100,Pokemon Go,Aipom [Reverse Holo] #56,$0.32
3666969,Pokemon Go,Alolan Exeggutor V #5,$1.21
3667035,Pokemon Go,Alolan Exeggutor V #71,$2.01
3669779,Pokemon Go,Alolan Exeggutor V Collection Box,$29.37
3667006,Pokemon Go,Alolan Raticate #42,$0.27
3667090,Pokemon Go,Alolan Raticate [Reverse Holo] #42,$0.39
3667005,Pokemon Go,Alolan Rattata #41,$0.31
3667089,Pokemon Go,Alolan Rattata [Reverse Holo] #41,$0.38
3667021,Pokemon Go,Ambipom #57,$0.14
3667101,Pokemon Go,Ambipom [Reverse Holo] #57,$0.34
3666971,Pokemon Go,Ariados #7,$0.23
3667058,Pokemon Go,Ariados [Reverse Holo] #7,$0.69
3666988,Pokemon Go,Articuno [Holo] #24,$0.74
3667075,Pokemon Go,Articuno [Reverse Holo] #24,$0.73
3667024,Pokemon Go,Bibarel #60,$0.25
3667103,Pokemon Go,Bibarel [Reverse Holo] #60,$0.42
3667023,Pokemon Go,Bidoof #59,$0.40
3773754,Pokemon Go,Bidoof [Ditto] #59,$17.62
3667102,Pokemon Go,Bidoof [Reverse Holo] #59,$2.90
3667028,Pokemon Go,Blanche #64,$0.30
3667046,Pokemon Go,Blanche #82,$7.36
3667107,Pokemon Go,Blanche [Reverse Holo] #64,$0.30
3666981,Pokemon Go,Blastoise [Holo] #17,$1.83
3667068,Pokemon Go,Blastoise [Reverse Holo] #17,$1.48
4652254,Pokemon Go,Blissey Tin,$32.92
4442139,Pokemon Go,Blissey [Cosmos Holo] #52,$1.50
3667016,Pokemon Go,Blissey [Holo] #52,$0.95
3667096,Pokemon Go,Blissey [Reverse Holo] #52,$0.30
3669777,Pokemon Go,Booster Pack,$8.48
3666965,Pokemon Go,Bulbasaur #1,$0.67
6011514,Pokemon Go,Bulbasaur Pin Collection,$31.11
3667053,Pokemon Go,Bulbasaur [Reverse Holo] #1,$0.80
3666978,Pokemon Go,Camerupt #14,$0.26
3667065,Pokemon Go,Camerupt [Reverse Holo] #14,$0.50
