id,console-name,product-name,loose-price
921166,Pokemon Great Encounters,Altaria #12,$3.61
921272,Pokemon Great Encounters,Altaria [Reverse Holo] #12,$5.77
921251,Pokemon Great Encounters,Amulet Coin #97,$0.63
921357,Pokemon Great Encounters,Amulet Coin [Reverse Holo] #97,$1.00
921187,Pokemon Great Encounters,Arbok #33,$1.39
921293,Pokemon Great Encounters,Arbok [Reverse Holo] #33,$3.39
921214,Pokemon Great Encounters,Baltoy #60,$2.37
921320,Pokemon Great Encounters,Baltoy [Reverse Holo] #60,$5.05
921167,Pokemon Great Encounters,Beedrill #13,$1.49
921273,Pokemon Great Encounters,Beedrill [Reverse Holo] #13,$4.93
921156,Pokemon Great Encounters,Blaziken #1,$11.25
921261,Pokemon Great Encounters,Blaziken [Reverse Holo] #1,$9.83
7096013,Pokemon Great Encounters,Blister Pack,$295.00
2245035,Pokemon Great Encounters,Booster Box,$7387.41
2245036,Pokemon Great Encounters,Booster Pack,$146.24
921215,Pokemon Great Encounters,Buizel #61,$0.46
921321,Pokemon Great Encounters,Buizel [Reverse Holo] #61,$2.74
921168,Pokemon Great Encounters,Butterfree #14,$2.95
921274,Pokemon Great Encounters,Butterfree [Reverse Holo] #14,$6.24
921216,Pokemon Great Encounters,Cacnea #62,$0.70
921322,Pokemon Great Encounters,Cacnea [Reverse Holo] #62,$1.25
921188,Pokemon Great Encounters,Cacturne #34,$0.66
921294,Pokemon Great Encounters,Cacturne [Reverse Holo] #34,$2.75
921217,Pokemon Great Encounters,Caterpie #63,$0.50
921323,Pokemon Great Encounters,Caterpie [Reverse Holo] #63,$7.14
921218,Pokemon Great Encounters,Clamperl #64,$1.49
921324,Pokemon Great Encounters,Clamperl [Reverse Holo] #64,$2.99
921169,Pokemon Great Encounters,Claydol #15,$4.20
6339995,Pokemon Great Encounters,Claydol [Crosshatch Holo] #15,$2.50
921275,Pokemon Great Encounters,Claydol [Reverse Holo] #15,$5.00
921189,Pokemon Great Encounters,Combusken #35,$1.36
921295,Pokemon Great Encounters,Combusken [Reverse Holo] #35,$3.25
921155,Pokemon Great Encounters,Cresselia #2,$9.51
921257,Pokemon Great Encounters,Cresselia LV. X #103,$14.39
921262,Pokemon Great Encounters,Cresselia [Reverse Holo] #2,$8.00
921157,Pokemon Great Encounters,Darkrai #3,$12.25
921159,Pokemon Great Encounters,Darkrai #4,$7.00
921258,Pokemon Great Encounters,Darkrai LV. X #104,$31.25
921263,Pokemon Great Encounters,Darkrai [Reverse Holo] #3,$15.77
921264,Pokemon Great Encounters,Darkrai [Reverse Holo] #4,$10.14
921190,Pokemon Great Encounters,Delibird #36,$2.08
921296,Pokemon Great Encounters,Delibird [Reverse Holo] #36,$3.18
921170,Pokemon Great Encounters,Dialga #16,$2.25
921259,Pokemon Great Encounters,Dialga LV. X #105,$89.01
9062161,Pokemon Great Encounters,Dialga [Cosmos Holo] #16,$9.16
921276,Pokemon Great Encounters,Dialga [Reverse Holo] #16,$3.43
5428221,Pokemon Great Encounters,Dialga [Stamped] #16,$7.99
921219,Pokemon Great Encounters,Drowzee #65,$0.89
921325,Pokemon Great Encounters,Drowzee [Reverse Holo] #65,$3.00
921220,Pokemon Great Encounters,Ekans #66,$1.20
921326,Pokemon Great Encounters,Ekans [Reverse Holo] #66,$2.99
921171,Pokemon Great Encounters,Exploud #17,$1.68
921277,Pokemon Great Encounters,Exploud [Reverse Holo] #17,$2.98
921221,Pokemon Great Encounters,Feebas #67,$1.57
921327,Pokemon Great Encounters,Feebas [Reverse Holo] #67,$2.50
921252,Pokemon Great Encounters,Felicity's Drawing #98,$1.47
6124830,Pokemon Great Encounters,Felicity's Drawing [Pokemon League Holo] #98,$5.08
921358,Pokemon Great Encounters,Felicity's Drawing [Reverse Holo] #98,$2.99
921191,Pokemon Great Encounters,Floatzel #37,$1.57
921297,Pokemon Great Encounters,Floatzel [Reverse Holo] #37,$2.26
921222,Pokemon Great Encounters,Glameow #68,$0.29
921328,Pokemon Great Encounters,Glameow [Reverse Holo] #68,$3.00
921192,Pokemon Great Encounters,Gorebyss #38,$1.53
921298,Pokemon Great Encounters,Gorebyss [Reverse Holo] #38,$2.00
921193,Pokemon Great Encounters,Granbull #39,$0.68
921299,Pokemon Great Encounters,Granbull [Reverse Holo] #39,$2.54
921194,Pokemon Great Encounters,Grovyle #40,$1.69
921300,Pokemon Great Encounters,Grovyle [Reverse Holo] #40,$3.00
921195,Pokemon Great Encounters,Hariyama #41,$0.81
921301,Pokemon Great Encounters,Hariyama [Reverse Holo] #41,$2.14
921172,Pokemon Great Encounters,Houndoom #18,$3.36
921278,Pokemon Great Encounters,Houndoom [Reverse Holo] #18,$13.50
921223,Pokemon Great Encounters,Houndour #69,$1.53
921329,Pokemon Great Encounters,Houndour [Reverse Holo] #69,$4.81
921196,Pokemon Great Encounters,Huntail #42,$1.10
921302,Pokemon Great Encounters,Huntail [Reverse Holo] #42,$2.05
921173,Pokemon Great Encounters,Hypno #19,$2.37
921279,Pokemon Great Encounters,Hypno [Reverse Holo] #19,$3.97
921224,Pokemon Great Encounters,Igglybuff #70,$2.99
921330,Pokemon Great Encounters,Igglybuff [Reverse Holo] #70,$6.14
921225,Pokemon Great Encounters,Illumise #71,$1.86
921331,Pokemon Great Encounters,Illumise [Reverse Holo] #71,$3.24
921226,Pokemon Great Encounters,Jigglypuff #72,$4.76
921332,Pokemon Great Encounters,Jigglypuff [Reverse Holo] #72,$8.61
921227,Pokemon Great Encounters,Kakuna #73,$0.84
921333,Pokemon Great Encounters,Kakuna [Reverse Holo] #73,$1.50
921174,Pokemon Great Encounters,Kingler #20,$2.27
921280,Pokemon Great Encounters,Kingler [Reverse Holo] #20,$3.99
921228,Pokemon Great Encounters,Koffing #74,$1.38
921334,Pokemon Great Encounters,Koffing [Reverse Holo] #74,$2.99
921229,Pokemon Great Encounters,Krabby #75,$1.25
921335,Pokemon Great Encounters,Krabby [Reverse Holo] #75,$2.67
921175,Pokemon Great Encounters,Lapras #21,$12.50
921281,Pokemon Great Encounters,Lapras [Reverse Holo] #21,$10.42
921176,Pokemon Great Encounters,Latias #22,$3.31
