id,console-name,product-name,loose-price
960578,Pokemon Guardians Rising,Absol #81,$1.01
960739,Pokemon Guardians Rising,Absol [Reverse Holo] #81,$1.12
960613,Pokemon Guardians Rising,Aether Paradise Conservation Area #116,$0.15
960770,Pokemon Guardians Rising,Aether Paradise Conservation Area [Reverse Holo] #116,$0.29
960537,Pokemon Guardians Rising,Alolan Geodude #40,$0.25
960703,Pokemon Guardians Rising,Alolan Geodude [Reverse Holo] #40,$0.29
960539,Pokemon Guardians Rising,Alolan Golem #42,$0.59
11786340,Pokemon Guardians Rising,Alolan Golem [Cosmos Holo] #42,$1.97
960705,Pokemon Guardians Rising,Alolan Golem [Reverse Holo] #42,$0.50
960538,Pokemon Guardians Rising,Alolan Graveler #41,$0.26
960704,Pokemon Guardians Rising,Alolan Graveler [Reverse Holo] #41,$0.51
960629,Pokemon Guardians Rising,Alolan Ninetales GX #132,$18.08
960647,Pokemon Guardians Rising,Alolan Ninetales GX #150,$57.00
960519,Pokemon Guardians Rising,Alolan Ninetales GX #22,$4.45
960516,Pokemon Guardians Rising,Alolan Sandshrew #19,$0.25
2431646,Pokemon Guardians Rising,Alolan Sandshrew #19a,$3.06
960684,Pokemon Guardians Rising,Alolan Sandshrew [Reverse Holo] #19,$1.85
960517,Pokemon Guardians Rising,Alolan Sandslash #20,$0.73
960685,Pokemon Guardians Rising,Alolan Sandslash [Reverse Holo] #20,$0.75
6401264,Pokemon Guardians Rising,Alolan Sandslash [Staff] #SM18,$11.50
960518,Pokemon Guardians Rising,Alolan Vulpix #21,$0.98
2431964,Pokemon Guardians Rising,Alolan Vulpix #21a,$6.62
5122322,Pokemon Guardians Rising,Alolan Vulpix [Build-a-Bear] #21,$18.38
960686,Pokemon Guardians Rising,Alolan Vulpix [Reverse Holo] #21,$1.47
4107249,Pokemon Guardians Rising,Alolan Vulpix [Toys 'R Us] #21,$16.50
960533,Pokemon Guardians Rising,Alomomola #36,$0.18
960700,Pokemon Guardians Rising,Alomomola [Reverse Holo] #36,$0.71
960614,Pokemon Guardians Rising,Altar of the Moone #117,$0.23
960771,Pokemon Guardians Rising,Altar of the Moone [Reverse Holo] #117,$0.28
960615,Pokemon Guardians Rising,Altar of the Sunne #118,$0.14
960772,Pokemon Guardians Rising,Altar of the Sunne [Reverse Holo] #118,$0.21
960616,Pokemon Guardians Rising,Aqua Patch #119,$0.25
960658,Pokemon Guardians Rising,Aqua Patch #161,$6.83
8096524,Pokemon Guardians Rising,Aqua Patch [League Cup Staff] #119,$13.10
960773,Pokemon Guardians Rising,Aqua Patch [Reverse Holo] #119,$0.50
960567,Pokemon Guardians Rising,Barboach #70,$0.14
960729,Pokemon Guardians Rising,Barboach [Reverse Holo] #70,$0.29
960580,Pokemon Guardians Rising,Beldum #83,$0.22
960741,Pokemon Guardians Rising,Beldum [Reverse Holo] #83,$0.35
960498,Pokemon Guardians Rising,Bellsprout #1,$0.29
960667,Pokemon Guardians Rising,Bellsprout [Reverse Holo] #1,$0.95
960610,Pokemon Guardians Rising,Bewear #113,$0.20
7414177,Pokemon Guardians Rising,Bewear GX Box,$142.00
960768,Pokemon Guardians Rising,Bewear [Reverse Holo] #113,$0.57
960599,Pokemon Guardians Rising,Blissey #102,$1.06
960757,Pokemon Guardians Rising,Blissey [Reverse Holo] #102,$1.53
7747653,Pokemon Guardians Rising,Blister Pack [Tsareena],$17.38
2244965,Pokemon Guardians Rising,Booster Box,$1156.87
2244966,Pokemon Guardians Rising,Booster Pack,$19.10
960617,Pokemon Guardians Rising,Brooklet Hill #120,$0.50
960774,Pokemon Guardians Rising,Brooklet Hill [Reverse Holo] #120,$0.57
960524,Pokemon Guardians Rising,Carvanha #27,$0.13
960691,Pokemon Guardians Rising,Carvanha [Reverse Holo] #27,$0.30
960602,Pokemon Guardians Rising,Castform #105,$0.16
960760,Pokemon Guardians Rising,Castform [Reverse Holo] #105,$0.28
960510,Pokemon Guardians Rising,Chandelure #13,$0.72
960679,Pokemon Guardians Rising,Chandelure [Reverse Holo] #13,$0.73
