id,console-name,product-name,loose-price
886567,Pokemon Gym Challenge,Blaine #100,$5.75
762223,Pokemon Gym Challenge,Blaine #17,$30.00
1450294,Pokemon Gym Challenge,Blaine [1st Edition] #100,$10.92
1450211,Pokemon Gym Challenge,Blaine [1st Edition] #17,$58.50
762207,Pokemon Gym Challenge,Blaine's Arcanine #1,$58.75
1450196,Pokemon Gym Challenge,Blaine's Arcanine [1st Edition] #1,$222.38
762208,Pokemon Gym Challenge,Blaine's Charizard #2,$334.07
1450197,Pokemon Gym Challenge,Blaine's Charizard [1st Edition] #2,$545.02
2411342,Pokemon Gym Challenge,Blaine's Charizard [Energy Misprint] #2,$180.00
762266,Pokemon Gym Challenge,Blaine's Charmander #60,$2.96
1450254,Pokemon Gym Challenge,Blaine's Charmander [1st Edition] #60,$12.88
762237,Pokemon Gym Challenge,Blaine's Charmeleon #31,$4.99
1450225,Pokemon Gym Challenge,Blaine's Charmeleon [1st Edition] #31,$15.00
762238,Pokemon Gym Challenge,Blaine's Dodrio #32,$2.99
1450226,Pokemon Gym Challenge,Blaine's Dodrio [1st Edition] #32,$4.97
762267,Pokemon Gym Challenge,Blaine's Doduo #61,$1.20
1450255,Pokemon Gym Challenge,Blaine's Doduo [1st Edition] #61,$3.78
762268,Pokemon Gym Challenge,Blaine's Growlithe #62,$2.21
1450256,Pokemon Gym Challenge,Blaine's Growlithe [1st Edition] #62,$5.64
762269,Pokemon Gym Challenge,Blaine's Mankey #63,$1.81
1450257,Pokemon Gym Challenge,Blaine's Mankey [1st Edition] #63,$4.06
762227,Pokemon Gym Challenge,Blaine's Ninetales #21,$15.00
1450215,Pokemon Gym Challenge,Blaine's Ninetales [1st Edition] #21,$29.21
762270,Pokemon Gym Challenge,Blaine's Ponyta #64,$1.19
1450258,Pokemon Gym Challenge,Blaine's Ponyta [1st Edition] #64,$4.34
762307,Pokemon Gym Challenge,Blaine's Quiz #2 #111,$3.84
1450305,Pokemon Gym Challenge,Blaine's Quiz #2 [1st Edition] #111,$6.00
