id,console-name,product-name,loose-price
762179,Pokemon Gym Heroes,Blaine's Charmander #61,$2.36
2156497,Pokemon Gym Heroes,Blaine's Charmander [1st Edition] #61,$10.00
762121,Pokemon Gym Heroes,Blaine's Gamble #121,$1.00
2156432,Pokemon Gym Heroes,Blaine's Gamble [1st Edition] #121,$2.14
762154,Pokemon Gym Heroes,Blaine's Growlithe #35,$3.21
886547,Pokemon Gym Heroes,Blaine's Growlithe #62,$1.62
2156468,Pokemon Gym Heroes,Blaine's Growlithe [1st Edition] #35,$6.50
2156498,Pokemon Gym Heroes,Blaine's Growlithe [1st Edition] #62,$5.34
762155,Pokemon Gym Heroes,Blaine's Kangaskhan #36,$2.99
2156469,Pokemon Gym Heroes,Blaine's Kangaskhan [1st Edition] #36,$8.76
762103,Pokemon Gym Heroes,Blaine's Last Resort #105,$1.79
2156414,Pokemon Gym Heroes,Blaine's Last Resort [1st Edition] #105,$2.77
762156,Pokemon Gym Heroes,Blaine's Magmar #37,$4.39
2156470,Pokemon Gym Heroes,Blaine's Magmar [1st Edition] #37,$7.50
762096,Pokemon Gym Heroes,Blaine's Moltres #1,$68.46
2156407,Pokemon Gym Heroes,Blaine's Moltres [1st Edition] #1,$163.91
762180,Pokemon Gym Heroes,Blaine's Ponyta #63,$1.89
2156499,Pokemon Gym Heroes,Blaine's Ponyta [1st Edition] #63,$3.99
762205,Pokemon Gym Heroes,Blaine's Quiz #1 #97,$9.20
2156535,Pokemon Gym Heroes,Blaine's Quiz #1 [1st Edition] #97,$14.50
762181,Pokemon Gym Heroes,Blaine's Tauros #64,$1.50
2156500,Pokemon Gym Heroes,Blaine's Tauros [1st Edition] #64,$3.00
762182,Pokemon Gym Heroes,Blaine's Vulpix #65,$2.94
2156502,Pokemon Gym Heroes,Blaine's Vulpix [1st Edition] #65,$4.96
3880844,Pokemon Gym Heroes,Booster Box,$9661.47
3880845,Pokemon Gym Heroes,Booster Box [1st Edition],$18875.00
3512197,Pokemon Gym Heroes,Booster Pack,$301.91
3512256,Pokemon Gym Heroes,Booster Pack [1st Edition],$375.00
762135,Pokemon Gym Heroes,Brock #15,$23.00
886560,Pokemon Gym Heroes,Brock #98,$3.99
2156446,Pokemon Gym Heroes,Brock [1st Edition] #15,$79.03
2156536,Pokemon Gym Heroes,Brock [1st Edition] #98,$10.48
762157,Pokemon Gym Heroes,Brock's Geodude #38,$2.02
886548,Pokemon Gym Heroes,Brock's Geodude #66,$1.50
2156471,Pokemon Gym Heroes,Brock's Geodude [1st Edition] #38,$6.75
2156501,Pokemon Gym Heroes,Brock's Geodude [1st Edition] #66,$3.75
762158,Pokemon Gym Heroes,Brock's Golbat #39,$2.98
2156472,Pokemon Gym Heroes,Brock's Golbat [1st Edition] #39,$5.96
762138,Pokemon Gym Heroes,Brock's Golem #20,$10.96
2156452,Pokemon Gym Heroes,Brock's Golem [1st Edition] #20,$18.20
762160,Pokemon Gym Heroes,Brock's Graveler #40,$1.79
2156474,Pokemon Gym Heroes,Brock's Graveler [1st Edition] #40,$5.50
762161,Pokemon Gym Heroes,Brock's Lickitung #41,$2.48
2156475,Pokemon Gym Heroes,Brock's Lickitung [1st Edition] #41,$5.23
762183,Pokemon Gym Heroes,Brock's Mankey #67,$1.28
886549,Pokemon Gym Heroes,Brock's Mankey #68,$1.60
2156503,Pokemon Gym Heroes,Brock's Mankey [1st Edition] #67,$2.23
2156504,Pokemon Gym Heroes,Brock's Mankey [1st Edition] #68,$3.29
762139,Pokemon Gym Heroes,Brock's Onix #21,$6.99
886550,Pokemon Gym Heroes,Brock's Onix #69,$1.64
2156453,Pokemon Gym Heroes,Brock's Onix [1st Edition] #21,$12.50
2156505,Pokemon Gym Heroes,Brock's Onix [1st Edition] #69,$6.00
762137,Pokemon Gym Heroes,Brock's Rhydon #2,$19.24
2156451,Pokemon Gym Heroes,Brock's Rhydon [1st Edition] #2,$73.65
762140,Pokemon Gym Heroes,Brock's Rhyhorn #22,$6.63
886551,Pokemon Gym Heroes,Brock's Rhyhorn #70,$1.49
2156454,Pokemon Gym Heroes,Brock's Rhyhorn [1st Edition] #22,$15.00
